energy_ev,total_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up
-6.00000000,8.92488946,0.14883880,0.10514048,1.02718905,3.41221355,1.09876388,1.37433935,0.19924921,2.78208340
-5.99399700,8.91296964,0.14767908,0.10509718,1.02849148,3.39792899,1.10286605,1.38050038,0.19853197,2.78492662
-5.98799400,8.87596072,0.14673583,0.10481163,1.02838455,3.37344520,1.10403353,1.38369333,0.19696100,2.77954597
-5.98199100,8.81397839,0.14601564,0.10428411,1.02686052,3.33897021,1.10225107,1.38371853,0.19455063,2.76589613
-5.97598799,8.72750450,0.14551534,0.10351759,1.02391268,3.29486483,1.09754376,1.38041540,0.19133211,2.74405644
-5.96998499,8.61739981,0.14522241,0.10251770,1.01953715,3.24164208,1.08997836,1.37367278,0.18735357,2.71423672
-5.96398199,8.48490553,0.14511558,0.10129274,1.01373471,3.17996201,1.07966362,1.36343758,0.18267949,2.67677904
-5.95797899,8.33163325,0.14516579,0.09985359,1.00651272,3.11062192,1.06674939,1.34972161,0.17738962,2.63215569
-5.95197599,8.15954320,0.14533730,0.09821363,0.99788701,3.03454216,1.05142484,1.33260595,0.17157746,2.58096309
-5.94597299,7.97091194,0.14558900,0.09638858,0.98788379,2.95274820,1.03391563,1.31224288,0.16534827,2.52391199
-5.93996998,7.76829054,0.14587591,0.09439639,0.97654160,2.86634942,1.01448042,1.28885528,0.15881675,2.46181447
-5.93396698,7.55445514,0.14615070,0.09225713,0.96391314,2.77651555,0.99340663,1.26273351,0.15210443,2.39556818
-5.92796398,7.33235174,0.14636540,0.08999284,0.95006722,2.68445158,0.97100577,1.23423008,0.14533687,2.32613845
-5.92196098,7.10503721,0.14647306,0.08762749,0.93509053,2.59137215,0.94760831,1.20375233,0.13864078,2.25453905
-5.91595798,6.87561867,0.14642942,0.08518685,0.91908942,2.49847605,0.92355839,1.17175343,0.13214110,2.18181202
-5.90995498,6.64719277,0.14619451,0.08269851,0.90219130,2.40692189,0.89920826,1.13872205,0.12595819,2.10900734
-5.90395198,6.42278674,0.14573413,0.08019171,0.88454584,2.31780541,0.87491259,1.10517112,0.12020522,2.03716284
-5.89794897,6.20530222,0.14502121,0.07769735,0.86632561,2.23213914,0.85102276,1.07162593,0.11498568,1.96728472
-5.89194597,5.99746296,0.14403685,0.07524781,0.84772607,2.15083461,0.82788099,1.03861185,0.11039126,1.90032911
-5.88594297,5.80176712,0.14277121,0.07287678,0.82896479,2.07468765,0.80581449,1.00664214,0.10650000,1.83718471
-5.87993997,5.62044457,0.14122403,0.07061900,0.81027977,2.00436672,0.78512964,0.97620575,0.10337479,1.77865684
-5.87393697,5.45541956,0.13940488,0.06850994,0.79192669,1.94040444,0.76610623,0.94775569,0.10106219,1.72545296
-5.86793397,5.30827909,0.13733299,0.06658532,0.77417520,1.88319228,0.74899187,0.92169790,0.09959166,1.67816981
-5.86193097,5.18024724,0.13503682,0.06488061,0.75730411,1.83297833,0.73399676,0.89838106,0.09897510,1.63728228
-5.85592796,5.07216567,0.13255323,0.06343042,0.74159560,1.78986807,0.72128896,0.87808734,0.09920679,1.60313429
-5.84992496,4.98448092,0.12992638,0.06226777,0.72732871,1.75382794,0.71099030,0.86102455,0.10026360,1.57593184
-5.84392196,4.91723869,0.12720632,0.06142339,0.71477214,1.72469160,0.70317324,0.84731981,0.10210565,1.55573851
-5.83791896,4.87008586,0.12444736,0.06092492,0.70417670,1.70216877,0.69785876,0.83701507,0.10467723,1.54247370
-5.83191596,4.84228061,0.12170631,0.06079620,0.69576767,1.68585628,0.69501559,0.83006472,0.10790806,1.53591402
-5.82591296,4.83271108,0.11904055,0.06105651,0.68973742,1.67525128,0.69456081,0.82633559,0.11171493,1.53569792
-5.81990995,4.83992275,0.11650610,0.06171999,0.68623852,1.66976624,0.69636199,0.82560944,0.11600356,1.54133389
-5.81390695,4.86215457,0.11415572,0.06279503,0.68537769,1.66874548,0.70024082,0.82758817,0.12067083,1.55221228
-5.80790395,4.89738356,0.11203706,0.06428398,0.68721085,1.67148284,0.70597827,0.83190176,0.12560720,1.56762066
-5.80190095,4.94337688,0.11019102,0.06618280,0.69173952,1.67724006,0.71332103,0.83811870,0.13069938,1.58676254
-5.79589795,4.99775058,0.10865031,0.06848107,0.69890869,1.68526545,0.72198917,0.84575901,0.13583315,1.60877912
-5.78989495,5.05803322,0.10743825,0.07116210,0.70860636,1.69481235,0.73168455,0.85430913,0.14089626,1.63277326
-5.78389195,5.12173261,0.10656788,0.07420320,0.72066478,1.70515680,0.74209997,0.86323846,0.14578133,1.65783529
-5.77788894,5.18640343,0.10604141,0.07757622,0.73486339,1.71561401,0.75292830,0.87201689,0.15038866,1.68306941
-5.77188594,5.24971335,0.10585003,0.08124818,0.75093346,1.72555314,0.76387162,0.88013250,0.15462887,1.70761997
-5.76588294,5.30950526,0.10597403,0.08518210,0.76856418,1.73440985,0.77464973,0.88710888,0.15842522,1.73069638
-5.75987994,5.36385312,0.10638333,0.08933797,0.78741031,1.74169639,0.78500787,0.89252116,0.16171553,1.75159580
-5.75387694,5.41110927,0.10703831,0.09367378,0.80710083,1.74700894,0.79472317,0.89601008,0.16445369,1.76972252
-5.74787394,5.44994137,0.10789100,0.09814664,0.82724863,1.75003196,0.80360984,0.89729341,0.16661049,1.78460315
-5.74187094,5.47935735,0.10888650,0.10271399,0.84746083,1.75053960,0.81152270,0.89617422,0.16817393,1.79589707
-5.73586793,5.49871749,0.10996469,0.10733470,0.86734933,1.74839418,0.81835908,0.89254552,0.16914887,1.80340153
-5.72986493,5.50773322,0.11106206,0.11197015,0.88654144,1.74354186,0.82405900,0.88639113,0.16955601,1.80705126
-5.72386193,5.50645284,0.11211373,0.11658532,0.90469006,1.73600584,0.82860379,0.87778275,0.16943029,1.80691260
-5.71785893,5.49523487,0.11305547,0.12114956,0.92148314,1.72587748,0.83201300,0.86687335,0.16881874,1.80317248
-5.71185593,5.47471056,0.11382573,0.12563732,0.93665205,1.71330553,0.83434015,0.85388733,0.16777786,1.79612277
-5.70585293,5.44573713,0.11436755,0.13002861,0.94997854,1.69848426,0.83566722,0.83910792,0.16637070,1.78614087
-5.69984992,5.40934436,0.11463039,0.13430926,0.96130005,1.68164071,0.83609827,0.82286255,0.16466368,1.77366741
-5.69384692,5.36667677,0.11457162,0.13847087,0.97051305,1.66302176,0.83575257,0.80550702,0.16272343,1.75918229
-5.68784392,5.31893435,0.11415783,0.14251051,0.97757441,1.64288144,0.83475744,0.78740916,0.16061369,1.74318024
-5.68184092,5.26731468,0.11336582,0.14643023,0.98250061,1.62146904,0.83324118,0.76893302,0.15839247,1.72614703
-5.67583792,5.21295899,0.11218317,0.15023622,0.98536491,1.59901837,0.83132650,0.75042424,0.15610962,1.70853769
-5.66983492,5.15690491,0.11060854,0.15393787,0.98629246,1.57573882,0.82912463,0.73219750,0.15380487,1.69075765
-5.66383192,5.10004794,0.10865155,0.15754657,0.98545382,1.55180825,0.82673051,0.71452638,0.15150649,1.67314779
-5.65782891,5.04311346,0.10633239,0.16107451,0.98305687,1.52736829,0.82421932,0.69763641,0.14923061,1.65597411
-5.65182591,4.98664043,0.10368103,0.16453334,0.97933776,1.50252200,0.82164446,0.68170121,0.14698120,1.63942244
-5.64582291,4.93097727,0.10073626,0.16793294,0.97455116,1.47733411,0.81903712,0.66684203,0.14475068,1.62359834
-5.63981991,4.87629001,0.09754450,0.17128021,0.96896024,1.45183368,0.81640755,0.65313048,0.14252122,1.60853207
-5.63381691,4.82258176,0.09415842,0.17457807,0.96282699,1.42601915,0.81374788,0.64059407,0.14026646,1.59418827
-5.62781391,4.76972210,0.09063552,0.17782465,0.95640308,1.39986535,0.81103638,0.62922413,0.13795375,1.58047954
-5.62181091,4.71748450,0.08703663,0.18101275,0.94992185,1.37333217,0.80824285,0.61898549,0.13554661,1.56728304
-5.61580790,4.66558923,0.08342446,0.18412958,0.94359148,1.34637437,0.80533485,0.60982718,0.13300732,1.55445909
-5.60980490,4.61374885,0.07986218,0.18715684,0.93758985,1.31895189,0.80228434,0.60169337,0.13029962,1.54187034
-5.60380190,4.56171336,0.07641207,0.19007109,0.93206089,1.29104013,0.79907423,0.59453392,0.12739107,1.52940039
-5.59779890,4.50931204,0.07313431,0.19284437,0.92711274,1.26263946,0.79570430,0.58831352,0.12425533,1.51697046
-5.59179590,4.45648890,0.07008581,0.19544521,0.92281738,1.23378340,0.79219612,0.58301908,0.12087393,1.50455304
-5.58579290,4.40332945,0.06731920,0.19783972,0.91921176,1.20454480,0.78859638,0.57866468,0.11723760,1.49218147
-5.57978989,4.35007679,0.06488192,0.19999293,0.91630015,1.17503978,0.78497835,0.57529376,0.11334706,1.47995473
-5.57378689,4.29713555,0.06281531,0.20187023,0.91405731,1.14542875,0.78144117,0.57297829,0.10921332,1.46803694
-5.56778389,4.24506339,0.06115392,0.20343883,0.91243249,1.11591477,0.77810683,0.57181513,0.10485730,1.45665160
