energy_ev,total_up,Al_p_up,Al_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,1.74711018,0.04472131,0.00000000,0.04485061,1.07964503,0.85127821,0.50486904
-5.99399700,1.68262386,0.04273243,0.00000000,0.04416993,1.03136210,0.79364828,0.49399215
-5.98799400,1.61749710,0.04075987,0.00000000,0.04333994,0.98301003,0.73658971,0.48224483
-5.98199100,1.55244967,0.03883797,0.00000000,0.04236859,0.93513132,0.68062228,0.46979310
-5.97598799,1.48814951,0.03699798,0.00000000,0.04126548,0.88822455,0.62621829,0.45680140
-5.96998499,1.42519917,0.03526735,0.00000000,0.04004172,0.84273435,0.57379424,0.44342921
-5.96398199,1.36412495,0.03366906,0.00000000,0.03870975,0.79904374,0.52370490,0.42982788
-5.95797899,1.30536889,0.03222119,0.00000000,0.03728320,0.75746846,0.47623979,0.41613780
-5.95197599,1.24928351,0.03093659,0.00000000,0.03577660,0.71825383,0.43162178,0.40248612
-5.94597299,1.19612952,0.02982285,0.00000000,0.03420524,0.68157362,0.39000799,0.38898474
-5.93996998,1.14607619,0.02888231,0.00000000,0.03258483,0.64753119,0.35149238,0.37572889
-5.93396698,1.09920441,0.02811230,0.00000000,0.03093130,0.61616256,0.31611011,0.36279626
-5.92796398,1.05551213,0.02750558,0.00000000,0.02926051,0.58744127,0.28384303,0.35024665
-5.92196098,1.01492215,0.02705088,0.00000000,0.02758797,0.56128483,0.25462629,0.33812220
-5.91595798,0.97729171,0.02673355,0.00000000,0.02592861,0.53756252,0.22835542,0.32644825
-5.90995498,0.94242393,0.02653636,0.00000000,0.02429656,0.51610421,0.20489389,0.31523480
-5.90395198,0.91008040,0.02644031,0.00000000,0.02270496,0.49670994,0.18408060,0.30447846
-5.89794897,0.87999475,0.02642557,0.00000000,0.02116579,0.47916003,0.16573723,0.29416495
-5.89194597,0.85188667,0.02647229,0.00000000,0.01968974,0.46322515,0.14967517,0.28427197
-5.88594297,0.82547579,0.02656153,0.00000000,0.01828618,0.44867633,0.13570181,0.27477228
-5.87993997,0.80049510,0.02667601,0.00000000,0.01696314,0.43529426,0.12362615,0.26563699
-5.87393697,0.77670313,0.02680082,0.00000000,0.01572724,0.42287775,0.11326357,0.25683877
-5.86793397,0.75389459,0.02692398,0.00000000,0.01458383,0.41125088,0.10443965,0.24835476
-5.86193097,0.73190886,0.02703689,0.00000000,0.01353702,0.40026878,0.09699313,0.24016921
-5.85592796,0.71063597,0.02713452,0.00000000,0.01258973,0.38982151,0.09077788,0.23227547
-5.84992496,0.69001973,0.02721551,0.00000000,0.01174384,0.37983619,0.08566404,0.22467732
-5.84392196,0.67005794,0.02728202,0.00000000,0.01100026,0.37027703,0.08153821,0.21738950
-5.83791896,0.65079946,0.02733942,0.00000000,0.01035897,0.36114353,0.07830293,0.21043741
-5.83191596,0.63233845,0.02739582,0.00000000,0.00981915,0.35246674,0.07587551,0.20385599
-5.82591296,0.61480591,0.02746140,0.00000000,0.00937917,0.34430388,0.07418622,0.19768771
-5.81990995,0.59835909,0.02754770,0.00000000,0.00903661,0.33673158,0.07317611,0.19197998
-5.81390695,0.58316918,0.02766678,0.00000000,0.00878832,0.32983820,0.07279452,0.18678196
-5.80790395,0.56940812,0.02783033,0.00000000,0.00863033,0.32371541,0.07299646,0.18214101
-5.80190095,0.55723513,0.02804884,0.00000000,0.00855787,0.31844986,0.07374003,0.17809909
-5.79589795,0.54678384,0.02833080,0.00000000,0.00856535,0.31411500,0.07498394,0.17468917
-5.78989495,0.53815074,0.02868198,0.00000000,0.00864633,0.31076388,0.07668541,0.17193206
-5.78389195,0.53138570,0.02910493,0.00000000,0.00879354,0.30842316,0.07879845,0.16983378
-5.77788894,0.52648508,0.02959852,0.00000000,0.00899888,0.30708875,0.08127271,0.16838375
-5.77188594,0.52338807,0.03015786,0.00000000,0.00925354,0.30672335,0.08405296,0.16755385
-5.76588294,0.52197644,0.03077429,0.00000000,0.00954807,0.30725615,0.08707918,0.16729856
-5.75987994,0.52207783,0.03143571,0.00000000,0.00987255,0.30858461,0.09028740,0.16755616
-5.75387694,0.52347269,0.03212703,0.00000000,0.01021677,0.31057849,0.09361120,0.16825102
-5.74787394,0.52590431,0.03283094,0.00000000,0.01057051,0.31308574,0.09698379,0.16929685
-5.74187094,0.52909182,0.03352871,0.00000000,0.01092378,0.31594017,0.10034070,0.17060084
-5.73586793,0.53274529,0.03420127,0.00000000,0.01126712,0.31897038,0.10362281,0.17206843
-5.72986493,0.53658236,0.03483028,0.00000000,0.01159191,0.32200966,0.10677971,0.17360851
-5.72386193,0.54034545,0.03539927,0.00000000,0.01189072,0.32490616,0.10977313,0.17513876
-5.71785893,0.54381880,0.03589472,0.00000000,0.01215751,0.32753300,0.11258038,0.17659093
-5.71185593,0.54684429,0.03630716,0.00000000,0.01238799,0.32979761,0.11519743,0.17791556
-5.70585293,0.54933529,0.03663198,0.00000000,0.01257973,0.33164994,0.11764172,0.17908619
-5.69984992,0.55128774,0.03687023,0.00000000,0.01273235,0.33308894,0.11995421,0.18010251
-5.69384692,0.55278778,0.03702905,0.00000000,0.01284758,0.33416701,0.12220086,0.18099236
