energy_ev,total_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,0.80314399,0.00510984,0.01964570,0.32054501,0.35336469,0.00842574,0.50887157,0.12549508,0.06240395
-5.99399700,0.79582883,0.00476338,0.02122033,0.32974861,0.33692757,0.00795229,0.50759338,0.12280090,0.06436275
-5.98799400,0.79488260,0.00446267,0.02290356,0.34128729,0.32351263,0.00754896,0.51027312,0.12142087,0.06666799
-5.98199100,0.80038795,0.00421125,0.02468514,0.35515298,0.31322082,0.00721805,0.51695253,0.12140272,0.06930326
-5.97598799,0.81231655,0.00401156,0.02655344,0.37129216,0.30610257,0.00696058,0.52760245,0.12277110,0.07224646
-5.96998499,0.83052879,0.00386493,0.02849547,0.38960483,0.30215886,0.00677628,0.54212234,0.12552589,0.07547019
-5.96398199,0.85477617,0.00377159,0.03049699,0.40994454,0.30134371,0.00666363,0.56034143,0.12964103,0.07894223
-5.95797899,0.88470640,0.00373065,0.03254268,0.43211926,0.30356787,0.00661980,0.58202161,0.13506381,0.08262621
-5.95197599,0.91987081,0.00374017,0.03461626,0.45589335,0.30870361,0.00664079,0.60686178,0.14171480,0.08648235
-5.94597299,0.95973421,0.00379718,0.03670074,0.48099049,0.31659040,0.00672146,0.63450375,0.14948842,0.09046831
-5.93996998,1.00368683,0.00389778,0.03877862,0.50709775,0.32704133,0.00685566,0.66453970,0.15825419,0.09454015
-5.93396698,1.05105848,0.00403724,0.04083219,0.53387075,0.33985025,0.00703634,0.69652096,0.16785874,0.09865324
-5.92796398,1.10113464,0.00421008,0.04284377,0.56094000,0.35479922,0.00725569,0.72996821,0.17812857,0.10276337
-5.92196098,1.15317432,0.00441020,0.04479608,0.58791837,0.37166644,0.00750531,0.76438304,0.18887362,0.10682773
-5.91595798,1.20642960,0.00463102,0.04667253,0.61440970,0.39023426,0.00777637,0.79926057,0.19989156,0.11080606
-5.90995498,1.26016637,0.00486567,0.04845763,0.64001842,0.41029728,0.00805985,0.83410317,0.21097282,0.11466164
-5.90395198,1.31368593,0.00510708,0.05013735,0.66436001,0.43167019,0.00834666,0.86843474,0.22190619,0.11836240
-5.89794897,1.36634701,0.00534824,0.05169945,0.68707206,0.45419534,0.00862793,0.90181552,0.23248488,0.12188187
-5.89194597,1.41758726,0.00558233,0.05313388,0.70782563,0.47774956,0.00889516,0.93385665,0.24251291,0.12520009
-5.88594297,1.46694382,0.00580292,0.05443310,0.72633645,0.50225018,0.00914046,0.96423426,0.25181149,0.12830445
-5.87993997,1.51407178,0.00600414,0.05559232,0.74237566,0.52765980,0.00935678,0.99270231,0.26022529,0.13119025
-5.87393697,1.55875986,0.00618089,0.05660978,0.75577940,0.55398968,0.00953801,1.01910371,0.26762817,0.13386121
