energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,5.44549216,2.29072340,0.54021447,0.01744607,1.10028644,0.09052952,2.30180731,1.99414879,1.05298879
-5.99399700,5.41803335,2.34178341,0.54802310,0.01723643,1.07654495,0.09061215,2.31567718,1.96845152,1.04234502
-5.98799400,5.39729954,2.39471430,0.55620587,0.01701796,1.05569444,0.09065014,2.33026239,1.94729360,1.03369632
-5.98199100,5.38308269,2.44915078,0.56473900,0.01678843,1.03765409,0.09064997,2.34555725,1.93087556,1.02692310
-5.97598799,5.37518970,2.50463647,0.57358667,0.01654565,1.02235926,0.09061935,2.36154842,1.91939987,1.02192172
-5.96998499,5.37344063,2.56062878,0.58270159,0.01628758,1.00975989,0.09056691,2.37821407,1.91306209,1.01860578
-5.96398199,5.37766688,2.61650885,0.59202645,0.01601239,0.99981806,0.09050196,2.39552438,1.91204114,1.01690655
-5.95797899,5.38770993,2.67159602,0.60149611,0.01571860,0.99250488,0.09043415,2.41344309,1.91648925,1.01677293
-5.95197599,5.40342092,2.72516659,0.61104045,0.01540514,0.98779741,0.09037324,2.43192994,1.92652231,1.01817099
-5.94597299,5.42466112,2.77647577,0.62058775,0.01507142,0.98567574,0.09032894,2.45094363,1.94221103,1.02108329
-5.93996998,5.45130312,2.82478200,0.63006826,0.01471747,0.98612073,0.09031066,2.47044488,1.96357348,1.02550800
-5.93396698,5.48323255,2.86937219,0.63941794,0.01434391,0.98911252,0.09032742,2.49039903,1.99056933,1.03145809
-5.92796398,5.52034979,2.90958684,0.64858191,0.01395203,0.99463000,0.09038768,2.51077791,2.02309619,1.03896043
-5.92196098,5.56257121,2.94484341,0.65751757,0.01354381,1.00265132,0.09049925,2.53156041,2.06098809,1.04805504
-5.91595798,5.60982970,2.97465687,0.66619701,0.01312187,1.01315531,0.09066914,2.55273167,2.10401635,1.05879429
-5.90995498,5.66207373,2.99865631,0.67460869,0.01268946,1.02612370,0.09090349,2.57428064,2.15189276,1.07124227
-5.90395198,5.71926509,3.01659653,0.68275810,0.01225035,1.04154396,0.09120737,2.59619606,2.20427493,1.08547401
-5.89794897,5.78137483,3.02836426,0.69066751,0.01180881,1.05941238,0.09158464,2.61846109,2.26077373,1.10157474
-5.89194597,5.84837754,3.03397849,0.69837462,0.01136944,1.07973715,0.09203779,2.64104686,2.32096228,1.11963890
-5.88594297,5.92024409,3.03358499,0.70593027,0.01093711,1.10254099,0.09256774,2.66390549,2.38438639,1.13976893
-5.87993997,5.99693297,3.02744548,0.71339527,0.01051675,1.12786303,0.09317360,2.68696290,2.45057571,1.16207358
-5.87393697,6.07838057,3.01592187,0.72083655,0.01011330,1.15575943,0.09385253,2.71011233,2.51905514,1.18666570
-5.86793397,6.16449073,2.99945676,0.72832269,0.00973149,1.18630259,0.09459953,2.73320872,2.58935593,1.21365931
-5.86193097,6.25512369,2.97855100,0.73591925,0.00937578,1.21957848,0.09540730,2.75606487,2.66102573,1.24316576
-5.85592796,6.35008501,2.95373981,0.74368397,0.00905018,1.25568201,0.09626615,2.77844942,2.73363708,1.27528898
-5.84992496,6.44911439,2.92556849,0.75166207,0.00875815,1.29471028,0.09716397,2.80008719,2.80679358,1.31011948
-5.84392196,6.55187485,2.89456920,0.75988208,0.00850251,1.33675374,0.09808628,2.82066192,2.88013343,1.34772739
-5.83791896,6.65794224,2.86123969,0.76835210,0.00828539,1.38188541,0.09901635,2.83982131,2.95332986,1.38815428
-5.83191596,6.76679545,2.82602522,0.77705688,0.00810809,1.43014851,0.09993545,2.85718425,3.02608824,1.43140411
-5.82591296,6.87780751,2.78930427,0.78595579,0.00797113,1.48154290,0.10082312,2.87234991,3.09813997,1.47743337
-5.81990995,6.99023788,2.75137868,0.79498179,0.00787418,1.53601091,0.10165761,2.88490824,3.16923335,1.52614103
-5.81390695,7.10322649,2.71246843,0.80404137,0.00781608,1.59342351,0.10241633,2.89445138,3.23912204,1.57735850
