energy_ev,total_up,C_s_up,C_p_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,8.03838347,0.08296892,1.17919444,2.50416228,2.32882850,0.06039845,3.61694254,2.51602095,0.85648995
-5.99399700,7.94506212,0.08286301,1.18129158,2.45481536,2.31066065,0.05935289,3.55719628,2.49418131,0.84907538
-5.98799400,7.84055310,0.08272356,1.18216240,2.40402184,2.28959378,0.05828503,3.49130664,2.46679726,0.83968340
-5.98199100,7.72621409,0.08254574,1.18175419,2.35245475,2.26595186,0.05720320,3.42033370,2.43434940,0.82841899
-5.97598799,7.60360504,0.08232425,1.18004058,2.30079669,2.24011248,0.05611642,3.34544564,2.39742635,0.81542641
-5.96998499,7.47445153,0.08205362,1.17702328,2.24972448,2.21249927,0.05503417,3.26788754,2.35670753,0.80088504
-5.96398199,7.34060363,0.08172852,1.17273337,2.19989340,2.18357343,0.05396632,3.18894769,2.31294277,0.78500420
-5.95797899,7.20399175,0.08134402,1.16723193,2.15192169,2.15382478,0.05292288,3.10992244,2.26692963,0.76801736
-5.95197599,7.06658058,0.08089593,1.16061002,2.10637579,2.12376221,0.05191388,3.03208102,2.21948915,0.75017575
-5.94597299,6.93032257,0.08038102,1.15298772,2.06375684,2.09390372,0.05094920,2.95663155,2.17144099,0.73174165
-5.93996998,6.79711195,0.07979731,1.14451225,2.02448910,2.06476609,0.05003837,2.88468928,2.12357886,0.71298168
-5.93396698,6.66874045,0.07914420,1.13535494,1.98891042,2.03685413,0.04919046,2.81724811,2.07664701,0.69416007
-5.92796398,6.54685558,0.07842262,1.12570710,1.95726524,2.01064966,0.04841388,2.75515623,2.03131875,0.67553222
-5.92196098,6.43292217,0.07763507,1.11577479,1.92970022,1.98660020,0.04771622,2.69909650,1.98817756,0.65733862
-5.91595798,6.32818805,0.07678555,1.10577248,1.90626259,1.96510756,0.04710409,2.64957195,1.94770149,0.63979935
-5.90995498,6.23365429,0.07587950,1.09591586,1.88690108,1.94651655,0.04658291,2.60689670,1.91025118,0.62310914
-5.90395198,6.15005062,0.07492360,1.08641386,1.87146948,1.93110393,0.04615672,2.57119224,1.87606201,0.60743310
-5.89794897,6.07781644,0.07392552,1.07746038,1.85973230,1.91906816,0.04582803,2.54238901,1.84524036,0.59290335
-5.89194597,6.01708792,0.07289360,1.06922581,1.85137249,1.91052009,0.04559754,2.52023286,1.81776407,0.57961633
-5.88594297,5.96769141,0.07183654,1.06184890,1.84600059,1.90547525,0.04546404,2.50429613,1.79348701,0.56763109
-5.87993997,5.92914369,0.07076302,1.05542925,1.84316527,1.90384801,0.04542418,2.49399272,1.77214740,0.55696846
-5.87393697,5.90065917,0.06968130,1.05002093,1.84236451,1.90544824,0.04547239,2.48859663,1.75337955,0.54761111
-5.86793397,5.88116432,0.06859891,1.04562748,1.84305740,1.90998072,0.04560076,2.48726338,1.73672861,0.53950466
-5.86193097,5.86931938,0.06752230,1.04219861,1.84467600,1.91704784,0.04579903,2.48905371,1.72166760,0.53255960
-5.85592796,5.86354736,0.06645657,1.03962908,1.84663725,1.92615561,0.04605463,2.49295884,1.70761630,0.52665421
-5.84992496,5.86206998,0.06540527,1.03775959,1.84835458,1.93672334,0.04635283,2.49792689,1.69396119,0.52163834
-5.84392196,5.86295034,0.06437029,1.03638009,1.84924909,1.94809688,0.04667695,2.50288973,1.68007595,0.51733795
-5.83791896,5.86414143,0.06335177,1.03523534,1.84876041,1.95956512,0.04700866,2.50678975,1.66534166,0.51356039
-5.83191596,5.86353978,0.06234824,1.03403262,1.84635704,1.97037966,0.04732839,2.50860608,1.64916638,0.51010027
-5.82591296,5.85904301,0.06135671,1.03245139,1.84154619,1.97977684,0.04761581,2.50737972,1.63100320,0.50674576
-5.81990995,5.84860991,0.06037296,1.03015463,1.83388319,1.98700177,0.04785039,2.50223706,1.61036657,0.50328515
-5.81390695,5.83032136,0.05939181,1.02680136,1.82298046,1.99133324,0.04801198,2.49241143,1.58684631,0.49951351
-5.80790395,5.80244045,0.05840756,1.02205992,1.80851591,1.99210890,0.04808143,2.47726208,1.56011902,0.49523925
-5.80190095,5.76346970,0.05741445,1.01562151,1.79024071,1.98874952,0.04804127,2.45629040,1.52995661,0.49029031
-5.79589795,5.71220345,0.05640705,1.00721342,1.76798639,1.98078153,0.04787628,2.42915270,1.49623188,0.48451987
-5.78989495,5.64777357,0.05538082,0.99661136,1.74167094,1.96785671,0.04757407,2.39566951,1.45892100,0.47781132
-5.78389195,5.56968645,0.05433254,0.98365040,1.71130370,1.94976829,0.04712558,2.35583084,1.41810297,0.47008232
-5.77788894,5.47784982,0.05326072,0.96823410,1.67698888,1.92646265,0.04652549,2.30979741,1.37395624,0.46128780
-5.77188594,5.37258795,0.05216596,0.95034123,1.63892723,1.89804598,0.04577250,2.25789759,1.32675257,0.45142186
-5.76588294,5.25464436,0.05105123,0.93003006,1.59741578,1.86478553,0.04486946,2.20062011,1.27684855,0.44051837
-5.75987994,5.12517154,0.04992204,0.90743972,1.55284521,1.82710533,0.04382346,2.13860253,1.22467495,0.42865035
-5.75387694,4.98570756,0.04878646,0.88278876,1.50569494,1.78557632,0.04264563,2.07261590,1.17072443,0.41592805
-5.74787394,4.83814029,0.04765510,0.85637084,1.45652551,1.74090124,0.04135094,2.00354578,1.11553797,0.40249589
-5.74187094,4.68466008,0.04654089,0.82854777,1.40596864,1.69389484,0.03995781,1.93237011,1.05969035,0.38852830
-5.73586793,4.52770250,0.04545880,0.79974021,1.35471480,1.64546008,0.03848757,1.86013475,1.00377533,0.37422461
-5.72986493,4.36988315,0.04442542,0.77041626,1.30349879,1.59656129,0.03696392,1.78792705,0.94839076,0.35980315
-5.72386193,4.21392661,0.04345847,0.74107866,1.25308355,1.54819523,0.03541222,1.71684859,0.89412412,0.34549485
-5.71785893,4.06259241,0.04257626,0.71225088,1.20424282,1.50136133,0.03385878,1.64798757,0.84153892,0.33153639
-5.71185593,3.91860037,0.04179705,0.68446286,1.15774315,1.45703217,0.03233015,1.58239201,0.79116224,0.31816332
-5.70585293,3.78455816,0.04113850,0.65823678,1.11432592,1.41612530,0.03085236,1.52104435,0.74347370,0.30560322
-5.69984992,3.66289375,0.04061704,0.63407356,1.07469007,1.37947769,0.02945022,1.46483838,0.69889616,0.29406921
-5.69384692,3.55579478,0.04024733,0.61244051,1.03947610,1.34782339,0.02814669,1.41455914,0.65778828,0.28375398
-5.68784392,3.46515727,0.04004180,0.59376052,1.00925203,1.32177559,0.02696228,1.37086640,0.62043905,0.27482452
-5.68184092,3.39254490,0.04001025,0.57840317,0.98450173,1.30181334,0.02591459,1.33428217,0.58706441,0.26741778
-5.67583792,3.33916025,0.04015959,0.56667797,0.96561608,1.28827345,0.02501795,1.30518258,0.55780584,0.26163721
-5.66983492,3.30582833,0.04049369,0.55882980,0.95288726,1.28134764,0.02428310,1.28379425,0.53273088,0.25755054
-5.66383192,3.29299267,0.04101335,0.55503663,0.94650611,1.28108482,0.02371712,1.27019511,0.51183554,0.25518860
-5.65782891,3.30072325,0.04171640,0.55540935,0.94656272,1.28739822,0.02332336,1.26431957,0.49504824,0.25454533
-5.65182591,3.32873549,0.04259793,0.55999350,0.95304986,1.30007674,0.02310152,1.26596755,0.48223521,0.25557901
-5.64582291,3.37641871,0.04365055,0.56877268,0.96586910,1.31879987,0.02304790,1.27481710,0.47320703,0.25821449
-5.63981991,3.44287235,0.04486484,0.58167325,0.98483891,1.34315533,0.02315564,1.29043983,0.46772604,0.26234650
-5.63381691,3.52694802,0.04622974,0.59856997,1.00970451,1.37265848,0.02341511,1.31231850,0.46551436,0.26784379
-5.62781391,3.62729508,0.04773298,0.61929213,1.04014857,1.40677250,0.02381435,1.33986616,0.46626220,0.27455401
-5.62181091,3.74240754,0.04936161,0.64362992,1.07580237,1.44492856,0.02433958,1.37244587,0.46963629,0.28230915
-5.61580790,3.87067038,0.05110231,0.67134055,1.11625669,1.48654478,0.02497567,1.40939043,0.47528803,0.29093127
-5.60980490,4.01040312,0.05294181,0.70215396,1.16107197,1.53104347,0.02570667,1.45002113,0.48286133,0.30023840
-5.60380190,4.15989905,0.05486708,0.73577776,1.20978726,1.57786592,0.02651639,1.49366523,0.49199977,0.31005038
-5.59779890,4.31745903,0.05686555,0.77190147,1.26192768,1.62648414,0.02738879,1.53967125,0.50235315,0.32019429
-5.59179590,4.48141867,0.05892515,0.81019978,1.31701007,1.67640944,0.02830853,1.58742178,0.51358311,0.33050955
-5.58579290,4.65016875,0.06103423,0.85033504,1.37454699,1.72719768,0.02926131,1.63634361,0.52536797,0.34085220
-5.57978989,4.82216871,0.06318144,0.89195902,1.43404895,1.77845128,0.03023420,1.68591482,0.53740656,0.35109844
-5.57378689,4.99595380,0.06535552,0.93471413,1.49502522,1.82981829,0.03121593,1.73566886,0.54942132,0.36114727
-5.56778389,5.17013664,0.06754495,0.97823437,1.55698355,1.88098896,0.03219706,1.78519595,0.56116044,0.37092207
-5.56178089,5.34340426,0.06973772,1.02214624,1.61942918,1.93169043,0.03317006,1.83414170,0.57239931,0.38037122
-5.55577789,5.51451218,0.07192092,1.06606987,1.68186370,1.98167997,0.03412936,1.88220370,0.58294130,0.38946773
