energy_ev,total_up,N_s_up,N_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up,Zr_p_up,Zr_d_up
5.14157079,0.83244416,0.00860614,0.10448781,0.13051194,0.08880784,0.39885856,0.09793052,0.35518593,0.40706170
5.14757379,0.85627200,0.00940637,0.10515445,0.13530101,0.08879616,0.40111303,0.10033745,0.36592702,0.42333609
5.15357679,0.87815017,0.01021233,0.10536240,0.13976602,0.08843976,0.40171659,0.10255787,0.37588506,0.43904082
5.15957979,0.89785319,0.01101417,0.10511827,0.14386718,0.08774072,0.40074773,0.10455800,0.38500178,0.45398150
5.16558279,0.91518083,0.01180190,0.10443512,0.14756566,0.08670845,0.39831177,0.10630731,0.39322706,0.46797191
5.17158579,0.92995991,0.01256580,0.10333183,0.15082430,0.08535879,0.39453713,0.10777836,0.40051909,0.48083763
5.17758879,0.94204729,0.01329688,0.10183236,0.15360847,0.08371311,0.38957135,0.10894688,0.40684502,0.49242051
5.18359180,0.95133397,0.01398736,0.09996512,0.15588699,0.08179738,0.38357717,0.10979193,0.41218200,0.50258388
5.18959480,0.95775019,0.01463114,0.09776240,0.15763331,0.07964133,0.37672871,0.11029625,0.41651866,0.51121840
5.19559780,0.96127124,0.01522429,0.09525984,0.15882660,0.07727771,0.36920788,0.11044679,0.41985688,0.51824812
5.20160080,0.96192358,0.01576548,0.09249608,0.15945292,0.07474161,0.36120110,0.11023525,0.42221372,0.52363663
5.20760380,0.95979088,0.01625643,0.08951241,0.15950620,0.07206991,0.35289630,0.10965879,0.42362327,0.52739274
5.21360680,0.95501930,0.01670219,0.08635260,0.15898907,0.06930090,0.34448018,0.10872066,0.42413825,0.52957539
5.21960980,0.94782146,0.01711139,0.08306267,0.15791343,0.06647385,0.33613569,0.10743083,0.42383106,0.53029734
5.22561281,0.93847866,0.01749639,0.07969076,0.15630063,0.06362875,0.32803965,0.10580641,0.42279422,0.52972732
5.23161581,0.92734071,0.01787326,0.07628687,0.15418131,0.06080604,0.32036036,0.10387199,0.42113974,0.52809024
5.23761881,0.91482306,0.01826164,0.07290268,0.15159480,0.05804632,0.31325530,0.10165959,0.41899768,0.52566523
5.24362181,0.90140097,0.01868450,0.06959110,0.14858808,0.05539009,0.30686870,0.09920848,0.41651345,0.52278140
5.24962481,0.88760062,0.01916769,0.06640580,0.14521445,0.05287733,0.30132903,0.09656461,0.41384410,0.51981120
5.25562781,0.87398723,0.01973935,0.06340057,0.14153174,0.05054709,0.29674645,0.09377973,0.41115368,0.51716146
