energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up,V_p_up,V_d_up
-6.00000000,2.94251762,0.00774060,0.35539933,0.01069799,1.54355651,0.76755398,0.15565370,1.58062876,0.64853616
-5.99399700,3.00737412,0.00815753,0.36470578,0.01118038,1.57671152,0.78039250,0.16104395,1.61175850,0.66416125
-5.98799400,3.06816745,0.00862467,0.37519168,0.01171428,1.60586351,0.79065378,0.16620405,1.63907647,0.67989311
-5.98199100,3.12433792,0.00913755,0.38681073,0.01229874,1.63069016,0.79819638,0.17108199,1.66227144,0.69562486
-5.97598799,3.17543229,0.00969129,0.39948439,0.01293277,1.65097676,0.80294533,0.17563299,1.68110457,0.71124313
-5.96998499,3.22110609,0.01028054,0.41310245,0.01361515,1.66661757,0.80489223,0.17982022,1.69541529,0.72662747
-5.96398199,3.26112195,0.01089955,0.42752456,0.01434427,1.67761325,0.80409313,0.18361516,1.70512458,0.74164997
-5.95797899,3.29534457,0.01154217,0.44258311,0.01511796,1.68406468,0.80066417,0.18699776,1.71023594,0.75617534
-5.95197599,3.32373322,0.01220190,0.45808730,0.01593325,1.68616353,0.79477551,0.18995626,1.71083404,0.77006162
-5.94597299,3.34633239,0.01287189,0.47382852,0.01678625,1.68418023,0.78664358,0.19248680,1.70708148,0.78316174
-5.93996998,3.36326172,0.01354503,0.48958698,0.01767188,1.67844985,0.77652227,0.19459273,1.69921384,0.79532595
-5.93396698,3.37470589,0.01421391,0.50513935,0.01858385,1.66935667,0.76469329,0.19628383,1.68753356,0.80640530
-5.92796398,3.38090531,0.01487096,0.52026735,0.01951450,1.65731827,0.75145618,0.19757531,1.67240291,0.81625605
-5.92196098,3.38214810,0.01550847,0.53476683,0.02045482,1.64276959,0.73711842,0.19848678,1.65423644,0.82474488
-5.91595798,3.37876370,0.01611866,0.54845705,0.02139449,1.62614793,0.72198598,0.19904113,1.63349316,0.83175475
-5.90995498,3.37111816,0.01669380,0.56118968,0.02232196,1.60787922,0.70635455,0.19926345,1.61066860,0.83719108
-5.90395198,3.35961099,0.01722626,0.57285701,0.02322471,1.58836616,0.69050191,0.19918002,1.58628692,0.84098784
-5.89794897,3.34467299,0.01770867,0.58339879,0.02408942,1.56797842,0.67468147,0.19881733,1.56089287,0.84311316
-5.89194597,3.32676460,0.01813398,0.59280739,0.02490235,1.54704516,0.65911726,0.19820127,1.53504361,0.84357402
-5.88594297,3.30637385,0.01849562,0.60113052,0.02564964,1.52584991,0.64400019,0.19735643,1.50930027,0.84241952
-5.87993997,3.28401320,0.01878760,0.60847144,0.02631778,1.50462762,0.62948587,0.19630558,1.48421884,0.83974245
-5.87393697,3.26021437,0.01900467,0.61498619,0.02689391,1.48356371,0.61569357,0.19506918,1.46034038,0.83567871
-5.86793397,3.23552059,0.01914239,0.62087786,0.02736633,1.46279479,0.60270647,0.19366518,1.43818032,0.83040450
-5.86193097,3.21047576,0.01919730,0.62638786,0.02772482,1.44241077,0.59057283,0.19210880,1.41821688,0.82413109
-5.85592796,3.18561028,0.01916697,0.63178451,0.02796097,1.42245785,0.57930795,0.19041244,1.40087856,0.81709735
-5.84992496,3.16142384,0.01905015,0.63734939,0.02806851,1.40294211,0.56889677,0.18858567,1.38653104,0.80956021
-5.84392196,3.13836545,0.01884676,0.64336192,0.02804348,1.38383343,0.55929684,0.18663528,1.37546383,0.80178350
-5.83791896,3.11681181,0.01855800,0.65008302,0.02788440,1.36506931,0.55044150,0.18456531,1.36787715,0.79402555
-5.83191596,3.09704489,0.01818631,0.65773863,0.02759226,1.34655862,0.54224326,0.18237716,1.36386984,0.78652639
-5.82591296,3.07923035,0.01773539,0.66650398,0.02717056,1.32818512,0.53459711,0.18006967,1.36342885,0.77949507
-5.81990995,3.06339825,0.01721010,0.67648956,0.02662510,1.30981072,0.52738384,0.17763926,1.36642131,0.77309786
-5.81390695,3.04942752,0.01661645,0.68772960,0.02596385,1.29127870,0.52047324,0.17508010,1.37258985,0.76744818
-5.80790395,3.03703595,0.01596140,0.70017379,0.02519665,1.27241689,0.51372739,0.17238427,1.38155189,0.76259870
-5.80190095,3.02577683,0.01525278,0.71368296,0.02433490,1.25304112,0.50700376,0.16954210,1.39280354,0.75853635
-5.79589795,3.01504324,0.01449910,0.72802904,0.02339119,1.23295905,0.50015849,0.16654244,1.40572834,0.75518049
-5.78989495,3.00408066,0.01370934,0.74289946,0.02237893,1.21197458,0.49304960,0.16337315,1.41961115,0.75238457
-5.78389195,2.99200792,0.01289281,0.75790607,0.02131200,1.18989294,0.48554040,0.16002164,1.43365686,0.74994129
-5.77788894,2.97784619,0.01205889,0.77259813,0.02020434,1.16652644,0.47750285,0.15647549,1.44701361,0.74759100
-5.77188594,2.96055487,0.01121685,0.78647889,0.01906961,1.14170092,0.46882109,0.15272321,1.45879973,0.74503313
-5.76588294,2.93907316,0.01037563,0.79902512,0.01792091,1.11526269,0.45939482,0.14875501,1.46813338,0.74194005
-5.75987994,2.91236542,0.00954373,0.80970845,0.01677052,1.08708568,0.44914266,0.14456368,1.47416378,0.73797260
-5.75387694,2.87946803,0.00872894,0.81801773,0.01562967,1.05707866,0.43800521,0.14014539,1.47610258,0.73279668
-5.74787394,2.83953569,0.00793832,0.82348114,0.01450840,1.02519190,0.42594774,0.13550054,1.47325407,0.72609988
-5.74187094,2.79188448,0.00717802,0.82568709,0.01341545,0.99142309,0.41296239,0.13063440,1.46504263,0.71760745
-5.73586793,2.73602969,0.00645324,0.82430276,0.01235827,0.95582209,0.39906960,0.12555776,1.45103634,0.70709669
-5.72986493,2.67171624,0.00576815,0.81908957,0.01134293,0.91849404,0.38431889,0.12028726,1.43096531,0.69440912
-5.72386193,2.59894000,0.00512596,0.80991461,0.01037426,0.87960065,0.36878862,0.11484560,1.40473411,0.67945972
-5.71785893,2.51795901,0.00452885,0.79675768,0.00945585,0.83935940,0.35258489,0.10926145,1.37242748,0.66224298
-5.71185593,2.42929374,0.00397807,0.77971362,0.00859021,0.79804058,0.33583942,0.10356917,1.33430910,0.64283529
-5.70585293,2.33371644,0.00347400,0.75898987,0.00777885,0.75596220,0.31870651,0.09780820,1.29081347,0.62139374
-5.69984992,2.23222999,0.00301621,0.73489936,0.00702240,0.71348273,0.30135917,0.09202229,1.24253130,0.59815138
-5.69384692,2.12603726,0.00260360,0.70784933,0.00632078,0.67099224,0.28398451,0.08625845,1.19018913,0.57340925
-5.68784392,2.01650243,0.00223449,0.67832655,0.00567330,0.62890189,0.26677853,0.08056579,1.13462400,0.54752555
-5.68184092,1.90510611,0.00190671,0.64687966,0.00507875,0.58763245,0.24994053,0.07499421,1.07675452,0.52090257
