energy_ev,total_up,Ca_p_up,Ca_d_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
2.23011506,2.33721497,0.00183686,0.00000000,0.28281253,1.19983479,0.01948220,0.45419710,0.24074084,0.00000000
2.23611806,2.47814311,0.00199741,0.00000000,0.29702624,1.27062331,0.02032701,0.47532994,0.25703841,0.00000000
2.24212106,2.61781846,0.00217147,0.00000000,0.31148541,1.33915965,0.02109542,0.49499564,0.27330645,0.00000000
2.24812406,2.75449011,0.00235848,0.00000000,0.32595473,1.40440249,0.02177625,0.51292669,0.28934778,0.00000000
2.25412706,2.88649006,0.00255787,0.00000000,0.34021537,1.46536051,0.02236098,0.52888572,0.30496567,0.00000000
2.26013007,3.01226105,0.00276907,0.00000000,0.35406730,1.52111424,0.02284406,0.54267034,0.31996733,0.00000000
2.26613307,3.13038156,0.00299152,0.00000000,0.36733144,1.57083643,0.02322311,0.55411699,0.33416749,0.00000000
2.27213607,3.23958712,0.00322458,0.00000000,0.37985145,1.61381035,0.02349907,0.56310360,0.34739185,0.00000000
2.27813907,3.33878717,0.00346754,0.00000000,0.39149527,1.64944525,0.02367614,0.56955093,0.35948037,0.00000000
2.28414207,3.42707721,0.00371959,0.00000000,0.40215637,1.67728837,0.02376167,0.57342272,0.37029022,0.00000000
2.29014507,3.50374574,0.00397978,0.00000000,0.41175445,1.69703308,0.02376592,0.57472453,0.37969833,0.00000000
2.29614807,3.56827617,0.00424697,0.00000000,0.42023592,1.70852291,0.02370172,0.57350152,0.38760340,0.00000000
2.30215108,3.62034395,0.00451983,0.00000000,0.42757383,1.71175133,0.02358403,0.56983524,0.39392738,0.00000000
2.30815408,3.65980934,0.00479682,0.00000000,0.43376734,1.70685738,0.02342946,0.56383967,0.39861633,0.00000000
2.31415708,3.68670648,0.00507615,0.00000000,0.43884078,1.69411754,0.02325569,0.55565671,0.40164073,0.00000000
2.32016008,3.70122973,0.00535580,0.00000000,0.44284227,1.67393416,0.02308095,0.54545139,0.40299516,0.00000000
2.32616308,3.70371795,0.00563350,0.00000000,0.44584185,1.64682109,0.02292337,0.53340704,0.40269750,0.00000000
2.33216608,3.69463774,0.00590682,0.00000000,0.44792930,1.61338725,0.02280051,0.51972057,0.40078767,0.00000000
2.33816908,3.67456643,0.00617310,0.00000000,0.44921156,1.57431865,0.02272875,0.50459810,0.39732593,0.00000000
2.34417209,3.64417546,0.00642960,0.00000000,0.44980979,1.53035986,0.02272284,0.48825110,0.39239100,0.00000000
2.35017509,3.60421478,0.00667347,0.00000000,0.44985625,1.48229536,0.02279551,0.47089303,0.38607786,0.00000000
2.35617809,3.55549851,0.00690190,0.00000000,0.44949091,1.43093152,0.02295707,0.45273665,0.37849547,0.00000000
2.36218109,3.49889213,0.00711212,0.00000000,0.44885791,1.37707976,0.02321518,0.43399189,0.36976446,0.00000000
2.36818409,3.43530110,0.00730152,0.00000000,0.44810190,1.32154121,0.02357465,0.41486428,0.36001471,0.00000000
2.37418709,3.36566079,0.00746769,0.00000000,0.44736446,1.26509319,0.02403729,0.39555385,0.34938318,0.00000000
2.38019010,3.29092738,0.00760854,0.00000000,0.44678041,1.20847775,0.02460192,0.37625438,0.33801163,0.00000000
2.38619310,3.21206953,0.00772232,0.00000000,0.44647442,1.15239217,0.02526440,0.35715286,0.32604457,0.00000000
2.39219610,3.13006029,0.00780768,0.00000000,0.44655780,1.09748162,0.02601772,0.33842910,0.31362736,0.00000000
2.39819910,3.04586920,0.00786372,0.00000000,0.44712558,1.04433354,0.02685220,0.32025532,0.30090441,0.00000000
2.40420210,2.96045406,0.00788999,0.00000000,0.44825418,0.99347396,0.02775573,0.30279558,0.28801762,0.00000000
2.41020510,2.87475261,0.00788652,0.00000000,0.44999954,0.94536514,0.02871407,0.28620517,0.27510492,0.00000000
2.41620810,2.78967380,0.00785381,0.00000000,0.45239603,0.90040467,0.02971120,0.27062964,0.26229908,0.00000000
2.42221111,2.70608906,0.00779279,0.00000000,0.45545607,0.85892554,0.03072972,0.25620372,0.24972671,0.00000000
2.42821411,2.62482359,0.00770480,0.00000000,0.45917063,0.82119711,0.03175127,0.24304993,0.23750743,0.00000000
2.43421711,2.54664812,0.00759155,0.00000000,0.46351074,0.78742684,0.03275702,0.23127716,0.22575337,0.00000000
2.44022011,2.47227149,0.00745504,0.00000000,0.46842979,0.75776244,0.03372812,0.22097901,0.21456878,0.00000000
2.44622311,2.40233427,0.00729755,0.00000000,0.47386690,0.73229450,0.03464616,0.21223219,0.20404993,0.00000000
2.45222611,2.33740396,0.00712156,0.00000000,0.47975099,0.71105952,0.03549367,0.20509504,0.19428528,0.00000000
2.45822911,2.27797183,0.00692971,0.00000000,0.48600575,0.69404311,0.03625453,0.19960615,0.18535572,0.00000000
2.46423212,2.22445172,0.00672473,0.00000000,0.49255497,0.68118349,0.03691435,0.19578325,0.17733506,0.00000000
2.47023512,2.17718068,0.00650945,0.00000000,0.49932840,0.67237521,0.03746083,0.19362250,0.17029060,0.00000000
2.47623812,2.13642156,0.00628670,0.00000000,0.50626758,0.66747313,0.03788399,0.19309817,0.16428376,0.00000000
2.48224112,2.10236726,0.00605934,0.00000000,0.51333146,0.66629656,0.03817637,0.19416276,0.15937070,0.00000000
2.48824412,2.07514626,0.00583022,0.00000000,0.52050157,0.66863362,0.03833312,0.19674768,0.15560283,0.00000000
2.49424712,2.05482926,0.00560217,0.00000000,0.52778634,0.67424590,0.03835203,0.20076436,0.15302725,0.00000000
2.50025013,2.04143623,0.00537796,0.00000000,0.53522419,0.68287316,0.03823341,0.20610594,0.15168685,0.00000000
2.50625313,2.03494360,0.00516035,0.00000000,0.54288540,0.69423831,0.03797997,0.21264930,0.15162028,0.00000000
