energy_ev,total_up,Ag_p_up,Ag_d_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,5.34280783,1.37220908,2.49841092,0.92926619,0.69979836,0.00183359,0.58118309,0.01041274,1.38214409
-5.99399700,5.36299074,1.39243240,2.51558705,0.92900521,0.69512635,0.00186243,0.58818249,0.01020220,1.37548447
-5.98799400,5.38078264,1.41270314,2.53185370,0.92848994,0.68954936,0.00189894,0.59496073,0.01003276,1.36804714
-5.98199100,5.39575753,1.43276703,2.54695607,0.92761778,0.68310953,0.00194278,0.60143059,0.00990849,1.35979726
-5.97598799,5.40745944,1.45234182,2.56060436,0.92629971,0.67586914,0.00199369,0.60748975,0.00983218,1.35072142
-5.96998499,5.41544018,1.47113287,2.57249418,0.92446924,0.66791094,0.00205146,0.61302583,0.00980525,1.34083578
-5.96398199,5.41929718,1.48884954,2.58232751,0.92209055,0.65933760,0.00211593,0.61792187,0.00982779,1.33019288
-5.95797899,5.41870885,1.50522162,2.58983344,0.91916516,0.65027038,0.00218699,0.62206206,0.00989859,1.31888682
-5.95197599,5.41346572,1.52001495,2.59478724,0.91573675,0.64084682,0.00226458,0.62533725,0.01001521,1.30705612
-5.94597299,5.40349562,1.53304548,2.59702708,0.91189370,0.63121762,0.00234867,0.62765028,0.01017408,1.29488425
-5.93996998,5.38888150,1.54419092,2.59646752,0.90776926,0.62154282,0.00243926,0.62892067,0.01037060,1.28259748
-5.93396698,5.36987113,1.55339953,2.59310911,0.90353908,0.61198731,0.00253634,0.62908850,0.01059931,1.27046006
-5.92796398,5.34687821,1.56069552,2.58704390,0.89941632,0.60271591,0.00263990,0.62811751,0.01085404,1.25876701
-5.92196098,5.32047479,1.56618076,2.57845644,0.89564445,0.59388832,0.00274987,0.62599708,0.01112807,1.24783468
-5.91595798,5.29137556,1.57003252,2.56762042,0.89248800,0.58565392,0.00286614,0.62274320,0.01141436,1.23798949
-5.90995498,5.26041463,1.57249753,2.55489120,0.89022183,0.57814687,0.00298848,0.61839834,0.01170569,1.22955543
-5.90395198,5.22851585,1.57388221,2.54069432,0.88911917,0.57148161,0.00311654,0.61303024,0.01199488,1.22284083
-5.89794897,5.19665804,1.57453958,2.52551079,0.88943922,0.56574896,0.00324983,0.60672976,0.01227501,1.21812489
-5.89194597,5.16583651,1.57485340,2.50985957,0.89141465,0.56101300,0.00338770,0.59960773,0.01253954,1.21564483
-5.88594297,5.13702240,1.57521994,2.49427790,0.89523969,0.55730885,0.00352929,0.59179110,0.01278256,1.21558390
-5.87993997,5.11112157,1.57602829,2.47930042,0.90105924,0.55464144,0.00367355,0.58341845,0.01299884,1.21806105
-5.87393697,5.08893462,1.57764005,2.46543771,0.90895959,0.55298528,0.00381926,0.57463501,0.01318403,1.22312254
-5.86793397,5.07111957,1.58036916,2.45315514,0.91896102,0.55228523,0.00396495,0.56558746,0.01333471,1.23073587
-5.86193097,5.05815885,1.58446296,2.44285291,0.93101274,0.55245828,0.00410901,0.55641869,0.01344842,1.24078647
-5.85592796,5.05033185,1.59008528,2.43484806,0.94499031,0.55339616,0.00424966,0.54726262,0.01352369,1.25307704
-5.84992496,5.04769440,1.59730252,2.42935920,0.96069569,0.55496872,0.00438499,0.53823950,0.01356004,1.26732983
-5.84392196,5.05006612,1.60607353,2.42649471,0.97786005,0.55702793,0.00451300,0.52945167,0.01355785,1.28319168
-5.83791896,5.05702644,1.61624378,2.42624503,0.99614914,0.55941232,0.00463167,0.52098014,0.01351833,1.30024182
-5.83191596,5.06791990,1.62754461,2.42847942,1.01517121,0.56195179,0.00473895,0.51288204,0.01344335,1.31800205
-5.82591296,5.08187077,1.63959748,2.43294767,1.03448708,0.56447247,0.00483288,0.50518915,0.01333531,1.33594907
