energy_ev,total_up,B_p_up,B_d_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-6.00000000,2.35777263,0.19370994,0.00000000,1.16902991,1.74528106,0.40448944,0.00000000
-5.99399700,2.37417568,0.19723957,0.00000000,1.18602415,1.76221731,0.39994353,0.00000000
-5.98799400,2.39402981,0.20109722,0.00000000,1.20424840,1.78149328,0.39629186,0.00000000
-5.98199100,2.41680237,0.20525987,0.00000000,1.22343902,1.80263258,0.39351957,0.00000000
-5.97598799,2.44188949,0.20970258,0.00000000,1.24335659,1.82510007,0.39159204,0.00000000
-5.96998499,2.46863682,0.21439950,0.00000000,1.26379426,1.84831956,0.39045720,0.00000000
-5.96398199,2.49636181,0.21932492,0.00000000,1.28458444,1.87169313,0.39004826,0.00000000
-5.95797899,2.52437654,0.22445417,0.00000000,1.30560373,1.89462109,0.39028667,0.00000000
-5.95197599,2.55201022,0.22976441,0.00000000,1.32677560,1.91652200,0.39108525,0.00000000
-5.94597299,2.57863046,0.23523528,0.00000000,1.34807080,1.93685179,0.39235123,0.00000000
-5.93996998,2.60366251,0.24084937,0.00000000,1.36950549,1.95512143,0.39398922,0.00000000
-5.93396698,2.62660593,0.24659247,0.00000000,1.39113712,1.97091237,0.39590397,0.00000000
-5.92796398,2.64704807,0.25245371,0.00000000,1.41305839,1.98388924,0.39800281,0.00000000
-5.92196098,2.66467392,0.25842546,0.00000000,1.43538950,1.99380947,0.40019780,0.00000000
-5.91595798,2.67927222,0.26450306,0.00000000,1.45826914,2.00052929,0.40240749,0.00000000
-5.90995498,2.69073754,0.27068441,0.00000000,1.48184461,2.00400610,0.40455836,0.00000000
-5.90395198,2.69906847,0.27696936,0.00000000,1.50626146,2.00429713,0.40658577,0.00000000
-5.89794897,2.70436191,0.28335893,0.00000000,1.53165316,2.00155436,0.40843473,0.00000000
-5.89194597,2.70680379,0.28985437,0.00000000,1.55813098,1.99601590,0.41006011,0.00000000
-5.88594297,2.70665652,0.29645606,0.00000000,1.58577470,1.98799435,0.41142663,0.00000000
-5.87993997,2.70424362,0.30316228,0.00000000,1.61462401,1.97786223,0.41250851,0.00000000
-5.87393697,2.69993206,0.30996783,0.00000000,1.64467127,1.96603535,0.41328872,0.00000000
-5.86793397,2.69411291,0.31686255,0.00000000,1.67585534,1.95295443,0.41375810,0.00000000
-5.86193097,2.68718105,0.32382982,0.00000000,1.70805695,1.93906598,0.41391402,0.00000000
-5.85592796,2.67951458,0.33084510,0.00000000,1.74109550,1.92480288,0.41375903,0.00000000
-5.84992496,2.67145485,0.33787447,0.00000000,1.77472736,1.91056560,0.41329917,0.00000000
-5.84392196,2.66328779,0.34487346,0.00000000,1.80864590,1.89670475,0.41254226,0.00000000
-5.83791896,2.65522748,0.35178614,0.00000000,1.84248312,1.88350573,0.41149612,0.00000000
-5.83191596,2.64740254,0.35854449,0.00000000,1.87581307,1.87117606,0.41016684,0.00000000
-5.82591296,2.63984616,0.36506841,0.00000000,1.90815710,1.85983600,0.40855717,0.00000000
-5.81990995,2.63249022,0.37126609,0.00000000,1.93899093,1.84951287,0.40666512,0.00000000
-5.81390695,2.62516395,0.37703516,0.00000000,1.96775369,1.84013939,0.40448292,0.00000000
-5.80790395,2.61759737,0.38226435,0.00000000,1.99385878,1.83155610,0.40199632,0.00000000
-5.80190095,2.60942952,0.38683584,0.00000000,2.01670650,1.82351789,0.39918442,0.00000000
-5.79589795,2.60022123,0.39062814,0.00000000,2.03569829,1.81570433,0.39601995,0.00000000
-5.78989495,2.58947213,0.39351957,0.00000000,2.05025240,1.80773341,0.39247013,0.00000000
-5.78389195,2.57664126,0.39539203,0.00000000,2.05982038,1.79917827,0.38849804,0.00000000
-5.77788894,2.56117041,0.39613506,0.00000000,2.06390425,1.78958601,0.38406454,0.00000000
-5.77188594,2.54250932,0.39564997,0.00000000,2.06207358,1.77849799,0.37913052,0.00000000
-5.76588294,2.52014174,0.39385382,0.00000000,2.05398189,1.76547074,0.37365956,0.00000000
-5.75987994,2.49361105,0.39068314,0.00000000,2.03938187,1.75009651,0.36762072,0.00000000
-5.75387694,2.46254457,0.38609709,0.00000000,2.01813852,1.73202280,0.36099144,0.00000000
-5.74787394,2.42667522,0.38008004,0.00000000,1.99023970,1.71096982,0.35376029,0.00000000
-5.74187094,2.38585976,0.37264326,0.00000000,1.95580351,1.68674541,0.34592947,0.00000000
-5.73586793,2.34009265,0.36382583,0.00000000,1.91508188,1.65925665,0.33751687,0.00000000
-5.72986493,2.28951485,0.35369448,0.00000000,1.86846019,1.62851772,0.32855761,0.00000000
-5.72386193,2.23441721,0.34234255,0.00000000,1.81645245,1.59465373,0.31910484,0.00000000
-5.71785893,2.17523811,0.32988801,0.00000000,1.75969227,1.55790038,0.30922984,0.00000000
-5.71185593,2.11255532,0.31647056,0.00000000,1.69891955,1.51859928,0.29902126,0.00000000
-5.70585293,2.04707252,0.30224814,0.00000000,1.63496334,1.47718941,0.28858357,0.00000000
-5.69984992,1.97960069,0.28739270,0.00000000,1.56872126,1.43419465,0.27803470,0.00000000
-5.69384692,1.91103520,0.27208570,0.00000000,1.50113628,1.39020821,0.26750301,0.00000000
-5.68784392,1.84232942,0.25651332,0.00000000,1.43317149,1.34587429,0.25712360,0.00000000
