energy_ev,total_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
0.89144572,3.20486358,0.08370553,0.41015761,0.76081385,0.50485867,0.06703910,0.26761954,1.28324778,1.73498168
0.89744872,3.16358520,0.08191073,0.39729377,0.74143997,0.49273762,0.06679300,0.26665741,1.29720809,1.71748385
0.90345173,3.11344522,0.07992333,0.38302853,0.71967866,0.47922428,0.06634478,0.26490059,1.30572223,1.69621063
0.90945473,3.05499688,0.07773705,0.36758223,0.69576371,0.46445700,0.06569031,0.26235780,1.30872189,1.67141065
0.91545773,2.98893869,0.07535393,0.35118745,0.66997099,0.44859646,0.06483060,0.25905729,1.30626116,1.64338171
0.92146073,2.91609570,0.07278496,0.33408254,0.64261143,0.43182243,0.06377193,0.25504612,1.29851256,1.61246155
0.92746373,2.83739803,0.07005016,0.31650530,0.61402333,0.41433001,0.06252568,0.25038893,1.28575924,1.57901858
0.93346673,2.75385757,0.06717838,0.29868709,0.58456404,0.39632562,0.06110801,0.24516601,1.26838360,1.54344284
0.93946973,2.66654390,0.06420662,0.28084761,0.55460143,0.37802278,0.05953935,0.23947099,1.24685295,1.50613759
0.94547274,2.57656011,0.06117912,0.26319045,0.52450543,0.35963790,0.05784386,0.23340811,1.22170284,1.46751171
0.95147574,2.48501949,0.05814604,0.24589955,0.49463988,0.34138618,0.05604862,0.22708922,1.19351890,1.42797321
0.95747874,2.39302380,0.05516204,0.22913663,0.46535510,0.32347778,0.05418295,0.22063070,1.16291784,1.38792370
0.96348174,2.30164344,0.05228458,0.21303965,0.43698114,0.30611431,0.05227758,0.21415033,1.13052847,1.34775394
0.96948474,2.21190006,0.04957220,0.19772219,0.40982209,0.28948568,0.05036387,0.20776431,1.09697351,1.30784026
0.97548774,2.12475171,0.04708275,0.18327375,0.38415142,0.27376749,0.04847308,0.20158449,1.06285269,1.26854165
0.98149075,2.04108060,0.04487163,0.16976080,0.36020851,0.25911878,0.04663563,0.19571583,1.02872790,1.23019740
0.98749375,1.96168329,0.04299012,0.15722854,0.33819619,0.24568025,0.04488055,0.19025424,0.99511065,1.19312497
0.99349675,1.88726333,0.04148384,0.14570313,0.31827944,0.23357294,0.04323491,0.18528482,0.96245217,1.15761804
0.99949975,1.81842595,0.04039140,0.13519430,0.30058499,0.22289717,0.04172337,0.18088042,0.93113641,1.12394448
1.00550275,1.75567472,0.03974313,0.12569820,0.28520186,0.21373196,0.04036781,0.17710062,0.90147582,1.09234423
1.01150575,1.69940986,0.03956018,0.11720030,0.27218251,0.20613461,0.03918706,0.17399114,0.87371001,1.06302719
1.01750875,1.64992813,0.03985369,0.10967828,0.26154473,0.20014066,0.03819666,0.17158351,0.84800705,1.03617099
1.02351176,1.60742420,0.04062430,0.10310480,0.25327388,0.19576401,0.03740877,0.16989512,0.82446707,1.01191896
