energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
-6.00000000,3.24790096,0.01596876,0.48740987,0.55116622,0.62101924,2.08321030,1.02098533,0.02234785,1.07465277
-5.99399700,3.19733543,0.01555618,0.48226365,0.54256448,0.60783588,2.08430321,1.00773141,0.02115418,1.05510464
-5.98799400,3.14800116,0.01507897,0.47719746,0.53431109,0.59404429,2.08691533,0.99541768,0.02000881,1.03576312
-5.98199100,3.10104178,0.01454722,0.47229946,0.52666690,0.57999788,2.09148016,0.98430152,0.01892001,1.01710728
-5.97598799,3.05753920,0.01397204,0.46765432,0.51987747,0.56605444,2.09840408,0.97461584,0.01789402,0.99959260
-5.96998499,3.01849283,0.01336524,0.46334200,0.51416765,0.55256807,2.10805129,0.96656561,0.01693522,0.98364154
-5.96398199,2.98479779,0.01273894,0.45943598,0.50973619,0.53988073,2.12072706,0.96032384,0.01604629,0.96963435
-5.95797899,2.95722231,0.01210525,0.45600115,0.50675053,0.52831368,2.13665982,0.95602703,0.01522846,0.95789989
-5.95197599,2.93638501,0.01147588,0.45309125,0.50534188,0.51815887,2.15598305,0.95377016,0.01448168,0.94870695
-5.94597299,2.92273278,0.01086183,0.45074608,0.50560073,0.50967076,2.17871826,0.95360143,0.01380487,0.94225607
-5.93996998,2.91652046,0.01027309,0.44898878,0.50757301,0.50305855,2.20476004,0.95551716,0.01319608,0.93867244
-5.93396698,2.91779361,0.00971839,0.44782322,0.51125717,0.49847943,2.23386484,0.95945727,0.01265274,0.93800011
-5.92796398,2.92637582,0.00920500,0.44723185,0.51660241,0.49603291,2.26564445,0.96530174,0.01217172,0.94019805
-5.92196098,2.94186200,0.00873862,0.44717422,0.52350824,0.49575669,2.29956540,0.97286867,0.01174951,0.94513844
-5.91595798,2.96361877,0.00832325,0.44758646,0.53182563,0.49762423,2.33495499,0.98191429,0.01138230,0.95260755
-5.90995498,2.99079315,0.00796127,0.44838164,0.54135980,0.50154429,2.37101443,0.99213542,0.01106604,0.96230958
-5.90395198,3.02233000,0.00765338,0.44945145,0.55187489,0.50736260,2.40683910,1.00317452,0.01079650,0.97387350
-5.89794897,3.05699837,0.00739880,0.45066890,0.56310025,0.51486566,2.44144535,1.01462757,0.01056930,0.98686315
-5.89194597,3.09342646,0.00719534,0.45189220,0.57473843,0.52378678,2.47380312,1.02605455,0.01037997,1.00079012
-5.88594297,3.13014418,0.00703965,0.45296959,0.58647453,0.53381412,2.50287284,1.03699243,0.01022395,1.01512942
-5.87993997,3.16563190,0.00692736,0.45374489,0.59798664,0.54460059,2.52764507,1.04697013,0.01009665,1.02933723
-5.87393697,3.19837346,0.00685338,0.45406359,0.60895702,0.55577523,2.54718082,1.05552492,0.00999349,1.04287007
-5.86793397,3.22691131,0.00681206,0.45377908,0.61908338,0.56695583,2.56065063,1.06221944,0.00990994,1.05520483
-5.86193097,3.24990116,0.00679751,0.45275875,0.62809008,0.57776209,2.56737017,1.06665866,0.00984157,1.06585845
-5.85592796,3.26616367,0.00680371,0.45088962,0.63573838,0.58782912,2.56683062,1.06850596,0.00978414,1.07440673
-5.84992496,3.27473082,0.00682483,0.44808321,0.64183558,0.59682042,2.55872202,1.06749731,0.00973366,1.08050105
-5.84392196,3.27488449,0.00685530,0.44427936,0.64624238,0.60444012,2.54294846,1.06345308,0.00968646,1.08388248
-5.83791896,3.26618570,0.00689003,0.43944891,0.64887832,0.61044377,2.51963423,1.05628671,0.00963925,1.08439235
-5.83191596,3.24849291,0.00692452,0.43359500,0.64972483,0.61464736,2.48912061,1.04600982,0.00958921,1.08197900
-5.82591296,3.22196867,0.00695491,0.42675309,0.64882595,0.61693413,2.45195357,1.03273345,0.00953405,1.07670018
-5.81990995,3.18707438,0.00697807,0.41898958,0.64628663,0.61725897,2.40886317,1.01666549,0.00947205,1.06872113
-5.81390695,3.14455360,0.00699163,0.41039936,0.64226864,0.61565021,2.36073563,0.99810426,0.00940210,1.05830834
-5.80790395,3.09540487,0.00699395,0.40110227,0.63698451,0.61220875,2.30857984,0.97742875,0.00932374,1.04581945
-5.80190095,3.04084538,0.00698412,0.39123878,0.63068957,0.60710462,2.25348998,0.95508584,0.00923718,1.03168966
-5.79589795,2.98226755,0.00696194,0.38096524,0.62367276,0.60057106,2.19660614,0.93157527,0.00914330,1.01641542
-5.78989495,2.92119047,0.00692779,0.37044873,0.61624642,0.59289663,2.13907504,0.90743303,0.00904362,1.00053615
-5.78389195,2.85920857,0.00688265,0.35986202,0.60873571,0.58441532,2.08201254,0.88321389,0.00894031,0.98461483
-5.77788894,2.79793977,0.00682793,0.34937874,0.60146800,0.57549549,2.02646969,0.85947392,0.00883612,0.96921839
-5.77188594,2.73897529,0.00676546,0.33916892,0.59476283,0.56652777,1.97340364,0.83675374,0.00873436,0.95489869
-5.76588294,2.68383311,0.00669736,0.32939521,0.58892261,0.55791257,1.92365446,0.81556300,0.00863883,0.94217487
-5.75987994,2.63391664,0.00662595,0.32020973,0.58422462,0.55004764,1.87792842,0.79636690,0.00855375,0.93151782
-5.75387694,2.59047997,0.00655369,0.31175162,0.58091433,0.54331607,1.83678806,0.77957493,0.00848369,0.92333719
-5.74787394,2.55460035,0.00648305,0.30414535,0.57920031,0.53807517,1.80064886,0.76553220,0.00843347,0.91797134
-5.74187094,2.52715864,0.00641650,0.29749969,0.57925072,0.53464654,1.76978197,0.75451350,0.00840810,0.91568043
-5.73586793,2.50882730,0.00635637,0.29190723,0.58119131,0.53330770,1.74432228,0.74672011,0.00841266,0.91664269
-5.72986493,2.50006592,0.00630481,0.28744431,0.58510491,0.53428525,1.72428080,0.74227904,0.00845221,0.92095373
-5.72386193,2.50112334,0.00626374,0.28417139,0.59103205,0.53774998,1.70956018,0.74124473,0.00853169,0.92862855
-5.71785893,2.51204551,0.00623478,0.28213342,0.59897265,0.54381366,1.69997207,0.74360255,0.00865583,0.93960598
-5.71185593,2.53268794,0.00621923,0.28136040,0.60888841,0.55252771,1.69525530,0.74927403,0.00882900,0.95375495
