energy_ev,total_up,Au_p_up,Au_d_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,2.72316648,0.58580671,1.70560209,0.01698098,0.00000000,0.03922027,0.02270466,0.71385725,0.00000000
-5.99399700,2.72820204,0.59092879,1.68258961,0.01731777,0.00000000,0.04287945,0.02287463,0.73428600,0.00000000
-5.98799400,2.72960463,0.59537892,1.65618425,0.01764806,0.00000000,0.04668113,0.02302304,0.75472820,0.00000000
-5.98199100,2.72764235,0.59911034,1.62681067,0.01797304,0.00000000,0.05057863,0.02315015,0.77504835,0.00000000
-5.97598799,2.72266400,0.60209798,1.59496248,0.01829431,0.00000000,0.05452168,0.02325640,0.79511718,0.00000000
-5.96998499,2.71509380,0.60433840,1.56119398,0.01861390,0.00000000,0.05845738,0.02334251,0.81481395,0.00000000
-5.96398199,2.70542562,0.60584944,1.52611126,0.01893412,0.00000000,0.06233138,0.02340945,0.83402900,0.00000000
-5.95797899,2.69421631,0.60666959,1.49036253,0.01925757,0.00000000,0.06608931,0.02345849,0.85266614,0.00000000
-5.95197599,2.68207791,0.60685686,1.45462777,0.01958698,0.00000000,0.06967819,0.02349119,0.87064493,0.00000000
-5.94597299,2.66966860,0.60648720,1.41960770,0.01992519,0.00000000,0.07304808,0.02350937,0.88790254,0.00000000
-5.93996998,2.65768205,0.60565243,1.38601205,0.02027499,0.00000000,0.07615363,0.02351505,0.90439511,0.00000000
-5.93396698,2.64683529,0.60445764,1.35454727,0.02063904,0.00000000,0.07895558,0.02351039,0.92009834,0.00000000
-5.92796398,2.63785508,0.60301809,1.32590389,0.02101977,0.00000000,0.08142216,0.02349763,0.93500753,0.00000000
-5.92196098,2.63146318,0.60145577,1.30074370,0.02141922,0.00000000,0.08353031,0.02347894,0.94913666,0.00000000
-5.91595798,2.62836071,0.59989568,1.27968719,0.02183897,0.00000000,0.08526653,0.02345639,0.96251691,0.00000000
-5.90995498,2.62921246,0.59846200,1.26330155,0.02228001,0.00000000,0.08662760,0.02343182,0.97519449,0.00000000
-5.90395198,2.63463147,0.59727439,1.25208968,0.02274266,0.00000000,0.08762077,0.02340680,0.98722795,0.00000000
-5.89794897,2.64516480,0.59644456,1.24648060,0.02322649,0.00000000,0.08826375,0.02338261,0.99868529,0.00000000
-5.89194597,2.66128110,0.59607325,1.24682165,0.02373028,0.00000000,0.08858419,0.02336016,1.00964090,0.00000000
-5.88594297,2.68336054,0.59624793,1.25337277,0.02425202,0.00000000,0.08861890,0.02334009,1.02017262,0.00000000
-5.87993997,2.71168763,0.59704112,1.26630306,0.02478889,0.00000000,0.08841271,0.02332280,1.03035907,0.00000000
-5.87393697,2.74644711,0.59850959,1.28568977,0.02533735,0.00000000,0.08801700,0.02330853,1.04027737,0.00000000
-5.86793397,2.78772312,0.60069429,1.31151958,0.02589319,0.00000000,0.08748809,0.02329751,1.05000144,0.00000000
