energy_ev,total_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,2.03835965,1.10036248,0.57033152,0.00474311,0.27101008,0.96899741,0.00000000,0.46110525,0.31168278
-5.99399700,1.96703917,1.03655182,0.55165021,0.00416877,0.26073211,0.93406083,0.00000000,0.44268675,0.29884565
-5.98799400,1.89708682,0.97518722,0.53316449,0.00365185,0.25099422,0.89989000,0.00000000,0.42525219,0.28647050
-5.98199100,1.82917894,0.91654603,0.51510527,0.00319022,0.24191856,0.86680161,0.00000000,0.40897908,0.27464674
-5.97598799,1.76402843,0.86086463,0.49771326,0.00278110,0.23362966,0.83512990,0.00000000,0.39404460,0.26346796
-5.96998499,1.70239160,0.80834868,0.48123993,0.00242120,0.22625525,0.80523023,0.00000000,0.38062809,0.25303391
-5.96398199,1.64506969,0.75918241,0.46594707,0.00210695,0.21992640,0.77748012,0.00000000,0.36891243,0.24345151
-5.95797899,1.59290429,0.71353623,0.45210481,0.00183461,0.21477689,0.75227722,0.00000000,0.35908408,0.23483484
-5.95197599,1.54676651,0.67157225,0.43998791,0.00160047,0.21094169,0.73003419,0.00000000,0.35133174,0.22730384
-5.94597299,1.50754008,0.63344738,0.42987060,0.00140089,0.20855453,0.71117062,0.00000000,0.34584355,0.22098211
-5.93996998,1.47609903,0.59931416,0.42201980,0.00123242,0.20774470,0.69610232,0.00000000,0.34280300,0.21599350
-5.93396698,1.45328087,0.56931919,0.41668733,0.00109185,0.20863305,0.68522838,0.00000000,0.34238359,0.21245806
-5.92796398,1.43985665,0.54359977,0.41410118,0.00097625,0.21132750,0.67891675,0.00000000,0.34474273,0.21048729
-5.92196098,1.43649926,0.52227891,0.41445644,0.00088298,0.21591818,0.67748900,0.00000000,0.35001494,0.21017901
-5.91595798,1.44375180,0.50545944,0.41790621,0.00080966,0.22247248,0.68120509,0.00000000,0.35830493,0.21161218
-5.90995498,1.46199746,0.49321760,0.42455308,0.00075421,0.23103021,0.69024889,0.00000000,0.36968068,0.21484201
-5.90395198,1.49143276,0.48559674,0.43444153,0.00071477,0.24159927,0.70471536,0.00000000,0.38416724,0.21989541
-5.89794897,1.53204544,0.48260157,0.44755172,0.00068968,0.25415191,0.72459995,0.00000000,0.40174124,0.22676729
-5.89194597,1.58359845,0.48419349,0.46379510,0.00067747,0.26862201,0.74979088,0.00000000,0.42232663,0.23541788
-5.88594297,1.64562106,0.49028713,0.48301204,0.00067679,0.28490343,0.78006490,0.00000000,0.44579195,0.24577111
-5.87993997,1.71740768,0.50074855,0.50497175,0.00068640,0.30284963,0.81508662,0.00000000,0.47194918,0.25771445
-5.87393697,1.79802502,0.51539508,0.52937471,0.00070513,0.32227476,0.85441183,0.00000000,0.50055437,0.27110004
-5.86793397,1.88632748,0.53399681,0.55585740,0.00073185,0.34295609,0.89749466,0.00000000,0.53131022,0.28574738
-5.86193097,1.98098052,0.55627967,0.58399953,0.00076549,0.36463796,0.94369850,0.00000000,0.56387036,0.30144727
