energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,S_s_up,S_p_up,W_p_up,W_d_up
-6.00000000,2.48205652,1.02701188,0.41913864,0.00144605,0.22596181,0.00877695,1.56591196,0.80336073,0.24705534
-5.99399700,2.53721464,1.05301738,0.43056317,0.00150551,0.22864748,0.00861619,1.60407977,0.82168890,0.25221049
-5.98799400,2.58872303,1.07763932,0.44153445,0.00156754,0.23085718,0.00841479,1.64002570,0.83853361,0.25694194
-5.98199100,2.63583192,1.10048028,0.45194709,0.00163132,0.23251364,0.00817658,1.67327355,0.85355615,0.26117001
-5.97598799,2.67783108,1.12115624,0.46170300,0.00169608,0.23354542,0.00790605,1.70336848,0.86642336,0.26482372
-5.96998499,2.71406404,1.13930589,0.47071323,0.00176112,0.23388849,0.00760815,1.72988659,0.87681653,0.26784198
-5.96398199,2.74394532,1.15460107,0.47890035,0.00182583,0.23348788,0.00728822,1.75244635,0.88444100,0.27017494
-5.95797899,2.76697974,1.16675784,0.48620113,0.00188968,0.23229958,0.00695183,1.77072143,0.88903642,0.27178543
-5.95197599,2.78278257,1.17554727,0.49256955,0.00195224,0.23029225,0.00660464,1.78445409,0.89038663,0.27265029
-5.94597299,2.79109897,1.18080555,0.49797971,0.00201320,0.22744883,0.00625235,1.79346824,0.88832895,0.27276162
-5.93996998,2.79182158,1.18244251,0.50242852,0.00207236,0.22376779,0.00590054,1.79768120,0.88276202,0.27212771
-5.93396698,2.78500459,1.18044808,0.50593803,0.00212967,0.21926400,0.00555464,1.79711339,0.87365195,0.27077357
-5.92796398,2.77087330,1.17489602,0.50855705,0.00218520,0.21396907,0.00521988,1.79189504,0.86103608,0.26874101
-5.92196098,2.74982799,1.16594477,0.51036202,0.00223914,0.20793116,0.00490119,1.78226931,0.84502443,0.26608821
-5.91595798,2.72244167,1.15383504,0.51145690,0.00229178,0.20121414,0.00460320,1.76859139,0.82579833,0.26288862
-5.90995498,2.68945120,1.13888424,0.51197213,0.00234354,0.19389626,0.00433022,1.75132331,0.80360658,0.25922939
-5.90395198,2.65174193,1.12147781,0.51206257,0.00239485,0.18606819,0.00408619,1.73102456,0.77875898,0.25520913
-5.89794897,2.61032633,1.10205790,0.51190441,0.00244621,0.17783070,0.00387468,1.70833870,0.75161775,0.25093531
-5.89194597,2.56631731,1.08110984,0.51169130,0.00249807,0.16929189,0.00369884,1.68397640,0.72258712,0.24652121
-5.88594297,2.52089742,1.05914698,0.51162967,0.00255085,0.16056421,0.00356141,1.65869576,0.69210155,0.24208256
-5.87993997,2.47528504,1.03669455,0.51193352,0.00260485,0.15176135,0.00346468,1.63328053,0.66061317,0.23773416
-5.87393697,2.43069912,1.01427336,0.51281883,0.00266024,0.14299513,0.00341042,1.60851725,0.62857892,0.23358640
-5.86793397,2.38832386,0.99238395,0.51449780,0.00271698,0.13437254,0.00339986,1.58517219,0.59644806,0.22974201
-5.86193097,2.34927478,0.97149190,0.51717312,0.00277485,0.12599299,0.00343365,1.56396911,0.56465035,0.22629304
-5.85592796,2.31456743,0.95201482,0.52103245,0.00283336,0.11794591,0.00351179,1.54556857,0.53358554,0.22331831
-5.84992496,2.28508995,0.93431157,0.52624327,0.00289179,0.11030885,0.00363357,1.53054961,0.50361439,0.22088133
-5.84392196,2.26158027,0.91867400,0.53294829,0.00294919,0.10314590,0.00379754,1.51939447,0.47505157,0.21902874
-5.83791896,2.24460870,0.90532140,0.54126134,0.00300435,0.09650681,0.00400146,1.51247661,0.44816049,0.21778948
-5.83191596,2.23456608,0.89439773,0.55126411,0.00305589,0.09042647,0.00424227,1.51005243,0.42315022,0.21717448
-5.82591296,2.23165783,0.88597159,0.56300345,0.00310229,0.08492498,0.00451608,1.51225672,0.40017441,0.21717698
-5.81990995,2.23590350,0.88003864,0.57648951,0.00314190,0.08000816,0.00481820,1.51910183,0.37933203,0.21777344
-5.81390695,2.24714162,0.87652629,0.59169458,0.00317307,0.07566851,0.00514316,1.53048025,0.36066985,0.21892486
-5.80790395,2.26503921,0.87530024,0.60855259,0.00319416,0.07188646,0.00548479,1.54617032,0.34418626,0.22057859
-5.80190095,2.28910539,0.87617234,0.62695946,0.00320366,0.06863199,0.00583630,1.56584472,0.32983625,0.22267038
-5.79589795,2.31870823,0.87890965,0.64677396,0.00320022,0.06586635,0.00619043,1.58908124,0.31753720,0.22512669
-5.78989495,2.35309428,0.88324384,0.66781940,0.00318274,0.06354401,0.00653960,1.61537531,0.30717512,0.22786701
-5.78389195,2.39140984,0.88888089,0.68988587,0.00315040,0.06161458,0.00687608,1.64415390,0.29861119,0.23080636
-5.77788894,2.43272335,0.89551055,0.71273323,0.00310271,0.06002475,0.00719216,1.67479032,0.29168809,0.23385752
-5.77188594,2.47604833,0.90281524,0.73609471,0.00303957,0.05872013,0.00748043,1.70661939,0.28623618,0.23693326
-5.76588294,2.52036619,0.91047824,0.75968112,0.00296123,0.05764690,0.00773390,1.73895277,0.28207905,0.23994832
-5.75987994,2.56464848,0.91819094,0.78318581,0.00286832,0.05675339,0.00794628,1.77109406,0.27903856,0.24282115
-5.75387694,2.60787825,0.92565898,0.80629008,0.00276182,0.05599128,0.00811211,1.80235330,0.27693903,0.24547537
-5.74787394,2.64907008,0.93260742,0.82866919,0.00264304,0.05531669,0.00822696,1.83206081,0.27561074,0.24784096
-5.74187094,2.68728853,0.93878471,0.84999878,0.00251356,0.05469093,0.00828755,1.85958002,0.27489260,0.24985523
-5.73586793,2.72166496,0.94396568,0.86996163,0.00237517,0.05408105,0.00829186,1.88431918,0.27463407,0.25146343
-5.72986493,2.75141229,0.94795359,0.88825455,0.00222985,0.05346008,0.00823915,1.90574179,0.27469643,0.25261920
-5.72386193,2.77583767,0.95058131,0.90459523,0.00207965,0.05280710,0.00813004,1.92337568,0.27495339,0.25328479
-5.71785893,2.79435302,0.95171176,0.91872890,0.00192664,0.05210708,0.00796637,1.93682048,0.27529131,0.25343104
-5.71185593,2.80648310,0.95123782,0.93043445,0.00177287,0.05135053,0.00775123,1.94575353,0.27560893,0.25303728
-5.70585293,2.81187119,0.94908167,0.93952989,0.00162028,0.05053306,0.00748875,1.94993401,0.27581697,0.25209103
-5.69984992,2.81028219,0.94519380,0.94587686,0.00147070,0.04965474,0.00718400,1.94920531,0.27583750,0.25058766
-5.69384692,2.80160315,0.93955168,0.94938403,0.00132572,0.04871952,0.00684281,1.94349557,0.27560331,0.24852987
-5.68784392,2.78584119,0.93215818,0.95000913,0.00118676,0.04773449,0.00647152,1.93281626,0.27505732,0.24592717
-5.68184092,2.76311879,0.92303992,0.94775959,0.00105497,0.04670926,0.00607682,1.91725904,0.27415212,0.24279528
