energy_ev,total_up,In_p_up,In_d_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,0.58380246,0.04767358,0.00100920,0.00036669,0.30752795,0.17943532,0.16698261
-5.99399700,0.59689755,0.05121824,0.00102469,0.00040361,0.31850777,0.18863146,0.16702680
-5.98799400,0.61222072,0.05500194,0.00104307,0.00045062,0.33101859,0.19976539,0.16753715
-5.98199100,0.62957101,0.05897051,0.00106371,0.00050830,0.34491541,0.21267064,0.16853159
-5.97598799,0.64871950,0.06306558,0.00108595,0.00057721,0.36003146,0.22716235,0.17002312
-5.96998499,0.66941232,0.06722613,0.00110911,0.00065791,0.37618139,0.24303916,0.17201895
-5.96398199,0.69137508,0.07139027,0.00113248,0.00075088,0.39316519,0.26008562,0.17451977
-5.95797899,0.71431863,0.07549707,0.00115539,0.00085663,0.41077281,0.27807478,0.17751952
-5.95197599,0.73794618,0.07948854,0.00117716,0.00097561,0.42878949,0.29677133,0.18100553
-5.94597299,0.76196170,0.08331159,0.00119715,0.00110826,0.44700156,0.31593504,0.18495922
-5.93996998,0.78607938,0.08691989,0.00121480,0.00125501,0.46520275,0.33532469,0.18935727
-5.93396698,0.81003381,0.09027563,0.00122961,0.00141632,0.48320072,0.35470243,0.19417327
-5.92796398,0.83359066,0.09335111,0.00124116,0.00159267,0.50082363,0.37383848,0.19937983
-5.92196098,0.85655733,0.09612994,0.00124917,0.00178461,0.51792658,0.39251622,0.20495101
-5.91595798,0.87879319,0.09860804,0.00125346,0.00199275,0.53439756,0.41053759,0.21086499
-5.90995498,0.90021898,0.10079411,0.00125399,0.00221785,0.55016282,0.42772860,0.21710689
-5.90395198,0.92082488,0.10270979,0.00125086,0.00246079,0.56519119,0.44394502,0.22367148
-5.89794897,0.94067681,0.10438928,0.00124434,0.00272264,0.57949741,0.45907797,0.23056575
-5.89194597,0.95992072,0.10587856,0.00123481,0.00300462,0.59314395,0.47305931,0.23781108
-5.88594297,0.97878440,0.10723412,0.00122282,0.00330818,0.60624143,0.48586668,0.24544496
-5.87993997,0.99757671,0.10852130,0.00120906,0.00363494,0.61894739,0.49752804,0.25352199
-5.87393697,1.01668414,0.10981227,0.00119435,0.00398666,0.63146337,0.50812549,0.26211426
-5.86793397,1.03656463,0.11118367,0.00117962,0.00436526,0.64403037,0.51779824,0.27131080
-5.86193097,1.05773883,0.11271404,0.00116590,0.00477272,0.65692276,0.52674467,0.28121631
-5.85592796,1.08077906,0.11448113,0.00115434,0.00521103,0.67044085,0.53522321,0.29194896
