energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,W_p_up,W_d_up
-6.00000000,8.39020319,0.01737390,0.23364619,0.01588776,3.56773792,3.87533316,2.68512904
-5.99399700,8.61436016,0.01752076,0.24164687,0.01624073,3.65865208,3.98414537,2.75976997
-5.98799400,8.79762422,0.01758797,0.24851205,0.01652009,3.73186106,4.07289174,2.82188067
-5.98199100,8.93637482,0.01756988,0.25417142,0.01672685,3.78589476,4.13988601,2.87020863
-5.97598799,9.02795647,0.01746276,0.25858599,0.01686442,3.81970339,4.18388738,2.90379619
-5.96998499,9.07077709,0.01726487,0.26175055,0.01693863,3.83269601,4.20414490,2.92201610
-5.96398199,9.06437187,0.01697658,0.26369499,0.01695771,3.82476389,4.20042638,2.92459665
-5.95797899,9.00942975,0.01660027,0.26448435,0.01693207,3.79628765,4.17303018,2.91163515
-5.95197599,8.90778084,0.01614031,0.26421756,0.01687414,3.74812782,4.12277947,2.88359928
-5.94597299,8.76234498,0.01560285,0.26302488,0.01679802,3.68159890,4.05099880,2.84131581
-5.93996998,8.57704333,0.01499565,0.26106409,0.01671910,3.59842799,3.95947409,2.78594731
-5.93396698,8.35667599,0.01432779,0.25851552,0.01665364,3.50069960,3.85039742,2.71895735
-5.92796398,8.10677073,0.01360942,0.25557610,0.01661823,3.39078881,3.72629879,2.64206582
-5.92196098,7.83340850,0.01285140,0.25245274,0.01662931,3.27128536,3.58996778,2.55719568
-5.91595798,7.54303272,0.01206501,0.24935516,0.01670260,3.14491191,3.44436794,2.46641361
-5.90995498,7.24224963,0.01126165,0.24648849,0.01685260,3.01443934,3.29254746,2.37186642
-5.90395198,6.93762760,0.01045251,0.24404602,0.01709205,2.88260274,3.13754950,2.27571595
-5.89794897,6.63550274,0.00964831,0.24220231,0.01743150,2.75202098,2.98232552,2.18007470
-5.89194597,6.34179816,0.00885906,0.24110694,0.01787892,2.62512297,2.82965481,2.08694467
-5.88594297,6.06186315,0.00809388,0.24087922,0.01843937,2.50408322,2.68207292,1.99816152
