energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
1.84592296,2.07695985,0.44595606,0.04797032,0.00342530,0.21485745,0.14105194,0.30598437,0.27867011,1.22324663
1.85192596,2.07587075,0.44914452,0.04758640,0.00351020,0.22034489,0.13820938,0.30462848,0.27543553,1.21706544
1.85792896,2.06592159,0.45129721,0.04701532,0.00357552,0.22518726,0.13478035,0.30236554,0.27068516,1.20476894
1.86393197,2.04714406,0.45231827,0.04625693,0.00361979,0.22931988,0.13078846,0.29914365,0.26446795,1.18653361
1.86993497,2.01972688,0.45213186,0.04531532,0.00364197,0.23268323,0.12627049,0.29493298,0.25686491,1.16264417
1.87593797,1.98400510,0.45068306,0.04419860,0.00364146,0.23522388,0.12127511,0.28972608,0.24798630,1.13348223
1.88194097,1.94044585,0.44793850,0.04291852,0.00361815,0.23689547,0.11586123,0.28353743,0.23796787,1.09951267
1.88794397,1.88963149,0.44388702,0.04149007,0.00357243,0.23765973,0.11009595,0.27640229,0.22696637,1.06126842
1.89394697,1.83224106,0.43854030,0.03993095,0.00350518,0.23748756,0.10405232,0.26837510,0.21515450,1.01933442
1.89994997,1.76903110,0.43193374,0.03826104,0.00341779,0.23636017,0.09780702,0.25952746,0.20271569,0.97433148
1.90595298,1.70081663,0.42412749,0.03650177,0.00331207,0.23427014,0.09143798,0.24994578,0.18983874,0.92690063
1.91195598,1.62845318,0.41520786,0.03467569,0.00319027,0.23122246,0.08502219,0.23972890,0.17671270,0.87768859
1.91795898,1.55282038,0.40528882,0.03280588,0.00305500,0.22723539,0.07863372,0.22898555,0.16352223,0.82733485
1.92396198,1.47480751,0.39451378,0.03091558,0.00290919,0.22234120,0.07234200,0.21783200,0.15044344,0.77646060
1.92996498,1.39530141,0.38305741,0.02902781,0.00275600,0.21658651,0.06621043,0.20638973,0.13764052,0.72565981
1.93596798,1.31517667,0.37112736,0.02716507,0.00259879,0.21003244,0.06029543,0.19478341,0.12526309,0.67549249
1.94197099,1.23528811,0.35896584,0.02534921,0.00244102,0.20275432,0.05464580,0.18313902,0.11344443,0.62648011
1.94797399,1.15646527,0.34685068,0.02360125,0.00228625,0.19484092,0.04930246,0.17158224,0.10230052,0.57910308
1.95397699,1.07950867,0.33509598,0.02194138,0.00213800,0.18639343,0.04429858,0.16023710,0.09192981,0.53379993
