energy_ev,total_up,total_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,1.60642974,-2.66694049,0.64950661,-1.44148014,0.46911892,-0.81400722,0.00065944,-0.00051946,0.33792859,-0.96676774,0.24658101,-0.33263622,0.25404257,-0.25378326,0.58638752,-0.66233251,0.00000000,-0.00000000
-5.99399700,1.59823243,-2.61488675,0.64293206,-1.34137255,0.46800496,-0.79259684,0.00070464,-0.00054763,0.33788929,-0.90962347,0.23914717,-0.34236397,0.25620739,-0.26703523,0.58005017,-0.68649106,0.00000000,-0.00000000
-5.98799400,1.59273701,-2.56563132,0.63801584,-1.24611740,0.46719971,-0.77149493,0.00076326,-0.00058379,0.33774906,-0.85472197,0.23302398,-0.35151089,0.25889243,-0.28042557,0.57551283,-0.71007587,0.00000000,-0.00000000
-5.98199100,1.58937224,-2.51936899,0.63416797,-1.15649485,0.46645373,-0.75089951,0.00083628,-0.00062844,0.33716111,-0.80257836,0.22822108,-0.35990317,0.26210605,-0.29380659,0.57278967,-0.73269755,0.00000000,-0.00000000
-5.97598799,1.58760481,-2.47614998,0.63084787,-1.07313642,0.46553929,-0.73095938,0.00092453,-0.00068222,0.33583107,-0.75360744,0.22471976,-0.36738342,0.26585089,-0.30703032,0.57186036,-0.75398060,0.00000000,-0.00000000
-5.96998499,1.58695084,-2.43589854,0.62757441,-0.99652537,0.46425583,-0.71177574,0.00102867,-0.00074584,0.33352186,-0.70812250,0.22247593,-0.37381610,0.27012357,-0.31995349,0.57267232,-0.77357611,0.00000000,-0.00000000
-5.96398199,1.58698371,-2.39843610,0.62393368,-0.92700069,0.46243423,-0.69340599,0.00114908,-0.00082004,0.33005666,-0.66633745,0.22142348,-0.37909213,0.27491406,-0.33244229,0.57514287,-0.79117368,0.00000000,-0.00000000
-5.95797899,1.58733799,-2.36350732,0.61958432,-0.86476403,0.45993959,-0.67586930,0.00128590,-0.00090557,0.32532012,-0.62837202,0.22147768,-0.38313249,0.28020470,-0.34437666,0.57916097,-0.80651183,0.00000000,-0.00000000
-5.95197599,1.58770953,-2.33080701,0.61426034,-0.80988881,0.45667266,-0.65915341,0.00143894,-0.00100312,0.31925760,-0.59425921,0.22253849,-0.38589067,0.28596883,-0.35565380,0.58458872,-0.81938661,0.00000000,-0.00000000
-5.94597299,1.58785189,-2.30000634,0.60777132,-0.76233067,0.45256970,-0.64322201,0.00160764,-0.00111323,0.31187262,-0.56395439,0.22449371,-0.38735382,0.29216931,-0.36619085,0.59126256,-0.82965789,0.00000000,-0.00000000
