energy_ev,total_up,C_s_up,C_p_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up
-6.00000000,3.22731753,0.00957023,0.98028717,1.84450519,1.61058017,0.49670195,0.00000000
-5.99399700,3.12690558,0.00933451,0.94681517,1.78129173,1.55688759,0.48504708,0.00000000
-5.98799400,3.03151941,0.00910004,0.91449802,1.71798251,1.50634242,0.47465932,0.00000000
-5.98199100,2.94198384,0.00887592,0.88336851,1.65532905,1.45910534,0.46602609,0.00000000
-5.97598799,2.85899131,0.00867095,0.85342581,1.59405591,1.41525929,0.45960128,0.00000000
-5.96998499,2.78310424,0.00849330,0.82464538,1.53485016,1.37482260,0.45579150,0.00000000
-5.96398199,2.71476010,0.00835030,0.79698945,1.47835229,1.33776351,0.45494323,0.00000000
-5.95797899,2.65427845,0.00824814,0.77041774,1.42514832,1.30401541,0.45733106,0.00000000
-5.95197599,2.60186904,0.00819163,0.74489772,1.37576342,1.27349185,0.46314749,0.00000000
-5.94597299,2.55764032,0.00818411,0.72041384,1.33065678,1.24610049,0.47249457,0.00000000
-5.93996998,2.52160792,0.00822721,0.69697551,1.29021796,1.22175554,0.48537765,0.00000000
-5.93396698,2.49370267,0.00832084,0.67462322,1.25476455,1.20038798,0.50170161,0.00000000
-5.92796398,2.47377801,0.00846310,0.65343274,1.22454128,1.18195326,0.52126968,0.00000000
-5.92196098,2.46161686,0.00865040,0.63351713,1.19972051,1.16643636,0.54378525,0.00000000
-5.91595798,2.45693802,0.00887745,0.61502650,1.18040416,1.15385399,0.56885664,0.00000000
-5.90995498,2.45940233,0.00913749,0.59814562,1.16662699,1.14425423,0.59600494,0.00000000
-5.90395198,2.46861892,0.00942247,0.58308950,1.15836119,1.13771355,0.62467485,0.00000000
-5.89794897,2.48415169,0.00972329,0.57009705,1.15552218,1.13433174,0.65424839,0.00000000
-5.89194597,2.50552641,0.01003012,0.55942320,1.15797544,1.13422500,0.68406112,0.00000000
-5.88594297,2.53223829,0.01033276,0.55132980,1.16554407,1.13751751,0.71342048,0.00000000
-5.87993997,2.56376024,0.01062090,0.54607551,1.17801694,1.14433215,0.74162570,0.00000000
-5.87393697,2.59955156,0.01088459,0.54390534,1.19515691,1.15478056,0.76798863,0.00000000
-5.86793397,2.63906686,0.01111450,0.54503989,1.21670894,1.16895309,0.79185477,0.00000000
-5.86193097,2.68176477,0.01130231,0.54966502,1.24240757,1.18690901,0.81262374,0.00000000
-5.85592796,2.72711617,0.01144099,0.55792205,1.27198350,1.20866734,0.82976830,0.00000000
-5.84992496,2.77461141,0.01152504,0.56989912,1.30516892,1.23419863,0.84285129,0.00000000
-5.84392196,2.82376617,0.01155067,0.58562374,1.34170139,1.26341803,0.85153964,0.00000000
-5.83791896,2.87412559,0.01151598,0.60505715,1.38132607,1.29617985,0.85561502,0.00000000
-5.83191596,2.92526656,0.01142096,0.62809042,1.42379630,1.33227388,0.85498044,0.00000000
-5.82591296,2.97679802,0.01126752,0.65454276,1.46887256,1.37142365,0.84966280,0.00000000
-5.81990995,3.02835938,0.01105938,0.68416190,1.51632010,1.41328668,0.83981103,0.00000000
-5.81390695,3.07961739,0.01080190,0.71662682,1.56590537,1.45745697,0.82569006,0.00000000
-5.80790395,3.13026173,0.01050189,0.75155265,1.61739179,1.50346955,0.80767082,0.00000000
-5.80190095,3.17999992,0.01016733,0.78849773,1.67053519,1.55080726,0.78621685,0.00000000
-5.79589795,3.22855208,0.00980706,0.82697258,1.72507939,1.59890945,0.76186790,0.00000000
-5.78989495,3.27564604,0.00943045,0.86645059,1.78075248,1.64718260,0.73522151,0.00000000
-5.78389195,3.32101347,0.00904703,0.90638008,1.83726401,1.69501240,0.70691313,0.00000000
-5.77788894,3.36438741,0.00866619,0.94619733,1.89430360,1.74177713,0.67759575,0.00000000
-5.77188594,3.40550153,0.00829677,0.98534020,1.95154112,1.78686190,0.64791975,0.00000000
-5.76588294,3.44409138,0.00794686,1.02326184,2.00862863,1.82967314,0.61851384,0.00000000
-5.75987994,3.47989753,0.00762345,1.05944400,2.06520401,1.86965305,0.58996774,0.00000000
-5.75387694,3.51267058,0.00733225,1.09340966,2.12089621,1.90629347,0.56281703,0.00000000
-5.74787394,3.54217774,0.00707752,1.12473424,2.17533199,1.93914849,0.53753084,0.00000000
-5.74187094,3.56821049,0.00686200,1.15305541,2.22814377,1.96784559,0.51450253,0.00000000
-5.73586793,3.59059297,0.00668681,1.17808080,2.27897832,1.99209479,0.49404344,0.00000000
-5.72986493,3.60919050,0.00655155,1.19959380,2.32750590,2.01169545,0.47637993,0.00000000
-5.72386193,3.62391781,0.00645431,1.21745700,2.37342951,2.02654068,0.46165336,0.00000000
-5.71785893,3.63474645,0.00639184,1.23161340,2.41649403,2.03661905,0.44992291,0.00000000
-5.71185593,3.64171107,0.00635974,1.24208552,2.45649473,2.04201379,0.44117086,0.00000000
-5.70585293,3.64491435,0.00635262,1.24897246,2.49328526,2.04289956,0.43531003,0.00000000
-5.69984992,3.64453033,0.00636443,1.25244518,2.52678474,2.03953692,0.43219271,0.00000000
-5.69384692,3.64080614,0.00638863,1.25274044,2.55698385,2.03226502,0.43162098,0.00000000
-5.68784392,3.63406226,0.00641853,1.25015349,2.58395012,2.02149271,0.43335759,0.00000000
-5.68184092,3.62469133,0.00644750,1.24503007,2.60783204,2.00768850,0.43713722,0.00000000
-5.67583792,3.61315567,0.00646926,1.23775802,2.62886220,1.99136987,0.44267759,0.00000000
-5.66983492,3.59998376,0.00647809,1.22875872,2.64735939,1.97309223,0.44969006,0.00000000
-5.66383192,3.58576567,0.00646901,1.21847869,2.66372937,1.95343783,0.45788945,0.00000000
-5.65782891,3.57114764,0.00643798,1.20738154,2.67846443,1.93300504,0.46700274,0.00000000
-5.65182591,3.55682574,0.00638196,1.19594038,2.69214130,1.91239801,0.47677649,0.00000000
-5.64582291,3.54353854,0.00629903,1.18463074,2.70541724,1.89221699,0.48698286,0.00000000
-5.63981991,3.53205864,0.00618839,1.17392388,2.71902400,1.87304920,0.49742411,0.00000000
-5.63381691,3.52318295,0.00605036,1.16428062,2.73375924,1.85546035,0.50793549,0.00000000
-5.62781391,3.51772134,0.00588628,1.15614535,2.75047515,1.83998669,0.51838672,0.00000000
-5.62181091,3.51648361,0.00569848,1.14994016,2.77006400,1.82712740,0.52868192,0.00000000
-5.61580790,3.52026445,0.00549009,1.14605894,2.79344044,1.81733740,0.53875823,0.00000000
-5.60980490,3.52982649,0.00526492,1.14486136,2.82152047,1.81102025,0.54858323,0.00000000
-5.60380190,3.54588135,0.00502729,1.14666650,2.85519732,1.80852125,0.55815138,0.00000000
-5.59779890,3.56906894,0.00478187,1.15174627,2.89531451,1.81012068,0.56747954,0.00000000
-5.59179590,3.59993535,0.00453346,1.16031859,2.94263664,1.81602712,0.57660201,0.00000000
-5.58579290,3.63890991,0.00428688,1.17254038,2.99781872,1.82637109,0.58556506,0.00000000
-5.57978989,3.68628200,0.00404678,1.18850064,3.06137500,1.84119909,0.59442135,0.00000000
-5.57378689,3.74217865,0.00381750,1.20821389,3.13364845,1.86046831,0.60322442,0.00000000
-5.56778389,3.80654362,0.00360298,1.23161420,3.21478210,1.88404217,0.61202341,0.00000000
-5.56178089,3.87911924,0.00340666,1.25855021,3.30469366,1.91168716,0.62085816,0.00000000
-5.55577789,3.95943183,0.00323141,1.28878155,3.40305477,1.94307107,0.62975502,0.00000000
-5.54977489,4.04678183,0.00307951,1.32197700,3.50927604,1.97776307,0.63872336,0.00000000
-5.54377189,4.14023950,0.00295265,1.35771469,3.62249922,2.01523582,0.64775287,0.00000000
-5.53776888,4.23864698,0.00285193,1.39548470,3.74159720,2.05486986,0.65681187,0.00000000
-5.53176588,4.34062731,0.00277791,1.43469426,3.86518282,2.09596043,0.66584654,0.00000000
-5.52576288,4.44460068,0.00273066,1.47467557,3.99162656,2.13772679,0.67478117,0.00000000
-5.51975988,4.54880816,0.00270985,1.51469648,4.11908341,2.17932414,0.68351933,0.00000000
-5.51375688,4.65134252,0.00271479,1.55397369,4.24552839,2.21985791,0.69194597,0.00000000
-5.50775388,4.75018595,0.00274458,1.59168844,4.36880012,2.25840039,0.69993036,0.00000000
-5.50175088,4.84325362,0.00279813,1.62700429,4.48665137,2.29400930,0.70732973,0.00000000
-5.49574787,4.92844224,0.00287427,1.65908658,4.59680520,2.32574806,0.71399353,0.00000000
