energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-5.82591296,0.89989451,0.02348805,0.06946679,0.25798921,0.00483772,0.44939429,0.19237553,0.14804812
-5.81990995,0.89414006,0.02204812,0.07152622,0.25132154,0.00449929,0.44410577,0.20040770,0.14658713
-5.81390695,0.89646973,0.02069092,0.07418436,0.24667774,0.00423183,0.44303148,0.21038630,0.14628124
-5.80790395,0.90705572,0.01943563,0.07748414,0.24419918,0.00403553,0.44619703,0.22236269,0.14719411
-5.80190095,0.92595821,0.01829823,0.08145941,0.24398957,0.00391003,0.45357382,0.23637452,0.14936867
-5.79589795,0.95312047,0.01729121,0.08613322,0.24611104,0.00385461,0.46507922,0.25244466,0.15282499
-5.78989495,0.98836603,0.01642329,0.09151641,0.25058135,0.00386823,0.48057742,0.27058043,0.15755868
-5.78389195,1.03139843,0.01569928,0.09760664,0.25737257,0.00394971,0.49988104,0.29077326,0.16353994
-5.77788894,1.08180383,0.01512012,0.10438783,0.26641118,0.00409780,0.52275387,0.31299882,0.17071326
-5.77188594,1.13905692,0.01468295,0.11183007,0.27757973,0.00431131,0.54891466,0.33721765,0.17899800
-5.76588294,1.20253016,0.01438137,0.11989014,0.29071991,0.00458918,0.57804217,0.36337644,0.18828968
-5.75987994,1.27150666,0.01420574,0.12851241,0.30563718,0.00493060,0.60978155,0.39140971,0.19846216
-5.75387694,1.34519624,0.01414359,0.13763030,0.32210652,0.00533510,0.64375191,0.42124208,0.20937061
-5.74787394,1.42275452,0.01418014,0.14716817,0.33987933,0.00580259,0.67955500,0.45279073,0.22085519
-5.74187094,1.50330437,0.01429879,0.15704354,0.35869098,0.00633344,0.71678473,0.48596808,0.23274534
-5.73586793,1.58595895,0.01448173,0.16716954,0.37826885,0.00692850,0.75503726,0.52068426,0.24486459
-5.72986493,1.66984529,0.01471056,0.17745756,0.39834048,0.00758910,0.79392114,0.55684928,0.25703563
-5.72386193,1.75412734,0.01496682,0.18781979,0.41864127,0.00831702,0.83306704,0.59437452,0.26908549
-5.71785893,1.83802732,0.01523263,0.19817170,0.43892164,0.00911439,0.87213667,0.63317337,0.28085055
-5.71185593,1.92084412,0.01549123,0.20843420,0.45895308,0.00998360,0.91083012,0.67316067,0.29218116
-5.70585293,2.00196772,0.01572743,0.21853538,0.47853287,0.01092712,0.94889143,0.71425106,0.30294577
-5.69984992,2.08088876,0.01592804,0.22841180,0.49748734,0.01194730,0.98611180,0.75635596,0.31303408
-5.69384692,2.15720254,0.01608224,0.23800910,0.51567329,0.01304610,1.02233025,0.79937933,0.32235937
-5.68784392,2.23060723,0.01618176,0.24728215,0.53297788,0.01422483,1.05743163,0.84321258,0.33085968
-5.68184092,2.30089639,0.01622104,0.25619449,0.54931667,0.01548380,1.09134202,0.88772862,0.33849787
-5.67583792,2.36794620,0.01619730,0.26471726,0.56463038,0.01682206,1.12402182,0.93277583,0.34526057
-5.66983492,2.43169836,0.01611042,0.27282777,0.57888030,0.01823705,1.15545685,0.97817230,0.35115604
-5.66383192,2.49213981,0.01596280,0.28050768,0.59204290,0.01972433,1.18564816,1.02370089,0.35621116
-5.65782891,2.54928076,0.01575912,0.28774113,0.60410402,0.02127734,1.21460123,1.06910590,0.36046776
