energy_ev,total_up,Cd_p_up,Cd_d_up,S_s_up,S_p_up,Sn_p_up,Sn_d_up
-6.00000000,0.46261576,0.20772302,0.03704306,0.00482413,0.14331965,0.07957337,0.00011035
-5.99399700,0.47154682,0.20898631,0.03797314,0.00481523,0.14704101,0.08073435,0.00011272
-5.98799400,0.47878226,0.20965895,0.03875529,0.00479886,0.15023233,0.08161028,0.00011462
-5.98199100,0.48412297,0.20968037,0.03937087,0.00477220,0.15281223,0.08217500,0.00011599
-5.97598799,0.48739246,0.20899554,0.03980350,0.00473295,0.15470668,0.08240551,0.00011682
-5.96998499,0.48844313,0.20755750,0.04003955,0.00467931,0.15585179,0.08228283,0.00011706
-5.96398199,0.48716203,0.20532975,0.04006867,0.00461000,0.15619634,0.08179291,0.00011672
-5.95797899,0.48347589,0.20228843,0.03988416,0.00452421,0.15570400,0.08092730,0.00011577
-5.95197599,0.47735511,0.19842411,0.03948334,0.00442160,0.15435500,0.07968382,0.00011422
-5.94597299,0.46881649,0.19374315,0.03886772,0.00430231,0.15214733,0.07806697,0.00011208
-5.93996998,0.45792450,0.18826850,0.03804315,0.00416694,0.14909727,0.07608817,0.00010938
-5.93396698,0.44479100,0.18203992,0.03701973,0.00401649,0.14523932,0.07376574,0.00010615
-5.92796398,0.42957339,0.17511365,0.03581164,0.00385237,0.14062545,0.07112471,0.00010242
-5.92196098,0.41247124,0.16756144,0.03443688,0.00367637,0.13532381,0.06819632,0.00009826
-5.91595798,0.39372159,0.15946909,0.03291681,0.00349059,0.12941690,0.06501735,0.00009371
-5.90995498,0.37359306,0.15093448,0.03127570,0.00329741,0.12299930,0.06162927,0.00008885
-5.90395198,0.35237913,0.14206535,0.02954010,0.00309946,0.11617511,0.05807723,0.00008375
-5.89794897,0.33039092,0.13297678,0.02773832,0.00289953,0.10905524,0.05440896,0.00007847
-5.89194597,0.30794974,0.12378856,0.02589976,0.00270058,0.10175463,0.05067364,0.00007309
-5.88594297,0.28537988,0.11462273,0.02405433,0.00250565,0.09438959,0.04692072,0.00006769
-5.87993997,0.26300189,0.10560113,0.02223195,0.00231785,0.08707529,0.04319889,0.00006234
-5.87393697,0.24112663,0.09684338,0.02046210,0.00214032,0.07992370,0.03955510,0.00005712
-5.86793397,0.22005044,0.08846512,0.01877339,0.00197622,0.07304180,0.03603376,0.00005209
-5.86193097,0.20005145,0.08057682,0.01719337,0.00182872,0.06653031,0.03267604,0.00004731
-5.85592796,0.18138719,0.07328291,0.01574835,0.00170097,0.06048283,0.02951951,0.00004284
-5.84992496,0.16429349,0.06668156,0.01446332,0.00159615,0.05498550,0.02659781,0.00003874
-5.84392196,0.14898459,0.06086470,0.01336203,0.00151743,0.05011702,0.02394063,0.00003506
-5.83791896,0.13565425,0.05591859,0.01246708,0.00146805,0.04594904,0.02157381,0.00003184
-5.83191596,0.12447776,0.05192455,0.01180006,0.00145126,0.04254684,0.01951962,0.00002911
-5.82591296,0.11561444,0.04895993,0.01138175,0.00147039,0.03997011,0.01779707,0.00002692
-5.81990995,0.10921046,0.04709903,0.01123228,0.00152884,0.03827384,0.01642237,0.00002530
-5.81390695,0.10540158,0.04641405,0.01137127,0.00163006,0.03750914,0.01540934,0.00002428
-5.80790395,0.10431560,0.04697569,0.01181787,0.00177758,0.03772391,0.01476990,0.00002389
-5.80190095,0.10607415,0.04885354,0.01259075,0.00197498,0.03896325,0.01451433,0.00002415
-5.79589795,0.11079366,0.05211591,0.01370800,0.00222581,0.04126964,0.01465163,0.00002510
-5.78989495,0.11858535,0.05682924,0.01518687,0.00253364,0.04468262,0.01518956,0.00002676
-5.78389195,0.12955411,0.06305690,0.01704342,0.00290194,0.04923827,0.01613470,0.00002915
-5.77788894,0.14379616,0.07085749,0.01929205,0.00333405,0.05496821,0.01749226,0.00003230
-5.77188594,0.16139581,0.08028252,0.02194502,0.00383315,0.06189837,0.01926577,0.00003622
-5.76588294,0.18242115,0.09137378,0.02501175,0.00440221,0.07004748,0.02145666,0.00004094
-5.75987994,0.20691907,0.10416023,0.02849831,0.00504396,0.07942543,0.02406370,0.00004646
-5.75387694,0.23490989,0.11865478,0.03240672,0.00576090,0.09003163,0.02708240,0.00005278
-5.74787394,0.26638186,0.13485104,0.03673444,0.00655532,0.10185341,0.03050432,0.00005990
-5.74187094,0.30128593,0.15272019,0.04147391,0.00742937,0.11486477,0.03431652,0.00006780
-5.73586793,0.33953119,0.17220830,0.04661226,0.00838515,0.12902538,0.03850089,0.00007646
-5.72986493,0.38098132,0.19323413,0.05213117,0.00942488,0.14428010,0.04303382,0.00008583
-5.72386193,0.42545236,0.21568776,0.05800697,0.01055106,0.16055910,0.04788579,0.00009587
-5.71785893,0.47271216,0.23943006,0.06421090,0.01176671,0.17777852,0.05302137,0.00010649
-5.71185593,0.52248150,0.26429322,0.07070967,0.01307560,0.19584186,0.05839932,0.00011763
-5.70585293,0.57443728,0.29008237,0.07746616,0.01448255,0.21464187,0.06397297,0.00012917
-5.69984992,0.62821738,0.31657825,0.08444028,0.01599368,0.23406307,0.06969087,0.00014102
-5.69384692,0.68342738,0.34354099,0.09159002,0.01761669,0.25398458,0.07549764,0.00015305
-5.68784392,0.73964867,0.37071480,0.09887252,0.01936105,0.27428329,0.08133511,0.00016514
-5.68184092,0.79644771,0.39783341,0.10624512,0.02123823,0.29483710,0.08714357,0.00017714
-5.67583792,0.85338595,0.42462609,0.11366636,0.02326172,0.31552793,0.09286319,0.00018892
-5.66983492,0.91002991,0.45082397,0.12109686,0.02544711,0.33624455,0.09843553,0.00020033
-5.66383192,0.96596095,0.47616637,0.12849992,0.02781188,0.35688473,0.10380504,0.00021125
-5.65782891,1.02078414,0.50040690,0.13584192,0.03037524,0.37735683,0.10892052,0.00022153
-5.65182591,1.07413586,0.52331893,0.14309238,0.03315769,0.39758045,0.11373649,0.00023107
-5.64582291,1.12568965,0.54470045,0.15022375,0.03618053,0.41748629,0.11821435,0.00023974
-5.63981991,1.17516008,0.56437781,0.15721083,0.03946518,0.43701502,0.12232336,0.00024746
-5.63381691,1.22230444,0.58220839,0.16403001,0.04303243,0.45611540,0.12604128,0.00025414
-5.62781391,1.26692235,0.59808211,0.17065821,0.04690153,0.47474161,0.12935485,0.00025974
-5.62181091,1.30885328,0.61192173,0.17707176,0.05108928,0.49285003,0.13225984,0.00026422
-5.61580790,1.34797231,0.62368198,0.18324516,0.05560897,0.51039579,0.13476091,0.00026754
-5.60980490,1.38418460,0.63334769,0.18915004,0.06046947,0.52732917,0.13687109,0.00026972
-5.60380190,1.41741885,0.64093115,0.19475409,0.06567421,0.54359230,0.13861109,0.00027077
-5.59779890,1.44762050,0.64646878,0.20002046,0.07122036,0.55911634,0.14000841,0.00027073
-5.59179590,1.47474506,0.65001745,0.20490740,0.07709808,0.57381942,0.14109617,0.00026964
-5.58579290,1.49875215,0.65165068,0.20936831,0.08328997,0.58760551,0.14191201,0.00026758
