energy_ev,total_up,C_s_up,C_p_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,7.81292253,0.05859163,0.53861439,3.75808238,3.00806194,0.07630008,3.97972566,0.29142799,0.53759888
-5.99399700,7.79342727,0.05858421,0.53349883,3.76438501,2.98568939,0.07632001,3.97878602,0.28910791,0.53484146
-5.98799400,7.77032957,0.05854122,0.52801735,3.76496074,2.96326171,0.07626765,3.97487879,0.28691027,0.53178879
-5.98199100,7.74346562,0.05846335,0.52219577,3.75967830,2.94083352,0.07613802,3.96789914,0.28484076,0.52841257
-5.97598799,7.71272364,0.05835177,0.51606409,3.74853608,2.91843988,0.07592653,3.95779084,0.28290648,0.52469023
-5.96998499,7.67806228,0.05820827,0.50965672,3.73166640,2.89610259,0.07562930,3.94455609,0.28111644,0.52060637
-5.96398199,7.63952347,0.05803532,0.50301247,3.70933411,2.87383563,0.07524345,3.92826182,0.27948178,0.51615380
-5.95797899,7.59723886,0.05783612,0.49617410,3.68192941,2.85164937,0.07476737,3.90904198,0.27801568,0.51133403
-5.95197599,7.55142971,0.05761465,0.48918772,3.64995521,2.82955338,0.07420089,3.88709561,0.27673301,0.50615728
-5.94597299,7.50240005,0.05737560,0.48210187,3.61400955,2.80755779,0.07354548,3.86268095,0.27564964,0.50064203
-5.93996998,7.45052408,0.05712440,0.47496634,3.57476396,2.78567318,0.07280434,3.83610573,0.27478156,0.49481403
-5.93396698,7.39622831,0.05686704,0.46783088,3.53293875,2.76390937,0.07198234,3.80771452,0.27414385,0.48870506
-5.92796398,7.33996998,0.05661000,0.46074392,3.48927647,2.74227301,0.07108602,3.77787366,0.27374942,0.48235129
-5.92196098,7.28221315,0.05636005,0.45375117,3.44451471,2.72076464,0.07012342,3.74695476,0.27360788,0.47579156
-5.91595798,7.22340389,0.05612404,0.44689446,3.39935962,2.69937532,0.06910388,3.71531782,0.27372433,0.46906557
-5.90995498,7.16394636,0.05590871,0.44021069,3.35446127,2.67808325,0.06803775,3.68329471,0.27409839,0.46221213
-5.90395198,7.10418106,0.05572037,0.43373104,3.31039198,2.65685086,0.06693612,3.65117412,0.27472333,0.45526760
-5.89794897,7.04436676,0.05556473,0.42748051,3.26762851,2.63562250,0.06581050,3.61918875,0.27558550,0.44826455
-5.89194597,6.98466703,0.05544659,0.42147776,3.22653883,2.61432320,0.06467245,3.58750524,0.27666413,0.44123076
-5.88594297,6.92514223,0.05536966,0.41573527,3.18737383,2.59285852,0.06353328,3.55621759,0.27793134,0.43418858
-5.87993997,6.86574732,0.05533631,0.41025985,3.15026431,2.57111584,0.06240376,3.52534409,0.27935257,0.42715461
-5.87393697,6.80633550,0.05534745,0.40505338,3.11522309,2.54896686,0.06129384,3.49482794,0.28088725,0.42013978
-5.86793397,6.74666752,0.05540240,0.40011383,3.08215189,2.52627151,0.06021246,3.46454150,0.28248986,0.41314976
-5.86193097,6.68642585,0.05549885,0.39543636,3.05085268,2.50288286,0.05916737,3.43429362,0.28411107,0.40618561
-5.85592796,6.62523300,0.05563285,0.39101459,3.02104259,2.47865299,0.05816504,3.40383987,0.28569921,0.39924463
-5.84992496,6.56267269,0.05579890,0.38684176,2.99237174,2.45343944,0.05721060,3.37289478,0.28720165,0.39232134
-5.84392196,6.49831283,0.05599008,0.38291193,2.96444296,2.42711186,0.05630790,3.34114561,0.28856638,0.38540855
-5.83791896,6.43172891,0.05619827,0.37922088,2.93683259,2.39955857,0.05545951,3.30826683,0.28974337,0.37849835
-5.83191596,6.36252667,0.05641438,0.37576695,2.90911138,2.37069258,0.05466685,3.27393474,0.29068589,0.37158301
-5.82591296,6.29036285,0.05662871,0.37255149,2.88086461,2.34045685,0.05393029,3.23784138,0.29135164,0.36465579
-5.81990995,6.21496326,0.05683129,0.36957908,2.85171076,2.30882852,0.05324934,3.19970744,0.29170361,0.35771156
-5.81390695,6.13613746,0.05701232,0.36685750,2.82131796,2.27582183,0.05262276,3.15929359,0.29171072,0.35074719
-5.80790395,6.05378955,0.05716254,0.36439739,2.78941787,2.24148987,0.05204878,3.11640995,0.29134821,0.34376178
-5.80190095,5.96792531,0.05727376,0.36221171,2.75581655,2.20592501,0.05152520,3.07092361,0.29059778,0.33675675
-5.79589795,5.87865557,0.05733928,0.36031500,2.72040224,2.16925816,0.05104966,3.02276420,0.28944747,0.32973575
-5.78989495,5.78619636,0.05735434,0.35872264,2.68314996,2.13165722,0.05061969,2.97192757,0.28789146,0.32270444
-5.78389195,5.69086650,0.05731659,0.35745004,2.64412311,2.09332472,0.05023296,2.91847772,0.28592971,0.31567033
-5.77788894,5.59308320,0.05722644,0.35651193,2.60347227,2.05449526,0.04988738,2.86254739,0.28356751,0.30864248
-5.77188594,5.49335640,0.05708746,0.35592179,2.56143152,2.01543270,0.04958131,2.80433741,0.28081509,0.30163132
-5.76588294,5.39228261,0.05690662,0.35569159,2.51831266,1.97642763,0.04931367,2.74411517,0.27768724,0.29464850
-5.75987994,5.29053863,0.05669451,0.35583171,2.47449770,1.93779507,0.04908411,2.68221229,0.27420301,0.28770688
-5.75387694,5.18887550,0.05646541,0.35635121,2.43042996,1.89987272,0.04889319,2.61902180,0.27038558,0.28082055
-5.74787394,5.08811287,0.05623728,0.35725846,2.38660424,1.86301948,0.04874245,2.55499466,0.26626213,0.27400498
-5.74187094,4.98913352,0.05603159,0.35856196,2.34355621,1.82761433,0.04863460,2.49063567,0.26186394,0.26727722
-5.73586793,4.89287772,0.05587303,0.36027147,2.30185140,1.79405521,0.04857357,2.42649872,0.25722648,0.26065616
-5.72986493,4.80033691,0.05578903,0.36239924,2.26207389,1.76275764,0.04856459,2.36318102,0.25238950,0.25416275
-5.72386193,4.71254602,0.05580914,0.36496129,2.22481488,1.73415277,0.04861416,2.30131620,0.24739717,0.24782014
-5.71785893,4.63057363,0.05596430,0.36797866,2.19066122,1.70868431,0.04873002,2.24156605,0.24229806,0.24165376
-5.71185593,4.55550941,0.05628590,0.37147844,2.16018400,1.68680426,0.04892103,2.18461070,0.23714501,0.23569115
-5.70585293,4.48844835,0.05680478,0.37549450,2.13392724,1.66896693,0.04919696,2.13113713,0.23199470,0.22996171
