energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,S_s_up,S_p_up,W_p_up,W_d_up
-6.00000000,2.91587466,0.00220579,0.55969519,0.64030613,0.42071256,0.00911370,1.09269726,1.66423604,0.64955834
-5.99399700,3.00986935,0.00218544,0.57130249,0.65885743,0.44498986,0.00939455,1.14177286,1.69729049,0.66282311
-5.98799400,3.11194625,0.00217838,0.58364782,0.67997761,0.47110208,0.00969598,1.19534781,1.73288200,0.67710480
-5.98199100,3.22197121,0.00218443,0.59683845,0.70362691,0.49889540,0.01000925,1.25316668,1.77138705,0.69249245
-5.97598799,3.33971607,0.00220329,0.61098065,0.72972903,0.52819105,0.01032599,1.31491691,1.81315140,0.70906681
-5.96998499,3.46485109,0.00223453,0.62617218,0.75817425,0.55878854,0.01063834,1.38023477,1.85846612,0.72689461
-5.96398199,3.59693755,0.00227768,0.64249455,0.78882292,0.59046890,0.01093903,1.44871164,1.90754379,0.74602269
-5.95797899,3.73542101,0.00233220,0.66000549,0.82150908,0.62299794,0.01122153,1.51990017,1.96049613,0.76647244
-5.95197599,3.87962551,0.00239753,0.67873192,0.85604414,0.65612924,0.01148010,1.59332007,2.01731426,0.78823455
-5.94597299,4.02874927,0.00247307,0.69866385,0.89222016,0.68960699,0.01170983,1.66846344,2.07785279,0.81126456
-5.93996998,4.18186225,0.00255819,0.71974953,0.92981275,0.72316843,0.01190671,1.74479926,2.14181865,0.83547933
-5.93396698,4.33790625,0.00265225,0.74189210,0.96858334,0.75654599,0.01206764,1.82177719,2.20876557,0.86075468
-5.92796398,4.49569768,0.00275457,0.76494798,1.00828071,0.78946917,0.01219042,1.89883060,2.27809449,0.88692432
-5.92196098,4.65393364,0.00286445,0.78872711,1.04864177,0.82166612,0.01227374,1.97537888,2.34906041,0.91378023
-5.91595798,4.81120133,0.00298113,0.81299509,1.08939167,0.85286513,0.01231715,2.05082926,2.42078520,0.94107450
-5.90995498,4.96599113,0.00310379,0.83747712,1.13024317,0.88279609,0.01232095,2.12457836,2.49227627,0.96852259
-5.90395198,5.11671327,0.00323152,0.86186372,1.17089566,0.91119199,0.01228618,2.19601360,2.56245019,0.99580806
-5.89794897,5.26171804,0.00336335,0.88581796,1.21103383,0.93779063,0.01221448,2.26451499,2.63016042,1.02258845
-5.89194597,5.39931922,0.00349816,0.90898382,1.25032638,0.96233664,0.01210804,2.32945732,2.69422797,1.04850227
