energy_ev,total_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up,Sb_p_up,Sb_d_up
-6.00000000,6.02874050,3.82734569,2.08993114,0.04092474,2.71326022,1.26340476,0.01132165
-5.99399700,6.17662059,3.88013746,2.18671510,0.04296838,2.81265429,1.26466570,0.01173060
-5.98799400,6.32684809,3.93672843,2.28665944,0.04496797,2.91650708,1.26373952,0.01213024
-5.98199100,6.47545276,3.99480027,2.38794398,0.04688607,3.02254958,1.26025650,0.01251120
-5.97598799,6.61834688,4.05191850,2.48862648,0.04868546,3.12837066,1.25388600,0.01286428
-5.96998499,6.75142144,4.10560021,2.58668256,0.05033004,3.23147146,1.24434640,0.01318066
-5.96398199,6.87064587,4.15338393,2.68005061,0.05178556,3.32932473,1.23141335,0.01345214
-5.95797899,6.97216938,4.19290003,2.76668110,0.05302056,3.41943784,1.21492630,0.01367135
-5.95197599,7.05242160,4.22193978,2.84458889,0.05400705,3.49941783,1.19479323,0.01383196
-5.94597299,7.10821002,4.23852144,2.91190724,0.05472135,3.56703693,1.17099369,0.01392882
-5.93996998,7.13681139,4.24095130,2.96694165,0.05514471,3.62029635,1.14358000,0.01395817
-5.93396698,7.13605439,4.22787791,3.00822175,0.05526389,3.65748629,1.11267690,0.01391767
-5.92796398,7.10439058,4.19833785,3.03454928,0.05507155,3.67724009,1.07847952,0.01380653
-5.92196098,7.04095098,4.15179135,3.04504004,0.05456657,3.67858033,1.04125000,0.01362553
-5.91595798,6.94558582,4.08814646,3.03915817,0.05375412,3.66095503,1.00131255,0.01337700
-5.90995498,6.81888566,4.00777082,3.01674112,0.05264563,3.62426248,0.95904742,0.01306474
-5.90395198,6.66218245,3.91149046,2.97801398,0.05125848,3.56886335,0.91488362,0.01269398
-5.89794897,6.47753012,3.80057554,2.92359258,0.04961568,3.49557961,0.86929077,0.01227119
-5.89194597,6.26766480,3.67671338,2.85447485,0.04774524,3.40568006,0.82277005,0.01180395
-5.88594297,6.03594603,3.54196977,2.77202093,0.04567953,3.30085292,0.77584465,0.01130070
-5.87993997,5.78628077,3.39873985,2.67792247,0.04345444,3.18316668,0.72904992,0.01077056
-5.87393697,5.52303305,3.24969041,2.57416263,0.04110861,3.05502045,0.68292328,0.01022308
-5.86793397,5.25092243,3.09769570,2.46296827,0.03868246,2.91908614,0.63799451,0.00966800
-5.86193097,4.97491517,2.94576909,2.34675621,0.03621739,2.77824439,0.59477634,0.00911500
-5.85592796,4.70011199,2.79699293,2.22807577,0.03375487,2.63551689,0.55375589,0.00857348
-5.84992496,4.43163633,2.65444915,2.10954973,0.03133574,2.49399744,0.51538700,0.00805235
-5.84392196,4.17452677,2.52115249,1.99381562,0.02899946,2.35678404,0.48008376,0.00755984
-5.83791896,3.93363687,2.39998867,1.88346944,0.02678360,2.22691418,0.44821539,0.00710333
-5.83191596,3.71354505,2.29365869,1.78101321,0.02472335,2.10730491,0.42010242,0.00668927
-5.82591296,3.51847628,2.20463059,1.68880766,0.02285116,2.00069906,0.39601446,0.00632305
-5.81990995,3.35223672,2.13509917,1.60903079,0.02119657,1.90961844,0.37616914,0.00600895
-5.81390695,3.21816153,2.08695400,1.54364276,0.01978604,1.83632428,0.36073240,0.00575015
-5.80790395,3.11907539,2.06175528,1.49435709,0.01864286,1.78278496,0.34981977,0.00554872
-5.80190095,3.05726472,2.06071714,1.46261783,0.01778719,1.75065046,0.34349840,0.00540569
-5.79589795,3.03445976,2.08469726,1.44958222,0.01723602,1.74123303,0.34178956,0.00532108
-5.78989495,3.05182507,2.13419202,1.45610802,0.01700319,1.75549306,0.34467132,0.00529400
-5.78389195,3.10995613,2.20933588,1.48274485,0.01709934,1.79402931,0.35208111,0.00532275
-5.77788894,3.20888054,2.30990390,1.52972876,0.01753184,1.85707283,0.36391777,0.00540494
-5.77188594,3.34806210,2.43531677,1.59697948,0.01830464,1.94448370,0.38004301,0.00553753
-5.76588294,3.52640689,2.58464727,1.68409995,0.01941802,2.05575048,0.40028204,0.00571699
