energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-6.00000000,3.84247944,1.00740940,0.43080241,0.00512847,0.54031357,1.19099306,1.83742193,0.00444562,1.17488235
-5.99399700,3.89621934,1.02729309,0.43939384,0.00555629,0.54990350,1.20812961,1.86204309,0.00473531,1.18006533
-5.98799400,3.94222027,1.04544903,0.44748537,0.00598677,0.55791961,1.22322258,1.88272413,0.00507393,1.18269382
-5.98199100,3.98021212,1.06186127,0.45507903,0.00641388,0.56418387,1.23609970,1.89935110,0.00546010,1.18288414
-5.97598799,4.01018919,1.07656742,0.46219458,0.00683126,0.56857015,1.24666353,1.91194698,0.00589218,1.18082589
-5.96998499,4.03239086,1.08965471,0.46886542,0.00723230,0.57100650,1.25488947,1.92066160,0.00636818,1.17677129
-5.96398199,4.04727302,1.10125452,0.47513400,0.00761034,0.57147537,1.26082147,1.92575657,0.00688560,1.17102268
-5.95797899,4.05547162,1.11153569,0.48104687,0.00795885,0.57001166,1.26456570,1.92758576,0.00744131,1.16391875
-5.95197599,4.05776032,1.12069680,0.48664968,0.00827161,0.56669906,1.26628242,1.92657250,0.00803142,1.15582008
-5.94597299,4.05500402,1.12895765,0.49198234,0.00854288,0.56166452,1.26617638,1.92318446,0.00865118,1.14709449
-5.93996998,4.04811074,1.13655007,0.49707465,0.00876759,0.55507153,1.26448611,1.91790765,0.00929493,1.13810278
-5.93396698,4.03798375,1.14370847,0.50194254,0.00894149,0.54711218,1.26147251,1.91122044,0.00995603,1.12918524
-5.92796398,4.02547625,1.15066031,0.50658529,0.00906131,0.53799868,1.25740715,1.90356920,0.01062690,1.12064941
-5.92196098,4.01135040,1.15761669,0.51098363,0.00912483,0.52795461,1.25256057,1.89534627,0.01129908,1.11275946
-5.91595798,3.99624251,1.16476340,0.51509899,0.00913098,0.51720623,1.24719111,1.88687157,0.01196334,1.10572736
-5.90995498,3.98063557,1.17225278,0.51887390,0.00907986,0.50597431,1.24153454,1.87837831,0.01260985,1.09970620
-5.90395198,3.96484025,1.18019638,0.52223346,0.00897274,0.49446682,1.23579485,1.87000365,0.01322835,1.09478562
-5.89794897,3.94898482,1.18865906,0.52508784,0.00881201,0.48287257,1.23013652,1.86178427,0.01380847,1.09098953
-5.89194597,3.93301412,1.19765437,0.52733566,0.00860111,0.47135621,1.22467845,1.85365722,0.01433993,1.08827609
-5.88594297,3.91669744,1.20714182,0.52886817,0.00834436,0.46005455,1.21948986,1.84546563,0.01481288,1.08653990
-5.87993997,3.89964444,1.21702586,0.52957379,0.00804689,0.44907443,1.21458817,1.83696896,0.01521817,1.08561625
-5.87393697,3.88132847,1.22715703,0.52934315,0.00771440,0.43849185,1.20993905,1.82785715,0.01554767,1.08528734
-5.86793397,3.86111570,1.23733511,0.52807397,0.00735301,0.42835269,1.20545854,1.81776790,0.01579452,1.08529017
-5.86193097,3.83829888,1.24731442,0.52567598,0.00696906,0.41867441,1.20101730,1.80630623,0.01595334,1.08532598
-5.85592796,3.81213400,1.25681114,0.52207529,0.00656894,0.40944901,1.19644667,1.79306528,0.01602045,1.08507084
-5.84992496,3.78187835,1.26551248,0.51721829,0.00615890,0.40064674,1.19154648,1.77764745,0.01599397,1.08418711
-5.84392196,3.74682809,1.27308741,0.51107473,0.00574488,0.39222039,1.18609426,1.75968491,0.01587390,1.08233547
-5.83791896,3.70635400,1.27919868,0.50364001,0.00533239,0.38411005,1.17985538,1.73885856,0.01566213,1.07918703
-5.83191596,3.65993377,1.28351552,0.49493644,0.00492640,0.37624794,1.17259392,1.71491461,0.01536233,1.07443518
-5.82591296,3.60717951,1.28572665,0.48501353,0.00453123,0.36856318,1.16408355,1.68767820,0.01497989,1.06780677
-5.81990995,3.54785956,1.28555293,0.47394731,0.00415056,0.36098620,1.15411816,1.65706345,0.01452169,1.05907218
-5.81390695,3.48191342,1.28275912,0.46183860,0.00378731,0.35345272,1.14252155,1.62307955,0.01399589,1.04805391
-5.80790395,3.40945961,1.27716403,0.44881044,0.00344374,0.34590706,1.12915587,1.58583276,0.01341167,1.03463333
-5.80190095,3.33079585,1.26864875,0.43500467,0.00312141,0.33830465,1.11392833,1.54552438,0.01277895,1.01875529
-5.79589795,3.24639179,1.25716225,0.42057790,0.00282129,0.33061377,1.09679571,1.50244460,0.01210808,1.00043038
-5.78989495,3.15687456,1.24272413,0.40569688,0.00254375,0.32281634,1.07776667,1.45696284,0.01140956,0.97973471
-5.78389195,3.06300786,1.22542436,0.39053361,0.00228869,0.31490791,1.05690154,1.40951491,0.01069376,0.95680718
-5.77788894,2.96566542,1.20541981,0.37526022,0.00205562,0.30689677,1.03430958,1.36058761,0.00997065,0.93184438
-5.77188594,2.86580013,1.18292791,0.36004391,0.00184370,0.29880241,1.01014404,1.31070151,0.00924961,0.90509322
-5.76588294,2.76441027,1.15821756,0.34504209,0.00165187,0.29065332,0.98459502,1.26039271,0.00853920,0.87684174
-5.75987994,2.66250426,1.13159791,0.33039796,0.00147891,0.28248436,0.95788081,1.21019438,0.00784704,0.84740848
-5.75387694,2.56106564,1.10340550,0.31623657,0.00132351,0.27433393,0.93023793,1.16061892,0.00717971,0.81713079
-5.74787394,2.46101998,1.07399067,0.30266170,0.00118430,0.26624093,0.90191064,1.11214152,0.00654271,0.78635284
-5.74187094,2.36320505,1.04370367,0.28975350,0.00105996,0.25824196,0.87314046,1.06518586,0.00594040,0.75541371
-5.73586793,2.26834588,1.01288170,0.27756707,0.00094923,0.25036869,0.84415624,1.02011253,0.00537607,0.72463617
-5.72986493,2.17703558,0.98183720,0.26613205,0.00085093,0.24264581,0.81516547,0.97721058,0.00485200,0.69431679
