energy_ev,total_up,N_s_up,N_p_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,2.89810810,0.00610199,0.34077380,1.32135055,0.80502823,0.00599701,1.12711740
-5.99399700,2.96063493,0.00654433,0.34340763,1.36780491,0.82779751,0.00613384,1.15028025
-5.98799400,3.02310244,0.00699573,0.34536412,1.41390269,0.85062658,0.00631423,1.17377686
-5.98199100,3.08500181,0.00745345,0.34662966,1.45915088,0.87334445,0.00654141,1.19740789
-5.97598799,3.14573169,0.00791474,0.34718788,1.50303010,0.89576032,0.00681776,1.22092908
-5.96998499,3.20462957,0.00837699,0.34702081,1.54501626,0.91767274,0.00714470,1.24406483
-5.96398199,3.26100725,0.00883772,0.34611064,1.58460345,0.93887961,0.00752266,1.26652333
-5.95797899,3.31418802,0.00929473,0.34444194,1.62132688,0.95918833,0.00795103,1.28801251
-5.95197599,3.36354304,0.00974605,0.34200428,1.65478430,0.97842544,0.00842809,1.30825558
-5.94597299,3.40852467,0.01019003,0.33879495,1.68465472,0.99644504,0.00895102,1.32700527
-5.93996998,3.44869452,0.01062527,0.33482154,1.71071299,1.01313557,0.00951584,1.34405590
-5.93396698,3.48374452,0.01105067,0.33010435,1.73283957,1.02842428,0.01011749,1.35925258
-5.92796398,3.51350965,0.01146532,0.32467823,1.75102453,1.04227926,0.01074977,1.37249687
-5.92196098,3.53797176,0.01186849,0.31859386,1.76536575,1.05470885,0.01140546,1.38374891
-5.91595798,3.55725433,0.01225952,0.31191827,1.77606114,1.06575847,0.01207636,1.39302578
-5.90995498,3.57160895,0.01263773,0.30473455,1.78339550,1.07550520,0.01275343,1.40039649
-5.90395198,3.58139445,0.01300240,0.29714082,1.78772284,1.08405035,0.01342690,1.40597403
-5.89794897,3.58705062,0.01335263,0.28924838,1.78944508,1.09151083,0.01408648,1.40990514
-5.89194597,3.58906827,0.01368729,0.28117923,1.78898861,1.09800968,0.01472159,1.41235877
-5.88594297,3.58795805,0.01400502,0.27306307,1.78678020,1.10366671,0.01532155,1.41351381
-5.87993997,3.58422013,0.01430412,0.26503392,1.78322348,1.10858969,0.01587593,1.41354739
-5.87393697,3.57831691,0.01458264,0.25722655,1.77867781,1.11286687,0.01637477,1.41262422
-5.86793397,3.57065057,0.01483833,0.24977288,1.77344040,1.11656137,0.01680893,1.41088792
-5.86193097,3.56154687,0.01506873,0.24279859,1.76773300,1.11970766,0.01717040,1.40845488
-5.85592796,3.55124612,0.01527123,0.23641994,1.76169379,1.12231059,0.01745252,1.40541091
-5.84992496,3.53990180,0.01544314,0.23074109,1.75537476,1.12434681,0.01765032,1.40181096
-5.84392196,3.52758659,0.01558185,0.22585192,1.74874481,1.12576870,0.01776071,1.39768180
-5.83791896,3.51430518,0.01568490,0.22182639,1.74169805,1.12651029,0.01778262,1.39302739
-5.83191596,3.50001294,0.01575012,0.21872153,1.73406690,1.12649499,0.01771716,1.38783658
-5.82591296,3.48463885,0.01577573,0.21657695,1.72563886,1.12564451,0.01756765,1.38209253
-5.81990995,3.46811117,0.01576051,0.21541502,1.71617609,1.12388847,0.01733957,1.37578323
-5.81390695,3.45038424,0.01570384,0.21524141,1.70543644,1.12117407,0.01704049,1.36891238
-5.80790395,3.43146451,0.01560581,0.21604619,1.69319481,1.11747533,0.01667990,1.36151010
-5.80190095,3.41143435,0.01546728,0.21780524,1.67926345,1.11280132,0.01626895,1.35364258
-5.79589795,3.39047239,0.01528994,0.22048199,1.66351033,1.10720297,0.01582019,1.34542034
-5.78989495,3.36886897,0.01507628,0.22402939,1.64587441,1.10077818,0.01534724,1.33700444
-5.78389195,3.34703632,0.01482961,0.22839208,1.62637715,1.09367488,0.01486437,1.32861042
-5.77788894,3.32551265,0.01455403,0.23350861,1.60512976,1.08609202,0.01438620,1.32050964
-5.77188594,3.30496010,0.01425430,0.23931376,1.58233587,1.07827841,0.01392723,1.31302783
-5.76588294,3.28615659,0.01393583,0.24574085,1.55828959,1.07052943,0.01350148,1.30654105
-5.75987994,3.26998188,0.01360452,0.25272388,1.53336910,1.06318189,0.01312214,1.30146884
-5.75387694,3.25739820,0.01326663,0.26019964,1.50802616,1.05660694,0.01280123,1.29826494
-5.74787394,3.24942609,0.01292864,0.26810944,1.48277211,1.05120153,0.01254930,1.29740566
