energy_ev,total_up,total_down,Cu_p_up,Cu_p_down,Cu_d_up,Cu_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,3.89144965,-3.89225503,0.42211977,-0.42213078,0.76955189,-0.76958974,0.00184003,-0.00184034,1.05910632,-1.05942816,1.09199829,-1.09225650,1.60557719,-1.60604115,0.61878422,-0.61885866,0.00000000,-0.00000000
-5.99399700,3.95802941,-3.95874418,0.42754654,-0.42755466,0.77624353,-0.77626481,0.00181944,-0.00181970,1.07957016,-1.07986135,1.11233799,-1.11256983,1.63636877,-1.63679054,0.63063603,-0.63070023,0.00000000,-0.00000000
-5.98799400,4.01671203,-4.01733229,0.43291329,-0.43291985,0.78127826,-0.78128507,0.00179385,-0.00179408,1.09719999,-1.09745724,1.13013546,-1.13033970,1.66368189,-1.66405607,0.64175908,-0.64181394,0.00000000,-0.00000000
-5.98199100,4.06772379,-4.06824698,0.43838906,-0.43839548,0.78499254,-0.78498725,0.00176448,-0.00176467,1.11185713,-1.11207759,1.14542820,-1.14560399,1.68727511,-1.68759682,0.65231199,-0.65235861,0.00000000,-0.00000000
-5.97598799,4.11141692,-4.11184183,0.44414992,-0.44415763,0.78775410,-0.78773927,0.00173264,-0.00173281,1.12344518,-1.12362650,1.15829563,-1.15844256,1.70695503,-1.70722006,0.66246771,-0.66250732,0.00000000,-0.00000000
-5.96998499,4.14824722,-4.14857398,0.45037230,-0.45038274,0.78994631,-0.78992458,0.00169970,-0.00169985,1.13191215,-1.13205255,1.16885332,-1.16897135,1.72258164,-1.72278662,0.67240353,-0.67243743,0.00000000,-0.00000000
-5.96398199,4.17874729,-4.17897724,0.45722587,-0.45724041,0.79195193,-0.79192593,0.00166702,-0.00166717,1.13725077,-1.13734912,1.17724554,-1.17733499,1.73407137,-1.73421384,0.68229086,-0.68232033,0.00000000,-0.00000000
-5.95797899,4.20349639,-4.20363199,0.46486612,-0.46488603,0.79413737,-0.79410956,0.00163589,-0.00163604,1.13949709,-1.13955288,1.18363674,-1.18369826,1.74139768,-1.74147616,0.69228529,-0.69231153,0.00000000,-0.00000000
-5.95197599,4.22308868,-4.22313331,0.47342704,-0.47345341,0.79683778,-0.79681041,0.00160748,-0.00160765,1.13872723,-1.13874061,1.18820213,-1.18823662,1.74458918,-1.74460322,0.70251735,-0.70254146,0.00000000,-0.00000000
-5.94597299,4.23810115,-4.23805891,0.48301406,-0.48304776,0.80034401,-0.80031898,0.00158280,-0.00158299,1.13505276,-1.13502447,1.19111805,-1.19112661,1.74372559,-1.74367570,0.71308454,-0.71310738,0.00000000,-0.00000000
