energy_ev,total_up,Cu_p_up,Cu_d_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,0.80708288,0.16402171,0.23767687,0.29053283,0.17139805,0.00025776,0.20058902,0.00921531,0.21171179
-5.99399700,0.84708993,0.17020399,0.26255078,0.28614844,0.17243394,0.00024926,0.19683351,0.00974520,0.23443299
-5.98799400,0.90022350,0.17933821,0.29255497,0.28572798,0.17557722,0.00024550,0.19528343,0.01038434,0.26135547
-5.98199100,0.96699842,0.19137351,0.32797987,0.28945486,0.18091027,0.00024634,0.19606345,0.01112833,0.29257806
-5.97598799,1.04781825,0.20623904,0.36907872,0.29750119,0.18849446,0.00025167,0.19928109,0.01197061,0.32815935
-5.96998499,1.14294764,0.22383942,0.41605376,0.31002208,0.19836660,0.00026136,0.20502367,0.01290226,0.36810808
-5.96398199,1.25248640,0.24405070,0.46904242,0.32715016,0.21053579,0.00027527,0.21335572,0.01391201,0.41237406
-5.95797899,1.37634642,0.26671677,0.52810409,0.34899026,0.22498109,0.00029328,0.22431694,0.01498622,0.46084028
-5.95197599,1.51423256,0.29164686,0.59320797,0.37561455,0.24164976,0.00031526,0.23792074,0.01610906,0.51331648
-5.94597299,1.66562827,0.31861398,0.66422265,0.40705819,0.26045650,0.00034105,0.25415325,0.01726264,0.56953463
-5.93996998,1.82978706,0.34735481,0.74090802,0.44331539,0.28128339,0.00037050,0.27297300,0.01842742,0.62914676
-5.93396698,2.00573013,0.37757093,0.82290981,0.48433618,0.30398080,0.00040342,0.29431101,0.01958256,0.69172516
-5.92796398,2.19225082,0.40893148,0.90975757,0.53002363,0.32836912,0.00043961,0.31807132,0.02070644,0.75676544
-5.92196098,2.38792591,0.44107727,1.00086609,0.58023174,0.35424122,0.00047884,0.34413189,0.02177715,0.82369220
-5.91595798,2.59113374,0.47362626,1.09554065,0.63476386,0.38136567,0.00052084,0.37234576,0.02277317,0.89186747
-5.90995498,2.80007860,0.50618009,1.19298617,0.69337171,0.40949052,0.00056532,0.40254237,0.02367390,0.96060157
-5.90395198,3.01282089,0.53833156,1.29231996,0.75575497,0.43834753,0.00061196,0.43452900,0.02446032,1.02916619
-5.89794897,3.22731194,0.56967280,1.39258798,0.82156141,0.46765670,0.00066038,0.46809225,0.02511554,1.09680921
-5.89194597,3.44143247,0.59980360,1.49278397,0.89038770,0.49713099,0.00071018,0.50299945,0.02562532,1.16277068
-5.88594297,3.65303319,0.62833984,1.59187081,0.96178074,0.52648101,0.00076090,0.53900009,0.02597849,1.22629957
-5.87993997,3.85997626,0.65492147,1.68880346,1.03523977,0.55541962,0.00081206,0.57582713,0.02616731,1.28667046
-5.87393697,4.06017602,0.67921983,1.78255247,1.11021910,0.58366624,0.00086314,0.61319834,0.02618765,1.34319963
-5.86793397,4.25163772,0.70094402,1.87212717,1.18613172,0.61095080,0.00091355,0.65081757,0.02603912,1.39525999
-5.86193097,4.43249278,0.71984608,1.95659769,1.26235361,0.63701729,0.00096270,0.68837614,0.02572498,1.44229429
-5.85592796,4.60102959,0.73572485,2.03511484,1.33822909,0.66162675,0.00100997,0.72555433,0.02525203,1.48382603
-5.84992496,4.75571905,0.74842837,2.10692722,1.41307700,0.68455983,0.00105471,0.76202319,0.02463027,1.51946800
-5.84392196,4.89523417,0.75785496,2.17139480,1.48619786,0.70561876,0.00109627,0.79744654,0.02387257,1.54892798
-5.83791896,5.01846348,0.76395281,2.22799867,1.55688198,0.72462888,0.00113400,0.83148353,0.02299415,1.57201160
-5.83191596,5.12451842,0.76671844,2.27634670,1.62441848,0.74143969,0.00116727,0.86379159,0.02201211,1.58862247
-5.82591296,5.21273498,0.76619401,2.31617504,1.68810505,0.75592556,0.00119550,0.89402991,0.02094482,1.59875973
-5.81990995,5.28267005,0.76246384,2.34734579,1.74725845,0.76798601,0.00121813,0.92186354,0.01981139,1.60251312
-5.81390695,5.33409354,0.75565024,2.36984113,1.80122545,0.77754581,0.00123470,0.94696795,0.01863109,1.60005625
-5.80790395,5.36697687,0.74590901,2.38375451,1.84939408,0.78455477,0.00124480,0.96903414,0.01742285,1.59163817
-5.80190095,5.38147899,0.73342472,2.38927953,1.89120475,0.78898741,0.00124815,0.98777405,0.01620481,1.57757384
-5.79589795,5.37793085,0.71840598,2.38669728,1.92616120,0.79084238,0.00124456,1.00292626,0.01499388,1.55823394
-5.78989495,5.35681914,0.70108095,2.37636284,1.95384072,0.79014183,0.00123397,1.01426180,0.01380551,1.53403436
-5.78389195,5.31877011,0.68169306,2.35869173,1.97390342,0.78693058,0.00121643,1.02158979,0.01265342,1.50542583
-5.77788894,5.26453403,0.66049715,2.33414678,1.98610025,0.78127512,0.00119214,1.02476280,0.01154947,1.47288392
-5.77188594,5.19497070,0.63775597,2.30322616,1.99027942,0.77326250,0.00116141,1.02368161,0.01050363,1.43689977
-5.76588294,5.11103626,0.61373705,2.26645273,1.98639099,0.76299902,0.00112468,1.01829925,0.00952401,1.39797153
-5.75987994,5.01377118,0.58870996,2.22436507,1.97448940,0.75060873,0.00108249,1.00862409,0.00861694,1.35659687
-5.75387694,4.90428945,0.56294383,2.17751026,1.95473384,0.73623174,0.00103549,0.99472171,0.00778713,1.31326635
-5.74787394,4.78376853,0.53670505,2.12643820,1.92738635,0.72002236,0.00098440,0.97671559,0.00703787,1.26845779
-5.74187094,4.65343977,0.51025519,2.07169744,1.89280760,0.70214704,0.00092999,0.95478639,0.00637122,1.22263147
-5.73586793,4.51457895,0.48384895,2.01383213,1.85145049,0.68278221,0.00087309,0.92916971,0.00578828,1.17622619
-5.72986493,4.36849634,0.45773210,1.95337982,1.80385174,0.66211190,0.00081453,0.90015262,0.00528938,1.12965592
-5.72386193,4.21652609,0.43213945,1.89086965,1.75062149,0.64032545,0.00075514,0.86806866,0.00487429,1.08330707
-5.71785893,4.06001464,0.40729276,1.82682065,1.69243141,0.61761504,0.00069573,0.83329167,0.00454244,1.03753621
-5.71185593,3.90030784,0.38339855,1.76173980,1.63000148,0.59417331,0.00063704,0.79622854,0.00429306,0.99266811
