energy_ev,total_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,0.03566226,0.00002092,0.01129540,0.00041827,0.00549693,0.00702040,0.00474831
-5.99399700,0.03468126,0.00002711,0.01104344,0.00043402,0.00536693,0.00735994,0.00459349
-5.98799400,0.03513766,0.00003487,0.01125103,0.00046973,0.00546332,0.00803967,0.00462715
-5.98199100,0.03715213,0.00004454,0.01195867,0.00052788,0.00580558,0.00910469,0.00486440
-5.97598799,0.04087264,0.00005649,0.01321567,0.00061142,0.00641766,0.01060805,0.00532390
-5.96998499,0.04647693,0.00007115,0.01508094,0.00072375,0.00732832,0.01261135,0.00602810
-5.96398199,0.05417406,0.00008899,0.01762352,0.00086881,0.00857135,0.01518504,0.00700354
-5.95797899,0.06420463,0.00011053,0.02092268,0.00105102,0.01018554,0.01840852,0.00828084
-5.95197599,0.07683974,0.00013634,0.02506758,0.00127528,0.01221446,0.02236975,0.00989459
-5.94597299,0.09237826,0.00016703,0.03015651,0.00154692,0.01470598,0.02716454,0.01188301
-5.93996998,0.11114252,0.00020322,0.03629546,0.00187163,0.01771143,0.03289538,0.01428745
-5.93396698,0.13347215,0.00024557,0.04359629,0.00225532,0.02128455,0.03966977,0.01715155
-5.92796398,0.15971620,0.00029473,0.05217422,0.00270403,0.02548010,0.04759811,0.02052029
-5.92196098,0.19022342,0.00035137,0.06214486,0.00322377,0.03035210,0.05679106,0.02443877
-5.91595798,0.22533105,0.00041610,0.07362066,0.00382028,0.03595192,0.06735656,0.02895076
-5.90995498,0.26535218,0.00048951,0.08670700,0.00449891,0.04232600,0.07939636,0.03409713
-5.90395198,0.31056204,0.00057209,0.10149797,0.00526430,0.04951348,0.09300239,0.03991410
-5.89794897,0.36118380,0.00066427,0.11807185,0.00612023,0.05754369,0.10825284,0.04643146
-5.89194597,0.41737422,0.00076638,0.13648674,0.00706937,0.06643363,0.12520827,0.05367073
-5.88594297,0.47920977,0.00087859,0.15677621,0.00811302,0.07618555,0.14390787,0.06164344
-5.87993997,0.54667411,0.00100096,0.17894534,0.00925098,0.08678475,0.16436590,0.07034952
-5.87393697,0.61964715,0.00113340,0.20296737,0.01048133,0.09819775,0.18656864,0.07977591
-5.86793397,0.69789685,0.00127565,0.22878103,0.01180036,0.11037089,0.21047199,0.08989554
-5.86193097,0.78107389,0.00142729,0.25628881,0.01320245,0.12322950,0.23599977,0.10066664
-5.85592796,0.86870999,0.00158776,0.28535634,0.01468013,0.13667784,0.26304287,0.11203251
-5.84992496,0.96022017,0.00175634,0.31581282,0.01622407,0.15059965,0.29145941,0.12392179
-5.84392196,1.05490899,0.00193222,0.34745282,0.01782326,0.16485963,0.32107586,0.13624922
