energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,1.12864012,0.42501823,0.07807776,0.02526293,0.21070939,0.37149663,0.00000000,0.79271870,0.10920717
-5.99399700,1.07426079,0.40098179,0.07437984,0.02374465,0.20178979,0.35200675,0.00000000,0.75847237,0.10367960
-5.98799400,1.01864079,0.37664502,0.07085036,0.02220156,0.19225307,0.33252121,0.00000000,0.72212724,0.09800687
-5.98199100,0.96242849,0.35224441,0.06754961,0.02064832,0.18221262,0.31325049,0.00000000,0.68409622,0.09224786
-5.97598799,0.90631087,0.32801967,0.06453786,0.01909937,0.17179529,0.29441172,0.00000000,0.64484201,0.08646487
-5.96998499,0.85099413,0.30420796,0.06187404,0.01756864,0.16113715,0.27622315,0.00000000,0.60486176,0.08072192
-5.96398199,0.79718306,0.28103814,0.05961415,0.01606926,0.15037904,0.25889830,0.00000000,0.56467044,0.07508286
-5.95797899,0.74555985,0.25872514,0.05780971,0.01461328,0.13966190,0.24263975,0.00000000,0.52478379,0.06960957
-5.95197599,0.69676331,0.23746468,0.05650610,0.01321148,0.12912237,0.22763317,0.00000000,0.48570172,0.06436012
-5.94597299,0.65136955,0.21742867,0.05574088,0.01187321,0.11888863,0.21404156,0.00000000,0.44789283,0.05938717
-5.93996998,0.60987455,0.19876131,0.05554224,0.01060619,0.10907677,0.20200008,0.00000000,0.41178075,0.05473649
-5.93396698,0.57267962,0.18157615,0.05592755,0.00941651,0.09978780,0.19161166,0.00000000,0.37773273,0.05044581
-5.92796398,0.54007995,0.16595410,0.05690210,0.00830858,0.09110534,0.18294347,0.00000000,0.34605089,0.04654393
-5.92196098,0.51225673,0.15194249,0.05845812,0.00728516,0.08309408,0.17602450,0.00000000,0.31696625,0.04305016
-5.91595798,0.48927309,0.13955515,0.06057408,0.00634742,0.07579904,0.17084421,0.00000000,0.29063567,0.03997409
-5.90995498,0.47107373,0.12877349,0.06321440,0.00549509,0.06924550,0.16735246,0.00000000,0.26714150,0.03731567
-5.90395198,0.45748833,0.11954838,0.06632950,0.00472656,0.06343964,0.16546052,0.00000000,0.24649387,0.03506560
-5.89794897,0.44823837,0.11180291,0.06985638,0.00403912,0.05836984,0.16504334,0.00000000,0.22863517,0.03320600
-5.89194597,0.44294720,0.10543580,0.07371958,0.00342908,0.05400831,0.16594285,0.00000000,0.21344658,0.03171124
-5.88594297,0.44115291,0.10032523,0.07783265,0.00289200,0.05031330,0.16797230,0.00000000,0.20075598,0.03054909
-5.87993997,0.44232343,0.09633318,0.08210003,0.00242289,0.04723143,0.17092149,0.00000000,0.19034708,0.02968191
-5.87393697,0.44587355,0.09330987,0.08641933,0.00201635,0.04470029,0.17456263,0.00000000,0.18196924,0.02906800
-5.86793397,0.45118311,0.09109835,0.09068398,0.00166682,0.04265105,0.17865686,0.00000000,0.17534757,0.02866294
-5.86193097,0.45761589,0.08953905,0.09478614,0.00136865,0.04101103,0.18296103,0.00000000,0.17019298,0.02842103
