energy_ev,total_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,4.29674736,0.04662717,0.03487774,0.30629374,0.53890713,0.05475031,0.78971763,0.20333312,2.41635630
-5.99399700,4.20974956,0.04652786,0.03480811,0.30008622,0.55024536,0.05467370,0.78625914,0.20269347,2.33837565
-5.98799400,4.11858046,0.04629275,0.03466597,0.29384324,0.55979207,0.05440653,0.78114279,0.20162499,2.26023112
-5.98199100,4.02271725,0.04592555,0.03445639,0.28755996,0.56725852,0.05393538,0.77422605,0.20012943,2.18172208
-5.97598799,3.92181874,0.04543051,0.03418788,0.28123465,0.57239677,0.05325055,0.76540444,0.19821914,2.10273441
-5.96998499,3.81573407,0.04481229,0.03387232,0.27486948,0.57500775,0.05234660,0.75461549,0.19591736,2.02323984
-5.96398199,3.70450477,0.04407582,0.03352480,0.26847126,0.57494767,0.05122272,0.74184134,0.19325817,1.94329208
-5.95797899,3.58836072,0.04322627,0.03316332,0.26205200,0.57213267,0.04988299,0.72711002,0.19028628,1.86302018
-5.95197599,3.46771043,0.04226905,0.03280841,0.25562948,0.56654159,0.04833636,0.71049540,0.18705662,1.78261981
-5.94597299,3.34312665,0.04120988,0.03248262,0.24922757,0.55821653,0.04659652,0.69211581,0.18363364,1.70234310
-5.93996998,3.21532772,0.04005488,0.03220992,0.24287643,0.54726154,0.04468157,0.67213141,0.18009046,1.62248748
-5.93396698,3.08515581,0.03881070,0.03201507,0.23661246,0.53383920,0.04261350,0.65074042,0.17650772,1.54338417
-5.92796398,2.95355247,0.03748464,0.03192292,0.23047804,0.51816550,0.04041755,0.62817434,0.17297228,1.46538672
-5.92196098,2.82153260,0.03608479,0.03195773,0.22452103,0.50050298,0.03812148,0.60469217,0.16957561,1.38885994
-5.91595798,2.69015724,0.03462007,0.03214246,0.21879394,0.48115267,0.03575473,0.58057403,0.16641201,1.31416945
