energy_ev,total_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,1.26077471,0.01121299,0.05286336,0.04317176,0.36120959,0.49358669,0.31605023
-5.99399700,1.33290481,0.01260453,0.05721657,0.04461014,0.38073009,0.52786229,0.33311952
-5.98799400,1.40796809,0.01409825,0.06184678,0.04621876,0.40074018,0.56390642,0.35091686
-5.98199100,1.48525218,0.01568993,0.06673834,0.04798586,0.42099975,0.60147092,0.36926968
-5.97598799,1.56395835,0.01737355,0.07187206,0.04989413,0.44124719,0.64026949,0.38798360
-5.96998499,1.64322288,0.01914126,0.07722529,0.05192139,0.46120716,0.67998349,0.40684771
-5.96398199,1.72214068,0.02098341,0.08277187,0.05404133,0.48059890,0.72026873,0.42564042
-5.95797899,1.79979001,0.02288862,0.08848219,0.05622457,0.49914494,0.76076256,0.44413557
-5.95197599,1.87525717,0.02484385,0.09432311,0.05843970,0.51657972,0.80109116,0.46210848
-5.94597299,1.94765989,0.02683455,0.10025796,0.06065444,0.53265766,0.84087651,0.47934168
-5.93996998,2.01616854,0.02884483,0.10624648,0.06283677,0.54716037,0.87974282,0.49563014
-5.93396698,2.08002419,0.03085766,0.11224473,0.06495608,0.55990274,0.91732231,0.51078560
-5.92796398,2.13855309,0.03285508,0.11820514,0.06698414,0.57073754,0.95326001,0.52464005
-5.92196098,2.19117720,0.03481845,0.12407656,0.06889608,0.57955857,0.98721776,0.53704822
-5.91595798,2.23742059,0.03672876,0.12980450,0.07067108,0.58630207,1.01887742,0.54788908
-5.90995498,2.27691221,0.03856687,0.13533152,0.07229300,0.59094665,1.04794330,0.55706638
-5.90395198,2.30938504,0.04031385,0.14059781,0.07375071,0.59351168,1.07414415,0.56450841
-5.89794897,2.33467267,0.04195126,0.14554204,0.07503832,0.59405439,1.09723495,0.57016702
-5.89194597,2.35270354,0.04346151,0.15010239,0.07615510,0.59266596,1.11699858,0.57401631
-5.88594297,2.36349393,0.04482818,0.15421795,0.07710528,0.58946674,1.13324771,0.57605081
-5.87993997,2.36714021,0.04603632,0.15783019,0.07789765,0.58460109,1.14582709,0.57628373
-5.87393697,2.36381102,0.04707280,0.16088472,0.07854492,0.57823187,1.15461627,0.57474509
-5.86793397,2.35373993,0.04792659,0.16333309,0.07906307,0.57053517,1.15953283,0.57148009
-5.86193097,2.33721881,0.04858905,0.16513472,0.07947047,0.56169517,1.16053606,0.56654765
-5.85592796,2.31459230,0.04905416,0.16625866,0.07978695,0.55189959,1.15763102,0.56001924
-5.84992496,2.28625317,0.04931872,0.16668536,0.08003285,0.54133579,1.15087260,0.55197786
-5.84392196,2.25263870,0.04938250,0.16640807,0.08022802,0.53018750,1.14036967,0.54251734
-5.83791896,2.21422765,0.04924832,0.16543405,0.08039085,0.51863241,1.12628863,0.53174168
-5.83191596,2.17153777,0.04892203,0.16378529,0.08053739,0.50684048,1.10885645,0.51976443
-5.82591296,2.12512336,0.04841250,0.16149895,0.08068057,0.49497299,1.08836265,0.50670809
-5.81990995,2.07557275,0.04773138,0.15862714,0.08082948,0.48318225,1.06516018,0.49270327
-5.81390695,2.02350532,0.04689296,0.15523645,0.08098895,0.47161185,1.03966482,0.47788782
-5.80790395,1.96956807,0.04591379,0.15140685,0.08115922,0.46039739,1.01235315,0.46240562
-5.80190095,1.91443141,0.04481236,0.14723030,0.08133588,0.44966751,0.98375884,0.44640520
-5.79589795,1.85878435,0.04360861,0.14280893,0.08151005,0.43954517,0.95446733,0.43003820
-5.78989495,1.80332901,0.04232348,0.13825296,0.08166874,0.43014896,0.92510892,0.41345760
-5.78389195,1.74877451,0.04097836,0.13367841,0.08179550,0.42159439,0.89635028,0.39681593
-5.77788894,1.69583028,0.03959462,0.12920460,0.08187122,0.41399500,0.86888450,0.38026340
-5.77188594,1.64519897,0.03819301,0.12495169,0.08187511,0.40746311,0.84341979,0.36394613
-5.76588294,1.59756885,0.03679325,0.12103807,0.08178584,0.40211022,0.82066691,0.34800444
-5.75987994,1.55360565,0.03541349,0.11757790,0.08158271,0.39804676,0.80132552,0.33257128
-5.75387694,1.51394401,0.03406996,0.11467863,0.08124681,0.39538126,0.78606954,0.31777087
-5.74787394,1.47917814,0.03277663,0.11243870,0.08076218,0.39421878,0.77553165,0.30371742
-5.74187094,1.44985182,0.03154494,0.11094533,0.08011680,0.39465857,0.77028723,0.29051411
-5.73586793,1.42644755,0.03038366,0.11027242,0.07930340,0.39679086,0.77083792,0.27825208
-5.72986493,1.40937489,0.02929880,0.11047867,0.07832010,0.40069305,0.77759506,0.26700952
-5.72386193,1.39895805,0.02829363,0.11160578,0.07717066,0.40642514,0.79086354,0.25685082
-5.71785893,1.39542292,0.02736875,0.11367690,0.07586454,0.41402463,0.81082639,0.24782569
-5.71185593,1.39888394,0.02652229,0.11669534,0.07441657,0.42350122,0.83753074,0.23996820
-5.70585293,1.40933127,0.02575015,0.12064342,0.07284641,0.43483137,0.87087580,0.23329588
-5.69984992,1.42661896,0.02504626,0.12548181,0.07117765,0.44795318,0.91060347,0.22780881
-5.69384692,1.45045488,0.02440296,0.13114920,0.06943679,0.46276186,0.95629234,0.22348866
-5.68784392,1.48039329,0.02381134,0.13756236,0.06765195,0.47910613,1.00735568,0.22029804
-5.68184092,1.51583091,0.02326161,0.14461690,0.06585155,0.49678600,1.06304420,0.21817992
-5.67583792,1.55600744,0.02274350,0.15218844,0.06406301,0.51555208,1.12245384,0.21705753
-5.66983492,1.60001106,0.02224663,0.16013461,0.06231141,0.53510682,1.18453901,0.21683458
-5.66383192,1.64678971,0.02176085,0.16829751,0.06061839,0.55510781,1.24813147,0.21739613
-5.65782891,1.69516826,0.02127653,0.17650697,0.05900114,0.57517326,1.31196446,0.21861005
-5.65182591,1.74387161,0.02078488,0.18458433,0.05747175,0.59488952,1.37470183,0.22032912
-5.64582291,1.79155344,0.02027817,0.19234674,0.05603677,0.61382073,1.43497134,0.22239391
-5.63981991,1.83682985,0.01974986,0.19961191,0.05469711,0.63152007,1.49140118,0.22463623
-5.63381691,1.87831690,0.01919481,0.20620307,0.05344824,0.64754243,1.54265847,0.22688319
-5.62781391,1.91467068,0.01860929,0.21195397,0.05228071,0.66145800,1.58748820,0.22896174
-5.62181091,1.94462846,0.01799107,0.21671386,0.05118088,0.67286605,1.62475135,0.23070347
-5.61580790,1.96704913,0.01733936,0.22035203,0.05013193,0.68140867,1.65346027,0.23194960
-5.60980490,1.98095119,0.01665479,0.22276189,0.04911499,0.68678343,1.67281004,0.23255579
-5.60380190,1.98554657,0.01593928,0.22386436,0.04811034,0.68875472,1.68220441,0.23239672
-5.59779890,1.98026870,0.01519597,0.22361033,0.04709871,0.68716307,1.68127495,0.23137009
-5.59179590,1.96479355,0.01442902,0.22198223,0.04606246,0.68193198,1.66989278,0.22940001
-5.58579290,1.93905248,0.01364352,0.21899443,0.04498675,0.67307204,1.64817219,0.22643942
-5.57978989,1.90323641,0.01284523,0.21469269,0.04386040,0.66068199,1.61646602,0.22247162
-5.57378689,1.85779105,0.01204048,0.20915246,0.04267674,0.64494672,1.57535306,0.21751071
-5.56778389,1.80340328,0.01123596,0.20247626,0.04143407,0.62613236,1.52561792,0.21160094
-5.56178089,1.74097946,0.01043857,0.19479013,0.04013597,0.60457843,1.46822456,0.20481503
-5.55577789,1.67161648,0.00965525,0.18623947,0.03879126,0.58068770,1.40428434,0.19725156
-5.54977489,1.59656703,0.00889287,0.17698431,0.03741383,0.55491396,1.33502026,0.18903146
-5.54377189,1.51720035,0.00815813,0.16719425,0.03602210,0.52774833,1.26172880,0.18029388
-5.53776888,1.43496042,0.00745742,0.15704335,0.03463843,0.49970459,1.18574097,0.17119147
-5.53176588,1.35132302,0.00679682,0.14670506,0.03328824,0.47130430,1.10838403,0.16188549
-5.52576288,1.26775351,0.00618203,0.13634751,0.03199909,0.44306199,1.03094542,0.15254073
-5.51975988,1.18566690,0.00561840,0.12612913,0.03079964,0.41547129,0.95463999,0.14332054
-5.51375688,1.10639139,0.00511093,0.11619504,0.02971865,0.38899221,0.88058163,0.13438220
-5.50775388,1.03113685,0.00466433,0.10667393,0.02878392,0.36404008,0.80975999,0.12587271
-5.50175088,0.96096873,0.00428311,0.09767582,0.02802139,0.34097653,0.74302285,0.11792512
-5.49574787,0.89678831,0.00397166,0.08929058,0.02745422,0.32010259,0.68106416,0.11065559
-5.48974487,0.83931947,0.00373439,0.08158717,0.02710214,0.30165412,0.62441794,0.10416116
-5.48374187,0.78910190,0.00357584,0.07461365,0.02698086,0.28579959,0.57345752,0.09851828
-5.47773887,0.74649075,0.00350085,0.06839789,0.02710172,0.27264019,0.52839986,0.09378211
-5.47173587,0.71166213,0.00351468,0.06294877,0.02747147,0.26221201,0.48931424,0.08998656
-5.46573287,0.68462393,0.00362321,0.05825804,0.02809232,0.25449028,0.45613465,0.08714500
-5.45972986,0.66523118,0.00383304,0.05430235,0.02896208,0.24939526,0.42867509,0.08525159
-5.45372686,0.65320511,0.00415167,0.05104578,0.03007453,0.24679966,0.40664708,0.08428305
-5.44772386,0.64815505,0.00458758,0.04844235,0.03141996,0.24653702,0.38967848,0.08420097
-5.44172086,0.64960217,0.00515038,0.04643874,0.03298572,0.24841100,0.37733305,0.08495428
-5.43571786,0.65700406,0.00585084,0.04497687,0.03475698,0.25220498,0.36912991,0.08648200
-5.42971486,0.66977936,0.00670091,0.04399639,0.03671745,0.25769172,0.36456237,0.08871603
-5.42371186,0.68733133,0.00771369,0.04343703,0.03885017,0.26464267,0.36311564,0.09158391
-5.41770885,0.70906967,0.00890334,0.04324055,0.04113818,0.27283664,0.36428282,0.09501145
-5.41170585,0.73442976,0.01028488,0.04335252,0.04356518,0.28206739,0.36757892,0.09892509
-5.40570285,0.76288854,0.01187395,0.04372359,0.04611603,0.29214999,0.37255256,0.10325401
-5.39969985,0.79397663,0.01368643,0.04431047,0.04877714,0.30292557,0.37879518,0.10793177
-5.39369685,0.82728622,0.01573799,0.04507646,0.05153656,0.31426431,0.38594749,0.11289753
-5.38769385,0.86247433,0.01804348,0.04599161,0.05438404,0.32606657,0.39370341,0.11809678
-5.38169085,0.89926165,0.02061632,0.04703245,0.05731074,0.33826215,0.40181117,0.12348157
-5.37568784,0.93742682,0.02346765,0.04818142,0.06030880,0.35080754,0.41007204,0.12901025
-5.36968484,0.97679671,0.02660555,0.04942593,0.06337070,0.36368155,0.41833665,0.13464668
-5.36368184,1.01723315,0.03003410,0.05075726,0.06648856,0.37687935,0.42649941,0.14035908
-5.35767884,1.05861682,0.03375245,0.05216922,0.06965321,0.39040530,0.43449123,0.14611853
-5.35167584,1.10082950,0.03775392,0.05365672,0.07285329,0.40426498,0.44227109,0.15189720
-5.34567284,1.14373535,0.04202517,0.05521437,0.07607442,0.41845683,0.44981687,0.15766650
-5.33966983,1.18716282,0.04654544,0.05683509,0.07929835,0.43296394,0.45711600,0.16339523
-5.33366683,1.23088810,0.05128601,0.05850896,0.08250237,0.44774646,0.46415647,0.16904784
-5.32766383,1.27462140,0.05620986,0.06022218,0.08565890,0.46273511,0.47091862,0.17458297
-5.32166083,1.31799714,0.06127163,0.06195649,0.08873536,0.47782634,0.47736821,0.17995248
-5.31565783,1.36056892,0.06641787,0.06368874,0.09169439,0.49287938,0.48345124,0.18510087
-5.30965483,1.40180996,0.07158763,0.06539099,0.09449441,0.50771564,0.48909057,0.18996541
-5.30365183,1.44111932,0.07671349,0.06703088,0.09709048,0.52212042,0.49418489,0.19447676
-5.29764882,1.47783403,0.08172287,0.06857244,0.09943561,0.53584720,0.49860974,0.19856044
-5.29164582,1.51124679,0.08653976,0.06997715,0.10148224,0.54862421,0.50222076,0.20213875
-5.28564282,1.54062854,0.09108665,0.07120536,0.10318404,0.56016313,0.50485891,0.20513332
-5.27963982,1.56525512,0.09528686,0.07221780,0.10449780,0.57016954,0.50635727,0.20746815
-5.27363682,1.58443647,0.09906688,0.07297733,0.10538548,0.57835463,0.50654919,0.20907288
-5.26763382,1.59754730,0.10235887,0.07345060,0.10581615,0.58444750,0.50527721,0.20988624
-5.26163082,1.60405738,0.10510311,0.07360973,0.10576780,0.58820766,0.50240213,0.20985949
-5.25562781,1.60355997,0.10725029,0.07343377,0.10522896,0.58943680,0.49781201,0.20895959
-5.24962481,1.59579680,0.10876353,0.07290994,0.10419995,0.58798940,0.49143016,0.20717199
-5.24362181,1.58067828,0.10962011,0.07203457,0.10269377,0.58378161,0.48322205,0.20450284
-5.23761881,1.55829764,0.10981265,0.07081362,0.10073651,0.57679776,0.47320040,0.20098051
-5.23161581,1.52893825,0.10934989,0.06926293,0.09836727,0.56709433,0.46142843,0.19665621
-5.22561281,1.49307354,0.10825678,0.06740793,0.09563758,0.55480103,0.44802087,0.19160384
-5.21960980,1.45135931,0.10657409,0.06528300,0.09261036,0.54011897,0.43314271,0.18591883
-5.21360680,1.40461877,0.10435736,0.06293057,0.08935837,0.52331591,0.41700585,0.17971615
-5.20760380,1.35382075,0.10167533,0.06039970,0.08596229,0.50471890,0.39986365,0.17312745
-5.20160080,1.30005209,0.09860789,0.05774465,0.08250854,0.48470453,0.38200363,0.16629755
-5.19559780,1.24448523,0.09524355,0.05502305,0.07908674,0.46368733,0.36373886,0.15938024
-5.18959480,1.18834249,0.09167670,0.05229412,0.07578710,0.44210672,0.34539816,0.15253376
-5.18359180,1.13285831,0.08800454,0.04961680,0.07269780,0.42041314,0.32731574,0.14591601
-5.17758879,1.07924120,0.08432405,0.04704792,0.06990231,0.39905397,0.30982060,0.13967959
-5.17158579,1.02863668,0.08072890,0.04464058,0.06747694,0.37845965,0.29322624,0.13396716
-5.16558279,0.98209266,0.07730654,0.04244259,0.06548859,0.35903079,0.27782092,0.12890690
