energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,2.56851435,-2.38046161,0.02294066,-0.02700112,0.17580283,-0.18248883,0.49202433,-0.34721280,0.31230511,-0.19511350,0.27453319,-0.44553918,0.13709014,-0.25745346,0.09443489,-0.04905545,1.21745953,-1.14092773
-5.99399700,2.50909800,-2.32963513,0.02196490,-0.02579631,0.17370367,-0.18314099,0.47524573,-0.33893418,0.30543145,-0.19265018,0.25169045,-0.42979509,0.13658589,-0.25333925,0.09625734,-0.04816212,1.18496494,-1.10906922
-5.98799400,2.45504584,-2.28367506,0.02105331,-0.02462917,0.17182983,-0.18351400,0.46062915,-0.33254523,0.29923155,-0.19041393,0.23109241,-0.41597522,0.13599496,-0.24924751,0.09783682,-0.04724997,1.15533761,-1.08066424
-5.98199100,2.40492313,-2.24183005,0.02019576,-0.02349695,0.17009378,-0.18356126,0.44788529,-0.32782531,0.29354143,-0.18834426,0.21266689,-0.40391073,0.13524237,-0.24516379,0.09911087,-0.04630476,1.12789558,-1.05532745
-5.97598799,2.35736346,-2.20335774,0.01938188,-0.02239740,0.16841727,-0.18324247,0.43674337,-0.32454515,0.28820927,-0.18638488,0.19631618,-0.39341592,0.13426112,-0.24107669,0.10002456,-0.04531506,1.10197737,-1.03266526
-5.96998499,2.31112978,-2.16754888,0.01860150,-0.02132886,0.16673530,-0.18252463,0.42696302,-0.32247419,0.28310261,-0.18448500,0.18192462,-0.38429651,0.13299526,-0.23697901,0.10053246,-0.04427230,1.07697144,-1.01228969
-5.96398199,2.26516828,-2.13374963,0.01784513,-0.02029031,0.16499964,-0.18138288,0.41834492,-0.32138794,0.27811444,-0.18260046,0.16936613,-0.37635742,0.13140263,-0.23286888,0.10060038,-0.04317073,1.05234258,-0.99383124
-5.95797899,2.21865291,-2.10138132,0.01710438,-0.01928135,0.16318148,-0.17980129,0.41073965,-0.32107526,0.27316813,-0.18069465,0.15851130,-0.36940991,0.12945689,-0.22875065,0.10020670,-0.04200732,1.02765391,-0.97695044
-5.95197599,2.17101843,-2.06995699,0.01637226,-0.01830228,0.16127326,-0.17777356,0.40405444,-0.32134511,0.26822072,-0.17873918,0.14923377,-0.36327777,0.12714896,-0.22463565,0.09934320,-0.04078170,1.00258394,-0.96134757
-5.94597299,2.12198114,-2.03909405,0.01564346,-0.01735401,0.15928953,-0.17530344,0.39825762,-0.32203278,0.26326464,-0.17671424,0.14141564,-0.35780227,0.12448775,-0.22054273,0.09801544,-0.03949604,0.97693781,-0.94677032
-5.93996998,2.07154652,-2.00852294,0.01491455,-0.01643806,0.15726686,-0.17240503,0.39338050,-0.32300521,0.25832770,-0.17460864,0.13495175,-0.35284599,0.12150018,-0.21649857,0.09624261,-0.03815483,0.95065265,-0.93301914
-5.93396698,2.02000392,-1.97809128,0.01418403,-0.01555649,0.15526274,-0.16910286,0.38951694,-0.32416545,0.25347145,-0.17241963,0.12975285,-0.34829521,0.11823058,-0.21253777,0.09405688,-0.03676481,0.92379691,-0.91995024
-5.92796398,1.96790931,-1.94776395,0.01345240,-0.01471186,0.15335353,-0.16543174,0.38682052,-0.32545609,0.24878789,-0.17015233,0.12574745,-0.34406103,0.11473936,-0.20870273,0.09150226,-0.03533471,0.89656418,-0.90747631
-5.92196098,1.91605704,-1.91761914,0.01272202,-0.01390715,0.15163172,-0.16143639,0.38549971,-0.32686160,0.24439494,-0.16781905,0.12288257,-0.34007933,0.11110136,-0.20504329,0.08863306,-0.03387509,0.86926201,-0.89556508
