energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-6.00000000,3.59013989,1.30970525,0.35013805,0.02044563,0.45570515,3.04892763,1.33882622,0.01438202,1.25368469
-5.99399700,3.57352802,1.31524750,0.34335946,0.02042930,0.45899636,3.06788660,1.33310579,0.01373035,1.23817662
-5.98799400,3.56225118,1.32038481,0.33649395,0.02036236,0.46343541,3.09276215,1.33027404,0.01316154,1.22327217
-5.98199100,3.55585476,1.32487833,0.32956783,0.02024147,0.46892551,3.12320028,1.33010863,0.01267479,1.20889666
-5.97598799,3.55362134,1.32845722,0.32259306,0.02006346,0.47532824,3.15861037,1.33226415,0.01226696,1.19491768
-5.96998499,3.55460619,1.33083169,0.31556938,0.01982553,0.48246778,3.19818646,1.33628673,0.01193278,1.18115725
-5.96398199,3.55767907,1.33170613,0.30848696,0.01952545,0.49013625,3.24093437,1.34163200,0.01166523,1.16740483
-5.95797899,3.56157077,1.33079164,0.30132918,0.01916183,0.49809997,3.28570359,1.34768566,0.01145581,1.15343041
-5.95197599,3.56492268,1.32781776,0.29407559,0.01873425,0.50610643,3.33122284,1.35378597,0.01129494,1.13899729
-5.94597299,3.56633769,1.32254264,0.28670482,0.01824343,0.51389180,3.37613823,1.35924755,0.01117235,1.12387406
-5.93996998,3.56443073,1.31476171,0.27919731,0.01769130,0.52118875,3.41905276,1.36338547,0.01107744,1.10784529
-5.93396698,3.55787753,1.30431447,0.27153788,0.01708107,0.52773432,3.45856604,1.36553911,0.01099965,1.09072081
-5.92796398,3.54545994,1.29108942,0.26371787,0.01641722,0.53327758,3.49331319,1.36509489,0.01092885,1.07234333
-5.92196098,3.52610679,1.27502712,0.25573698,0.01570542,0.53758688,3.52200183,1.36150711,0.01085559,1.05259436
-5.91595798,3.49892900,1.25612157,0.24760461,0.01495243,0.54045652,3.54344626,1.35431640,0.01077142,1.03139840
-5.90995498,3.46324823,1.23441991,0.23934085,0.01416592,0.54171246,3.55659806,1.34316506,0.01066913,1.00872550
-5.90395198,3.41861838,1.21002085,0.23097694,0.01335432,0.54121710,3.56057240,1.32780893,0.01054291,0.98459235
-5.89794897,3.36483955,1.18307184,0.22255542,0.01252656,0.53887293,3.55466966,1.30812543,0.01038850,0.95906196
-5.89194597,3.30196433,1.15376541,0.21412978,0.01169186,0.53462489,3.53839196,1.28411759,0.01020323,0.93224213
-5.88594297,3.23029664,1.12233474,0.20576383,0.01085952,0.52846156,3.51145446,1.25591409,0.00998605,0.90428298
-5.87993997,3.15038336,1.08904881,0.19753073,0.01003865,0.52041512,3.47379151,1.22376532,0.00973754,0.87537357
-5.87393697,3.06299942,1.05420722,0.18951174,0.00923798,0.51056005,3.42555766,1.18803583,0.00945971,0.84573787
-5.86793397,2.96912714,1.01813486,0.18179477,0.00846570,0.49901087,3.36712403,1.14919357,0.00915600,0.81563018
-5.86193097,2.86993070,0.98117664,0.17447269,0.00772925,0.48591897,3.29907015,1.10779636,0.00883099,0.78533017
-5.85592796,2.76672683,0.94369223,0.16764162,0.00703526,0.47146864,3.22217210,1.06447619,0.00849028,0.75513758
-5.84992496,2.66095279,0.90605107,0.16139895,0.00638938,0.45587258,3.13738704,1.01992209,0.00814022,0.72536679
-5.84392196,2.55413273,0.86862750,0.15584144,0.00579628,0.43936706,3.04583511,0.97486208,0.00778769,0.69634119
-5.83791896,2.44784352,0.83179619,0.15106322,0.00525961,0.42220688,2.94877877,0.93004494,0.00743984,0.66838755
-5.83191596,2.34368099,0.79592775,0.14715377,0.00478198,0.40466029,2.84760048,0.88622244,0.00710388,0.64183041
-5.82591296,2.24322751,0.76138463,0.14419601,0.00436498,0.38700407,2.74377879,0.84413240,0.00678682,0.61698646
-5.81990995,2.14802145,0.72851712,0.14226436,0.00400923,0.36951880,2.63886351,0.80448320,0.00649527,0.59415917
