energy_ev,total_up,C_s_up,C_p_up,Mo_p_up,Mo_d_up,Na_s_up,S_s_up,S_p_up
-6.00000000,3.06427147,0.02426529,0.44102758,1.92818174,0.98777638,0.13492152,0.06315100,1.35334220
-5.99399700,2.98174422,0.02465205,0.41694660,1.86552764,0.95004522,0.13515462,0.06298262,1.33005122
-5.98799400,2.90013430,0.02497845,0.39389929,1.80206576,0.91491431,0.13565829,0.06268390,1.30580643
-5.98199100,2.82056655,0.02524789,0.37213801,1.73893461,0.88273847,0.13639972,0.06226425,1.28101304
-5.97598799,2.74407453,0.02546412,0.35188552,1.67722502,0.85380425,0.13734264,0.06173402,1.25606110
-5.96998499,2.67158052,0.02563096,0.33333241,1.61795531,0.82832797,0.13844834,0.06110421,1.23131574
-5.96398199,2.60387800,0.02575202,0.31663505,1.56204857,0.80645493,0.13967656,0.06038611,1.20710835
-5.95797899,2.54161703,0.02583045,0.30191404,1.51031266,0.78825956,0.14098639,0.05959099,1.18372884
-5.95197599,2.48529302,0.02586869,0.28925308,1.46342345,0.77374666,0.14233711,0.05872981,1.16141932
-5.94597299,2.43523916,0.02586837,0.27869850,1.42191170,0.76285359,0.14368888,0.05781292,1.14036942
-5.93996998,2.39162287,0.02583018,0.27025917,1.38615378,0.75545340,0.14500330,0.05684987,1.12071334
-5.93396698,2.35444608,0.02575387,0.26390706,1.35636654,0.75135876,0.14624392,0.05584918,1.10252867
-5.92796398,2.32354970,0.02563829,0.25957831,1.33260625,0.75032681,0.14737652,0.05481827,1.08583710
-5.92196098,2.29862173,0.02548147,0.25717486,1.31477153,0.75206462,0.14836932,0.05376332,1.07060675
-5.91595798,2.27920903,0.02528080,0.25656669,1.30261012,0.75623546,0.14919312,0.05268931,1.05675612
-5.90995498,2.26473229,0.02503324,0.25759455,1.29572923,0.76246565,0.14982126,0.05159998,1.04415933
-5.90395198,2.25450375,0.02473549,0.26007323,1.29360908,0.77035188,0.15022958,0.05049794,1.03265260
-5.89794897,2.24774711,0.02438429,0.26379536,1.29561915,0.77946905,0.15039638,0.04938481,1.02204144
-5.89194597,2.24361919,0.02397666,0.26853560,1.30103672,0.78937837,0.15030229,0.04826128,1.01210851
-5.88594297,2.24123256,0.02351012,0.27405520,1.30906722,0.79963569,0.14993022,0.04712737,1.00262167
-5.87993997,2.23967864,0.02298295,0.28010685,1.31886571,0.80979985,0.14926533,0.04598260,0.99334202
-5.87393697,2.23805055,0.02239433,0.28643973,1.32955902,0.81944093,0.14829500,0.04482614,0.98403166
-5.86793397,2.23546512,0.02174454,0.29280461,1.34026796,0.82814824,0.14700896,0.04365707,0.97446081
-5.86193097,2.23108350,0.02103503,0.29895887,1.35012909,0.83553783,0.14539940,0.04247453,0.96441429
-5.85592796,2.22412984,0.02026849,0.30467143,1.35831545,0.84125937,0.14346112,0.04127789,0.95369689
-5.84992496,2.21390749,0.01944885,0.30972729,1.36405584,0.84500224,0.14119175,0.04006690,0.94213781
-5.84392196,2.19981255,0.01858122,0.31393175,1.36665216,0.84650069,0.13859201,0.03884179,0.92959387
-5.83791896,2.18134425,0.01767177,0.31711399,1.36549442,0.84553789,0.13566590,0.03760333,0.91595150
-5.83191596,2.15811226,0.01672766,0.31913012,1.36007315,0.84194883,0.13242092,0.03635287,0.90112770
-5.82591296,2.12984065,0.01575677,0.31986550,1.34998894,0.83562197,0.12886823,0.03509233,0.88506979
-5.81990995,2.09636873,0.01476759,0.31923629,1.33495883,0.82649962,0.12502271,0.03382416,0.86775423
-5.81390695,2.05764876,0.01376890,0.31719020,1.31481973,0.81457711,0.12090301,0.03255125,0.84918460
-5.80790395,2.01374103,0.01276963,0.31370650,1.28952853,0.79990070,0.11653140,0.03127688,0.82938894
-5.80190095,1.96480640,0.01177858,0.30879517,1.25915926,0.78256446,0.11193363,0.03000453,0.80841661
-5.79589795,1.91109688,0.01080419,0.30249542,1.22389735,0.76270619,0.10713857,0.02873782,0.78633486
-5.78989495,1.85294461,0.00985441,0.29487344,1.18403121,0.74050246,0.10217787,0.02748036,0.76322538
-5.78389195,1.79074977,0.00893645,0.28601965,1.13994154,0.71616310,0.09708547,0.02623563,0.73918086
-5.77788894,1.72496785,0.00805667,0.27604544,1.09208871,0.68992523,0.09189699,0.02500687,0.71430193
-5.77188594,1.65609680,0.00722049,0.26507956,1.04099867,0.66204705,0.08664917,0.02379703,0.68869439
-5.76588294,1.58466446,0.00643230,0.25326428,0.98724782,0.63280155,0.08137922,0.02260868,0.66246699
-5.75987994,1.51121661,0.00569543,0.24075146,0.93144746,0.60247048,0.07612414,0.02144400,0.63572973
-5.75387694,1.43630603,0.00501215,0.22769859,0.87422815,0.57133848,0.07092012,0.02030474,0.60859277
-5.74787394,1.36048284,0.00438372,0.21426504,0.81622473,0.53968779,0.06580193,0.01919228,0.58116580
-5.74187094,1.28428616,0.00381045,0.20060851,0.75806214,0.50779347,0.06080239,0.01810767,0.55355806
-5.73586793,1.20823745,0.00329177,0.18688183,0.70034284,0.47591930,0.05595193,0.01705165,0.52587867
-5.72986493,1.13283524,0.00282637,0.17323024,0.64363588,0.44431450,0.05127821,0.01602477,0.49823738
-5.72386193,1.05855161,0.00241231,0.15978907,0.58846802,0.41321103,0.04680590,0.01502741,0.47074555
-5.71785893,0.98583006,0.00204715,0.14668199,0.53531724,0.38282191,0.04255654,0.01405992,0.44351726
-5.71185593,0.91508478,0.00172806,0.13401986,0.48460851,0.35334005,0.03854854,0.01312266,0.41667043
-5.70585293,0.84670115,0.00145199,0.12189999,0.43671200,0.32493798,0.03479726,0.01221604,0.39032794
-5.69984992,0.78103736,0.00121576,0.11040607,0.39194365,0.29776816,0.03131523,0.01134061,0.36461855
-5.69384692,0.71842682,0.00101620,0.09960848,0.35056789,0.27196379,0.02811248,0.01049707,0.33967772
-5.68784392,0.65918136,0.00085021,0.08956509,0.31280228,0.24764030,0.02519688,0.00968628,0.31564806
-5.68184092,0.60359483,0.00071492,0.08032239,0.27882375,0.22489698,0.02257463,0.00890925,0.29267965
-5.67583792,0.55194698,0.00060768,0.07191697,0.24877613,0.20381913,0.02025075,0.00816714,0.27093000
-5.66983492,0.50450747,0.00052619,0.06437708,0.22277843,0.18448020,0.01822957,0.00746122,0.25056378
-5.66383192,0.46153963,0.00046850,0.05772447,0.20093351,0.16694415,0.01651525,0.00679280,0.23175228
-5.65782891,0.42330392,0.00043305,0.05197611,0.18333661,0.15126762,0.01511220,0.00616322,0.21467255
-5.65182591,0.39006075,0.00041869,0.04714590,0.17008326,0.13750207,0.01402558,0.00557375,0.19950635
-5.64582291,0.36207242,0.00042469,0.04324627,0.16127616,0.12569562,0.01326152,0.00502555,0.18643863
-5.63981991,0.33960404,0.00045068,0.04028946,0.15703055,0.11589450,0.01282740,0.00451964,0.17565589
-5.63381691,0.32292309,0.00049670,0.03828855,0.15747759,0.10814406,0.01273192,0.00405681,0.16734392
-5.62781391,0.31229745,0.00056308,0.03725810,0.16276563,0.10248931,0.01298503,0.00363761,0.16168527
-5.62181091,0.30799170,0.00065046,0.03721441,0.17305887,0.09897471,0.01359773,0.00326230,0.15885611
-5.61580790,0.31026151,0.00075969,0.03817526,0.18853341,0.09764343,0.01458169,0.00293088,0.15902256
-5.60980490,0.31934607,0.00089178,0.04015926,0.20937056,0.09853580,0.01594872,0.00264300,0.16233642
-5.60380190,0.33545863,0.00104780,0.04318469,0.23574745,0.10168717,0.01771007,0.00239802,0.16893027
-5.59779890,0.35877505,0.00122882,0.04726789,0.26782517,0.10712498,0.01987562,0.00219503,0.17891199
-5.59179590,0.38942085,0.00143578,0.05242131,0.30573476,0.11486530,0.02245293,0.00203283,0.19235880
-5.58579290,0.42745691,0.00166945,0.05865123,0.34956151,0.12490887,0.02544629,0.00190999,0.20931091
-5.57978989,0.47286451,0.00193027,0.06595516,0.39932809,0.13723681,0.02885565,0.00182488,0.22976501
-5.57378689,0.52553018,0.00221829,0.07431926,0.45497743,0.15180608,0.03267563,0.00177569,0.25366786
-5.56778389,0.58523119,0.00253306,0.08371570,0.51635598,0.16854515,0.03689463,0.00176054,0.28091030
-5.56178089,0.65162258,0.00287360,0.09410018,0.58319832,0.18734992,0.04149404,0.00177748,0.31132206
-5.55577789,0.72422654,0.00323825,0.10540976,0.65511411,0.20808020,0.04644766,0.00182456,0.34466767
-5.54977489,0.80242508,0.00362467,0.11756122,0.73157829,0.23055718,0.05172142,0.00189995,0.38064405
-5.54377189,0.88545681,0.00402985,0.13044996,0.81192530,0.25456193,0.05727334,0.00200193,0.41887991
-5.53776888,0.97241873,0.00445001,0.14394967,0.89534826,0.27983531,0.06305391,0.00212905,0.45893748
-5.53176588,1.06227331,0.00488072,0.15791286,0.98090352,0.30607951,0.06900675,0.00228013,0.50031675
-5.52576288,1.15386154,0.00531690,0.17217232,1.06752109,0.33296115,0.07506976,0.00245440,0.54246232
-5.51975988,1.24592178,0.00575293,0.18654347,1.15402102,0.36011625,0.08117647,0.00265155,0.58477290
-5.51375688,1.33711434,0.00618274,0.20082773,1.23913556,0.38715680,0.08725787,0.00287180,0.62661341
-5.50775388,1.42605112,0.00659999,0.21481669,1.32153657,0.41367895,0.09324435,0.00311595,0.66732924
-5.50175088,1.51132956,0.00699817,0.22829703,1.39986755,0.43927254,0.09906793,0.00338543,0.70626246
-5.49574787,1.59156960,0.00737085,0.24105608,1.47277909,0.46353157,0.10466448,0.00368232,0.74276917
-5.48974487,1.66545241,0.00771178,0.25288771,1.53896652,0.48606539,0.10997593,0.00400932,0.77623765
-5.48374187,1.73175907,0.00801516,0.26359833,1.59720828,0.50650994,0.11495238,0.00436974,0.80610618
-5.47773887,1.78940776,0.00827578,0.27301286,1.64640334,0.52453872,0.11955385,0.00476740,0.83188008
-5.47173587,1.83748750,0.00848920,0.28098018,1.68560622,0.53987294,0.12375171,0.00520650,0.85314705
-5.46573287,1.87528705,0.00865188,0.28737810,1.71405792,0.55229025,0.12752965,0.00569148,0.86958998
-5.45972986,1.90231745,0.00876133,0.29211727,1.73121133,0.56163186,0.13088404,0.00622682,0.88099679
-5.45372686,1.91832709,0.00881618,0.29514416,1.73675019,0.56780744,0.13382373,0.00681676,0.88726669
-5.44772386,1.92330852,0.00881622,0.29644275,1.73060038,0.57079771,0.13636932,0.00746512,0.88841258
-5.44172086,1.91749680,0.00876244,0.29603493,1.71293335,0.57065463,0.13855173,0.00817491,0.88455936
-5.43571786,1.90135929,0.00865696,0.29397964,1.68416141,0.56749895,0.14041038,0.00894812,0.87593846
-5.42971486,1.87557758,0.00850298,0.29037063,1.64492512,0.56151558,0.14199088,0.00978539,0.86287861
-5.42371186,1.84102244,0.00830469,0.28533321,1.59607360,0.55294680,0.14334244,0.01068575,0.84579351
-5.41770885,1.79872318,0.00806715,0.27902000,1.53863846,0.54208375,0.14451521,0.01164641,0.82516701
-5.41170585,1.74983306,0.00779611,0.27160585,1.47380300,0.52925673,0.14555755,0.01266258,0.80153651
-5.40570285,1.69559236,0.00749786,0.26328244,1.40286770,0.51482472,0.14651354,0.01372737,0.77547555
-5.39969985,1.63729130,0.00717910,0.25425256,1.32721395,0.49916474,0.14742087,0.01483180,0.74757627
-5.39369685,1.57623423,0.00684673,0.24472452,1.24826737,0.48266150,0.14830915,0.01596487,0.71843284
-5.38769385,1.51370711,0.00650776,0.23490685,1.16746233,0.46569802,0.14919892,0.01711377,0.68862645
-5.38169085,1.45094948,0.00616914,0.22500361,1.08620899,0.44864733,0.15010123,0.01826415,0.65871251
-5.37568784,1.38913194,0.00583769,0.21521035,1.00586406,0.43186586,0.15101808,0.01940052,0.62921074
-5.36968484,1.32934001,0.00552001,0.20571102,0.92770610,0.41568857,0.15194346,0.02050674,0.60059818
-5.36368184,1.27256434,0.00522243,0.19667567,0.85291587,0.40042582,0.15286508,0.02156654,0.57330541
-5.35767884,1.21969729,0.00495104,0.18825912,0.78256206,0.38636215,0.15376670,0.02256415,0.54771585
-5.35167584,1.17153505,0.00471164,0.18060043,0.71759228,0.37375648,0.15463077,0.02348486,0.52416781
-5.34567284,1.12878459,0.00450982,0.17382306,0.65882886,0.36284368,0.15544138,0.02431565,0.50295879
-5.33966983,1.09207395,0.00435099,0.16803555,0.60696911,0.35383704,0.15618727,0.02504577,0.48435162
-5.33366683,1.06196465,0.00424042,0.16333265,0.56258895,0.34693117,0.15686462,0.02566719,0.46858160
-5.32766383,1.03896467,0.00418332,0.15979642,0.52614933,0.34230495,0.15747952,0.02617500,0.45586393
-5.32166083,1.02354042,0.00418486,0.15749749,0.49800424,0.34012412,0.15804997,0.02656769,0.44640091
-5.31565783,1.01612656,0.00425020,0.15649590,0.47840965,0.34054297,0.15860709,0.02684728,0.44038792
-5.30965483,1.01713238,0.00438451,0.15684168,0.46753223,0.34370507,0.15919567,0.02701923,0.43801794
-5.30365183,1.02694397,0.00459289,0.15857494,0.46545750,0.34974254,0.15987378,0.02709233,0.43948392
-5.29764882,1.04592169,0.00488038,0.16172543,0.47219648,0.35877396,0.16071156,0.02707830,0.44497879
-5.29164582,1.07439280,0.00525176,0.16631153,0.48769081,0.37090085,0.16178918,0.02699136,0.45469295
-5.28564282,1.11263949,0.00571151,0.17233889,0.51181593,0.38620290,0.16319408,0.02684758,0.46880934
-5.27963982,1.16088295,0.00626357,0.17979860,0.54438248,0.40473212,0.16501757,0.02666426,0.48749612
-5.27363682,1.21926439,0.00691117,0.18866527,0.58513611,0.42650640,0.16735106,0.02645914,0.51089751
-5.26763382,1.28782417,0.00765664,0.19889500,0.63375605,0.45150268,0.17028200,0.02624967,0.53912319
