energy_ev,total_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up,W_p_up,W_d_up
-6.00000000,2.18720497,0.01220067,1.65787592,0.07625852,0.00007457,1.24881089,0.86641409
-5.99399700,2.17789345,0.01289478,1.65246132,0.07578898,0.00007492,1.26039378,0.85800724
-5.98799400,2.16462145,0.01358268,1.64387314,0.07510454,0.00007515,1.26808610,0.84868285
-5.98199100,2.14710145,0.01425539,1.63188795,0.07421747,0.00007525,1.27153067,0.83836299
-5.97598799,2.12516043,0.01490348,1.61637093,0.07314187,0.00007522,1.27046563,0.82700367
-5.96998499,2.09875189,0.01551728,1.59728622,0.07189345,0.00007506,1.26473566,0.81460090
-5.96398199,2.06796393,0.01608712,1.57470407,0.07048939,0.00007477,1.25430004,0.80119498
-5.95797899,2.03302270,0.01660360,1.54880434,0.06894811,0.00007438,1.23923706,0.78687311
-5.95197599,1.99429082,0.01705788,1.51987583,0.06728910,0.00007390,1.21974446,0.77176977
-5.94597299,1.95226053,0.01744194,1.48831144,0.06553277,0.00007335,1.19613572,0.75606508
-5.93996998,1.90754162,0.01774882,1.45459896,0.06370014,0.00007279,1.16883215,0.73998082
-5.93396698,1.86084436,0.01797289,1.41930795,0.06181270,0.00007222,1.13835115,0.72377450
-5.92796398,1.81295817,0.01810996,1.38307296,0.05989200,0.00007171,1.10529093,0.70773146
-5.92196098,1.76472665,0.01815749,1.34657393,0.05795936,0.00007127,1.07031234,0.69215558
-5.91595798,1.71702014,0.01811458,1.31051445,0.05603544,0.00007095,1.03411860,0.67735877
-5.90995498,1.67070697,0.01798208,1.27559892,0.05413985,0.00007078,0.99743365,0.66364990
-5.90395198,1.62662461,0.01776244,1.24250947,0.05229068,0.00007078,0.96098012,0.65132354
-5.89794897,1.58555194,0.01745972,1.21188383,0.05050405,0.00007097,0.92545782,0.64064924
-5.89194597,1.54818401,0.01707932,1.18429490,0.04879374,0.00007138,0.89152345,0.63186150
-5.88594297,1.51511016,0.01662789,1.16023293,0.04717080,0.00007200,0.85977250,0.62515121
-5.87993997,1.48679630,0.01611306,1.14009098,0.04564326,0.00007283,0.83072375,0.62065863
-5.87393697,1.46357221,0.01554318,1.12415408,0.04421599,0.00007385,0.80480693,0.61846835
-5.86793397,1.44562389,0.01492712,1.11259239,0.04289061,0.00007506,0.78235384,0.61860622
-5.86193097,1.43299115,0.01427400,1.10545839,0.04166552,0.00007642,0.76359295,0.62103835
-5.85592796,1.42557023,0.01359297,1.10268790,0.04053615,0.00007789,0.74864748,0.62567216
-5.84992496,1.42312099,0.01289304,1.10410475,0.03949524,0.00007943,0.73753676,0.63235912
-5.84392196,1.42527813,0.01218289,1.10942843,0.03853328,0.00008100,0.73018052,0.64089918
-5.83791896,1.43156552,0.01147079,1.11828443,0.03763910,0.00008255,0.72640569,0.65104646
-5.83191596,1.44141314,0.01076447,1.13021646,0.03680046,0.00008404,0.72595539,0.66251591
-5.82591296,1.45417553,0.01007116,1.14470011,0.03600475,0.00008540,0.72849936,0.67499064
-5.81990995,1.46915130,0.00939754,1.16115733,0.03523976,0.00008661,0.73364576,0.68812976
-5.81390695,1.48560274,0.00874984,1.17897139,0.03449436,0.00008762,0.74095359,0.70157626
-5.80790395,1.50277532,0.00813386,1.19750171,0.03375925,0.00008839,0.74994556,0.71496492
-5.80190095,1.51991637,0.00755514,1.21609856,0.03302764,0.00008890,0.76012110,0.72793003
-5.79589795,1.53629288,0.00701905,1.23411722,0.03229580,0.00008913,0.77096922,0.74011288
-5.78989495,1.55120815,0.00653092,1.25093164,0.03156361,0.00008907,0.78198104,0.75116886
-5.78389195,1.56401726,0.00609617,1.26594739,0.03083492,0.00008872,0.79266200,0.76077433
-5.77788894,1.57414122,0.00572044,1.27861403,0.03011787,0.00008809,0.80254338,0.76863299
-5.77188594,1.58107995,0.00540972,1.28843678,0.02942501,0.00008720,0.81119329,0.77448204
-5.76588294,1.58442389,0.00517039,1.29498746,0.02877333,0.00008608,0.81822684,0.77809789
-5.75987994,1.58386428,0.00500930,1.29791448,0.02818414,0.00008476,0.82331542,0.77930134
-5.75387694,1.57920185,0.00493377,1.29695192,0.02768284,0.00008330,0.82619494,0.77796241
-5.74787394,1.57035377,0.00495155,1.29192727,0.02729850,0.00008175,0.82667278,0.77400427
-5.74187094,1.55735853,0.00507076,1.28276762,0.02706337,0.00008016,0.82463333,0.76740653
-5.73586793,1.54037848,0.00529974,1.26950394,0.02701224,0.00007861,0.82004182,0.75820742
