energy_ev,total_up,P_s_up,P_p_up,S_s_up,S_p_up,W_p_up,W_d_up
-6.00000000,3.85219105,0.01393722,0.80312439,0.01397847,1.08911978,3.85415297,1.17810910
-5.99399700,3.92242946,0.01424568,0.78531359,0.01428134,1.12538955,3.90664450,1.19121817
-5.98799400,3.99998548,0.01452668,0.77102946,0.01460915,1.16291661,3.96256007,1.20817367
-5.98199100,4.08316452,0.01477718,0.75982268,0.01495713,1.20125417,4.02041582,1.22843510
-5.97598799,4.17027231,0.01499511,0.75122624,0.01532064,1.23996695,4.07877309,1.25143879
-5.96998499,4.25963291,0.01517934,0.74476530,0.01569537,1.27863286,4.13625500,1.27660423
-5.96398199,4.34960060,0.01532967,0.73996613,0.01607740,1.31684273,4.19155539,1.30333914
-5.95797899,4.43856649,0.01544671,0.73636386,0.01646330,1.35419827,4.24344125,1.33104371
-5.95197599,4.52496135,0.01553174,0.73350915,0.01685014,1.39030901,4.29075019,1.35911418
-5.94597299,4.60725615,0.01558652,0.73097389,0.01723549,1.42478882,4.33238461,1.38694625
-5.93996998,4.68396210,0.01561310,0.72835589,0.01761734,1.45725269,4.36730485,1.41393864
-5.93396698,4.75363190,0.01561363,0.72528293,0.01799406,1.48731438,4.39452301,1.43949722
-5.92796398,4.81486350,0.01559019,0.72141614,0.01836424,1.51458558,4.41309947,1.46303992
-5.92196098,4.86630766,0.01554457,0.71645293,0.01872657,1.53867693,4.42214329,1.48400275
-5.91595798,4.90667981,0.01547817,0.71012961,0.01907971,1.55920109,4.42081756,1.50184672
-5.90995498,4.93477644,0.01539193,0.70222368,0.01942214,1.57577815,4.40835006,1.51606597
-5.90395198,4.94949567,0.01528620,0.69255579,0.01975204,1.58804289,4.38404879,1.52619652
-5.89794897,4.94986105,0.01516079,0.68099146,0.02006714,1.59565392,4.34732190,1.53182558
-5.89194597,4.93504744,0.01501500,0.66744231,0.02036463,1.59830400,4.29770043,1.53260082
-5.88594297,4.90440740,0.01484769,0.65186680,0.02064113,1.59573103,4.23486235,1.52823931
-5.87993997,4.85749636,0.01465737,0.63427031,0.02089263,1.58772912,4.15865609,1.51853544
-5.87393697,4.79409481,0.01444236,0.61470444,0.02111453,1.57415886,4.06912147,1.50336745
-5.86793397,4.71422602,0.01420095,0.59326539,0.02130170,1.55495643,3.96650626,1.48270219
-5.86193097,4.61816774,0.01393153,0.57009144,0.02144856,1.53014070,3.85127690,1.45659766
-5.85592796,4.50645714,0.01363273,0.54535942,0.02154926,1.49981812,3.72412196,1.42520324
-5.84992496,4.37988808,0.01330360,0.51928019,0.02159784,1.46418491,3.58594786,1.38875739
-5.84392196,4.23950090,0.01294370,0.49209334,0.02158846,1.42352648,3.43786640,1.34758308
-5.83791896,4.08656477,0.01255321,0.46406115,0.02151561,1.37821415,3.28117458,1.30208086
-5.83191596,3.92255346,0.01213296,0.43546200,0.02137441,1.32869923,3.11732752,1.25272010
-5.82591296,3.74911564,0.01168449,0.40658353,0.02116078,1.27550488,2.94790551,1.20002860
-5.81990995,3.56804085,0.01121005,0.37771579,0.02087173,1.21921600,2.77457700,1.14458110
-5.81390695,3.38122278,0.01071252,0.34914458,0.02050553,1.16046783,2.59905900,1.08698713
-5.80790395,3.19062122,0.01019544,0.32114523,0.02006192,1.09993355,2.42307696,1.02787860
