energy_ev,total_up,As_p_up,As_d_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,2.73654548,1.41714624,0.00000000,0.03283191,0.37616034,0.66269925,1.11881166
-5.99399700,2.66512255,1.39100707,0.00000000,0.03234582,0.36020843,0.64698811,1.09954715
-5.98799400,2.58686766,1.36131049,0.00000000,0.03164511,0.34367750,0.63026737,1.07784399
-5.98199100,2.50329670,1.32874690,0.00000000,0.03074415,0.32683784,0.61293811,1.05423736
-5.97598799,2.41597889,1.29403247,0.00000000,0.02966107,0.30996019,0.59539470,1.02927260
-5.96998499,2.32648366,1.25788351,0.00000000,0.02841721,0.29330703,0.57801135,1.00348564
-5.96398199,2.23632886,1.22099156,0.00000000,0.02703639,0.27712426,0.56112944,0.97738408
-5.95797899,2.14693254,1.18400011,0.00000000,0.02554422,0.26163385,0.54504650,0.95143001
-5.95197599,2.05957035,1.14748416,0.00000000,0.02396729,0.24702749,0.53000699,0.92602509
-5.94597299,1.97534021,1.11193326,0.00000000,0.02233243,0.23346176,0.51619545,0.90149867
-5.93996998,1.89513544,1.07773887,0.00000000,0.02066603,0.22105473,0.50373214,0.87809925
-5.93396698,1.81962749,1.04518627,0.00000000,0.01899337,0.20988421,0.49267137,0.85598977
-5.92796398,1.74925835,1.01445146,0.00000000,0.01733806,0.19998770,0.48300253,0.83524666
-5.92196098,1.68424292,0.98560282,0.00000000,0.01572163,0.19136389,0.47465366,0.81586263
-5.91595798,1.62458064,0.95860738,0.00000000,0.01416324,0.18397565,0.46749750,0.79775306
-5.90995498,1.57007562,0.93334130,0.00000000,0.01267939,0.17775438,0.46135951,0.78076544
-5.90395198,1.52036400,0.90960376,0.00000000,0.01128396,0.17260542,0.45602770,0.76469145
-5.89794897,1.47494721,0.88713366,0.00000000,0.00998820,0.16841433,0.45126367,0.74928104
-5.89194597,1.43322919,0.86562825,0.00000000,0.00880087,0.16505380,0.44681443,0.73425770
-5.88594297,1.39455614,0.84476264,0.00000000,0.00772853,0.16239075,0.44242454,0.71933444
-5.87993997,1.35825664,0.82420954,0.00000000,0.00677581,0.16029355,0.43784795,0.70422951
-5.87393697,1.32368071,0.80365809,0.00000000,0.00594577,0.15863881,0.43285926,0.68868131
-5.86793397,1.29023591,0.78283110,0.00000000,0.00524033,0.15731774,0.42726371,0.67246185
-5.86193097,1.25741928,0.76150014,0.00000000,0.00466064,0.15624165,0.42090571,0.65538825
-5.85592796,1.22484371,0.73949760,0.00000000,0.00420746,0.15534641,0.41367560,0.63733177
-5.84992496,1.19225789,0.71672569,0.00000000,0.00388153,0.15459575,0.40551424,0.61822424
-5.84392196,1.15955929,0.69316177,0.00000000,0.00368389,0.15398330,0.39641548,0.59806156
-5.83791896,1.12679965,0.66886024,0.00000000,0.00361612,0.15353312,0.38642638,0.57690429
-5.83191596,1.09418315,0.64395084,0.00000000,0.00368051,0.15329894,0.37564521,0.55487553
-5.82591296,1.06205743,0.61863356,0.00000000,0.00388016,0.15336194,0.36421741,0.53215603
-5.81990995,1.03089796,0.59317073,0.00000000,0.00421897,0.15382722,0.35232967,0.50897714
-5.81390695,1.00128668,0.56787635,0.00000000,0.00470157,0.15481909,0.34020239,0.48561174
-5.80790395,0.97388580,0.54310352,0.00000000,0.00533313,0.15647542,0.32808098,0.46236366
-5.80190095,0.94940782,0.51923028,0.00000000,0.00611907,0.15894105,0.31622615,0.43955611
-5.79589795,0.92858326,0.49664461,0.00000000,0.00706474,0.16236082,0.30490378,0.41751955
-5.78989495,0.91212716,0.47572912,0.00000000,0.00817495,0.16687224,0.29437467,0.39657950
-5.78389195,0.90070594,0.45684601,0.00000000,0.00945355,0.17259829,0.28488464,0.37704475
-5.77788894,0.89490584,0.44032296,0.00000000,0.01090288,0.17964048,0.27665529,0.35919651
-5.77188594,0.89520423,0.42644031,0.00000000,0.01252325,0.18807273,0.26987581,0.34327863
-5.76588294,0.90194511,0.41542010,0.00000000,0.01431243,0.19793612,0.26469615,0.32948953
-5.75987994,0.91531966,0.40741734,0.00000000,0.01626519,0.20923499,0.26122186,0.31797586
-5.75387694,0.93535290,0.40251374,0.00000000,0.01837288,0.22193449,0.25951066,0.30882823
-5.74787394,0.96189705,0.40071421,0.00000000,0.02062313,0.23595988,0.25957103,0.30207902
-5.74187094,0.99463203,0.40194618,0.00000000,0.02299972,0.25119759,0.26136271,0.29770237
-5.73586793,1.03307324,0.40606183,0.00000000,0.02548246,0.26749822,0.26479926,0.29561640
-5.72986493,1.07658646,0.41284307,0.00000000,0.02804744,0.28468128,0.26975247,0.29568730
-5.72386193,1.12440952,0.42200921,0.00000000,0.03066725,0.30254166,0.27605841,0.29773543
-5.71785893,1.17567987,0.43322694,0.00000000,0.03331151,0.32085762,0.28352501,0.30154298
-5.71185593,1.22946701,0.44612237,0.00000000,0.03594756,0.33939977,0.29194077,0.30686292
-5.70585293,1.28480848,0.46029453,0.00000000,0.03854124,0.35794095,0.30108413,0.31342893
-5.69984992,1.34074786,0.47532995,0.00000000,0.04105784,0.37626629,0.31073337,0.32096594
-5.69384692,1.39637296,0.49081767,0.00000000,0.04346316,0.39418301,0.32067622,0.32920069
-5.68784392,1.45085249,0.50636409,0.00000000,0.04572458,0.41152947,0.33071909,0.33787216
-5.68184092,1.50346923,0.52160702,0.00000000,0.04781213,0.42818285,0.34069519,0.34674110
-5.67583792,1.55364809,0.53622830,0.00000000,0.04969952,0.44406504,0.35047139,0.35559860
-5.66983492,1.60097742,0.54996453,0.00000000,0.05136506,0.45914619,0.35995323,0.36427301
-5.66383192,1.64522228,0.56261533,0.00000000,0.05279241,0.47344573,0.36908800,0.37263518
-5.65782891,1.68632888,0.57404883,0.00000000,0.05397115,0.48703062,0.37786560,0.38060165
-5.65182591,1.72441962,0.58420409,0.00000000,0.05489707,0.50001062,0.38631720,0.38813567
-5.64582291,1.75977887,0.59309043,0.00000000,0.05557228,0.51253104,0.39451164,0.39524611
-5.63981991,1.79282998,0.60078362,0.00000000,0.05600497,0.52476277,0.40254989,0.40198427
-5.63381691,1.82410478,0.60741935,0.00000000,0.05620895,0.53689056,0.41055768,0.40843875
-5.62781391,1.85420686,0.61318404,0.00000000,0.05620303,0.54909961,0.41867686,0.41472886
-5.62181091,1.88377083,0.61830387,0.00000000,0.05601000,0.56156160,0.42705579,0.42099662
-5.61580790,1.91341959,0.62303223,0.00000000,0.05565571,0.57442070,0.43583950,0.42739815
-5.60980490,1.94372217,0.62763660,0.00000000,0.05516781,0.58778033,0.44515988,0.43409457
-5.60380190,1.97515441,0.63238533,0.00000000,0.05457463,0.60169174,0.45512673,0.44124315
-5.59779890,2.00806479,0.63753502,0.00000000,0.05390396,0.61614482,0.46582001,0.44898904
-5.59179590,2.04264746,0.64331923,0.00000000,0.05318202,0.63106199,0.47728373,0.45745802
