energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Mo_p_up,Mo_d_up,Te_p_up,Te_d_up
-6.00000000,3.45461842,0.05331787,0.46021069,0.49676653,0.41726848,2.03265178,1.08669823,1.29163863,0.00000000
-5.99399700,3.46277745,0.05330629,0.46431731,0.49281642,0.41866525,2.02971383,1.09491720,1.28724718,0.00000000
-5.98799400,3.46651060,0.05319740,0.46744111,0.48920483,0.41933086,2.02385588,1.10183360,1.28183571,0.00000000
-5.98199100,3.46637993,0.05300028,0.46960485,0.48603574,0.41934780,2.01545411,1.10757322,1.27569613,0.00000000
-5.97598799,3.46307274,0.05272605,0.47085645,0.48341039,0.41881921,2.00497719,1.11229538,1.26916087,0.00000000
-5.96998499,3.45737921,0.05238753,0.47126649,0.48142570,0.41786531,1.99297141,1.11618716,1.26259406,0.00000000
-5.96398199,3.45016764,0.05199886,0.47092515,0.48017284,0.41661944,1.98004336,1.11945710,1.25638178,0.00000000
-5.95797899,3.44235849,0.05157501,0.46993875,0.47973601,0.41522384,1.96684078,1.12232903,1.25092208,0.00000000
-5.95197599,3.43489860,0.05113131,0.46842610,0.48019128,0.41382539,1.95403269,1.12503637,1.24661487,0.00000000
-5.94597299,3.42873673,0.05068294,0.46651494,0.48160565,0.41257150,1.94228968,1.12781727,1.24385234,0.00000000
-5.93996998,3.42480156,0.05024447,0.46433860,0.48403632,0.41160614,1.93226527,1.13091079,1.24301002,0.00000000
-5.93396698,3.42398289,0.04982936,0.46203316,0.48752999,0.41106644,1.92457922,1.13455459,1.24443882,0.00000000
-5.92796398,3.42711673,0.04944963,0.45973521,0.49212236,0.41107959,1.91980340,1.13898387,1.24845831,0.00000000
-5.92196098,3.43497446,0.04911542,0.45758024,0.49783771,0.41176038,1.91845092,1.14443177,1.25535113,0.00000000
-5.91595798,3.44825602,0.04883483,0.45570179,0.50468852,0.41320919,1.92096858,1.15113097,1.26535881,0.00000000
-5.90995498,3.46758682,0.04861365,0.45423131,0.51267521,0.41551058,1.92773304,1.15931619,1.27867880,0.00000000
-5.90395198,3.49351788,0.04845536,0.45329853,0.52178590,0.41873225,1.93905047,1.16922727,1.29546261,0.00000000
-5.89794897,3.52652829,0.04836100,0.45303244,0.53199626,0.42292449,1.95515936,1.18111233,1.31581500,0.00000000
-5.89194597,3.56702921,0.04832935,0.45356239,0.54326944,0.42811992,1.97623610,1.19523061,1.33979396,0.00000000
-5.88594297,3.61536848,0.04835699,0.45501948,0.55555610,0.43433348,2.00240260,1.21185443,1.36741132,0.00000000
-5.87993997,3.67183488,0.04843850,0.45753771,0.56879465,0.44156257,2.03373529,1.23126986,1.39863392,0.00000000
-5.87393697,3.73666135,0.04856674,0.46125478,0.58291158,0.44978741,2.07027470,1.25377572,1.43338500,0.00000000
