energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-6.00000000,2.82443964,0.00448370,0.62250955,0.29748335,1.15153925,1.44934568,0.00471977,0.68071038
-5.99399700,2.91693259,0.00472680,0.63624818,0.31073443,1.19083922,1.48970419,0.00491863,0.71070461
-5.98799400,2.99743133,0.00495152,0.64675638,0.32261284,1.22557907,1.52302844,0.00510476,0.73859078
-5.98199100,3.06491384,0.00515426,0.65393577,0.33295616,1.25536902,1.54892321,0.00527702,0.76399512
-5.97598799,3.11866682,0.00533181,0.65776000,0.34163762,1.27994127,1.56715158,0.00543516,0.78661497
-5.96998499,3.15830546,0.00548147,0.65827508,0.34857070,1.29915997,1.57764029,0.00557983,0.80622779
-5.96398199,3.18378296,0.00560114,0.65559753,0.35371225,1.31302752,1.58048017,0.00571266,0.82269729
-5.95797899,3.19538952,0.00568939,0.64991060,0.35706430,1.32168721,1.57592145,0.00583623,0.83597664
-5.95197599,3.19374071,0.00574553,0.64145865,0.35867421,1.32542199,1.56436443,0.00595402,0.84610846
-5.94597299,3.17975607,0.00576960,0.63054006,0.35863336,1.32464946,1.54634581,0.00607045,0.85322176
-5.93996998,3.15462881,0.00576239,0.61749889,0.35707425,1.31991333,1.52252139,0.00619071,0.85752584
-5.93396698,3.11978805,0.00572542,0.60271566,0.35416628,1.31187168,1.49364593,0.00632076,0.85930166
-5.92796398,3.07685528,0.00566087,0.58659757,0.35011034,1.30128233,1.46055088,0.00646715,0.85889110
-5.92196098,3.02759685,0.00557150,0.56956863,0.34513249,1.28898600,1.42412110,0.00663694,0.85668451
-5.91595798,2.97387438,0.00546059,0.55205975,0.33947700,1.27588753,1.38527118,0.00683754,0.85310738
-5.90995498,2.91759494,0.00533179,0.53449933,0.33339900,1.26293597,1.34492245,0.00707656,0.84860655
-5.90395198,2.86066269,0.00518903,0.51730446,0.32715709,1.25110373,1.30398111,0.00736162,0.84363661
-5.89794897,2.80493340,0.00503641,0.50087273,0.32100620,1.24136545,1.26331830,0.00770025,0.83864705
-5.89194597,2.75217292,0.00487805,0.48557512,0.31519083,1.23467690,1.22375247,0.00809965,0.83407053
-5.88594297,2.70402060,0.00471800,0.47174958,0.30993899,1.23195421,1.18603420,0.00856652,0.83031252
-5.87993997,2.66195787,0.00456010,0.45969570,0.30545692,1.23405379,1.15083386,0.00910691,0.82774268
-5.87393697,2.62728227,0.00440794,0.44967013,0.30192465,1.24175301,1.11873178,0.00972603,0.82668782
-5.86793397,2.60108681,0.00426473,0.44188290,0.29949256,1.25573202,1.09021109,0.01042804,0.82742659
-5.86193097,2.58424428,0.00413325,0.43649448,0.29827878,1.27655671,1.06565281,0.01121592,0.83018562
-5.85592796,2.57739602,0.00401584,0.43361358,0.29836754,1.30466322,1.04533302,0.01209128,0.83513704
-5.84992496,2.58094483,0.00391431,0.43329554,0.29980835,1.34034409,1.02942186,0.01305420,0.84239705
-5.84392196,2.59505146,0.00382995,0.43554152,0.30261585,1.38373650,1.01798403,0.01410312,0.85202538
-5.83791896,2.61963432,0.00376354,0.44029823,0.30677050,1.43481290,1.01098072,0.01523470,0.86402551
-5.83191596,2.65437245,0.00371534,0.44745851,0.31221973,1.49337453,1.00827265,0.01644376,0.87834538
-5.82591296,2.69871150,0.00368514,0.45686263,0.31887978,1.55904825,1.00962441,0.01772321,0.89487868
-5.81990995,2.75187304,0.00367223,0.46830057,0.32663793,1.63128732,1.01470988,0.01906410,0.91346657
-5.81390695,2.81286750,0.00367551,0.48151516,0.33535533,1.70937636,1.02311895,0.02045558,0.93390011
-5.80790395,2.88051105,0.00369351,0.49620647,0.34487021,1.79244111,1.03436563,0.02188510,0.95592326
-5.80190095,2.95344680,0.00372441,0.51203716,0.35500157,1.87946308,1.04789755,0.02333848,0.97923688
-5.79589795,3.03017060,0.00376613,0.52863911,0.36555328,1.96929921,1.06310718,0.02480021,1.00350366
-5.78989495,3.10906151,0.00381638,0.54562108,0.37631856,2.06070635,1.07934450,0.02625365,1.02835423
-5.78389195,3.18841680,0.00387273,0.56257740,0.38708476,2.15237014,1.09593130,0.02768141,1.05339444
-5.77788894,3.26649089,0.00393265,0.57909747,0.39763841,2.24293752,1.11217678,0.02906568,1.07821378
-5.77188594,3.34153761,0.00399359,0.59477585,0.40777036,2.33105192,1.12739430,0.03038866,1.10239494
-5.76588294,3.41185436,0.00405306,0.60922262,0.41728092,2.41538994,1.14091867,0.03163296,1.12552400
-5.75987994,3.47582689,0.00410864,0.62207366,0.42598485,2.49469787,1.15212364,0.03278206,1.14720127
-5.75387694,3.53197296,0.00415812,0.63300036,0.43371592,2.56782687,1.16043877,0.03382071,1.16705201
-5.74787394,3.57898297,0.00419947,0.64171859,0.44033100,2.63376479,1.16536524,0.03473532,1.18473680
-5.74187094,3.61575571,0.00423095,0.64799624,0.44571339,2.69166349,1.16648967,0.03551434,1.19996088
-5.73586793,3.64142762,0.00425114,0.65165920,0.44977529,2.74086000,1.16349548,0.03614854,1.21248211
-5.72986493,3.65539386,0.00425894,0.65259543,0.45245929,2.78089069,1.15617115,0.03663124,1.22211688
-5.72386193,3.65732014,0.00425365,0.65075690,0.45373869,2.81149748,1.14441490,0.03695845,1.22874390
-5.71785893,3.64714471,0.00423493,0.64615927,0.45361688,2.83262589,1.12823569,0.03712897,1.23230539
-5.71185593,3.62507010,0.00420282,0.63887936,0.45212548,2.84441500,1.10775020,0.03714437,1.23280565
-5.70585293,3.59154536,0.00415776,0.62905063,0.44932159,2.84717987,1.08317615,0.03700887,1.23030721
-5.69984992,3.54723936,0.00410054,0.61685659,0.44528426,2.84138747,1.05482212,0.03672915,1.22492461
-5.69384692,3.49300695,0.00403229,0.60252285,0.44011016,2.82762739,1.02307446,0.03631418,1.21681629
-5.68784392,3.42984954,0.00395447,0.58630788,0.43390906,2.80657907,0.98838184,0.03577484,1.20617513
-5.68184092,3.35887239,0.00386880,0.56849313,0.42679896,2.77897736,0.95123836,0.03512364,1.19321817
-5.67583792,3.28124090,0.00377727,0.54937287,0.41890152,2.74557829,0.91216586,0.03437433,1.17817613
-5.66983492,3.19813807,0.00368207,0.52924428,0.41033763,2.70712698,0.87169645,0.03354155,1.16128351
-5.66383192,3.11072540,0.00358559,0.50839820,0.40122377,2.66432922,0.83035592,0.03264051,1.14276975
-5.65782891,3.02010901,0.00349038,0.48711087,0.39166892,2.61782830,0.78864882,0.03168658,1.12285192
-5.65182591,2.92731245,0.00339915,0.46563711,0.38177248,2.56818798,0.74704580,0.03069509,1.10172953
-5.64582291,2.83325721,0.00331472,0.44420499,0.37162296,2.51588222,0.70597359,0.02968102,1.07958147
