energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,2.17422785,0.03871247,0.01582172,1.50042083,0.53279769,0.01377376,1.39604223,0.56558397,0.10217954
-5.99399700,2.24996197,0.03839919,0.01602051,1.55081169,0.55357299,0.01445452,1.44678443,0.58796188,0.10637794
-5.98799400,2.32983252,0.03818946,0.01625805,1.60401249,0.57543253,0.01515566,1.50014870,0.61115995,0.11078273
-5.98199100,2.41272764,0.03806677,0.01652809,1.65933262,0.59804472,0.01587235,1.55542881,0.63488613,0.11534494
-5.97598799,2.49739019,0.03801194,0.01682313,1.71598525,0.62103829,0.01659934,1.61182589,0.65881760,0.12000738
-5.96998499,2.58245086,0.03800373,0.01713476,1.77311107,0.64401122,0.01733115,1.66846955,0.68260787,0.12470626
-5.96398199,2.66646794,0.03801955,0.01745395,1.82980660,0.66654107,0.01806226,1.72444333,0.70589543,0.12937334
-5.95797899,2.74797241,0.03803620,0.01777145,1.88515624,0.68819662,0.01878737,1.77881384,0.72831345,0.13393828
-5.95197599,2.82551727,0.03803066,0.01807816,1.93826698,0.70855044,0.01950165,1.83066255,0.74950068,0.13833143
-5.94597299,2.89772910,0.03798084,0.01836555,1.98830462,0.72719202,0.02020102,1.87911923,0.76911286,0.14248664
-5.93996998,2.96336001,0.03786637,0.01862603,2.03452971,0.74374092,0.02088246,1.92339560,0.78683446,0.14634418
-5.93396698,3.02133754,0.03766922,0.01885327,2.07633179,0.75785953,0.02154425,1.96281783,0.80239022,0.14985356
-5.92796398,3.07081033,0.03737435,0.01904254,2.11326008,0.76926487,0.02218625,1.99685608,0.81555588,0.15297609
-5.92196098,3.11118701,0.03697018,0.01919093,2.14504890,0.77773883,0.02281006,2.02514985,0.82616768,0.15568698
-5.91595798,3.14216627,0.03644897,0.01929749,2.17163625,0.78313657,0.02341917,2.04752737,0.83413002,0.15797704
-5.90995498,3.16375613,0.03580708,0.01936332,2.19317417,0.78539231,0.02401902,2.06401793,0.83942085,0.15985364
-5.90395198,3.17628084,0.03504500,0.01939153,2.21002984,0.78452254,0.02461695,2.07485614,0.84209431,0.16134098
-5.89794897,3.18037456,0.03416731,0.01938713,2.22277674,0.78062614,0.02522204,2.08047728,0.84228042,0.16247960
-5.89194597,3.17696136,0.03318247,0.01935680,2.23217571,0.77388146,0.02584488,2.08150379,0.84018156,0.16332504
-5.88594297,3.16722201,0.03210245,0.01930858,2.23914637,0.76454032,0.02649723,2.07872286,0.83606583,0.16394580
-5.87993997,3.15254850,0.03094231,0.01925150,2.24472963,0.75291925,0.02719153,2.07305601,0.83025735,0.16442056
-5.87393697,3.13448807,0.02971955,0.01919515,2.25004281,0.73938817,0.02794042,2.06552164,0.82312399,0.16483478
-5.86793397,3.11467916,0.02845356,0.01914916,2.25622925,0.72435707,0.02875614,2.05719229,0.81506280,0.16527691
-5.86193097,3.09478204,0.02716488,0.01912276,2.26440461,0.70826123,0.02964990,2.04914837,0.80648395,0.16583433
-5.85592796,3.07640739,0.02587453,0.01912425,2.27560254,0.69154567,0.03063127,2.04243064,0.79779378,0.16658915
-5.84992496,3.06104632,0.02460332,0.01916060,2.29072211,0.67464950,0.03170762,2.03799363,0.78937786,0.16761417
-5.84392196,3.05000515,0.02337120,0.01923698,2.31048004,0.65799081,0.03288353,2.03666239,0.78158478,0.16896924
-5.83791896,3.04434828,0.02219668,0.01935653,2.33536987,0.64195293,0.03416043,2.03909471,0.77471147,0.17069806
-5.83191596,3.04485194,0.02109628,0.01952009,2.36563058,0.62687253,0.03553626,2.04575072,0.76899086,0.17282569
-5.82591296,3.05197112,0.02008416,0.01972609,2.40122611,0.61303004,0.03700528,2.05687145,0.76458236,0.17535697
-5.81990995,3.06582146,0.01917177,0.01997058,2.44183725,0.60064291,0.03855810,2.07246742,0.76156574,0.17827578
-5.81390695,3.08617668,0.01836762,0.02024734,2.48686626,0.58986179,0.04018182,2.09231789,0.75993860,0.18154529
-5.80790395,3.11248180,0.01767718,0.02054809,2.53545422,0.58076972,0.04186035,2.11598065,0.75961759,0.18510917
-5.80190095,3.14388111,0.01710286,0.02086285,2.58651034,0.57338429,0.04357486,2.14281191,0.76044325,0.18889372
-5.79589795,3.17925942,0.01664409,0.02118033,2.63875171,0.56766253,0.04530438,2.17199506,0.76218819,0.19281076
-5.78989495,3.21729413,0.01629743,0.02148842,2.69075168,0.56350802,0.04702651,2.20257686,0.76456815,0.19676115
-5.78389195,3.25651539,0.01605687,0.02177467,2.74099435,0.56077993,0.04871813,2.23350893,0.76725531,0.20063877
-5.77788894,3.29537102,0.01591405,0.02202687,2.78793248,0.55930327,0.05035619,2.26369252,0.76989325,0.20433478
-5.77188594,3.33229278,0.01585859,0.02223350,2.83004610,0.55887980,0.05191849,2.29202408,0.77211261,0.20774182
-5.76588294,3.36576063,0.01587850,0.02238420,2.86589881,0.55929901,0.05338434,2.31743945,0.77354688,0.21075812
-5.75987994,3.39436181,0.01596052,0.02247022,2.89418939,0.56034858,0.05473520,2.33895438,0.77384740,0.21329119
-5.75387694,3.41684202,0.01609051,0.02248469,2.91379620,0.56182368,0.05595513,2.35569959,0.77269701,0.21526088
-5.74787394,3.43214638,0.01625388,0.02242288,2.92381275,0.56353495,0.05703119,2.36694890,0.76982171,0.21660191
-5.74187094,3.43944887,0.01643594,0.02228231,2.92357307,0.56531450,0.05795356,2.37213925,0.76499988,0.21726546
-5.73586793,3.43816923,0.01662230,0.02206278,2.91266619,0.56702001,0.05871565,2.37088228,0.75806884,0.21722008
-5.72986493,3.42797745,0.01679923,0.02176626,2.89093979,0.56853671,0.05931391,2.36296724,0.74892865,0.21645167
-5.72386193,3.40878651,0.01695396,0.02139677,2.85849350,0.56977744,0.05974762,2.34835593,0.73754297,0.21496284
-5.71785893,3.38073459,0.01707497,0.02096007,2.81566285,0.57068082,0.06001854,2.32717027,0.72393750,0.21277147
-5.71185593,3.34415873,0.01715228,0.02046337,2.76299545,0.57120789,0.06013045,2.29967414,0.70819597,0.20990885
-5.70585293,3.29956198,0.01717761,0.01991498,2.70122113,0.57133769,0.06008868,2.26625063,0.69045432,0.20641739
-5.69984992,3.24757668,0.01714460,0.01932390,2.63121807,0.57106199,0.05989965,2.22737657,0.67089332,0.20234811
-5.69384692,3.18892603,0.01704884,0.01869945,2.55397678,0.57037977,0.05957034,2.18359600,0.64973030,0.19775805
-5.68784392,3.12438651,0.01688802,0.01805089,2.47056399,0.56929175,0.05910795,2.13549400,0.62721034,0.19270784
-5.68184092,3.05475319,0.01666186,0.01738712,2.38208806,0.56779555,0.05851952,2.08367251,0.60359747,0.18725935
-5.67583792,2.98080942,0.01637208,0.01671635,2.28966736,0.56588160,0.05781167,2.02872910,0.57916613,0.18147385
-5.66983492,2.90330242,0.01602230,0.01604587,2.19440272,0.56353020,0.05699051,1.97123965,0.55419343,0.17541035
-5.66383192,2.82292529,0.01561789,0.01538193,2.09735454,0.56070992,0.05606153,1.91174532,0.52895219,0.16912454
-5.65782891,2.74030585,0.01516574,0.01472961,1.99952503,0.55737730,0.05502971,1.85074411,0.50370516,0.16266807
