energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-6.00000000,8.15510246,0.00101947,1.31670705,0.18701926,2.32395255,4.45254574,0.06116015,1.58217632
-5.99399700,8.48526532,0.00107940,1.36293908,0.19653405,2.42984848,4.62573967,0.06304648,1.65917078
-5.98799400,8.79198035,0.00115133,1.40603199,0.20550565,2.53261922,4.78684088,0.06463412,1.73096233
-5.98199100,9.07216995,0.00123475,1.44565762,0.21382491,2.63079729,4.93463092,0.06590059,1.79666806
-5.97598799,9.32354365,0.00132918,1.48162825,0.22139274,2.72311872,5.06833086,0.06683154,1.85553170
-5.96998499,9.54464154,0.00143419,1.51389733,0.22812207,2.80854985,5.18761166,0.06742112,1.90694189
-5.96398199,9.73484612,0.00154932,1.54255462,0.23393952,2.88630609,5.29258685,0.06767204,1.95044537
-5.95797899,9.89436255,0.00167409,1.56781583,0.23878671,2.95586256,5.38378800,0.06759536,1.98575466
-5.95197599,10.02416897,0.00180796,1.59000760,0.24262109,3.01695633,5.46212430,0.06720985,2.01274996
-5.94597299,10.12593989,0.00195031,1.60954833,0.24541652,3.06958096,5.52882857,0.06654117,2.03147565
-5.93996998,10.20194728,0.00210043,1.62692615,0.24716345,3.11397394,5.58539254,0.06562080,2.04213154
-5.93396698,10.25494490,0.00225754,1.64267492,0.24786878,3.15059813,5.63349492,0.06448467,2.04505977
-5.92796398,10.28804221,0.00242076,1.65734968,0.24755553,3.18011862,5.67492603,0.06317180,2.04072830
-5.92196098,10.30457472,0.00258917,1.67150259,0.24626227,3.20337635,5.71151273,0.06172277,2.02971188
-5.91595798,10.30797722,0.00276183,1.68566068,0.24404241,3.22135999,5.74504762,0.06017828,2.01267182
-5.90995498,10.30166627,0.00293783,1.70030620,0.24096342,3.23517767,5.77722552,0.05857770,1.99033565
-5.90395198,10.28893699,0.00311636,1.71586058,0.23710605,3.24602961,5.80959024,0.05695785,1.96347773
-5.89794897,10.27287841,0.00329677,1.73267233,0.23256344,3.25518277,5.84349338,0.05535191,1.93290163
-5.89194597,10.25630980,0.00347867,1.75100932,0.22744038,3.26394820,5.88006643,0.05378862,1.89942512
-5.88594297,10.24173919,0.00366200,1.77105530,0.22185242,3.27366131,5.92020620,0.05229172,1.86386802
-5.87993997,10.23134329,0.00384712,1.79291042,0.21592509,3.28566495,5.96457307,0.05087967,1.82704315
-5.87393697,10.22696704,0.00403488,1.81659530,0.20979302,3.30129494,6.01360036,0.04956568,1.78975015
-5.86793397,10.23013929,0.00422669,1.84205777,0.20359895,3.32186716,6.06751284,0.04835799,1.75277186
-5.86193097,10.24210054,0.00442454,1.86918170,0.19749261,3.34866537,6.12635164,0.04726033,1.71687252
-5.85592796,10.26383784,0.00463108,1.89779678,0.19162936,3.38292851,6.19000286,0.04627269,1.68279701
-5.84992496,10.29612193,0.00484952,1.92768866,0.18616854,3.42583656,6.25822687,0.04539208,1.65127042
-5.84392196,10.33954191,0.00508366,1.95860854,0.18127154,3.47849395,6.33068580,0.04461348,1.62299676
-5.83791896,10.39453334,0.00533777,1.99028155,0.17709942,3.54191004,6.40696698,0.04393074,1.59865638
-5.83191596,10.46139663,0.00561649,2.02241371,0.17381017,3.61697607,6.48660063,0.04333747,1.57890106
-5.82591296,10.54030383,0.00592463,2.05469703,0.17155558,3.70443921,6.56907109,0.04282783,1.56434666
