energy_ev,total_up,C_s_up,C_p_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-4.03101551,7.78531269,0.03249123,0.10219537,2.78806087,5.44627530,0.16994309,1.99792127
-4.02501251,7.80059619,0.03283113,0.10181135,2.81725596,5.42395419,0.17616708,2.02814427
-4.01900950,7.82782449,0.03307343,0.10161564,2.85080037,5.41112255,0.18224201,2.06026059
-4.01300650,7.86627117,0.03320510,0.10158081,2.88774005,5.40803335,0.18805407,2.09359227
-4.00700350,7.91513751,0.03321676,0.10167551,2.92710525,5.41483979,0.19349793,2.12747918
-4.00100050,7.97354581,0.03310267,0.10186549,2.96792357,5.43157577,0.19847899,2.16128611
-3.99499750,8.04053370,0.03286065,0.10211494,3.00923370,5.45813809,0.20291540,2.19440936
-3.98899450,8.11504904,0.03249191,0.10238768,3.05009948,5.49427033,0.20673973,2.22628276
-3.98299150,8.19594532,0.03200075,0.10264852,3.08962403,5.53954845,0.20990020,2.25638301
-3.97698849,8.28197745,0.03139430,0.10286449,3.12696375,5.59336816,0.21236161,2.28423424
-3.97098549,8.37179822,0.03068207,0.10300598,3.16134162,5.65493466,0.21410572,2.30941173
-3.96498249,8.46395606,0.02987556,0.10304771,3.19205971,5.72325521,0.21513120,2.33154482
-3.95897949,8.55689478,0.02898780,0.10296963,3.21851043,5.79713563,0.21545309,2.35031887
-3.95297649,8.64895659,0.02803289,0.10275746,3.24018635,5.87518171,0.21510192,2.36547655
-3.94697349,8.73838957,0.02702552,0.10240319,3.25668839,5.95580671,0.21412228,2.37681840
-3.94097049,8.82336087,0.02598054,0.10190525,3.26773225,6.03724615,0.21257123,2.38420297
-3.93496748,8.90197698,0.02491258,0.10126852,3.27315304,6.11758072,0.21051633,2.38754657
-3.92896448,8.97231171,0.02383564,0.10050413,3.27290808,6.19476800,0.20803357,2.38682305
-3.92296148,9.03244268,0.02276285,0.09962914,3.26707800,6.26668317,0.20520521,2.38206357
-3.91695848,9.08049579,0.02170613,0.09866603,3.25586598,6.33116820,0.20211760,2.37335662
-3.91095548,9.11469721,0.02067611,0.09764208,3.23959547,6.38608863,0.19885909,2.36084833
-3.90495248,9.13343110,0.01968194,0.09658868,3.21870607,6.42939614,0.19551808,2.34474296
-3.89894947,9.13530093,0.01873133,0.09554052,3.19374772,6.45919472,0.19218127,2.32530350
-3.89294647,9.11919146,0.01783048,0.09453482,3.16537304,6.47380767,0.18893211,2.30285214
-3.88694347,9.08432813,0.01698427,0.09361039,3.13432756,6.47184224,0.18584945,2.27777017
-3.88094047,9.03033000,0.01619632,0.09280672,3.10143772,6.45224859,0.18300639,2.25049701
-3.87493747,8.95725288,0.01546920,0.09216309,3.06759639,6.41436992,0.18046934,2.22152779
-3.86893447,8.86561900,0.01480466,0.09171750,3.03374569,6.35798060,0.17829716,2.19140912
-3.86293147,8.75643046,0.01420384,0.09150574,3.00085697,6.28330992,0.17654043,2.16073270
-3.85692846,8.63116425,0.01366753,0.09156029,2.96990815,6.19104945,0.17524070,2.13012626
-3.85092546,8.49174776,0.01319638,0.09190928,2.94185842,6.08234315,0.17442988,2.10024206
-3.84492246,8.34051464,0.01279118,0.09257545,2.91762095,5.95876006,0.17412950,2.07174261
-3.83891946,8.18014225,0.01245300,0.09357512,2.89803419,5.82225034,0.17435010,2.04528431
-3.83291646,8.01357294,0.01218340,0.09491722,2.88383281,5.67508651,0.17509061,2.02149910
-3.82691346,7.84392244,0.01198454,0.09660247,2.87561946,5.51979253,0.17633781,2.00097521
-3.82091046,7.67437966,0.01185926,0.09862267,2.87383868,5.35906377,0.17806598,1.98423760
-3.81490745,7.50810268,0.01181112,0.10096024,2.87875451,5.19568174,0.18023681,1.97172930
-3.80890445,7.34811587,0.01184440,0.10358800,2.89043326,5.03242748,0.18279956,1.96379465
-3.80290145,7.19721329,0.01196402,0.10646932,2.90873274,4.87199732,0.18569168,1.96066546
-3.79689845,7.05787305,0.01217545,0.10955855,2.93329928,4.71692497,0.18883984,1.96245104
-3.79089545,6.93218640,0.01248452,0.11280188,2.96357308,4.56951272,0.19216153,1.96913295
-3.78489245,6.82180480,0.01289729,0.11613853,2.99880253,4.43177459,0.19556704,1.98056483
-3.77888944,6.72790665,0.01341973,0.11950234,3.03806717,4.30539297,0.19896204,1.99647761
-3.77288644,6.65118456,0.01405757,0.12282366,3.08030873,4.19168969,0.20225048,2.01648991
-3.76688344,6.59185233,0.01481591,0.12603145,3.12436897,4.09161168,0.20533780,2.04012321
-3.76088044,6.54967022,0.01569900,0.12905558,3.16903258,4.00573040,0.20813432,2.06682090
-3.75487744,6.52398547,0.01670988,0.13182921,3.21307314,3.93425377,0.21055859,2.09597019
-3.74887444,6.51378489,0.01785010,0.13429104,3.25529964,3.87704858,0.21254055,2.12692561
-3.74287144,6.51775525,0.01911941,0.13638747,3.29460100,3.83367123,0.21402433,2.15903260
-3.73686843,6.53434763,0.02051547,0.13807442,3.32998623,3.80340431,0.21497047,2.19164994
-3.73086543,6.56184138,0.02203364,0.13931881,3.36061776,3.78529664,0.21535746,2.22416954
-3.72486243,6.59840438,0.02366672,0.14009953,3.38583623,3.77820446,0.21518247,2.25603246
-3.71885943,6.64214638,0.02540485,0.14040790,3.40517514,3.78083194,0.21446116,2.28674039
