energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,1.81405631,0.02458990,0.20152289,0.11398732,0.02202581,0.81891976,0.43014086,0.28918605
-5.99399700,1.83437659,0.02583793,0.20526254,0.11374020,0.02192957,0.82734293,0.44355823,0.29395808
-5.98799400,1.86779679,0.02715130,0.21060659,0.11432241,0.02209480,0.84129643,0.45930812,0.30077890
-5.98199100,1.91186925,0.02850557,0.21731427,0.11559188,0.02249547,0.85963349,0.47685501,0.30931123
-5.97598799,1.96420103,0.02987592,0.22516020,0.11740873,0.02310701,0.88121594,0.49566976,0.31923181
-5.96998499,2.02251328,0.03123797,0.23393998,0.11963885,0.02390682,0.90494275,0.51524345,0.33024022
-5.96398199,2.08469512,0.03256861,0.24347483,0.12215726,0.02487458,0.92977675,0.53510033,0.34206665
-5.95797899,2.14885052,0.03384677,0.25361499,0.12485137,0.02599250,0.95476886,0.55480953,0.35447846
-5.95197599,2.21333704,0.03505420,0.26424195,0.12762372,0.02724536,0.97907919,0.57399510,0.36728529
-5.94597299,2.27679525,0.03617600,0.27526933,0.13039442,0.02862043,1.00199444,0.59234396,0.38034247
-5.93996998,2.33816782,0.03720116,0.28664235,0.13310291,0.03010722,1.02294092,0.60961158,0.39355274
-5.93396698,2.39670792,0.03812287,0.29833600,0.13570919,0.03169723,1.04149307,0.62562501,0.40686602
-5.92796398,2.45197653,0.03893867,0.31035183,0.13819439,0.03338345,1.05737695,0.64028331,0.42027738
-5.92196098,2.50382905,0.03965042,0.32271365,0.14056059,0.03515990,1.07046892,0.65355522,0.43382316
-5.91595798,2.55239201,0.04026408,0.33546215,0.14283005,0.03702114,1.08078949,0.66547438,0.44757559
-5.90995498,2.59803086,0.04078933,0.34864882,0.14504376,0.03896167,1.08849286,0.67613219,0.46163584
-5.90395198,2.64131073,0.04123907,0.36232935,0.14725945,0.04097551,1.09385261,0.68566886,0.47612620
-5.89794897,2.68295196,0.04162874,0.37655688,0.14954918,0.04305571,1.09724440,0.69426294,0.49118149
-5.89194597,2.72378269,0.04197558,0.39137542,0.15199656,0.04519401,1.09912645,0.70212008,0.50694012
-5.88594297,2.76469083,0.04229787,0.40681372,0.15469373,0.04738062,1.10001884,0.70946145,0.52353546
-5.87993997,2.80657779,0.04261411,0.42288007,0.15773836,0.04960413,1.10048257,0.71651254,0.54108769
-5.87393697,2.85031609,0.04294225,0.43955801,0.16123066,0.05185154,1.10109940,0.72349282,0.55969663
-5.86793397,2.89671280,0.04329902,0.45680355,0.16527059,0.05410844,1.10245310,0.73060682,0.57943587
-5.86193097,2.94648021,0.04369930,0.47454373,0.16995541,0.05635937,1.10511319,0.73803704,0.60034849
-5.85592796,3.00021482,0.04415564,0.49267676,0.17537758,0.05858823,1.10962129,0.74593895,0.62244452
-5.84992496,3.05838512,0.04467796,0.51107375,0.18162315,0.06077877,1.11648065,0.75443826,0.64570008
-5.84392196,3.12132791,0.04527338,0.52958187,0.18877062,0.06291526,1.12614886,0.76363051,0.67005845
-5.83791896,3.18925275,0.04594614,0.54802882,0.19689020,0.06498296,1.13903358,0.77358275,0.69543262
-5.83191596,3.26225314,0.04669776,0.56622834,0.20604357,0.06696875,1.15549098,0.78433720,0.72170932
-5.82591296,3.34032326,0.04752729,0.58398656,0.21628388,0.06886161,1.17582643,0.79591640,0.74875407
-5.81990995,3.42337813,0.04843162,0.60110870,0.22765608,0.07065295,1.20029676,0.80832949,0.77641708
-5.81390695,3.51127556,0.04940594,0.61740600,0.24019730,0.07233688,1.22911352,0.82157907,0.80453935
-5.80790395,3.60383784,0.05044420,0.63270226,0.25393723,0.07391029,1.26244641,0.83566812,0.83295887
-5.80190095,3.70087142,0.05153956,0.64683993,0.26889833,0.07537276,1.30042653,0.85060649,0.86151636
-5.79589795,3.80218307,0.05268490,0.65968529,0.28509584,0.07672630,1.34314868,0.86641651,0.89006026
