energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.58756408,0.01569219,0.07075450,0.90248553,0.00000000,0.00874725,1.04256459,0.91311404,0.12213955
-5.99399700,1.51778565,0.01407929,0.06432996,0.87747821,0.00000000,0.00766111,1.00092376,0.87148877,0.11877543
-5.98799400,1.45659175,0.01257833,0.05829078,0.85688486,0.00000000,0.00671110,0.96493304,0.83361224,0.11622557
-5.98199100,1.40436578,0.01119370,0.05266733,0.84090384,0.00000000,0.00588838,0.93484124,0.79983647,0.11450242
-5.97598799,1.36125940,0.00992770,0.04747959,0.82959944,0.00000000,0.00518333,0.91074367,0.77037732,0.11360052
-5.96998499,1.32719875,0.00878062,0.04273753,0.82290487,0.00000000,0.00458592,0.89258572,0.74531708,0.11349662
-5.96398199,1.30189683,0.00775097,0.03844190,0.82062900,0.00000000,0.00408594,0.88017062,0.72461118,0.11415039
-5.95797899,1.28487122,0.00683566,0.03458515,0.82246640,0.00000000,0.00367323,0.87317073,0.70809839,0.11550540
-5.95197599,1.27546631,0.00603023,0.03115258,0.82801022,0.00000000,0.00333795,0.87114187,0.69551379,0.11749056
-5.94597299,1.27287902,0.00532915,0.02812353,0.83676730,0.00000000,0.00307070,0.87354010,0.68650405,0.12002190
-5.93996998,1.27618718,0.00472610,0.02547266,0.84817504,0.00000000,0.00286271,0.87974033,0.68064410,0.12300458
-5.93396698,1.28437961,0.00421429,0.02317118,0.86161946,0.00000000,0.00270596,0.88905627,0.67745465,0.12633522
-5.92796398,1.29638704,0.00378671,0.02118806,0.87645391,0.00000000,0.00259324,0.90076101,0.67642000,0.12990438
-5.92196098,1.31111314,0.00343644,0.01949117,0.89201787,0.00000000,0.00251827,0.91410798,0.67700546,0.13359925
-5.91595798,1.32746486,0.00315689,0.01804824,0.90765561,0.00000000,0.00247574,0.92835144,0.67867405,0.13730632
-5.90995498,1.34438157,0.00294205,0.01682777,0.92273392,0.00000000,0.00246135,0.94276645,0.68090207,0.14091426
-5.90395198,1.36086217,0.00278669,0.01579977,0.93665879,0.00000000,0.00247181,0.95666755,0.68319313,0.14431662
-5.89794897,1.37598993,0.00268656,0.01493632,0.94889060,0.00000000,0.00250493,0.96942602,0.68509053,0.14741451
-5.89194597,1.38895418,0.00263848,0.01421207,0.95895731,0.00000000,0.00255955,0.98048513,0.68618769,0.15011911
-5.88594297,1.39906877,0.00264051,0.01360454,0.96646550,0.00000000,0.00263558,0.98937316,0.68613647,0.15235391
-5.87993997,1.40578646,0.00269197,0.01309435,0.97110899,0.00000000,0.00273396,0.99571378,0.68465342,0.15405669
-5.87393697,1.40870927,0.00279352,0.01266530,0.97267459,0.00000000,0.00285664,0.99923352,0.68152376,0.15518098
-5.86793397,1.40759418,0.00294709,0.01230437,0.97104511,0.00000000,0.00300656,0.99976614,0.67660309,0.15569724
-5.86193097,1.40235414,0.00315590,0.01200164,0.96619924,0.00000000,0.00318752,0.99725361,0.66981698,0.15559342
-5.85592796,1.39305435,0.00342431,0.01175013,0.95820854,0.00000000,0.00340417,0.99174380,0.66115837,0.15487494
-5.84992496,1.37990375,0.00375773,0.01154556,0.94723144,0.00000000,0.00366186,0.98338478,0.65068307,0.15356427
-5.84392196,1.36324207,0.00416241,0.01138604,0.93350462,0.00000000,0.00396650,0.97241595,0.63850342,0.15169977
-5.83791896,1.34352280,0.00464526,0.01127178,0.91733191,0.00000000,0.00432443,0.95915629,0.62478048,0.14933411
-5.83191596,1.32129268,0.00521354,0.01120466,0.89907128,0.00000000,0.00474221,0.94399010,0.60971495,0.14653222
-5.82591296,1.29716841,0.00587463,0.01118783,0.87912038,0.00000000,0.00522644,0.92735075,0.59353731,0.14336879
-5.81990995,1.27181143,0.00663566,0.01122531,0.85790113,0.00000000,0.00578346,0.90970316,0.57649744,0.13992549
-5.81390695,1.24590182,0.00750317,0.01132152,0.83584411,0.00000000,0.00641917,0.89152555,0.55885418,0.13628805
-5.80790395,1.22011222,0.00848278,0.01148081,0.81337330,0.00000000,0.00713874,0.87329122,0.54086527,0.13254317
-5.80190095,1.19508285,0.00957879,0.01170707,0.79089178,0.00000000,0.00794631,0.85545119,0.52277805,0.12877561
-5.79589795,1.17139850,0.01079383,0.01200333,0.76876899,0.00000000,0.00884480,0.83841826,0.50482117,0.12506531
-5.78989495,1.14956852,0.01212854,0.01237133,0.74733002,0.00000000,0.00983556,0.82255307,0.48719777,0.12148493
-5.78389195,1.13001035,0.01358126,0.01281129,0.72684722,0.00000000,0.01091824,0.80815278,0.47008017,0.11809767
-5.77788894,1.11303715,0.01514779,0.01332158,0.70753440,0.00000000,0.01209052,0.79544265,0.45360631,0.11495556
-5.77188594,1.09885002,0.01682118,0.01389859,0.68954379,0.00000000,0.01334802,0.78457074,0.43787799,0.11209829
-5.76588294,1.08753462,0.01859164,0.01453663,0.67296549,0.00000000,0.01468416,0.77560576,0.42296068,0.10955249
-5.75987994,1.07906240,0.02044649,0.01522791,0.65782952,0.00000000,0.01609014,0.76853807,0.40888501,0.10733159
-5.75387694,1.07329589,0.02237023,0.01596262,0.64410991,0.00000000,0.01755496,0.76328350,0.39564954,0.10543617
