energy_ev,total_up,In_p_up,In_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,0.46183975,0.00863288,0.00041345,0.38210725,0.07998841,0.02178594,0.25803523
-5.99399700,0.46078550,0.00819739,0.00041075,0.40502398,0.07304590,0.02086401,0.26130626
-5.98799400,0.47012945,0.00795672,0.00041671,0.43621431,0.06798598,0.02043634,0.27044762
-5.98199100,0.48963614,0.00790986,0.00043122,0.47572294,0.06469782,0.02048012,0.28534197
-5.97598799,0.51901870,0.00805549,0.00045408,0.52351821,0.06307006,0.02097053,0.30584083
-5.96998499,0.55794263,0.00839230,0.00048508,0.57948898,0.06299321,0.02188106,0.33176524
-5.96398199,0.60602935,0.00891926,0.00052398,0.64344241,0.06436172,0.02318377,0.36290638
-5.95797899,0.66286008,0.00963597,0.00057052,0.71510364,0.06707559,0.02484946,0.39902664
-5.95197599,0.72798069,0.01054291,0.00062442,0.79411766,0.07104174,0.02684787,0.43986151
-5.94597299,0.80090819,0.01164175,0.00068540,0.88005421,0.07617526,0.02914789,0.48512266
-5.93996998,0.88113919,0.01293557,0.00075319,0.97241598,0.08240041,0.03171785,0.53450259
-5.93396698,0.96816073,0.01442914,0.00082755,1.07065029,0.08965172,0.03452583,0.58768095
-5.92796398,1.06146332,0.01612918,0.00090825,1.17416426,0.09787498,0.03754012,0.64433246
-5.92196098,1.16055601,0.01804454,0.00099513,1.28234290,0.10702824,0.04072967,0.70413642
-5.91595798,1.26498281,0.02018641,0.00108806,1.39456968,0.11708276,0.04406476,0.76678731
-5.90995498,1.37433967,0.02256841,0.00118697,1.51024843,0.12802384,0.04751756,0.83200605
-5.90395198,1.48829086,0.02520665,0.00129188,1.62882532,0.13985145,0.05106282,0.89955113
-5.89794897,1.60658356,0.02811968,0.00140286,1.74980975,0.15258053,0.05467844,0.96922893
-5.89194597,1.72905918,0.03132831,0.00152006,1.87279245,0.16624082,0.05834609,1.04090238
-5.88594297,1.85566025,0.03485527,0.00164366,1.99745941,0.18087621,0.06205156,1.11449698
-5.87993997,1.98643156,0.03872473,0.00177393,2.12360049,0.19654328,0.06578505,1.19000370
-5.87393697,2.12151480,0.04296168,0.00191112,2.25111149,0.21330919,0.06954118,1.26747782
-5.86793397,2.26113593,0.04759104,0.00205551,2.37998906,0.23124873,0.07331878,1.34703358
-5.86193097,2.40558543,0.05263674,0.00220732,2.51031841,0.25044061,0.07712042,1.42883442
-5.85592796,2.55519155,0.05812053,0.00236672,2.64225384,0.27096292,0.08095167,1.51307884
-5.84992496,2.71028783,0.06406074,0.00253377,2.77599323,0.29288818,0.08482010,1.59998262
-5.84392196,2.87117593,0.07047098,0.00270839,2.91174763,0.31627774,0.08873413,1.68975794
-5.83791896,3.03808606,0.07735883,0.00289031,3.04970778,0.34117616,0.09270167,1.78259061
-5.83191596,3.21113692,0.08472449,0.00307904,3.19000976,0.36760565,0.09672868,1.87861663
-5.82591296,3.39029782,0.09255969,0.00327387,3.33270206,0.39556081,0.10081779,1.97789953
-5.81990995,3.57535535,0.10084663,0.00347384,3.47771642,0.42500419,0.10496695,2.08040992
-5.81390695,3.76588706,0.10955731,0.00367771,3.62484459,0.45586278,0.10916826,2.18600862
-5.80790395,3.96124416,0.11865305,0.00388400,3.77372315,0.48802576,0.11340709,2.29443481
-5.80190095,4.16054496,0.12808438,0.00409099,3.92382755,0.52134378,0.11766151,2.40529986
-5.79589795,4.36267988,0.13779140,0.00429676,4.07447635,0.55562980,0.12190207,2.51808778
-5.78989495,4.56632850,0.14770439,0.00449923,4.22484571,0.59066158,0.12609204,2.63216243
-5.78389195,4.76998815,0.15774491,0.00469622,4.37399369,0.62618589,0.13018806,2.74678119
-5.77788894,4.97201280,0.16782724,0.00488550,4.52089281,0.66192410,0.13414118,2.86111474
-5.77188594,5.17066039,0.17786002,0.00506487,4.66446910,0.69757911,0.13789827,2.97427158
-5.76588294,5.36414619,0.18774834,0.00523222,4.80364516,0.73284318,0.14140372,3.08532627
-5.75987994,5.55069917,0.19739579,0.00538559,4.93738436,0.76740642,0.14460139,3.19334953
-5.75387694,5.72861831,0.20670671,0.00552325,5.06473324,0.80096535,0.14743660,3.29743858
-5.74787394,5.89632577,0.21558840,0.00564375,5.18485933,0.83323127,0.14985821,3.39674585
-5.74187094,6.05241379,0.22395324,0.00574594,5.29708157,0.86393794,0.15182057,3.49050448
-5.73586793,6.19568282,0.23172057,0.00582904,5.40089144,0.89284816,0.15328523,3.57804904
-5.72986493,6.32516885,0.23881842,0.00589260,5.49596306,0.91975896,0.15422246,3.65883036
-5.72386193,6.44015860,0.24518480,0.00593655,5.58215164,0.94450516,0.15461229,3.73242376
-5.71785893,6.54019191,0.25076874,0.00596115,5.65948019,0.96696110,0.15444523,3.79853022
-5.71185593,6.62505174,0.25553088,0.00596698,5.72811548,0.98704055,0.15372253,3.85697075
-5.70585293,6.69474259,0.25944375,0.00595487,5.78833460,1.00469486,0.15245597,3.90767449
-5.69984992,6.74945925,0.26249161,0.00592589,5.84048452,1.01990939,0.15066727,3.95066146
-5.69384692,6.78954797,0.26467000,0.00588125,5.88493730,1.03269870,0.14838712,3.98602139
-5.68784392,6.81546289,0.26598503,0.00582228,5.92204384,1.04310062,0.14565386,4.01388998
-5.68184092,6.82772056,0.26645241,0.00575032,5.95208940,1.05116971,0.14251201,4.03442443
-5.67583792,6.82685551,0.26609632,0.00566673,5.97525370,1.05697052,0.13901056,4.04777979
-5.66983492,6.81337976,0.26494816,0.00557278,5.99157850,1.06057105,0.13520128,4.05408783
-5.66383192,6.78774861,0.26304533,0.00546965,6.00094458,1.06203685,0.13113699,4.05343983
-5.65782891,6.75033487,0.26042994,0.00535837,6.00306003,1.06142616,0.12686997,4.04587431
-5.65182591,6.70141293,0.25714769,0.00523985,5.99746046,1.05878636,0.12245058,4.03137080
-5.64582291,6.64115355,0.25324679,0.00511482,5.98352168,1.05415199,0.11792602,4.00984978
-5.63981991,6.56962941,0.24877712,0.00498387,5.96048391,1.04754456,0.11333943,3.98117913
-5.63381691,6.48683117,0.24378953,0.00484746,5.92748669,1.03897403,0.10872927,3.94518661
-5.62781391,6.39269273,0.23833531,0.00470595,5.88361245,1.02844208,0.10412896,3.90167776
-5.62181091,6.28712433,0.23246597,0.00455961,5.82793655,1.01594691,0.09956682,3.85045828
-5.61580790,6.17005131,0.22623314,0.00440868,5.75958119,1.00148935,0.09506628,3.79135958
-5.60980490,6.04145641,0.21968868,0.00425340,5.67777048,0.98507995,0.09064631,3.72426616
-5.60380190,5.90142303,0.21288501,0.00409404,5.58188364,0.96674662,0.08632199,3.64914327
-5.59779890,5.75017710,0.20587550,0.00393092,5.47150398,0.94654245,0.08210524,3.56606335
-5.59179590,5.58812509,0.19871507,0.00376448,5.34646084,0.92455315,0.07800564,3.47522968
-5.58579290,5.41588604,0.19146075,0.00359527,5.20686273,0.90090368,0.07403121,3.37699598
-5.57978989,5.23431567,0.18417235,0.00342398,5.05311992,0.87576367,0.07018923,3.27188071
-5.57378689,5.04452116,0.17691304,0.00325145,4.88595532,0.84935117,0.06648697,3.16057505
-5.56778389,4.84786552,0.16974983,0.00307865,4.70640325,0.82193441,0.06293227,3.04394412
-5.56178089,4.64596097,0.16275402,0.00290671,4.51579604,0.79383136,0.05953401,2.92302079
-5.55577789,4.44065129,0.15600136,0.00273689,4.31573905,0.76540694,0.05630249,2.79899231
-5.54977489,4.23398361,0.14957206,0.00257056,4.10807508,0.73706778,0.05324950,2.67317987
-5.54377189,4.02817046,0.14355051,0.00240918,3.89483990,0.70925474,0.05038834,2.54701184
-5.53776888,3.82554342,0.13802477,0.00225429,3.67821048,0.68243330,0.04773359,2.42199147
-5.53176588,3.62850015,0.13308575,0.00210747,3.46044821,0.65708208,0.04530083,2.29966023
-5.52576288,3.43944660,0.12882612,0.00197034,3.24383941,0.63368004,0.04310608,2.18155820
-5.51975988,3.26073665,0.12533898,0.00184448,3.03063531,0.61269271,0.04116531,2.06918286
-5.51375688,3.09461154,0.12271626,0.00173147,2.82299394,0.59455802,0.03949372,1.96394803
-5.50775388,2.94314112,0.12104698,0.00163282,2.62292600,0.57967230,0.03810509,1.86714438
-5.50175088,2.80816934,0.12041537,0.00154997,2.43224673,0.56837716,0.03701108,1.77990311
-5.49574787,2.69126593,0.12089883,0.00148429,2.25253517,0.56094757,0.03622058,1.70316429
-5.48974487,2.59368592,0.12256599,0.00143700,2.08510241,0.55758191,0.03573911,1.63765094
-5.48374187,2.51633852,0.12547476,0.00140924,1.93096939,0.55839433,0.03556835,1.58385014
-5.47773887,2.45976645,0.12967043,0.00140196,1.79085489,0.56340979,0.03570573,1.54200154
-5.47173587,2.42413616,0.13518407,0.00141600,1.66517367,0.57256213,0.03614428,1.51209410
-5.46573287,2.40923932,0.14203101,0.00145200,1.55404446,0.58569519,0.03687247,1.49387094
-5.45972986,2.41450514,0.15020967,0.00151041,1.45730693,0.60256709,0.03787438,1.48684215
-5.45372686,2.43902298,0.15970060,0.00159149,1.37454684,0.62285746,0.03912992,1.49030503
-5.44772386,2.48157407,0.17046596,0.00169527,1.30512775,0.64617739,0.04061522,1.50337095
-5.44172086,2.54067104,0.18244919,0.00182151,1.24822808,0.67208174,0.04230321,1.52499766
-5.43571786,2.61460360,0.19557517,0.00196974,1.20288166,0.70008323,0.04416423,1.55402581
-5.42971486,2.70148844,0.20975066,0.00213918,1.16802018,0.72966781,0.04616677,1.58921809
-5.42371186,2.79932164,0.22486510,0.00232877,1.14251588,0.76031058,0.04827827,1.62929952
-5.41770885,2.90603150,0.24079187,0.00253712,1.12522287,0.79149168,0.05046589,1.67299720
-5.41170585,3.01953011,0.25738978,0.00276253,1.11501556,0.82271139,0.05269731,1.71907801
-5.40570285,3.13776181,0.27450505,0.00300298,1.11082309,0.85350389,0.05494144,1.76638285
-5.39969985,3.25874736,0.29197357,0.00325611,1.11165864,0.88344907,0.05716911,1.81385611
-5.39369685,3.38062243,0.30962349,0.00351931,1.11664284,0.91218192,0.05935354,1.86056942
-5.38769385,3.50166961,0.32727813,0.00378966,1.12502089,0.93939927,0.06147083,1.90573898
-5.38169085,3.62034350,0.34475916,0.00406404,1.13617309,0.96486350,0.06350019,1.94873598
-5.37568784,3.73528846,0.36188996,0.00433916,1.14961886,0.98840342,0.06542409,1.98909014
-5.36968484,3.84534925,0.37849908,0.00461161,1.16501463,1.00991216,0.06722827,2.02648655
-5.36368184,3.94957480,0.39442381,0.00487795,1.18214594,1.02934257,0.06890158,2.06075632
-5.35767884,4.04721553,0.40951353,0.00513477,1.20091464,1.04670027,0.07043574,2.09186194
-5.35167584,4.13771509,0.42363296,0.00537880,1.22132187,1.06203500,0.07182501,2.11987815
-5.34567284,4.22069712,0.43666504,0.00560698,1.24344780,1.07543073,0.07306576,2.14496972
-5.33966983,4.29594801,0.44851325,0.00581652,1.26742911,1.08699515,0.07415604,2.16736711
-5.33366683,4.36339646,0.45910336,0.00600503,1.29343511,1.09684906,0.07509510,2.18734150
-5.32766383,4.42309070,0.46838451,0.00617052,1.32164351,1.10511636,0.07588298,2.20518022
-5.32166083,4.47517433,0.47632933,0.00631147,1.35221676,1.11191506,0.07652012,2.22116376
-5.31565783,4.51986147,0.48293331,0.00642687,1.38527964,1.11734977,0.07700702,2.23554534
-5.30965483,4.55741202,0.48821326,0.00651624,1.42089904,1.12150596,0.07734405,2.24853381
-5.30365183,4.58810788,0.49220490,0.00657960,1.45906636,1.12444633,0.07753129,2.26028043
