energy_ev,total_up,As_p_up,As_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,0.49369697,0.26626970,0.00000000,0.00195664,0.05719456,0.17434209,0.28163189
-5.99399700,0.49135150,0.26583550,0.00000000,0.00233860,0.05597326,0.17910802,0.27755099
-5.98799400,0.49000665,0.26605366,0.00000000,0.00279472,0.05471364,0.18516562,0.27353508
-5.98199100,0.49036327,0.26730265,0.00000000,0.00333156,0.05349375,0.19285958,0.26993190
-5.97598799,0.49313367,0.26996499,0.00000000,0.00395539,0.05239478,0.20254024,0.26709368
-5.96998499,0.49901930,0.27441476,0.00000000,0.00467199,0.05149888,0.21455350,0.26536550
-5.96398199,0.50868747,0.28100465,0.00000000,0.00548624,0.05088706,0.22922994,0.26507344
-5.95797899,0.52274783,0.29005294,0.00000000,0.00640184,0.05063692,0.24687323,0.26651283
-5.95197599,0.54172923,0.30183072,0.00000000,0.00742092,0.05082049,0.26774834,0.26993720
-5.94597299,0.56605793,0.31654990,0.00000000,0.00854372,0.05150213,0.29206975,0.27554804
-5.93996998,0.59603765,0.33435239,0.00000000,0.00976821,0.05273655,0.31999013,0.28348594
-5.93396698,0.63183238,0.35530086,0.00000000,0.01108982,0.05456705,0.35158987,0.29382335
-5.92796398,0.67345256,0.37937156,0.00000000,0.01250119,0.05702390,0.38686803,0.30655932
-5.92196098,0.72074540,0.40644950,0.00000000,0.01399200,0.06012313,0.42573492,0.32161633
-5.91595798,0.77338970,0.43632630,0.00000000,0.01554891,0.06386547,0.46800701,0.33883962
-5.90995498,0.83089587,0.46870101,0.00000000,0.01715557,0.06823581,0.51340436,0.35799893
-5.90395198,0.89261128,0.50318403,0.00000000,0.01879281,0.07320290,0.56155098,0.37879282
-5.89794897,0.95773109,0.53930414,0.00000000,0.02043888,0.07871960,0.61197830,0.40085551
-5.89194597,1.02531468,0.57651859,0.00000000,0.02206989,0.08472348,0.66413194,0.42376609
-5.88594297,1.09430713,0.61422610,0.00000000,0.02366032,0.09113789,0.71738168,0.44705989
-5.87993997,1.16356554,0.65178239,0.00000000,0.02518366,0.09787357,0.77103456,0.47024163
-5.87393697,1.23188926,0.68851776,0.00000000,0.02661311,0.10483050,0.82435078,0.49280011
-5.86793397,1.29805322,0.72375627,0.00000000,0.02792242,0.11190038,0.87656195,0.51422376
-5.86193097,1.36084326,0.75683577,0.00000000,0.02908662,0.11896927,0.92689114,0.53401662
-5.85592796,1.41909225,0.78712805,0.00000000,0.03008289,0.12592059,0.97457407,0.55171425
