energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up
-6.00000000,0.79402452,0.00066531,0.14586028,0.00521496,0.00000000,0.46804618,0.32577858,0.00616684,0.32029628
-5.99399700,0.76547075,0.00077028,0.13771737,0.00502041,0.00000000,0.44498836,0.31035546,0.00603213,0.31377905
-5.98799400,0.73931998,0.00090734,0.12976916,0.00482702,0.00000000,0.42363412,0.29554260,0.00591671,0.30862251
-5.98199100,0.71643812,0.00107933,0.12214563,0.00464023,0.00000000,0.40445079,0.28165235,0.00582700,0.30522898
-5.97598799,0.69769436,0.00128946,0.11497430,0.00446567,0.00000000,0.38790199,0.26899421,0.00576938,0.30400775
-5.96998499,0.68393666,0.00154118,0.10837729,0.00430897,0.00000000,0.37443617,0.25786661,0.00574989,0.30536269
-5.96398199,0.67596689,0.00183808,0.10246849,0.00417557,0.00000000,0.36447503,0.24854880,0.00577409,0.30967941
-5.95797899,0.67451639,0.00218381,0.09735102,0.00407061,0.00000000,0.35840232,0.24129310,0.00584672,0.31731219
-5.95197599,0.68022260,0.00258186,0.09311488,0.00399870,0.00000000,0.35655310,0.23631792,0.00597158,0.32857131
-5.94597299,0.69360754,0.00303544,0.08983504,0.00396384,0.00000000,0.35920387,0.23380153,0.00615128,0.34371095
-5.93996998,0.71505863,0.00354728,0.08756984,0.00396929,0.00000000,0.36656374,0.23387689,0.00638707,0.36291804
-5.93396698,0.74481259,0.00411944,0.08635988,0.00401744,0.00000000,0.37876689,0.23662767,0.00667877,0.38630263
-5.92796398,0.78294271,0.00475314,0.08622726,0.00410979,0.00000000,0.39586647,0.24208545,0.00702460,0.41388983
-5.92196098,0.82935016,0.00544853,0.08717528,0.00424683,0.00000000,0.41783007,0.25022825,0.00742124,0.44561389
-5.91595798,0.88375945,0.00620455,0.08918855,0.00442811,0.00000000,0.44453700,0.26098042,0.00786379,0.48131455
-5.90995498,0.94571856,0.00701875,0.09223342,0.00465215,0.00000000,0.47577737,0.27421381,0.00834587,0.52073601
-5.90395198,1.01460361,0.00788718,0.09625883,0.00491651,0.00000000,0.51125318,0.28975026,0.00885975,0.56352851
-5.89794897,1.08962833,0.00880431,0.10119736,0.00521785,0.00000000,0.55058133,0.30736537,0.00939652,0.60925284
-5.89194597,1.16985809,0.00976298,0.10696665,0.00555198,0.00000000,0.59329867,0.32679327,0.00994634,0.65738753
-5.88594297,1.25422824,0.01075441,0.11347100,0.00591395,0.00000000,0.63886901,0.34773260,0.01049873,0.70733884
-5.87993997,1.34156635,0.01176830,0.12060315,0.00629819,0.00000000,0.68669198,0.36985312,0.01104282,0.75845309
-5.87393697,1.43061784,0.01279297,0.12824622,0.00669862,0.00000000,0.73611353,0.39280321,0.01156775,0.81003129
-5.86793397,1.52007415,0.01381555,0.13627574,0.00710876,0.00000000,0.78643799,0.41621766,0.01206297,0.86134532
-5.86193097,1.60860274,0.01482223,0.14456180,0.00752194,0.00000000,0.83694124,0.43972583,0.01251857,0.91165549
-5.85592796,1.69487789,0.01579863,0.15297116,0.00793141,0.00000000,0.88688479,0.46295976,0.01292564,0.96022861
-5.84992496,1.77761145,0.01673011,0.16136940,0.00833049,0.00000000,0.93553028,0.48556207,0.01327654,1.00635608
