energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,2.18489838,0.03907268,0.08629626,0.66309332,0.54316321,1.29119233,0.00000000,0.71338118,0.15650516
-5.99399700,2.21145218,0.03760592,0.08667221,0.66943018,0.55098975,1.30920903,0.00000000,0.72562132,0.15748413
-5.98799400,2.23303511,0.03603986,0.08703621,0.67464882,0.55693798,1.32416148,0.00000000,0.73666153,0.15822914
-5.98199100,2.24880308,0.03440428,0.08734663,0.67843895,0.56089368,1.33551833,0.00000000,0.74613201,0.15868376
-5.97598799,2.25804851,0.03272882,0.08756359,0.68053441,0.56278275,1.34283392,0.00000000,0.75370651,0.15879756
-5.96998499,2.26023535,0.03104224,0.08765081,0.68072642,0.56257599,1.34577002,0.00000000,0.75911630,0.15852869
-5.96398199,2.25502769,0.02937167,0.08757715,0.67887445,0.56029248,1.34411361,0.00000000,0.76216174,0.15784628
-5.95797899,2.24231070,0.02774209,0.08731796,0.67491437,0.55600136,1.33778986,0.00000000,0.76272078,0.15673234
-5.95197599,2.22220278,0.02617578,0.08685615,0.66886333,0.54982177,1.32686960,0.00000000,0.76075411,0.15518320
-5.94597299,2.19505819,0.02469204,0.08618284,0.66082116,0.54192097,1.31157103,0.00000000,0.75630673,0.15321036
-5.93996998,2.16145995,0.02330694,0.08529770,0.65096834,0.53251054,1.29225519,0.00000000,0.74950577,0.15084070
-5.93396698,2.12220322,0.02203317,0.08420889,0.63956047,0.52184082,1.26941573,0.00000000,0.74055489,0.14811607
-5.92796398,2.07826984,0.02088014,0.08293260,0.62691948,0.51019376,1.24366300,0.00000000,0.72972542,0.14509217
-5.92196098,2.03079501,0.01985398,0.08149228,0.61342211,0.49787444,1.21570339,0.00000000,0.71734472,0.14183684
-5.91595798,1.98102749,0.01895776,0.07991748,0.59948597,0.48520159,1.18631462,0.00000000,0.70378236,0.13842782
-5.90995498,1.93028519,0.01819177,0.07824255,0.58555383,0.47249752,1.15631806,0.00000000,0.68943483,0.13495001
-5.90395198,1.87990773,0.01755372,0.07650503,0.57207686,0.46007776,1.12654930,0.00000000,0.67470936,0.13149236
-5.89794897,1.83120825,0.01703914,0.07474398,0.55949740,0.44824096,1.09782813,0.00000000,0.66000777,0.12814458
-5.89194597,1.78542622,0.01664164,0.07299828,0.54823205,0.43725936,1.07092912,0.00000000,0.64571096,0.12499372
-5.88594297,1.74368333,0.01635331,0.07130494,0.53865573,0.42737026,1.04655416,0.00000000,0.63216476,0.12212081
-5.87993997,1.70694417,0.01616497,0.06969751,0.53108729,0.41876871,1.02530785,0.00000000,0.61966768,0.11959775
-5.87393697,1.67598324,0.01606651,0.06820473,0.52577735,0.41160188,1.00767685,0.00000000,0.60846119,0.11748444
-5.86793397,1.65135957,0.01604715,0.06684936,0.52289876,0.40596507,0.99401392,0.00000000,0.59872266,0.11582650
-5.86193097,1.63339987,0.01609572,0.06564734,0.52254005,0.40189970,0.98452725,0.00000000,0.59056135,0.11465343
