energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
3.65282641,2.17325379,0.25997046,0.37088334,0.49137280,0.00612582,1.20046405,0.08164245,0.11641619,0.26611551
3.65882941,2.02262559,0.25088567,0.34252759,0.45285306,0.00551503,1.11150191,0.07470690,0.10959472,0.24982344
3.66483242,1.87178614,0.24109435,0.31424359,0.41448316,0.00493801,1.02244870,0.06792704,0.10259170,0.23345158
3.67083542,1.72246136,0.23067025,0.28638985,0.37675401,0.00439758,0.93444513,0.06136988,0.09549885,0.21715069
3.67683842,1.57620919,0.21969619,0.25928602,0.34010181,0.00389560,0.84851719,0.05509279,0.08840237,0.20106052
3.68284142,1.43440016,0.20826329,0.23320840,0.30490164,0.00343310,0.76556105,0.04914315,0.08138148,0.18530864
3.68884442,1.29820554,0.19646991,0.20838731,0.27146368,0.00301033,0.68633376,0.04355818,0.07450730,0.17000969
3.69484742,1.16859287,0.18442003,0.18500628,0.24003190,0.00262692,0.61144959,0.03836523,0.06784207,0.15526510
3.70085043,1.04632832,0.17222146,0.16320293,0.21078507,0.00228194,0.54138167,0.03358234,0.06143873,0.14116315
3.70685343,0.93198520,0.15998368,0.14307130,0.18383990,0.00197410,0.47646842,0.02921900,0.05534073,0.12777946
3.71285643,0.82595766,0.14781561,0.12466549,0.15925577,0.00170176,0.41692413,0.02527722,0.04958227,0.11517778
3.71885943,0.72847879,0.13582333,0.10800427,0.13704094,0.00146317,0.36285284,0.02175270,0.04418859,0.10341124
3.72486243,0.63964203,0.12410780,0.09307642,0.11715959,0.00125649,0.31426481,0.01863616,0.03917665,0.09252382
3.73086543,0.55942492,0.11276294,0.07984660,0.09953952,0.00107992,0.27109471,0.01591464,0.03455586,0.08255221
3.73686843,0.48771435,0.10187378,0.06826138,0.08408007,0.00093184,0.23322085,0.01357301,0.03032892,0.07352785
3.74287144,0.42433240,0.09151512,0.05825531,0.07065989,0.00081082,0.20048466,0.01159523,0.02649283,0.06547927
3.74887444,0.36906198,0.08175057,0.04975685,0.05914444,0.00071578,0.17270988,0.00996576,0.02303982,0.05843464
3.75487744,0.32167176,0.07263200,0.04269389,0.04939291,0.00064604,0.14972086,0.00867078,0.01995836,0.05242436
3.76088044,0.28193964,0.06419942,0.03699888,0.04126436,0.00060135,0.13135956,0.00769932,0.01723417,0.04748380
3.76688344,0.24967431,0.05648141,0.03261331,0.03462310,0.00058201,0.11750088,0.00704430,0.01485105,0.04365601
3.77288644,0.22473447,0.04949575,0.02949160,0.02934319,0.00058884,0.10806593,0.00670337,0.01279183,0.04099429
