energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
-6.00000000,10.30449442,0.07119264,0.39140407,0.30075067,3.48722995,5.67496266,0.09407676,3.90377631
-5.99399700,10.03435239,0.06926526,0.39543322,0.29536532,3.37604389,5.53650989,0.09317895,3.75735854
-5.98799400,9.76002249,0.06713066,0.39872946,0.28944129,3.26158623,5.39719357,0.09220903,3.61033715
-5.98199100,9.48133869,0.06481441,0.40119098,0.28295657,3.14415910,5.25673512,0.09115545,3.46295327
-5.97598799,9.19835364,0.06234621,0.40273325,0.27590005,3.02410888,5.11498756,0.09001017,3.31550368
-5.96998499,8.91137835,0.05975963,0.40329264,0.26827355,2.90183678,4.97195651,0.08876941,3.16835071
-5.96398199,8.62100991,0.05709172,0.40282941,0.26009351,2.77780654,4.82781412,0.08743443,3.02192853
-5.95797899,8.32814578,0.05438244,0.40132969,0.25139195,2.65254852,4.68290555,0.08601196,2.87674543
-5.95197599,8.03398415,0.05167402,0.39880661,0.24221670,2.52665977,4.53774764,0.08451452,2.73338206
-5.94597299,7.74000999,0.04901018,0.39530043,0.23263095,2.40079989,4.39301998,0.08296039,2.59248558
-5.93996998,7.44796762,0.04643526,0.39087761,0.22271197,2.27568275,4.24954865,0.08137351,2.45476008
-5.93396698,7.15982102,0.04399332,0.38562896,0.21254926,2.15206457,4.10828350,0.07978302,2.32095364
-5.92796398,6.87770360,0.04172721,0.37966698,0.20224197,2.03072887,3.97026971,0.07822267,2.19184275
-5.92196098,6.60385986,0.03967762,0.37312247,0.19189599,1.91246924,3.83661502,0.07673006,2.06821481
-5.91595798,6.34058151,0.03788221,0.36614057,0.18162070,1.79807077,3.70845383,0.07534569,1.95084958
-5.90995498,6.09014087,0.03637477,0.35887648,0.17152552,1.68829120,3.58690978,0.07411197,1.84050029
-5.90395198,5.85472443,0.03518450,0.35149102,0.16171661,1.58384275,3.47305825,0.07307213,1.73787545
-5.89794897,5.63636934,0.03433538,0.34414612,0.15229367,1.48537562,3.36789024,0.07226910,1.64362197
-5.89194597,5.43690529,0.03384572,0.33700061,0.14334716,1.39346366,3.27227917,0.07174442,1.55831020
-5.88594297,5.25790399,0.03372781,0.33020630,0.13495587,1.30859319,3.18695167,0.07153721,1.48242156
-5.87993997,5.10063803,0.03398775,0.32390450,0.12718514,1.23115495,3.11246357,0.07168315,1.41633903
-5.87393697,4.96605029,0.03462542,0.31822316,0.12008558,1.16143963,3.04918185,0.07221367,1.36034062
-5.86793397,4.85473467,0.03563466,0.31327460,0.11369242,1.09963680,2.99727305,0.07315518,1.31459611
-5.86193097,4.76692846,0.03700354,0.30915384,0.10802542,1.04583716,2.95669848,0.07452847,1.27916676
-5.85592796,4.70251597,0.03871483,0.30593767,0.10308933,1.00003749,2.92721618,0.07634833,1.25400800
-5.84992496,4.66104284,0.04074652,0.30368421,0.09887473,0.96214819,2.90838931,0.07862321,1.23897469
-5.84392196,4.64173989,0.04307256,0.30243316,0.09535932,0.93200251,2.89960049,0.08135524,1.23382865
-5.83791896,4.64355531,0.04566361,0.30220637,0.09250946,0.90936711,2.90007137,0.08454022,1.23824812
-5.83191596,4.66519334,0.04848785,0.30300900,0.09028179,0.89395329,2.90888633,0.08816798,1.25183873
-5.82591296,4.70515807,0.05151186,0.30483087,0.08862505,0.88542833,2.92501953,0.09222279,1.27414549
-5.81990995,4.76180028,0.05470152,0.30764812,0.08748180,0.88342660,2.94736396,0.09668398,1.30466549
-5.81390695,4.83336574,0.05802282,0.31142507,0.08679013,0.88755988,2.97476152,0.10152667,1.34286095
-5.80790395,4.91804315,0.06144269,0.31611610,0.08648521,0.89742676,3.00603298,0.10672268,1.38817200
-5.80190095,5.01401025,0.06492967,0.32166765,0.08650066,0.91262077,3.04000667,0.11224151,1.44002921
-5.79589795,5.11947651,0.06845457,0.32802020,0.08676985,0.93273725,3.07554523,0.11805132,1.49786514
-5.78989495,5.23272130,0.07199093,0.33511011,0.08722692,0.95737878,3.11156941,0.12412004,1.56112483
-5.78389195,5.35212637,0.07551536,0.34287148,0.08780774,0.98615929,3.14707849,0.13041639,1.62927484
-5.77788894,5.47620182,0.07900771,0.35123770,0.08845064,1.01870678,3.18116669,0.13691082,1.70181039
-5.77188594,5.60360487,0.08245113,0.36014296,0.08909715,1.05466483,3.21303551,0.14357632,1.77826048
-5.76588294,5.73315108,0.08583192,0.36952336,0.08969254,1.09369277,3.24200173,0.15038909,1.85819064
-5.75987994,5.86381763,0.08913928,0.37931783,0.09018640,1.13546486,3.26750119,0.15732890,1.94120299
-5.75387694,5.99473872,0.09236489,0.38946861,0.09053312,1.17966827,3.28908851,0.16437925,2.02693353
-5.74787394,6.12519328,0.09550241,0.39992140,0.09069234,1.22600002,3.30643300,0.17152707,2.11504653
-5.74187094,6.25458534,0.09854689,0.41062504,0.09062941,1.27416306,3.31931116,0.17876227,2.20522597
-5.73586793,6.38241787,0.10149413,0.42153071,0.09031573,1.32386133,3.32759629,0.18607676,2.29716432
-5.72986493,6.50826080,0.10433996,0.43259075,0.08972911,1.37479411,3.33124551,0.19346324,2.39054868
-5.72386193,6.63171464,0.10707962,0.44375694,0.08885397,1.42664975,3.33028503,0.20091369,2.48504516
-5.71785893,6.75237107,0.10970708,0.45497849,0.08768153,1.47909901,3.32479394,0.20841758,2.58028170
-5.71185593,6.86977228,0.11221452,0.46619969,0.08620978,1.53178822,3.31488744,0.21595993,2.67583054
-5.70585293,6.98337099,0.11459177,0.47735745,0.08444337,1.58433282,3.30069993,0.22351944,2.77119107
-5.69984992,7.09249336,0.11682603,0.48837879,0.08239332,1.63631147,3.28236869,0.23106653,2.86577434
-5.69384692,7.19630706,0.11890159,0.49917853,0.08007652,1.68726140,3.26001884,0.23856167,2.95889028
-5.68784392,7.29379657,0.12079982,0.50965741,0.07751519,1.73667538,3.23375016,0.24595412,3.04973886
-5.68184092,7.38374801,0.12249921,0.51970070,0.07473606,1.78400096,3.20362640,0.25318095,3.13740628
-5.67583792,7.46474521,0.12397566,0.52917769,0.07176953,1.82864219,3.16966760,0.26016684,3.22086724
-5.66983492,7.53517837,0.12520297,0.53794200,0.06864868,1.86996451,3.13184583,0.26682440,3.29899377
-5.66383192,7.59326632,0.12615339,0.54583308,0.06540826,1.90730272,3.09008475,0.27305526,3.37057128
-5.65782891,7.63709230,0.12679842,0.55267869,0.06208365,1.93997239,3.04426298,0.27875191,3.43432170
-5.65182591,7.66465293,0.12710971,0.55829859,0.05870990,1.96728431,2.99422143,0.28380022,3.48893331
-5.64582291,7.67391880,0.12706000,0.56250925,0.05532075,1.98856191,2.93977415,0.28808263,3.53309652
-5.63981991,7.66290459,0.12662424,0.56512943,0.05194784,2.00316085,2.88072241,0.29148185,3.56554429
-5.63381691,7.62974584,0.12578061,0.56598645,0.04862005,2.01049020,2.81687127,0.29388493,3.58509561
-5.62781391,7.57277889,0.12451164,0.56492283,0.04536294,2.01003419,2.74804781,0.29518754,3.59069997
-5.62181091,7.49062004,0.12280513,0.56180298,0.04219840,2.00137353,2.67412012,0.29529823,3.58148102
-5.61580790,7.38224007,0.12065506,0.55651969,0.03914449,1.98420521,2.59501590,0.29414251,3.55677681
-5.60980490,7.24702977,0.11806227,0.54899988,0.03621537,1.95835961,2.51073967,0.29166638,3.51617481
-5.60380190,7.08485305,0.11503499,0.53920943,0.03342150,1.92381405,2.42138749,0.28783939,3.45953955
-5.59779890,6.89608427,0.11158909,0.52715674,0.03076981,1.88070167,2.32715833,0.28265679,3.38703128
-5.59179590,6.68162741,0.10774807,0.51289480,0.02826409,1.82931536,2.22836115,0.27614078,3.29911453
-5.58579290,6.44291565,0.10354287,0.49652164,0.02590543,1.77010590,2.12541747,0.26834082,3.19655576
