energy_ev,total_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-6.00000000,2.38383405,0.61024399,0.00000000,0.00830250,0.18294277,1.45478982,0.61285884,0.00634075,1.33757825
-5.99399700,2.29626470,0.59018883,0.00000000,0.00793776,0.17859959,1.40869686,0.59011041,0.00610744,1.28709498
-5.98799400,2.20198103,0.56791145,0.00000000,0.00754359,0.17408993,1.35870383,0.56592197,0.00586450,1.23206469
-5.98199100,2.10220247,0.54375216,0.00000000,0.00712581,0.16944946,1.30536831,0.54059574,0.00561634,1.17326263
-5.97598799,1.99823745,0.51808124,0.00000000,0.00669045,0.16472071,1.24931400,0.51445453,0.00536754,1.11151762
-5.96998499,1.89145000,0.49128860,0.00000000,0.00624359,0.15995190,1.19121478,0.48783386,0.00512276,1.04769038
-5.96398199,1.78322540,0.46377313,0.00000000,0.00579125,0.15519545,1.13177701,0.46107378,0.00488662,0.98265160
-5.95797899,1.67493630,0.43593204,0.00000000,0.00533920,0.15050608,1.07172069,0.43451092,0.00466358,0.91726081
-5.95197599,1.56791039,0.40815065,0.00000000,0.00489291,0.14593873,1.01176040,0.40847081,0.00445790,0.85234672
-5.94597299,1.46340112,0.38079306,0.00000000,0.00445739,0.14154623,0.95258662,0.38326102,0.00427350,0.78868971
-5.93996998,1.36256225,0.35419391,0.00000000,0.00403720,0.13737702,0.89484831,0.35916528,0.00411394,0.72700715
-5.93396698,1.26642744,0.32865163,0.00000000,0.00363633,0.13347292,0.83913744,0.33643878,0.00398237,0.66794198
-5.92796398,1.17589522,0.30442333,0.00000000,0.00325821,0.12986716,0.78597615,0.31530504,0.00388151,0.61205482
-5.92196098,1.09172007,0.28172138,0.00000000,0.00290573,0.12658269,0.73580696,0.29595414,0.00381363,0.55981971
-5.91595798,1.01450946,0.26071189,0.00000000,0.00258119,0.12363104,0.68898651,0.27854269,0.00378056,0.51162349
-5.90995498,0.94472678,0.24151483,0.00000000,0.00228641,0.12101160,0.64578290,0.26319516,0.00378369,0.46776856
-5.90395198,0.88269969,0.22420581,0.00000000,0.00202276,0.11871160,0.60637667,0.25000669,0.00382407,0.42847864
-5.89794897,0.82863312,0.20881935,0.00000000,0.00179121,0.11670658,0.57086519,0.23904708,0.00390233,0.39390700
-5.89194597,0.78262593,0.19535318,0.00000000,0.00159239,0.11496151,0.53927014,0.23036556,0.00401883,0.36414662
-5.88594297,0.74469027,0.18377356,0.00000000,0.00142673,0.11343234,0.51154743,0.22399628,0.00417359,0.33924148
-5.87993997,0.71477207,0.17402108,0.00000000,0.00129445,0.11206807,0.48759911,0.21996378,0.00436641,0.31919838
-5.87393697,0.69277171,0.16601673,0.00000000,0.00119569,0.11081311,0.46728632,0.21828843,0.00459679,0.30399847
-5.86793397,0.67856339,0.15966793,0.00000000,0.00113051,0.10960976,0.45044260,0.21899109,0.00486401,0.29360786
-5.86193097,0.67201194,0.15487410,0.00000000,0.00109900,0.10840084,0.43688693,0.22209686,0.00516709,0.28798658
-5.85592796,0.67298632,0.15153175,0.00000000,0.00110125,0.10713219,0.42643548,0.22763753,0.00550476,0.28709547
-5.84992496,0.68136861,0.14953863,0.00000000,0.00113741,0.10575492,0.41891178,0.23565236,0.00587541,0.29090056
-5.84392196,0.69705821,0.14879701,0.00000000,0.00120762,0.10422740,0.41415446,0.24618717,0.00627710,0.29937457
-5.83791896,0.71997076,0.14921581,0.00000000,0.00131207,0.10251680,0.41202256,0.25929166,0.00670741,0.31249560
-5.83191596,0.75003201,0.15071173,0.00000000,0.00145089,0.10060013,0.41239791,0.27501484,0.00716347,0.33024288
-5.82591296,0.78716679,0.15320934,0.00000000,0.00162414,0.09846481,0.41518478,0.29339887,0.00764186,0.35258990
-5.81990995,0.83128389,0.15664015,0.00000000,0.00183168,0.09610877,0.42030681,0.31447164,0.00813855,0.37949540
-5.81390695,0.88225778,0.16094100,0.00000000,0.00207317,0.09354000,0.42770171,0.33823821,0.00864893,0.41089244
-5.80790395,0.93990827,0.16605170,0.00000000,0.00234790,0.09077580,0.43731406,0.36467188,0.00916773,0.44667660
-5.80190095,1.00397957,0.17191235,0.00000000,0.00265476,0.08784163,0.44908681,0.39370519,0.00968905,0.48669375
-5.79589795,1.07412018,0.17846048,0.00000000,0.00299214,0.08476975,0.46295218,0.42522160,0.01020647,0.53072831
-5.78989495,1.14986504,0.18562814,0.00000000,0.00335784,0.08159782,0.47882266,0.45904831,0.01071302,0.57849280
-5.78389195,1.23062147,0.19333942,0.00000000,0.00374901,0.07836736,0.49658265,0.49495085,0.01120138,0.62961956
-5.77788894,1.31566011,0.20150824,0.00000000,0.00416213,0.07512235,0.51608159,0.53262994,0.01166397,0.68365509
-5.77188594,1.40411190,0.21003694,0.00000000,0.00459296,0.07190808,0.53712891,0.57172107,0.01209314,0.74005799
-5.76588294,1.49497191,0.21881555,0.00000000,0.00503660,0.06877002,0.55949138,0.61179697,0.01248135,0.79820059
-5.75987994,1.58711042,0.22772188,0.00000000,0.00548745,0.06575321,0.58289312,0.65237328,0.01282137,0.85737479
-5.75387694,1.67929116,0.23662250,0.00000000,0.00593936,0.06290170,0.60701830,0.69291733,0.01310650,0.91680197
-5.74787394,1.77019644,0.24537460,0.00000000,0.00638569,0.06025846,0.63151665,0.73285977,0.01333077,0.97564699
