energy_ev,total_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-5.61580790,1.48183523,0.00523006,0.26584789,0.61668900,0.00000000,0.39998549,0.30771254
-5.60980490,1.50304303,0.00515544,0.26913131,0.62708757,0.00000000,0.39654088,0.31215268
-5.60380190,1.52884281,0.00510896,0.27322926,0.63935553,0.00000000,0.39412256,0.31756044
-5.59779890,1.55889045,0.00509197,0.27809587,0.65331343,0.00000000,0.39272691,0.32386084
-5.59179590,1.59263014,0.00510481,0.28363991,0.66870594,0.00000000,0.39230767,0.33093218
-5.58579290,1.62930658,0.00514677,0.28972758,0.68520631,0.00000000,0.39277687,0.33860906
-5.57978989,1.66798568,0.00521616,0.29618717,0.70242375,0.00000000,0.39400726,0.34668728
-5.57378689,1.70758307,0.00531035,0.30281541,0.71991372,0.00000000,0.39583644,0.35493050
-5.56778389,1.74689931,0.00542587,0.30938526,0.73719058,0.00000000,0.39807230,0.36307828
-5.56178089,1.78466026,0.00555851,0.31565470,0.75374221,0.00000000,0.40049969,0.37085529
-5.55577789,1.81956117,0.00570348,0.32137625,0.76904613,0.00000000,0.40288800,0.37798119
-5.54977489,1.85031247,0.00585556,0.32630668,0.78258637,0.00000000,0.40499935,0.38418085
-5.54377189,1.87568544,0.00600929,0.33021658,0.79387048,0.00000000,0.40659719,0.38919439
-5.53776888,1.89455606,0.00615910,0.33289935,0.80244605,0.00000000,0.40745486,0.39278674
-5.53176588,1.90594505,0.00629957,0.33417924,0.80791605,0.00000000,0.40736382,0.39475627
-5.52576288,1.90905274,0.00642552,0.33391809,0.80995239,0.00000000,0.40614135,0.39494212
-5.51975988,1.90328739,0.00653222,0.33202065,0.80830728,0.00000000,0.40363734,0.39323005
-5.51375688,1.88828607,0.00661556,0.32843814,0.80282177,0.00000000,0.39973995,0.38955657
-5.50775388,1.86392741,0.00667215,0.32317015,0.79343152,0.00000000,0.39438012,0.38391125
-5.50175088,1.83033610,0.00669943,0.31626471,0.78016927,0.00000000,0.38753458,0.37633714
-5.49574787,1.78787923,0.00669577,0.30781683,0.76316435,0.00000000,0.37922744,0.36692953
-5.48974487,1.73715501,0.00666053,0.29796543,0.74263912,0.00000000,0.36953036,0.35583295
-5.48374187,1.67897462,0.00659405,0.28688907,0.71890265,0.00000000,0.35856134,0.34323684
-5.47773887,1.61433833,0.00649769,0.27480062,0.69234207,0.00000000,0.34648212,0.32937000
-5.47173587,1.54440702,0.00637374,0.26194120,0.66341192,0.00000000,0.33349457,0.31449419
-5.46573287,1.47047049,0.00622540,0.24857370,0.63262199,0.00000000,0.31983600,0.29889708
-5.45972986,1.39391386,0.00605666,0.23497609,0.60052418,0.00000000,0.30577373,0.28288500
-5.45372686,1.31618330,0.00587220,0.22143483,0.56769894,0.00000000,0.29159908,0.26677564
-5.44772386,1.23875239,0.00567722,0.20823856,0.53474157,0.00000000,0.27762091,0.25089093
-5.44172086,1.16308985,0.00547732,0.19567221,0.50224903,0.00000000,0.26415904,0.23555043
-5.43571786,1.09062970,0.00527831,0.18401178,0.47080741,0.00000000,0.25153749,0.22106522
-5.42971486,1.02274414,0.00508604,0.17351961,0.44098044,0.00000000,0.24007793,0.20773249
-5.42371186,0.96071969,0.00490623,0.16444037,0.41329914,0.00000000,0.23009315,0.19583074
-5.41770885,0.90573652,0.00474427,0.15699764,0.38825283,0.00000000,0.22188088,0.18561578
-5.41170585,0.85885101,0.00460511,0.15139100,0.36628140,0.00000000,0.21571790,0.17731724
-5.40570285,0.82098137,0.00449303,0.14779358,0.34776888,0.00000000,0.21185441,0.17113570
-5.39969985,0.79289585,0.00441156,0.14634998,0.33303822,0.00000000,0.21050886,0.16724029
-5.39369685,0.77520346,0.00436335,0.14717443,0.32234719,0.00000000,0.21186307,0.16576658
-5.38769385,0.76834663,0.00435005,0.15034918,0.31588530,0.00000000,0.21605780,0.16681489
-5.38169085,0.77259570,0.00437230,0.15592297,0.31377162,0.00000000,0.22318873,0.17044870
-5.37568784,0.78804508,0.00442963,0.16390969,0.31605345,0.00000000,0.23330303,0.17669335
-5.36968484,0.81461083,0.00452051,0.17428713,0.32270575,0.00000000,0.24639641,0.18553490
-5.36368184,0.85202995,0.00464235,0.18699596,0.33363145,0.00000000,0.26241090,0.19691925
-5.35767884,0.89986142,0.00479157,0.20193898,0.34866256,0.00000000,0.28123348,0.21075157
-5.35167584,0.95748932,0.00496370,0.21898078,0.36756215,0.00000000,0.30269561,0.22689616
-5.34567284,1.02412826,0.00515350,0.23794791,0.39002736,0.00000000,0.32657377,0.24517682
-5.33966983,1.09883173,0.00535509,0.25862968,0.41569354,0.00000000,0.35259132,0.26537790
-5.33366683,1.18050339,0.00556214,0.28077982,0.44413952,0.00000000,0.38042155,0.28724610
-5.32766383,1.26791184,0.00576805,0.30411894,0.47489415,0.00000000,0.40969212,0.31049323
-5.32166083,1.35970898,0.00596615,0.32833800,0.50744417,0.00000000,0.43999090,0.33479980
-5.31565783,1.45445178,0.00614990,0.35310274,0.54124322,0.00000000,0.47087318,0.35981974
-5.30965483,1.55062762,0.00631309,0.37805910,0.57572212,0.00000000,0.50187003,0.38518597
-5.30365183,1.64668245,0.00645002,0.40283949,0.61030005,0.00000000,0.53249792,0.41051694
-5.29764882,1.74105151,0.00655569,0.42706989,0.64439645,0.00000000,0.56226904,0.43542391
-5.29164582,1.83219161,0.00662591,0.45037741,0.67744345,0.00000000,0.59070234,0.45951881
-5.28564282,1.91861416,0.00665747,0.47239837,0.70889819,0.00000000,0.61733471,0.48242250
-5.27963982,1.99891785,0.00664819,0.49278628,0.73825498,0.00000000,0.64173218,0.50377308
-5.27363682,2.07181995,0.00659695,0.51121985,0.76505656,0.00000000,0.66350047,0.52323403
-5.26763382,2.13618493,0.00650374,0.52741032,0.78890425,0.00000000,0.68229480,0.54050190
-5.26163082,2.19104958,0.00636963,0.54110819,0.80946655,0.00000000,0.69782840,0.55531321
-5.25562781,2.23564358,0.00619665,0.55210894,0.82648584,0.00000000,0.70987949,0.56745035
-5.24962481,2.26940468,0.00598778,0.56025747,0.83978298,0.00000000,0.71829642,0.57674625
-5.24362181,2.29198816,0.00574674,0.56545124,0.84925963,0.00000000,0.72300090,0.58308763
-5.23761881,2.30327015,0.00547793,0.56764193,0.85489823,0.00000000,0.72398905,0.58641679
-5.23161581,2.30334475,0.00518621,0.56683562,0.85675969,0.00000000,0.72133037,0.58673182
-5.22561281,2.29251536,0.00487677,0.56309139,0.85497898,0.00000000,0.71516465,0.58408531
-5.21960980,2.27128048,0.00455496,0.55651863,0.84975874,0.00000000,0.70569702,0.57858158
-5.21360680,2.24031495,0.00422613,0.54727302,0.84136142,0.00000000,0.69319128,0.57037275
-5.20760380,2.20044712,0.00389549,0.53555145,0.83010012,0.00000000,0.67796188,0.55965354
-5.20160080,2.15263330,0.00356801,0.52158611,0.81632862,0.00000000,0.66036475,0.54665532
-5.19559780,2.09793023,0.00324826,0.50563784,0.80043105,0.00000000,0.64078750,0.53163947
-5.18959480,2.03746666,0.00294040,0.48798925,0.78281143,0.00000000,0.61963917,0.51489040
-5.18359180,1.97241509,0.00264808,0.46893757,0.76388362,0.00000000,0.59733993,0.49670834
-5.17758879,1.90396436,0.00237442,0.44878766,0.74406181,0.00000000,0.57431110,0.47740234
-5.17158579,1.83329395,0.00212200,0.42784526,0.72375190,0.00000000,0.55096567,0.45728342
-5.16558279,1.76155051,0.00189289,0.40641071,0.70334379,0.00000000,0.52769963,0.43665828
-5.15957979,1.68982693,0.00168863,0.38477326,0.68320478,0.00000000,0.50488422,0.41582348
-5.15357679,1.61914438,0.00151033,0.36320606,0.66367407,0.00000000,0.48285927,0.39506037
-5.14757379,1.55043717,0.00135866,0.34196190,0.64505820,0.00000000,0.46192768,0.37463066
-5.14157079,1.48454063,0.00123395,0.32126973,0.62762754,0.00000000,0.44235108,0.35477277
-5.13556778,1.42218163,0.00113617,0.30133195,0.61161352,0.00000000,0.42434666,0.33569890
-5.12956478,1.36397178,0.00106507,0.28232247,0.59720663,0.00000000,0.40808507,0.31759279
-5.12356178,1.31040282,0.00102011,0.26438547,0.58455492,0.00000000,0.39368944,0.30060809
-5.11755878,1.26184422,0.00100060,0.24763484,0.57376310,0.00000000,0.38123531,0.28486743
-5.11155578,1.21854256,0.00100563,0.23215416,0.56489188,0.00000000,0.37075144,0.27046198
-5.10555278,1.18062260,0.00103414,0.21799734,0.55795786,0.00000000,0.36222146,0.25745153
-5.09954977,1.14808992,0.00108489,0.20518960,0.55293361,0.00000000,0.35558616,0.24586501
-5.09354677,1.12083501,0.00115650,0.19372898,0.54974831,0.00000000,0.35074644,0.23570151
-5.08754377,1.09863883,0.00124737,0.18358816,0.54828875,0.00000000,0.34756682,0.22693167
-5.08154077,1.08117980,0.00135574,0.17471664,0.54840095,0.00000000,0.34587944,0.21949941
-5.07553777,1.06804227,0.00147964,0.16704320,0.54989246,0.00000000,0.34548843,0.21332413
-5.06953477,1.05872651,0.00161690,0.16047856,0.55253538,0.00000000,0.34617480,0.20830321
-5.06353177,1.05266026,0.00176512,0.15491835,0.55607025,0.00000000,0.34770150,0.20431488
-5.05752876,1.04921171,0.00192171,0.15024611,0.56021082,0.00000000,0.34981885,0.20122140
-5.05152576,1.04770393,0.00208387,0.14633654,0.56464974,0.00000000,0.35227011,0.19887257
-5.04552276,1.04743056,0.00224867,0.14305872,0.56906513,0.00000000,0.35479719,0.19710944
-5.03951976,1.04767246,0.00241302,0.14027946,0.57312785,0.00000000,0.35714635,0.19576828
-5.03351676,1.04771506,0.00257376,0.13786651,0.57650945,0.00000000,0.35907386,0.19468454
-5.02751376,1.04686597,0.00272774,0.13569170,0.57889052,0.00000000,0.36035141,0.19369700
-5.02151076,1.04447240,0.00287183,0.13363397,0.57996916,0.00000000,0.36077125,0.19265171
-5.01550775,1.03993785,0.00300306,0.13158210,0.57946935,0.00000000,0.36015084,0.19140584
-5.00950475,1.03273755,0.00311864,0.12943712,0.57714887,0.00000000,0.35833687,0.18983116
-5.00350175,1.02243208,0.00321609,0.12711441,0.57280646,0.00000000,0.35520872,0.18781717
-4.99749875,1.00867880,0.00329328,0.12454540,0.56628796,0.00000000,0.35068089,0.18527374
-4.99149575,0.99124045,0.00334849,0.12167873,0.55749105,0.00000000,0.34470472,0.18213312
-4.98549275,0.96999082,0.00338050,0.11848105,0.54636851,0.00000000,0.33726906,0.17835135
-4.97948974,0.94491709,0.00338858,0.11493726,0.53292975,0.00000000,0.32839989,0.17390898
-4.97348674,0.91611896,0.00337256,0.11105033,0.51724057,0.00000000,0.31815907,0.16881107
-4.96748374,0.88380445,0.00333280,0.10684069,0.49942112,0.00000000,0.30664208,0.16308656
-4.96148074,0.84828266,0.00327021,0.10234523,0.47964210,0.00000000,0.29397492,0.15678700
-4.95547774,0.80995393,0.00318620,0.09761598,0.45811955,0.00000000,0.28031029,0.14998475
-4.94947474,0.76929776,0.00308264,0.09271861,0.43510818,0.00000000,0.26582317,0.14277069
-4.94347174,0.72685903,0.00296180,0.08773068,0.41089378,0.00000000,0.25070604,0.13525170
-4.93746873,0.68323324,0.00282630,0.08273987,0.38578496,0.00000000,0.23516384,0.12754783
-4.93146573,0.63905135,0.00267902,0.07784224,0.36010452,0.00000000,0.21940898,0.11978945
-4.92546273,0.59496482,0.00252301,0.07314049,0.33418094,0.00000000,0.20365647,0.11211444
-4.91945973,0.55163146,0.00236146,0.06874241,0.30834029,0.00000000,0.18811945,0.10466555
-4.91345673,0.50970259,0.00219758,0.06475941,0.28289883,0.00000000,0.17300525,0.09758796
-4.90745373,0.46981183,0.00203455,0.06130532,0.25815664,0.00000000,0.15851202,0.09102712
-4.90145073,0.43256586,0.00187550,0.05849528,0.23439250,0.00000000,0.14482616,0.08512705
-4.89544772,0.39853711,0.00172339,0.05644481,0.21186005,0.00000000,0.13212044,0.08002879
-4.88944472,0.36825863,0.00158105,0.05526895,0.19078536,0.00000000,0.12055292,0.07586932
-4.88344172,0.34222064,0.00145115,0.05508142,0.17136589,0.00000000,0.11026657,0.07278064
-4.87743872,0.32086880,0.00133616,0.05599379,0.15377076,0.00000000,0.10138954,0.07088905
-4.87143572,0.30460371,0.00123838,0.05811453,0.13814206,0.00000000,0.09403599,0.07031458
-4.86543272,0.29378128,0.00115994,0.06154781,0.12459720,0.00000000,0.08830730,0.07117032
-4.85942971,0.28871357,0.00110285,0.06639216,0.11323186,0.00000000,0.08429357,0.07356179
-4.85342671,0.28966972,0.00106899,0.07273882,0.10412347,0.00000000,0.08207525,0.07758603
-4.84742371,0.29687662,0.00106014,0.08066977,0.09733483,0.00000000,0.08172486,0.08333054
-4.84142071,0.31051899,0.00107802,0.09025554,0.09291767,0.00000000,0.08330844,0.09087192
-4.83541771,0.33073892,0.00112432,0.10155277,0.09091600,0.00000000,0.08688699,0.10027429
-4.82941471,0.35763454,0.00120068,0.11460160,0.09136900,0.00000000,0.09251751,0.11158744
-4.82341171,0.39125809,0.00130871,0.12942306,0.09431333,0.00000000,0.10025376,0.12484489
-4.81740870,0.43161359,0.00145002,0.14601654,0.09978481,0.00000000,0.11014677,0.14006180
-4.81140570,0.47865422,0.00162618,0.16435755,0.10781943,0.00000000,0.12224495,0.15723310
-4.80540270,0.53227997,0.00183870,0.18439585,0.11845367,0.00000000,0.13659402,0.17633170
-4.79939970,0.59233588,0.00208902,0.20605428,0.13172428,0.00000000,0.15323665,0.19730726
-4.79339670,0.65861130,0.00237847,0.22922829,0.14766749,0.00000000,0.17221195,0.22008535
-4.78739370,0.73084056,0.00270823,0.25378641,0.16631787,0.00000000,0.19355494,0.24456749
-4.78139070,0.80870542,0.00307928,0.27957171,0.18770690,0.00000000,0.21729575,0.27063194
-4.77538769,0.89183949,0.00349234,0.30640442,0.21186136,0.00000000,0.24345899,0.29813543
-4.76938469,0.97983459,0.00394786,0.33408554,0.23880175,0.00000000,0.27206294,0.32691588
-4.76338169,1.07224924,0.00444590,0.36240154,0.26854066,0.00000000,0.30311866,0.35679606
-4.75737869,1.16861872,0.00498613,0.39112991,0.30108122,0.00000000,0.33662908,0.38758805
-4.75137569,1.26846645,0.00556777,0.42004549,0.33641569,0.00000000,0.37258776,0.41909852
-4.74537269,1.37131606,0.00618953,0.44892719,0.37452403,0.00000000,0.41097750,0.45113437
-4.73936968,1.47670340,0.00684953,0.47756493,0.41537243,0.00000000,0.45176843,0.48350868
-4.73336668,1.58418776,0.00754535,0.50576638,0.45891175,0.00000000,0.49491581,0.51604647
-4.72736368,1.69336124,0.00827388,0.53336315,0.50507569,0.00000000,0.54035709,0.54859010
-4.72136068,1.80385580,0.00903139,0.56021609,0.55377863,0.00000000,0.58800864,0.58100374
-4.71535768,1.91534686,0.00981343,0.58621939,0.60491299,0.00000000,0.63776175,0.61317686
-4.70935468,2.02755311,0.01061487,0.61130307,0.65834607,0.00000000,0.68947830,0.64502613
-4.70335168,2.14023214,0.01142987,0.63543377,0.71391642,0.00000000,0.74298605,0.67649573
-4.69734867,2.25317162,0.01225189,0.65861359,0.77142976,0.00000000,0.79807387,0.70755582
-4.69134567,2.36617642,0.01307375,0.68087697,0.83065455,0.00000000,0.85448714,0.73819912
-4.68534267,2.47905199,0.01388766,0.70228566,0.89131753,0.00000000,0.91192367,0.76843569
-4.67933967,2.59158499,0.01468528,0.72292196,0.95309945,0.00000000,0.97003048,0.79828611
-4.67333667,2.70352205,0.01545785,0.74288048,1.01563146,0.00000000,1.02840197,0.82777330
-4.66733367,2.81454823,0.01619629,0.76225888,1.07849247,0.00000000,1.08657964,0.85691351
-4.66133067,2.92426653,0.01689135,0.78114797,1.14120796,0.00000000,1.14405390,0.88570684
-4.65532766,3.03218000,0.01753376,0.79962181,1.20325075,0.00000000,1.20026822,0.91412801
-4.64932466,3.13767819,0.01811446,0.81772826,1.26404400,0.00000000,1.25462571,0.94211789
-4.64332166,3.24002922,0.01862481,0.83548069,1.32296685,0.00000000,1.30649832,0.96957644
-4.63731866,3.33837875,0.01905674,0.85285134,1.37936281,0.00000000,1.35523861,0.99635763
-4.63131566,3.43175679,0.01940306,0.86976678,1.43255107,0.00000000,1.40019375,1.02226682
-4.62531266,3.51909274,0.01965761,0.88610602,1.48184052,0.00000000,1.44072158,1.04706101
-4.61930965,3.59923888,0.01981551,0.90170127,1.52654623,0.00000000,1.47620812,1.07045215
-4.61330665,3.67100167,0.01987331,0.91634180,1.56600794,0.00000000,1.50608603,1.09211361
-4.60730365,3.73318004,0.01982912,0.92978065,1.59961001,0.00000000,1.52985319,1.11168975
-4.60130065,3.78460916,0.01968277,0.94174404,1.62680192,0.00000000,1.54709079,1.12880816
-4.59529765,3.82420799,0.01943581,0.95194317,1.64711855,0.00000000,1.55748004,1.14309425
-4.58929465,3.85102829,0.01909156,0.96008784,1.66019929,0.00000000,1.56081677,1.15418745
-4.58329165,3.86430289,0.01865504,0.96590136,1.66580508,0.00000000,1.55702327,1.16175833
-4.57728864,3.86349057,0.01813288,0.96913587,1.66383236,0.00000000,1.54615659,1.16552581
-4.57128564,3.84831539,0.01753317,0.96958746,1.65432321,0.00000000,1.52841312,1.16527347
-4.56528264,3.81879805,0.01686525,0.96711025,1.63747100,0.00000000,1.50412878,1.16086429
-4.55927964,3.77527750,0.01613949,0.96162858,1.61362110,0.00000000,1.47377497,1.15225280
-4.55327664,3.71842135,0.01536702,0.95314686,1.58326625,0.00000000,1.43795021,1.13949415
-4.54727364,3.64922412,0.01455944,0.94175630,1.54703683,0.00000000,1.39736767,1.12274939
-4.54127064,3.56899305,0.01372853,0.92763829,1.50568600,0.00000000,1.35283907,1.10228668
-4.53526763,3.47932185,0.01288598,0.91106412,1.46007043,0.00000000,1.30525555,1.07847835
-4.52926463,3.38205311,0.01204306,0.89239103,1.41112714,0.00000000,1.25556611,1.05179371
-4.52326163,3.27923114,0.01121042,0.87205473,1.35984753,0.00000000,1.20475445,1.02278810
-4.51725863,3.17304692,0.01039784,0.85055880,1.30724944,0.00000000,1.15381522,0.99208848
-4.51125563,3.06577785,0.00961404,0.82846134,1.25434863,0.00000000,1.10373019,0.96037639
-4.50525263,2.95972455,0.00886655,0.80635956,1.20213059,0.00000000,1.05544564,0.92836882
-4.49924962,2.85714784,0.00816161,0.78487308,1.15152410,0.00000000,1.00985127,0.89679816
-4.49324662,2.76020811,0.00750413,0.76462653,1.10337728,0.00000000,0.96776175,0.86639181
-4.48724362,2.67090998,0.00689767,0.74623242,1.05843740,0.00000000,0.92990104,0.83785254
-4.48124062,2.59105413,0.00634450,0.73027476,1.01733486,0.00000000,0.89689019,0.81184026
-4.47523762,2.52219804,0.00584567,0.71729435,0.98057205,0.00000000,0.86923868,0.78895599
-4.46923462,2.46562700,0.00540114,0.70777592,0.94851735,0.00000000,0.84733931,0.76972855
-4.46323162,2.42233575,0.00500992,0.70213780,0.92140409,0.00000000,0.83146675,0.75460418
-4.45722861,2.39302103,0.00467023,0.70072419,0.89933456,0.00000000,0.82177918,0.74393961
-4.45122561,2.37808443,0.00437970,0.70380012,0.88228828,0.00000000,0.81832294,0.73799828
-4.44522261,2.37764439,0.00413556,0.71154906,0.87013412,0.00000000,0.82103948,0.73694967
-4.43921961,2.39155621,0.00393480,0.72407298,0.86264541,0.00000000,0.82977422,0.74087149
-4.43321661,2.41943804,0.00377441,0.74139442,0.85951702,0.00000000,0.84428664,0.74975420
-4.42721361,2.46070105,0.00365149,0.76346035,0.86038367,0.00000000,0.86426110,0.76350745
-4.42121061,2.51458181,0.00356344,0.79014726,0.86483827,0.00000000,0.88931788,0.78196774
-4.41520760,2.58017487,0.00350806,0.82126705,0.87244962,0.00000000,0.91902389,0.80490696
-4.40920460,2.65646391,0.00348369,0.85657328,0.88277852,0.00000000,0.95290278,0.83204101
-4.40320160,2.74234989,0.00348922,0.89576748,0.89539174,0.00000000,0.99044421,0.86303834
-4.39719860,2.83667521,0.00352416,0.93850500,0.90987321,0.00000000,1.03111201,0.89752773
-4.39119560,2.93824314,0.00358863,0.98440052,0.92583233,0.00000000,1.07435129,0.93510523
-4.38519260,3.04583230,0.00368329,1.03303280,0.94290914,0.00000000,1.11959456,0.97534012
-4.37918959,3.15820630,0.00380935,1.08394882,0.96077645,0.00000000,1.16626694,1.01777967
-4.37318659,3.27411914,0.00396836,1.13666736,0.97913921,0.00000000,1.21379070,1.06195304
-4.36718359,3.39231723,0.00416220,1.19068231,0.99773156,0.00000000,1.26158935,1.10737425
-4.36118059,3.51153908,0.00439286,1.24546571,1.01631189,0.00000000,1.30909153,1.15354467
-4.35517759,3.63051399,0.00466228,1.30047102,1.03465674,0.00000000,1.35573492,1.19995521
-4.34917459,3.74796100,0.00497223,1.35513687,1.05255405,0.00000000,1.40097030,1.24608865
-4.34317159,3.86258935,0.00532411,1.40889147,1.06979631,0.00000000,1.44426601,1.29142232
-4.33716858,3.97310155,0.00571877,1.46115804,1.08617440,0.00000000,1.48511278,1.33543157
-4.33116558,4.07819997,0.00615637,1.51136128,1.10147258,0.00000000,1.52302891,1.37759420
-4.32516258,4.17659750,0.00663626,1.55893520,1.11546493,0.00000000,1.55756583,1.41739595
-4.31915958,4.26703244,0.00715683,1.60333193,1.12791377,0.00000000,1.58831385,1.45433726
-4.31315658,4.34828771,0.00771545,1.64403174,1.13857016,0.00000000,1.61490789,1.48794119
-4.30715358,4.41921362,0.00830842,1.68055374,1.14717641,0.00000000,1.63703306,1.51776221
