energy_ev,total_up,N_s_up,N_p_up,Os_p_up,Os_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,3.74291096,0.01414713,0.54513215,0.73554123,1.50280778,0.57804235,0.25349409,0.01510235,1.64923376
-5.99399700,3.71906966,0.01365434,0.54001350,0.74252973,1.48950747,0.58483425,0.25185433,0.01478049,1.64656307
-5.98799400,3.69515518,0.01318368,0.53502840,0.74994346,1.47580068,0.59189831,0.25031425,0.01445857,1.64377905
-5.98199100,3.67176057,0.01273121,0.53034529,0.75782486,1.46197410,0.59924806,0.24894225,0.01414207,1.64096030
-5.97598799,3.64942844,0.01229306,0.52610156,0.76621764,1.44830833,0.60688647,0.24780178,0.01383540,1.63817997
-5.96998499,3.62863977,0.01186554,0.52239975,0.77516412,1.43507378,0.61480467,0.24694961,0.01354185,1.63550455
-5.96398199,3.60980413,0.01144534,0.51930499,0.78470218,1.42252653,0.62298088,0.24643425,0.01326353,1.63299248
-5.95797899,3.59325130,0.01102957,0.51684397,0.79486166,1.41090392,0.63137962,0.24629441,0.01300142,1.63069253
-5.95197599,3.57922366,0.01061584,0.51500536,0.80566035,1.40041977,0.63995103,0.24655771,0.01275546,1.62864152
-5.94597299,3.56786917,0.01020237,0.51374152,0.81709948,1.39125899,0.64863042,0.24723948,0.01252462,1.62686142
-5.93996998,3.55923485,0.00978799,0.51297143,0.82915913,1.38357180,0.65733793,0.24834180,0.01230708,1.62535562
-5.93396698,3.55326068,0.00937217,0.51258465,0.84179347,1.37746733,0.66597843,0.24985280,0.01210036,1.62410466
-5.92796398,3.54977430,0.00895498,0.51244609,0.85492641,1.37300722,0.67444161,0.25174616,0.01190154,1.62306147
-5.92196098,3.54848681,0.00853709,0.51240139,0.86844778,1.37019928,0.68260245,0.25398100,0.01170738,1.62214653
-5.91595798,3.54899040,0.00811971,0.51228262,0.88221054,1.36899170,0.69032204,0.25650214,0.01151454,1.62124349
-5.90995498,3.55075844,0.00770455,0.51191424,0.89602928,1.36926841,0.69744891,0.25924072,0.01131971,1.62019548
-5.90395198,3.55314888,0.00729372,0.51111901,0.90968046,1.37084607,0.70382102,0.26211536,0.01111974,1.61880297
-5.89794897,3.55541167,0.00688970,0.50972367,0.92290450,1.37347308,0.70926834,0.26503374,0.01091179,1.61682340
-5.89194597,3.55670078,0.00649521,0.50756436,0.93541009,1.37683126,0.71361627,0.26789467,0.01069338,1.61397318
-5.88594297,3.55609127,0.00611319,0.50449155,0.94688055,1.38054035,0.71668969,0.27059069,0.01046248,1.60993224
-5.87993997,3.55260143,0.00574664,0.50037450,0.95698237,1.38416566,0.71831779,0.27301102,0.01021756,1.60435137
-5.87393697,3.54521985,0.00539864,0.49510503,0.96537553,1.38722872,0.71833946,0.27504487,0.00995761,1.59686222
-5.86793397,3.53293671,0.00507220,0.48860070,0.97172536,1.38922085,0.71660908,0.27658502,0.00968213,1.58708975
-5.86193097,3.51477828,0.00477020,0.48080720,0.97571535,1.38961920,0.71300254,0.27753147,0.00939114,1.57466669
-5.85592796,3.48984344,0.00449537,0.47170010,0.97706043,1.38790464,0.70742322,0.27779506,0.00908513,1.55924943
-5.84992496,3.45734050,0.00425015,0.46128570,0.97551992,1.38358084,0.69980756,0.27730093,0.00876509,1.54053447
-5.84392196,3.41662260,0.00403671,0.44960123,0.97090961,1.37619353,0.69012998,0.27599154,0.00843242,1.51827467
-5.83791896,3.36721991,0.00385684,0.43671414,0.96311220,1.36534917,0.67840690,0.27382925,0.00808889,1.49229447
-5.83191596,3.30886691,0.00371192,0.42272076,0.95208562,1.35073196,0.66469949,0.27079827,0.00773665,1.46250307
-5.82591296,3.24152314,0.00360288,0.40774407,0.93786862,1.33211833,0.64911503,0.26690575,0.00737813,1.42890495
-5.81990995,3.16538626,0.00353015,0.39193096,0.92058341,1.30938828,0.63180672,0.26218220,0.00701602,1.39160703
-5.81390695,3.08089661,0.00349364,0.37544876,0.90043520,1.28253273,0.61297191,0.25668100,0.00665324,1.35082203
-5.80790395,2.98873291,0.00349273,0.35848140,0.87770849,1.25165673,0.59284883,0.25047711,0.00629288,1.30686794
-5.80190095,2.88979918,0.00352626,0.34122517,0.85276051,1.21697823,0.57171183,0.24366509,0.00593816,1.26016336
-5.79589795,2.78520367,0.00359249,0.32388424,0.82601209,1.17882260,0.54986555,0.23635640,0.00559238,1.21121928
-5.78989495,2.67623075,0.00368919,0.30666622,0.79793639,1.13761310,0.52763809,0.22867629,0.00525889,1.16062745
-5.78389195,2.56430724,0.00381363,0.28977775,0.76904620,1.09385798,0.50537367,0.22076030,0.00494107,1.10904609
-5.77788894,2.45096483,0.00396264,0.27342040,0.73988039,1.04813480,0.48342506,0.21275067,0.00464223,1.05718372
-5.77188594,2.33780053,0.00413269,0.25778697,0.71099012,1.00107287,0.46214604,0.20479272,0.00436564,1.00578173
-5.76588294,2.22643673,0.00431998,0.24305828,0.68292558,0.95333453,0.44188439,0.19703137,0.00411444,0.95559662
-5.75987994,2.11848273,0.00452054,0.22940056,0.65622353,0.90559642,0.42297542,0.18960807,0.00389165,0.90738262
-5.75387694,2.01549917,0.00473034,0.21696344,0.63139630,0.85853120,0.40573649,0.18265802,0.00370008,0.86187525
-5.74787394,1.91896624,0.00494546,0.20587858,0.60892238,0.81279077,0.39046228,0.17630795,0.00354236,0.81977636
-5.74187094,1.83025673,0.00516220,0.19625882,0.58923866,0.76899128,0.37742122,0.17067430,0.00342086,0.78174102
-5.73586793,1.75061394,0.00537721,0.18819787,0.57273449,0.72770048,0.36685262,0.16586196,0.00333766,0.74836631
-5.72986493,1.68113459,0.00558768,0.18177033,0.55974723,0.68942761,0.35896467,0.16196330,0.00329454,0.72018210
-5.72386193,1.62275625,0.00579144,0.17703195,0.55055908,0.65461576,0.35393298,0.15905761,0.00329291,0.69764366
-5.71785893,1.57624867,0.00598705,0.17402005,0.54539499,0.62363677,0.35189945,0.15721073,0.00333381,0.68112582
-5.71185593,1.54220813,0.00617396,0.17275385,0.54442109,0.59678824,0.35297130,0.15647481,0.00341779,0.67091841
-5.70585293,1.52105419,0.00635252,0.17323473,0.54774357,0.57429247,0.35722010,0.15688801,0.00354497,0.66722270
-5.69984992,1.51302766,0.00652404,0.17544629,0.55540757,0.55629692,0.36468056,0.15847423,0.00371489,0.67014852
-5.69384692,1.51818948,0.00669077,0.17935414,0.56739601,0.54287576,0.37534908,0.16124265,0.00392654,0.67971184
-5.68784392,1.53641986,0.00685590,0.18490543,0.58362823,0.53403223,0.38918206,0.16518714,0.00417830,0.69583277
-5.68184092,1.56741760,0.00702343,0.19202831,0.60395855,0.52970158,0.40609401,0.17028552,0.00446787,0.71833394
-5.67583792,1.61069965,0.00719809,0.20063111,0.62817487,0.52975423,0.42595562,0.17649874,0.00479230,0.74693939
-5.66983492,1.66560133,0.00738517,0.21060170,0.65599768,0.53399922,0.44859204,0.18377006,0.00514796,0.78127432
-5.66383192,1.73127779,0.00759034,0.22180696,0.68707970,0.54218782,0.47378164,0.19202438,0.00553054,0.82086587
-5.65782891,1.80670753,0.00781947,0.23409255,0.72100663,0.55401738,0.50125545,0.20116774,0.00593510,0.86514543
