energy_ev,total_up,Pt_p_up,Pt_d_up,Sb_p_up,Sb_d_up,Te_p_up,Te_d_up
-6.00000000,5.59236254,1.33645870,4.05270269,0.14731090,0.03895840,1.59721488,0.00000000
-5.99399700,5.81487595,1.38565308,4.20385677,0.14868728,0.04126284,1.67612620,0.00000000
-5.98799400,6.06576208,1.44954826,4.37070676,0.15086641,0.04371740,1.76328521,0.00000000
-5.98199100,6.34437317,1.52790899,4.55283592,0.15385432,0.04631753,1.85832900,0.00000000
-5.97598799,6.64969811,1.62026675,4.74964662,0.15765096,0.04905819,1.96079078,0.00000000
-5.96998499,6.98035969,1.72591759,4.96036291,0.16225002,0.05193386,2.07010010,0.00000000
-5.96398199,7.33460988,1.84392265,5.18402994,0.16763847,0.05493847,2.18558265,0.00000000
-5.95797899,7.71032367,1.97311181,5.41951030,0.17379587,0.05806524,2.30645952,0.00000000
-5.95197599,8.10499284,2.11209083,5.66547796,0.18069345,0.06130649,2.43184660,0.00000000
-5.94597299,8.51572124,2.25925253,5.92041084,0.18829302,0.06465334,2.56075439,0.00000000
-5.93996998,8.93922411,2.41279248,6.18258388,0.19654591,0.06809536,2.69208904,0.00000000
-5.93396698,9.37183383,2.57072963,6.45006412,0.20539187,0.07162032,2.82465524,0.00000000
-5.92796398,9.80951477,2.73093200,6.72071003,0.21475813,0.07521381,2.95716180,0.00000000
-5.92196098,10.24788964,2.89114762,6.99217701,0.22455876,0.07885897,3.08823046,0.00000000
-5.91595798,10.68227939,3.04904057,7.26193075,0.23469436,0.08253636,3.21640870,0.00000000
-5.90995498,11.10775802,3.20223155,7.52726998,0.24505220,0.08622380,3.34018674,0.00000000
-5.90395198,11.51922299,3.34834254,7.78535945,0.25550688,0.08989649,3.45801906,0.00000000
-5.89794897,11.91148103,3.48504444,8.03327354,0.26592161,0.09352719,3.56835027,0.00000000
-5.89194597,12.27934792,3.61010658,8.26805010,0.27615003,0.09708658,3.66964498,0.00000000
-5.88594297,12.61776023,3.72144676,8.48675349,0.28603869,0.10054382,3.76042097,0.00000000
-5.87993997,12.92189570,3.81718032,8.68654510,0.29542996,0.10386724,3.83928482,0.00000000
-5.87393697,13.18729830,3.89566648,8.86475890,0.30416561,0.10702517,3.90496867,0.00000000
-5.86793397,13.41000326,3.95555053,9.01897913,0.31209059,0.10998685,3.95636682,0.00000000
-5.86193097,13.58665704,3.99580016,9.14711687,0.31905721,0.11272346,3.99257067,0.00000000
-5.85592796,13.71462677,4.01573442,9.24748183,0.32492933,0.11520914,4.01290038,0.00000000
-5.84992496,13.79209400,4.01504426,9.31884577,0.32958653,0.11742190,4.01693172,0.00000000
-5.84392196,13.81812796,3.99380337,9.36049429,0.33292809,0.11934462,4.00451670,0.00000000
-5.83791896,13.79273390,3.95246885,9.37226366,0.33487646,0.12096569,3.97579670,0.00000000
-5.83191596,13.71687341,3.89187131,9.35456036,0.33538025,0.12227963,3.93120721,0.00000000
-5.82591296,13.59245454,3.81319444,9.30836150,0.33441642,0.12328739,3.87147342,0.00000000
-5.81990995,13.42229062,3.71794447,9.23519516,0.33199165,0.12399641,3.79759654,0.00000000
-5.81390695,13.21002866,3.60791048,9.13710065,0.32814277,0.12442042,3.71083098,0.00000000
-5.80790395,12.96004900,3.48511666,9.01656973,0.32293612,0.12457892,3.61265293,0.00000000
-5.80190095,12.67733964,3.35176808,8.87647060,0.31646601,0.12449644,3.50472134,0.00000000
-5.79589795,12.36734987,3.21019175,8.71995771,0.30885210,0.12420151,3.38883282,0.00000000
-5.78989495,12.03582870,3.06277495,8.55037070,0.30023599,0.12372549,3.26687187,0.00000000
-5.78389195,11.68865446,2.91190298,8.37112684,0.29077699,0.12310121,3.14075855,0.00000000
-5.77788894,11.33166254,2.75989830,8.18561139,0.28064732,0.12236160,3.01239560,0.00000000
-5.77188594,10.97047800,2.60896328,7.99707059,0.27002689,0.12153818,2.88361703,0.00000000
-5.76588294,10.61035988,2.46112836,7.80851185,0.25909798,0.12065982,2.75614024,0.00000000
-5.75987994,10.25606342,2.31820734,7.62261530,0.24803982,0.11975139,2.63152359,0.00000000
-5.75387694,9.91172525,2.18176120,7.44166042,0.23702354,0.11883283,2.51113095,0.00000000
-5.74787394,9.58077592,2.05307139,7.26747068,0.22620751,0.11791830,2.39610459,0.00000000
-5.74187094,9.26588247,1.93312346,7.10137805,0.21573338,0.11701573,2.28734728,0.00000000
-5.73586793,8.96892249,1.82260101,6.94420864,0.20572284,0.11612659,2.18551403,0.00000000
-5.72986493,8.69098956,1.72189005,6.79628930,0.19627530,0.11524607,2.09101356,0.00000000
-5.72386193,8.43242864,1.63109302,6.65747438,0.18746652,0.11436346,2.00401907,0.00000000
-5.71785893,8.19289862,1.55005171,6.52719055,0.17934821,0.11346296,1.92448752,0.00000000
-5.71185593,7.97145799,1.47837772,6.40449730,0.17194855,0.11252458,1.85218613,0.00000000
-5.70585293,7.76666897,1.41548911,6.28815948,0.16527356,0.11152536,1.78672479,0.00000000
-5.69984992,7.57671453,1.36065135,6.17672846,0.15930927,0.11044065,1.72759263,0.00000000
-5.69384692,7.39952254,1.31302108,6.06862762,0.15402443,0.10924544,1.67419686,0.00000000
-5.68784392,7.23289126,1.27169047,5.96223837,0.14937373,0.10791579,1.62590217,0.00000000
-5.68184092,7.07461051,1.23573076,5.85598278,0.14530127,0.10643005,1.58206876,0.00000000
-5.67583792,6.92257341,1.20423300,5.74839925,0.14174419,0.10477007,1.54208739,0.00000000
-5.66983492,6.77487432,1.17634459,5.63820832,0.13863616,0.10292214,1.50540996,0.00000000
-5.66383192,6.62988940,1.15130045,5.52436619,0.13591075,0.10087776,1.47157448,0.00000000
