energy_ev,total_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up,Si_p_up,Si_d_up
-6.00000000,7.68784952,2.75290642,5.24948487,0.06672752,0.78141246,1.86049338,0.00000000
-5.99399700,7.75792289,2.81604462,5.30549265,0.06657757,0.77059365,1.87426303,0.00000000
-5.98799400,7.80719823,2.87482923,5.34506435,0.06619630,0.75904448,1.88278941,0.00000000
-5.98199100,7.83580843,2.92858314,5.36843599,0.06561138,0.74685320,1.88619057,0.00000000
-5.97598799,7.84429925,2.97671293,5.37614767,0.06485596,0.73414007,1.88469089,0.00000000
-5.96998499,7.83357437,3.01870735,5.36900225,0.06396731,0.72105120,1.87860539,0.00000000
-5.96398199,7.80483095,3.05413493,5.34801684,0.06298528,0.70775135,1.86832169,0.00000000
-5.95797899,7.75948972,3.08264152,5.31436999,0.06195079,0.69441635,1.85428048,0.00000000
-5.95197599,7.69912405,3.10394842,5.26934767,0.06090426,0.68122553,1.83695583,0.00000000
-5.94597299,7.62539210,3.11785167,5.21429103,0.05988411,0.66835469,1.81683623,0.00000000
-5.93996998,7.53997586,3.12422305,5.15054878,0.05892544,0.65597016,1.79440753,0.00000000
-5.93396698,7.44453022,3.12301281,5.07943649,0.05805894,0.64422412,1.77013854,0.00000000
-5.92796398,7.34064413,3.11425421,5.00220457,0.05731001,0.63325153,1.74446997,0.00000000
-5.92196098,7.22981541,3.09806949,4.92001596,0.05669818,0.62316877,1.71780691,0.00000000
-5.91595798,7.11343906,3.07467671,4.83393402,0.05623691,0.61407390,1.69051520,0.00000000
-5.90995498,6.99280847,3.04439670,4.74492017,0.05593353,0.60604844,1.66292126,0.00000000
-5.90395198,6.86912759,3.00765928,4.65384014,0.05578968,0.59916026,1.63531505,0.00000000
-5.89794897,6.74353162,2.96500758,4.56147745,0.05580179,0.59346743,1.60795559,0.00000000
-5.89194597,6.61711290,2.91709973,4.46855183,0.05596193,0.58902237,1.58107810,0.00000000
-5.88594297,6.49094887,2.86470672,4.37574037,0.05625873,0.58587597,1.55490192,0.00000000
-5.87993997,6.36612825,2.80870595,4.28369904,0.05667835,0.58408126,1.52963833,0.00000000
-5.87393697,6.24377254,2.75006984,4.19308211,0.05720558,0.58369610,1.50549723,0.00000000
-5.86793397,6.12504997,2.68984924,4.10455763,0.05782480,0.58478470,1.48269212,0.00000000
-5.86193097,6.01117975,2.62915187,4.01881719,0.05852091,0.58741775,1.46144253,0.00000000
-5.85592796,5.90342570,2.56911627,3.93657907,0.05928003,0.59167093,1.44197365,0.00000000
-5.84992496,5.80307883,2.51088190,3.85858420,0.06009014,0.59762200,1.42451301,0.00000000
-5.84392196,5.71142966,2.45555661,3.78558531,0.06094147,0.60534647,1.40928417,0.00000000
-5.83791896,5.62973205,2.40418293,3.71832996,0.06182661,0.61491220,1.39649804,0.00000000
-5.83191596,5.55916096,2.35770443,3.65753907,0.06274063,0.62637324,1.38634214,0.00000000
-5.82591296,5.50076720,2.31693409,3.60388259,0.06368083,0.63976345,1.37896888,0.00000000
-5.81990995,5.45543274,2.28252604,3.55795472,0.06464649,0.65509013,1.37448355,0.00000000
-5.81390695,5.42383016,2.25495239,3.52025072,0.06563850,0.67232838,1.37293326,0.00000000
-5.80790395,5.40638970,2.23448630,3.49114784,0.06665894,0.69141654,1.37429763,0.00000000
-5.80190095,5.40327696,2.22119252,3.47089202,0.06771070,0.71225299,1.37848236,0.00000000
-5.79589795,5.41438366,2.21492586,3.45959224,0.06879711,0.73469489,1.38531633,0.00000000
-5.78989495,5.43933293,2.21533820,3.45722336,0.06992168,0.75855873,1.39455282,0.00000000
-5.78389195,5.47749973,2.22189358,3.46363783,0.07108791,0.78362299,1.40587533,0.00000000
-5.77788894,5.52804572,2.23389112,3.47858600,0.07229928,0.80963288,1.41890770,0.00000000
-5.77188594,5.58996711,2.25049463,3.50174395,0.07355928,0.83630676,1.43322862,0.00000000
-5.76588294,5.66215277,2.27076763,3.53274699,0.07487157,0.86334426,1.44838962,0.00000000
-5.75987994,5.74344917,2.29371226,3.57122691,0.07624021,0.89043544,1.46393587,0.00000000
-5.75387694,5.83272817,2.31831015,3.61684989,0.07766986,0.91727073,1.47942858,0.00000000
-5.74787394,5.92895315,2.34356339,3.66935253,0.07916609,0.94355103,1.49446784,0.00000000
-5.74187094,6.03123903,2.36853367,3.72857288,0.08073545,0.96899743,1.50871451,0.00000000
-5.73586793,6.13890202,2.39237772,3.79447389,0.08238564,0.99336017,1.52190987,0.00000000
-5.72986493,6.25149518,2.41437743,3.86715686,0.08412537,1.01642615,1.53389168,0.00000000
-5.72386193,6.36882716,2.43396318,3.94686316,0.08596414,1.03802478,1.54460567,0.00000000
-5.71785893,6.49096194,2.45072959,4.03396318,0.08791187,1.05803175,1.55411164,0.00000000
-5.71185593,6.61819892,2.46444274,4.12893233,0.08997828,1.07637051,1.56258343,0.00000000
-5.70585293,6.75103376,2.47503901,4.23231458,0.09217218,1.09301149,1.57030274,0.00000000
-5.69984992,6.89010172,2.48261544,4.34467519,0.09450059,1.10796891,1.57764684,0.00000000
-5.69384692,7.03610619,2.48741260,4.46654476,0.09696781,1.12129556,1.58507065,0.00000000
-5.68784392,7.18973634,2.48979069,4.59835757,0.09957447,1.13307573,1.59308394,0.00000000
-5.68184092,7.35157840,2.49020042,4.74038758,0.10231657,1.14341662,1.60222484,0.00000000
-5.67583792,7.52202570,2.48915017,4.89268594,0.10518465,1.15243882,1.61303086,0.00000000
-5.66983492,7.70119290,2.48717112,5.05502374,0.10816315,1.16026641,1.62600889,0.00000000
-5.66383192,7.88883951,2.48478227,5.22684372,0.11122989,1.16701700,1.64160573,0.00000000
-5.65782891,8.08430784,2.48245696,5.40722431,0.11435594,1.17279261,1.66018067,0.00000000
-5.65182591,8.28647935,2.48059272,5.59485890,0.11750565,1.17767158,1.68198142,0.00000000
-5.64582291,8.49375307,2.47948576,5.78805239,0.12063710,1.18170228,1.70712488,0.00000000
-5.63981991,8.70404818,2.47931134,5.98473627,0.12370279,1.18489876,1.73558364,0.00000000
-5.63381691,8.91483188,2.48011102,6.18250283,0.12665068,1.18723873,1.76717894,0.00000000
-5.62781391,9.12317244,2.48178719,6.37865774,0.12942544,1.18866404,1.80158082,0.00000000
-5.62181091,9.32581594,2.48410509,6.57028965,0.13196996,1.18908365,1.83831526,0.00000000
-5.61580790,9.51928396,2.48670227,6.75435440,0.13422701,1.18837894,1.87677839,0.00000000
-5.60980490,9.69998868,2.48910481,6.92777085,0.13614101,1.18641115,1.91625715,0.00000000
-5.60380190,9.86436052,2.49074955,7.08752447,0.13765977,1.18303068,1.95595553,0.00000000
-5.59779890,10.00898319,2.49101130,7.23077461,0.13873630,1.17808760,1.99502544,0.00000000
-5.59179590,10.13073021,2.48923357,7.35496099,0.13933032,1.17144293,2.03260080,0.00000000
-5.58579290,10.22689699,2.48476158,7.45790485,0.13940981,1.16298017,2.06783349,0.00000000
-5.57978989,10.29532263,2.47697585,7.53790038,0.13895209,1.15261635,2.09992948,0.00000000
-5.57378689,10.33449583,2.46532498,7.59379233,0.13794479,1.14031200,2.12818363,0.00000000
-5.56778389,10.34363993,2.44935603,7.62503621,0.13638640,1.12607969,2.15201158,0.00000000
-5.56178089,10.32277299,2.42874120,7.63173808,0.13428654,1.10999036,2.17097722,0.00000000
-5.55577789,10.27273980,2.40329967,7.61467187,0.13166579,1.09217735,2.18481444,0.00000000
-5.54977489,10.19521357,2.37301344,7.57527275,0.12855530,1.07283773,2.19344214,0.00000000
-5.54377189,10.09266681,2.33803668,7.51560638,0.12499600,1.05223076,2.19697157,0.00000000
-5.53776888,9.96831164,2.29869795,7.43831457,0.12103755,1.03067369,2.19570561,0.00000000
-5.53176588,9.82601146,2.25549522,7.34653901,0.11673705,1.00853489,2.19012979,0.00000000
-5.52576288,9.67016685,2.20908385,7.24382553,0.11215758,0.98622454,2.18089531,0.00000000
-5.51975988,9.50557985,2.16025790,7.13401238,0.10736655,0.96418354,2.16879459,0.00000000
-5.51375688,9.33730176,2.10992548,7.02110654,0.10243405,0.94287076,2.15473038,0.00000000
-5.50775388,9.17047007,2.05907914,6.90915277,0.09743113,0.92274949,2.13967963,0.00000000
