energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,6.30097166,0.31550182,0.04842215,0.11661576,0.10581509,0.41728469,0.57668973,4.59531404
-5.99399700,6.49927639,0.32716330,0.05026084,0.12028154,0.10937002,0.43205734,0.59773142,4.73280386
-5.98799400,6.66575906,0.33697480,0.05183351,0.12334386,0.11238667,0.44456308,0.61542253,4.84788671
-5.98199100,6.79592018,0.34473755,0.05310830,0.12576556,0.11478633,0.45456712,0.62940721,4.93711807
-5.97598799,6.88616500,0.35029120,0.05405914,0.12752640,0.11650456,0.46188965,0.63940098,4.99773898
-5.96998499,6.93388199,0.35351908,0.05466659,0.12862389,0.11749286,0.46641146,0.64519993,5.02772906
-5.96398199,6.93749404,0.35435207,0.05491846,0.12907325,0.11771985,0.46807756,0.64668741,5.02584020
-5.95797899,6.89647974,0.35277094,0.05481015,0.12890690,0.11717190,0.46689855,0.64383776,4.99160890
-5.95197599,6.81136282,0.34880694,0.05434474,0.12817307,0.11585324,0.46294971,0.63671699,4.92534593
-5.94597299,6.68366972,0.34254077,0.05353291,0.12693386,0.11378545,0.45636780,0.62548038,4.82810347
-5.93996998,6.51585673,0.33409984,0.05239248,0.12526274,0.11100643,0.44734557,0.61036700,4.70162056
-5.93396698,6.31120944,0.32365405,0.05094777,0.12324151,0.10756887,0.43612447,0.59169151,4.54824900
-5.92796398,6.07371873,0.31141021,0.04922879,0.12095697,0.10353824,0.42298567,0.56983363,4.37086266
-5.92196098,5.80793859,0.29760538,0.04727016,0.11849739,0.09899048,0.40823979,0.54522558,4.17275390
-5.91595798,5.51883160,0.28249954,0.04510999,0.11594896,0.09400937,0.39221607,0.51833836,3.95752139
-5.90995498,5.21160879,0.26636772,0.04278865,0.11339239,0.08868385,0.37525109,0.48966722,3.72895397
-5.90395198,4.89157018,0.24949207,0.04034753,0.11089971,0.08310521,0.35767783,0.45971705,3.49091502
-5.89794897,4.56395241,0.23215425,0.03782780,0.10853166,0.07736446,0.33981546,0.42898831,3.24723194
-5.89194597,4.23378897,0.21462824,0.03526928,0.10633549,0.07154978,0.32196018,0.39796407,3.00159461
-5.88594297,3.90578797,0.19717397,0.03270941,0.10434351,0.06574436,0.30437760,0.36709846,2.75746627
-5.87993997,3.58423093,0.18003202,0.03018241,0.10257229,0.06002447,0.28729686,0.33680718,2.51800929
-5.87393697,3.27289525,0.16341931,0.02771859,0.10102263,0.05445798,0.27090666,0.30746000,2.28602771
-5.86793397,2.97500129,0.14752611,0.02534382,0.09968025,0.04910328,0.25535325,0.27937567,2.06392729
-5.86193097,2.69318420,0.13251420,0.02307929,0.09851713,0.04400863,0.24074033,0.25281899,1.85369300
-5.85592796,2.42948905,0.11851617,0.02094139,0.09749347,0.03921187,0.22713079,0.22800015,1.65688315
-5.84992496,2.18538716,0.10563583,0.01894181,0.09656014,0.03474061,0.21454997,0.20507597,1.47463854
-5.84392196,1.96181049,0.09394942,0.01708775,0.09566148,0.03061262,0.20299029,0.18415285,1.30770462
-5.83791896,1.75920042,0.08350762,0.01538235,0.09473831,0.02683661,0.19241672,0.16529108,1.15646398
-5.83191596,1.57756711,0.07433801,0.01382512,0.09373105,0.02341318,0.18277296,0.14851009,1.02097666
-5.82591296,1.41655533,0.06644791,0.01241255,0.09258268,0.02033587,0.17398783,0.13379434,0.90102537
-5.81990995,1.27551287,0.05982730,0.01113865,0.09124160,0.01759241,0.16598153,0.12109936,0.79616293
-5.81390695,1.15355814,0.05445163,0.00999557,0.08966408,0.01516588,0.15867161,0.11035780,0.70575967
-5.80790395,1.04964375,0.05028454,0.00897424,0.08781633,0.01303595,0.15197819,0.10148500,0.62904841
-5.80190095,0.96261389,0.04728013,0.00806484,0.08567604,0.01117995,0.14582835,0.09438397,0.56516565
-5.79589795,0.89125355,0.04538491,0.00725739,0.08323345,0.00957394,0.14015964,0.08894962,0.51318750
-5.78989495,0.83432883,0.04453922,0.00654213,0.08049186,0.00819361,0.13492250,0.08507211,0.47215967
-5.78389195,0.79061779,0.04467828,0.00590992,0.07746762,0.00701502,0.13008169,0.08263936,0.44112124
-5.77788894,0.75893229,0.04573275,0.00535255,0.07418973,0.00601523,0.12561681,0.08153868,0.41912231
-5.77188594,0.73813150,0.04762899,0.00486294,0.07069897,0.00517281,0.12152207,0.08165773,0.40523597
-5.76588294,0.72712849,0.05028900,0.00443534,0.06704680,0.00446816,0.11780532,0.08288485,0.39856531
-5.75987994,0.72489133,0.05363024,0.00406546,0.06329407,0.00388377,0.11448679,0.08510901,0.39824646
-5.75387694,0.73044046,0.05756538,0.00375052,0.05950957,0.00340434,0.11159751,0.08821948,0.40344877
-5.74787394,0.74284402,0.06200211,0.00348930,0.05576864,0.00301683,0.10917773,0.09210552,0.41337312
-5.74187094,0.76121284,0.06684317,0.00328215,0.05215183,0.00271045,0.10727550,0.09665622,0.42724945
-5.73586793,0.78469647,0.07198659,0.00313103,0.04874374,0.00247661,0.10594550,0.10176052,0.44433459
-5.72986493,0.81248146,0.07732630,0.00303946,0.04563198,0.00230879,0.10524828,0.10730781,0.46391095
