energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Na_s_up,Se_s_up,Se_p_up
-6.00000000,3.22414409,0.00581882,0.65249442,1.02379766,1.11356981,0.17790715,0.06263086,1.09580326
-5.99399700,3.08950826,0.00555275,0.60841967,0.98027059,1.05345851,0.17576610,0.05993683,1.07128575
-5.98799400,2.96435246,0.00531382,0.56689465,0.94015855,0.99674601,0.17363950,0.05755238,1.04917106
-5.98199100,2.84948826,0.00510178,0.52823179,0.90380305,0.94385064,0.17152295,0.05549250,1.02955114
-5.97598799,2.74547638,0.00491620,0.49267972,0.87145823,0.89510541,0.16940559,0.05376572,1.01244831
-5.96998499,2.65264488,0.00475648,0.46042416,0.84329455,0.85075943,0.16727147,0.05237463,0.99782518
-5.96398199,2.57111203,0.00462192,0.43159016,0.81940440,0.81098105,0.16510137,0.05131646,0.98559569
-5.95797899,2.50081228,0.00451172,0.40624541,0.79980906,0.77586247,0.16287464,0.05058367,0.97563657
-5.95197599,2.44152360,0.00442498,0.38440456,0.78446661,0.74542551,0.16057105,0.05016459,0.96779850
-5.94597299,2.39289494,0.00436079,0.36603411,0.77328025,0.71962813,0.15817264,0.05004408,0.96191653
-5.93996998,2.35447244,0.00431817,0.35105769,0.76610683,0.69837135,0.15566526,0.05020413,0.95781914
-5.93396698,2.32572375,0.00429611,0.33936175,0.76276506,0.68150646,0.15303992,0.05062447,0.95533587
-5.92796398,2.30605974,0.00429358,0.33080112,0.76304337,0.66884221,0.15029372,0.05128312,0.95430315
-5.92196098,2.29485334,0.00430951,0.32520472,0.76670718,0.66015184,0.14743054,0.05215693,0.95456849
-5.91595798,2.29145560,0.00434280,0.32238100,0.77350557,0.65517997,0.14446119,0.05322212,0.95599316
-5.90995498,2.29520919,0.00439230,0.32212316,0.78317723,0.65364914,0.14140340,0.05445475,0.95845352
-5.90395198,2.30545960,0.00445679,0.32421407,0.79545587,0.65526608,0.13828131,0.05583117,0.96184140
-5.89794897,2.32156455,0.00453499,0.32843082,0.81007498,0.65972772,0.13512490,0.05732850,0.96606386
-5.89194597,2.34290210,0.00462556,0.33454881,0.82677209,0.66672681,0.13196908,0.05892497,0.97104265
-5.88594297,2.36887776,0.00472708,0.34234538,0.84529253,0.67595722,0.12885277,0.06060038,0.97671376
-5.87993997,2.39893099,0.00483808,0.35160294,0.86539269,0.68711890,0.12581793,0.06233632,0.98302719
-5.87393697,2.43254123,0.00495701,0.36211154,0.88684286,0.69992237,0.12290859,0.06411647,0.98994719
-5.86793397,2.46923339,0.00508233,0.37367078,0.90942948,0.71409280,0.12016996,0.06592675,0.99745307
-5.86193097,2.50858297,0.00521249,0.38609132,0.93295691,0.72937351,0.11764767,0.06775535,1.00554035
-5.85592796,2.55022035,0.00534600,0.39919562,0.95724859,0.74552892,0.11538712,0.06959271,1.01422239
-5.84992496,2.59383419,0.00548144,0.41281831,0.98214760,0.76234688,0.11343298,0.07143135,1.02353207
-5.84392196,2.63917367,0.00561753,0.42680609,1.00751660,0.77964035,0.11182878,0.07326555,1.03352343
-5.83791896,2.68604929,0.00575320,0.44101720,1.03323719,0.79724855,0.11061663,0.07509099,1.04427297
-5.83191596,2.73433226,0.00588759,0.45532086,1.05920882,0.81503750,0.10983699,0.07690425,1.05588027
