energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Te_p_up,Te_d_up
-6.00000000,1.19004395,0.21475302,0.48837446,0.00390807,0.20517458,0.23332051,0.29858378,0.17243547,0.00000000
-5.99399700,1.23961641,0.22876844,0.51375118,0.00418963,0.20874376,0.24610592,0.30288406,0.18187942,0.00000000
-5.98799400,1.28475760,0.24255136,0.53706190,0.00446983,0.21151117,0.25847149,0.30606632,0.19084287,0.00000000
-5.98199100,1.32481059,0.25603982,0.55790856,0.00474726,0.21342921,0.27034599,0.30808473,0.19923442,0.00000000
-5.97598799,1.35921997,0.26920117,0.57593489,0.00502095,0.21446446,0.28168516,0.30891436,0.20698130,0.00000000
-5.96998499,1.38755556,0.28203622,0.59083916,0.00529045,0.21459992,0.29247580,0.30855368,0.21403318,0.00000000
-5.96398199,1.40953212,0.29458186,0.60238537,0.00555589,0.21383663,0.30273852,0.30702641,0.22036510,0.00000000
-5.95797899,1.42502392,0.30691215,0.61041225,0.00581795,0.21219472,0.31252909,0.30438245,0.22597940,0.00000000
-5.95197599,1.43407311,0.31913735,0.61483954,0.00607787,0.20971378,0.32193789,0.30069776,0.23090654,0.00000000
-5.94597299,1.43689116,0.33140088,0.61567125,0.00633740,0.20645241,0.33108748,0.29607314,0.23520446,0.00000000
-5.93996998,1.43385293,0.34387409,0.61299564,0.00659867,0.20248693,0.34012819,0.29063192,0.23895665,0.00000000
-5.93396698,1.42548351,0.35674895,0.60698179,0.00686410,0.19790944,0.34923176,0.28451652,0.24226878,0.00000000
-5.92796398,1.41243808,0.37022879,0.59787298,0.00713619,0.19282498,0.35858329,0.27788410,0.24526407,0.00000000
-5.92196098,1.39547564,0.38451743,0.58597714,0.00741740,0.18734827,0.36837158,0.27090138,0.24807752,0.00000000
-5.91595798,1.37542787,0.39980714,0.57165473,0.00770991,0.18159981,0.37877863,0.26373884,0.25084925,0.00000000
-5.90995498,1.35316438,0.41626604,0.55530484,0.00801541,0.17570180,0.38996833,0.25656473,0.25371729,0.00000000
-5.90395198,1.32955625,0.43402536,0.53734990,0.00833494,0.16977391,0.40207531,0.24953886,0.25681010,0.00000000
-5.89794897,1.30543943,0.45316741,0.51822003,0.00866867,0.16392916,0.41519429,0.24280681,0.26023923,0.00000000
-5.89194597,1.28158008,0.47371493,0.49833755,0.00901578,0.15827005,0.42937056,0.23649460,0.26409255,0.00000000
-5.88594297,1.25864339,0.49562227,0.47810257,0.00937434,0.15288526,0.44459237,0.23070426,0.26842836,0.00000000
-5.87993997,1.23716763,0.51876928,0.45788008,0.00974127,0.14784694,0.46078546,0.22551036,0.27327073,0.00000000
-5.87393697,1.21754462,0.54295813,0.43798940,0.01011230,0.14320882,0.47781036,0.22095794,0.27860639,0.00000000
-5.86793397,1.20000761,0.56791357,0.41869613,0.01048209,0.13900518,0.49546269,0.21706168,0.28438331,0.00000000
-5.86193097,1.18462726,0.59328680,0.40020700,0.01084430,0.13525080,0.51347663,0.21380660,0.29051122,0.00000000
-5.85592796,1.17131573,0.61866289,0.38266780,0.01119179,0.13194184,0.53153148,0.21115020,0.29686391,0.00000000
-5.84992496,1.15983865,0.64357164,0.36616408,0.01151689,0.12905760,0.54926134,0.20902590,0.30328347,0.00000000
-5.84392196,1.14983434,0.66750147,0.35072478,0.01181160,0.12656318,0.56626727,0.20734775,0.30958610,0.00000000
-5.83791896,1.14083924,0.68991586,0.33632810,0.01206799,0.12441280,0.58213174,0.20601617,0.31556938,0.00000000
-5.83191596,1.13231808,0.71027159,0.32290942,0.01227842,0.12255367,0.59643463,0.20492439,0.32102058,0.00000000
-5.82591296,1.12369742,0.72803804,0.31037062,0.01243597,0.12093030,0.60877000,0.20396544,0.32572568,0.00000000
-5.81990995,1.11440071,0.74271670,0.29859031,0.01253467,0.11948893,0.61876301,0.20303927,0.32947869,0.00000000
-5.81390695,1.10388320,0.75385983,0.28743434,0.01256979,0.11818202,0.62608622,0.20205980,0.33209076,0.00000000
-5.80790395,1.09166504,0.76108772,0.27676610,0.01253813,0.11697245,0.63047427,0.20096142,0.33339871,0.00000000
-5.80190095,1.07736092,0.76410341,0.26645606,0.01243811,0.11583739,0.63173663,0.19970482,0.33327259,0.00000000
-5.79589795,1.06070504,0.76270441,0.25639017,0.01226996,0.11477157,0.62976745,0.19828184,0.33162186,0.00000000
-5.78989495,1.04157025,0.75679088,0.24647680,0.01203571,0.11378983,0.62455233,0.19671906,0.32840000,0.00000000
-5.78389195,1.01998056,0.74636976,0.23665185,0.01173920,0.11292886,0.61617157,0.19508002,0.32360729,0.00000000
-5.77788894,0.99611673,0.73155493,0.22688212,0.01138594,0.11224796,0.60479975,0.19346595,0.31729167,0.00000000
-5.77188594,0.97031460,0.71256326,0.21716671,0.01098301,0.11182885,0.59070172,0.19201490,0.30954769,0.00000000
-5.76588294,0.94305665,0.68970697,0.20753662,0.01053878,0.11177448,0.57422519,0.19089933,0.30051362,0.00000000
-5.75987994,0.91495694,0.66338252,0.19805269,0.01006267,0.11220678,0.55579015,0.19032210,0.29036685,0.00000000
-5.75387694,0.88674046,0.63405683,0.18880202,0.00956487,0.11326352,0.53587571,0.19051101,0.27931780,0.00000000
-5.74787394,0.85921761,0.60225133,0.17989327,0.00905599,0.11509418,0.51500484,0.19171206,0.26760277,0.00000000
-5.74187094,0.83325502,0.56852470,0.17145089,0.00854675,0.11785509,0.49372762,0.19418147,0.25547578,0.00000000
-5.73586793,0.80974375,0.53345502,0.16360891,0.00804766,0.12170387,0.47260366,0.19817682,0.24320002,0.00000000
-5.72986493,0.78956610,0.49762216,0.15650428,0.00756871,0.12679332,0.45218439,0.20394741,0.23103913,0.00000000
-5.72386193,0.77356234,0.46159104,0.15027029,0.00711908,0.13326495,0.43299578,0.21172430,0.21924856,0.00000000
-5.71785893,0.76249832,0.42589642,0.14503014,0.00670692,0.14124241,0.41552215,0.22171005,0.20806757,0.00000000
-5.71185593,0.75703523,0.39102976,0.14089110,0.00633912,0.15082490,0.40019151,0.23406884,0.19771184,0.00000000
-5.70585293,0.75770239,0.35742853,0.13793932,0.00602117,0.16208088,0.38736297,0.24891696,0.18836722,0.00000000
-5.69984992,0.76487411,0.32546809,0.13623545,0.00575703,0.17504238,0.37731649,0.26631431,0.18018455,0.00000000
-5.69384692,0.77875119,0.29545645,0.13581137,0.00554909,0.18969998,0.37024534,0.28625703,0.17327586,0.00000000
-5.68784392,0.79934800,0.26763175,0.13666787,0.00539813,0.20599891,0.36625140,0.30867182,0.16771188,0.00000000
-5.68184092,0.82648530,0.24216236,0.13877363,0.00530333,0.22383634,0.36534336,0.33341208,0.16352107,0.00000000
-5.67583792,0.85978951,0.21914936,0.14206523,0.00526242,0.24306019,0.36743798,0.36025634,0.16068997,0.00000000
-5.66983492,0.89869833,0.19863118,0.14644848,0.00527170,0.26346957,0.37236420,0.38890902,0.15916495,0.00000000
-5.66383192,0.94247294,0.18058992,0.15180080,0.00532622,0.28481697,0.37987003,0.41900392,0.15885520,0.00000000
-5.65782891,0.99021640,0.16495906,0.15797468,0.00541999,0.30681228,0.38963207,0.45011021,0.15963680,0.00000000
-5.65182591,1.04089803,0.15163214,0.16480217,0.00554610,0.32912865,0.40126717,0.48174125,0.16135788,0.00000000
-5.64582291,1.09338306,0.14047201,0.17210020,0.00569701,0.35141007,0.41434620,0.51336571,0.16384444,0.00000000
-5.63981991,1.14646670,0.13132034,0.17967652,0.00586477,0.37328046,0.42840920,0.54442110,0.16690687,0.00000000
-5.63381691,1.19891168,0.12400703,0.18733626,0.00604123,0.39435408,0.44298159,0.57432899,0.17034683,0.00000000
-5.62781391,1.24948794,0.11835912,0.19488862,0.00621829,0.41424693,0.45759095,0.60251169,0.17396424,0.00000000
-5.62181091,1.29701318,0.11420917,0.20215371,0.00638816,0.43258855,0.47178370,0.62840964,0.17756427,0.00000000
-5.61580790,1.34039264,0.11140271,0.20896913,0.00654356,0.44903403,0.48514116,0.65149889,0.18096401,0.00000000
-5.60980490,1.37865669,0.10980466,0.21519602,0.00667794,0.46327550,0.49729439,0.67130803,0.18399862,0.00000000
-5.60380190,1.41099465,0.10930459,0.22072445,0.00678562,0.47505272,0.50793724,0.68743372,0.18652679,0.00000000
-5.59779890,1.43678336,0.10982073,0.22547777,0.00686198,0.48416229,0.51683708,0.69955426,0.18843530,0.00000000
-5.59179590,1.45560930,0.11130270,0.22941582,0.00690355,0.49046489,0.52384278,0.70744053,0.18964255,0.00000000
-5.58579290,1.46728309,0.11373293,0.23253671,0.00690807,0.49389044,0.52888958,0.71096376,0.19010092,0.00000000
-5.57978989,1.47184582,0.11712674,0.23487718,0.00687451,0.49444063,0.53200060,0.71009981,0.18979800,0.00000000
-5.57378689,1.46956662,0.12153132,0.23651143,0.00680308,0.49218884,0.53328483,0.70492969,0.18875652,0.00000000
-5.56778389,1.46093163,0.12702344,0.23754837,0.00669514,0.48727739,0.53293181,0.69563627,0.18703313,0.00000000
-5.56178089,1.44662468,0.13370625,0.23812749,0.00655311,0.47991207,0.53120297,0.68249733,0.18471613,0.00000000
-5.55577789,1.42750047,0.14170517,0.23841341,0.00638035,0.47035439,0.52842014,0.66587526,0.18192209,0.00000000
-5.54977489,1.40455143,0.15116318,0.23858934,0.00618097,0.45891170,0.52495167,0.64620384,0.17879184,0.00000000
-5.54377189,1.37886969,0.16223551,0.23884978,0.00595965,0.44592567,0.52119664,0.62397277,0.17548566,0.00000000
-5.53776888,1.35160582,0.17508421,0.23939268,0.00572147,0.43175973,0.51756805,0.59971050,0.17217825,0.00000000
-5.53176588,1.32392615,0.18987250,0.24041152,0.00547166,0.41678583,0.51447553,0.57396630,0.16905333,0.00000000
-5.52576288,1.29697057,0.20675936,0.24208750,0.00521544,0.40137138,0.51230846,0.54729227,0.16629844,0.00000000
