energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Te_p_up,Te_d_up
-6.00000000,3.62298657,0.54563065,2.28732933,0.02027939,0.06038380,0.16479762,0.53285988,0.92962362,0.00000000
-5.99399700,3.43864852,0.53335140,2.13795128,0.01912462,0.05842779,0.15724840,0.52184923,0.89987560,0.00000000
-5.98799400,3.26283713,0.52337027,1.99449519,0.01796332,0.05651819,0.14945729,0.51203900,0.87180565,0.00000000
-5.98199100,3.09785805,0.51584067,1.85860560,0.01680785,0.05468867,0.14155010,0.50368357,0.84591727,0.00000000
-5.97598799,2.94560747,0.51085968,1.73162784,0.01567038,0.05296985,0.13364958,0.49698708,0.82263466,0.00000000
-5.96998499,2.80752116,0.50845801,1.61458554,0.01456242,0.05138781,0.12587089,0.49209245,0.80228395,0.00000000
-5.96398199,2.68454090,0.50859241,1.50816978,0.01349444,0.04996285,0.11831776,0.48907266,0.78507852,0.00000000
-5.95797899,2.57709910,0.51114097,1.41273959,0.01247550,0.04870852,0.11107938,0.48792485,0.77110901,0.00000000
-5.95197599,2.48512203,0.51590179,1.32833336,0.01151306,0.04763104,0.10422803,0.48856761,0.76033857,0.00000000
-5.94597299,2.40805094,0.52259503,1.25468984,0.01061275,0.04672895,0.09781774,0.49084168,0.75260349,0.00000000
-5.93996998,2.34488001,0.53086854,1.19127789,0.00977833,0.04599329,0.09188370,0.49451397,0.74761931,0.00000000
-5.93396698,2.29420923,0.54030675,1.13733304,0.00901170,0.04540803,0.08644257,0.49928499,0.74499205,0.00000000
-5.92796398,2.25430984,0.55044269,1.09189955,0.00831295,0.04495082,0.08149358,0.50479921,0.74423401,0.00000000
-5.92196098,2.22319951,0.56077245,1.05387600,0.00768056,0.04459403,0.07702020,0.51065797,0.74478347,0.00000000
-5.91595798,2.19872396,0.57077166,1.02206269,0.00711155,0.04430608,0.07299244,0.51643439,0.74602739,0.00000000
-5.90995498,2.17864189,0.57991317,0.99520910,0.00660177,0.04405280,0.06936946,0.52168959,0.74732591,0.00000000
-5.90395198,2.16070967,0.58768520,0.97205980,0.00614617,0.04379895,0.06610238,0.52598943,0.74803777,0.00000000
-5.89794897,2.14276243,0.59360904,0.95139714,0.00573906,0.04350972,0.06313730,0.52892109,0.74754524,0.00000000
-5.89194597,2.12278879,0.59725568,0.93207969,0.00537442,0.04315221,0.06041806,0.53010864,0.74527764,0.00000000
-5.88594297,2.09899615,0.59826049,0.91307511,0.00504614,0.04269669,0.05788898,0.52922697,0.74073242,0.00000000
-5.87993997,2.06986477,0.59633539,0.89348679,0.00474829,0.04211779,0.05549721,0.52601352,0.73349278,0.00000000
-5.87393697,2.03418870,0.59127787,0.87257374,0.00447530,0.04139534,0.05319475,0.52027717,0.72324141,0.00000000
-5.86793397,1.99110276,0.58297672,0.84976348,0.00422217,0.04051506,0.05094000,0.51190409,0.70976958,0.00000000
-5.86193097,1.94009526,0.57141412,0.82465807,0.00398456,0.03946888,0.04869890,0.50086038,0.69298165,0.00000000
-5.85592796,1.88100668,0.55666412,0.79703358,0.00375891,0.03825508,0.04644557,0.48719136,0.67289481,0.00000000
-5.84992496,1.81401546,0.53888777,0.76683365,0.00354247,0.03687801,0.04416254,0.47101786,0.64963430,0.00000000
-5.84392196,1.73961223,0.51832511,0.73415796,0.00333333,0.03534774,0.04184054,0.45252955,0.62342469,0.00000000
