energy_ev,total_up,Bi_p_up,Bi_d_up,Cu_p_up,Cu_d_up,Se_s_up,Se_p_up
-6.00000000,4.15541879,0.44429741,0.00646955,1.54269724,2.85442384,0.00683358,1.20895712
-5.99399700,4.22599863,0.44555591,0.00665444,1.55652053,2.91428581,0.00666090,1.23009789
-5.98799400,4.30571217,0.44987352,0.00688937,1.57621513,2.97940627,0.00653920,1.25239380
-5.98199100,4.39472374,0.45746043,0.00717584,1.60179064,3.04987760,0.00646431,1.27573349
-5.97598799,4.49301396,0.46845798,0.00751440,1.63312380,3.12569336,0.00643146,1.29998515
-5.96998499,4.60036482,0.48293329,0.00790455,1.66995757,3.20673660,0.00643539,1.32499584
-5.96398199,4.71634586,0.50087535,0.00834468,1.71190190,3.29276844,0.00647058,1.35059038
-5.95797899,4.84030254,0.52219237,0.00883205,1.75843644,3.38341779,0.00653131,1.37656996
-5.95197599,4.97134818,0.54671087,0.00936272,1.80891534,3.47817300,0.00661188,1.40271086
-5.94597299,5.10836051,0.57417648,0.00993160,1.86257460,3.57637651,0.00670666,1.42876357
-5.93996998,5.24998433,0.60425664,0.01053249,1.91854217,3.67722332,0.00681028,1.45445278
-5.93396698,5.39464118,0.63654521,0.01115813,1.97585091,3.77976418,0.00691767,1.47947833
-5.92796398,5.54054696,0.67056920,0.01180035,2.03345471,3.88291407,0.00702416,1.50351766
-5.92196098,5.68573801,0.70579742,0.01245017,2.09024759,3.98546642,0.00712556,1.52622970
-5.91595798,5.82810560,0.74165103,0.01309804,2.14508559,4.08611323,0.00721814,1.54726045
-5.90995498,5.96543853,0.77751589,0.01373397,2.19681117,4.18347080,0.00729871,1.56624999
-5.90395198,6.09547291,0.81275630,0.01434784,2.24427946,4.27611057,0.00736458,1.58284101
-5.89794897,6.21594762,0.84673001,0.01492960,2.28638574,4.36259425,0.00741358,1.59668831
-5.89194597,6.32466380,0.87880386,0.01546953,2.32209320,4.44151198,0.00744398,1.60746910
-5.88594297,6.41954604,0.90836980,0.01595850,2.35046003,4.51152212,0.00745448,1.61489343
-5.87993997,6.49870293,0.93486065,0.01638820,2.37066497,4.57139114,0.00744420,1.61871438
-5.87393697,6.56048450,0.95776511,0.01675139,2.38203018,4.62003177,0.00741254,1.61873740
-5.86793397,6.60353389,0.97664156,0.01704206,2.38404051,4.65653789,0.00735923,1.61482830
-5.86193097,6.62683113,0.99113003,0.01725559,2.37635849,4.68021443,0.00728424,1.60691943
-5.85592796,6.62972681,1.00096199,0.01738889,2.35883424,4.69060090,0.00718775,1.59501367
-5.84992496,6.61196422,1.00596751,0.01744044,2.33150999,4.68748749,0.00707011,1.57918594
-5.84392196,6.57368882,1.00607960,0.01741032,2.29461890,4.67092292,0.00693188,1.55958218
-5.83791896,6.51544447,1.00133540,0.01730021,2.24857828,4.64121355,0.00677374,1.53641572
-5.83191596,6.43815673,0.99187429,0.01711326,2.19397747,4.59891392,0.00659657,1.50996117
-5.82591296,6.34310371,0.97793288,0.01685402,2.13156082,4.54480902,0.00640140,1.48054622
-5.81990995,6.23187591,0.95983717,0.01652828,2.06220654,4.47988915,0.00618946,1.44854166
-5.81390695,6.10632682,0.93799199,0.01614285,1.98690221,4.40531845,0.00596217,1.41434998
-5.80790395,5.96851619,0.91286829,0.01570541,1.90671794,4.32239857,0.00572115,1.37839331
-5.80190095,5.82064867,0.88498869,0.01522424,1.82277806,4.23252904,0.00546825,1.34110103
-5.79589795,5.66501011,0.85491176,0.01470802,1.73623263,4.13716595,0.00520553,1.30289768
-5.78989495,5.50390411,0.82321575,0.01416562,1.64822941,4.03778077,0.00493525,1.26419163
-5.78389195,5.33959129,0.79048226,0.01360585,1.55988755,3.93582081,0.00465987,1.22536499
-5.77788894,5.17423341,0.75728049,0.01303728,1.47227348,3.83267281,0.00438203,1.18676502
-5.77188594,5.00984415,0.72415268,0.01246810,1.38637990,3.72963090,0.00410450,1.14869728
-5.76588294,4.84824809,0.69160105,0.01190591,1.30310821,3.62787004,0.00383015,1.11142082
-5.75987994,4.69104900,0.66007697,0.01135766,1.22325480,3.52842539,0.00356189,1.07514514
-5.75387694,4.53960792,0.62997244,0.01082954,1.14750134,3.43217830,0.00330264,1.04002921
-5.74787394,4.39503131,0.60161421,0.01032695,1.07640911,3.33984882,0.00305529,1.00618216
-5.74187094,4.25816910,0.57526071,0.00985444,1.01041723,3.25199480,0.00282260,0.97366552
-5.73586793,4.12962199,0.55110167,0.00941576,0.94984456,3.16901699,0.00260720,0.94249686
-5.72986493,4.00975721,0.52926053,0.00901388,0.89489484,3.09116975,0.00241154,0.91265440
-5.72386193,3.89873156,0.50979916,0.00865107,0.84566486,3.01857649,0.00223784,0.88408248
-5.71785893,3.79652055,0.49272488,0.00832894,0.80215489,2.95124912,0.00208806,0.85669749
-5.71185593,3.70295212,0.47799918,0.00804857,0.76428109,2.88911053,0.00196389,0.83039413
-5.70585293,3.61774348,0.46554782,0.00781063,0.73188927,2.83201906,0.00186670,0.80505169
-5.69984992,3.54053963,0.45527179,0.00761545,0.70476943,2.77979409,0.00179760,0.78054025
-5.69384692,3.47095195,0.44705861,0.00746317,0.68267074,2.73224165,0.00175736,0.75672652
-5.68784392,3.40859550,0.44079349,0.00735384,0.66531624,2.68917921,0.00174643,0.73347930
-5.68184092,3.35312372,0.43636985,0.00728749,0.65241701,2.65045856,0.00176499,0.71067444
-5.67583792,3.30425912,0.43369874,0.00726427,0.64368535,2.61598615,0.00181289,0.68819914
-5.66983492,3.26181902,0.43271678,0.00728451,0.63884658,2.58573986,0.00188970,0.66595562
-5.66383192,3.22573530,0.43339225,0.00734872,0.63764920,2.55978179,0.00199471,0.64386404
-5.65782891,3.19606744,0.43572913,0.00745767,0.63987317,2.53826619,0.00212691,0.62186471
-5.65182591,3.17300830,0.43976893,0.00761237,0.64533609,2.52144243,0.00228506,0.59991944
-5.64582291,3.15688230,0.44559010,0.00781405,0.65389718,2.50965244,0.00246761,0.57801222
-5.63981991,3.14813596,0.45330534,0.00806409,0.66545893,2.50332272,0.00267281,0.55614905
-5.63381691,3.14732102,0.46305657,0.00836397,0.67996656,2.50295092,0.00289863,0.53435706
-5.62781391,3.15507053,0.47500805,0.00871511,0.69740505,2.50908723,0.00314280,0.51268294
