energy_ev,total_up,total_down,In_p_up,In_p_down,In_d_up,In_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,1.08623853,-1.08623854,0.03582590,-0.03582590,0.00247496,-0.00247496,0.55877392,-0.55877392,0.43851938,-0.43851938,0.01107660,-0.01107660,0.63922282,-0.63922282
-5.99399700,1.04932670,-1.04932670,0.03474709,-0.03474709,0.00254693,-0.00254693,0.53068099,-0.53068099,0.42441286,-0.42441286,0.01200122,-0.01200122,0.61710546,-0.61710546
-5.98799400,1.02771668,-1.02771668,0.03421234,-0.03421234,0.00265701,-0.00265701,0.51102099,-0.51102099,0.41609812,-0.41609812,0.01300031,-0.01300031,0.60400456,-0.60400456
-5.98199100,1.02073271,-1.02073271,0.03418945,-0.03418945,0.00280420,-0.00280420,0.49948033,-0.49948033,0.41327820,-0.41327820,0.01406001,-0.01406001,0.59957237,-0.59957237
-5.97598799,1.02747364,-1.02747364,0.03464052,-0.03464052,0.00298685,-0.00298685,0.49563168,-0.49563168,0.41556752,-0.41556752,0.01516409,-0.01516409,0.60332316,-0.60332316
-5.96998499,1.04683698,-1.04683698,0.03552279,-0.03552279,0.00320264,-0.00320264,0.49894604,-0.49894604,0.42250309,-0.42250309,0.01629421,-0.01629421,0.61464721,-0.61464721
-5.96398199,1.07754521,-1.07754521,0.03678956,-0.03678956,0.00344861,-0.00344861,0.50880551,-0.50880551,0.43355662,-0.43355661,0.01743032,-0.01743032,0.63282616,-0.63282616
-5.95797899,1.11817400,-1.11817400,0.03839105,-0.03839105,0.00372116,-0.00372116,0.52451651,-0.52451651,0.44814749,-0.44814749,0.01855106,-0.01855106,0.65704943,-0.65704943
-5.95197599,1.16718203,-1.16718203,0.04027535,-0.04027535,0.00401614,-0.00401614,0.54532358,-0.54532358,0.46565628,-0.46565628,0.01963434,-0.01963434,0.68643159,-0.68643159
-5.94597299,1.22294228,-1.22294228,0.04238936,-0.04238936,0.00432886,-0.00432886,0.57042357,-0.57042356,0.48543868,-0.48543868,0.02065788,-0.02065788,0.72003057,-0.72003057
-5.93996998,1.28377449,-1.28377449,0.04467963,-0.04467963,0.00465421,-0.00465421,0.59898022,-0.59898022,0.50683963,-0.50683963,0.02159987,-0.02159987,0.75686659,-0.75686659
-5.93396698,1.34797845,-1.34797845,0.04709334,-0.04709334,0.00498672,-0.00498672,0.63013919,-0.63013918,0.52920752,-0.52920751,0.02243958,-0.02243958,0.79594156,-0.79594156
-5.92796398,1.41386766,-1.41386765,0.04957913,-0.04957913,0.00532068,-0.00532068,0.66304319,-0.66304319,0.55190805,-0.55190805,0.02315801,-0.02315801,0.83625880,-0.83625880
-5.92196098,1.47980279,-1.47980279,0.05208796,-0.05208796,0.00565027,-0.00565027,0.69684734,-0.69684733,0.57433770,-0.57433770,0.02373845,-0.02373845,0.87684278,-0.87684278
-5.91595798,1.54422439,-1.54422438,0.05457385,-0.05457385,0.00596968,-0.00596968,0.73073417,-0.73073417,0.59593631,-0.59593630,0.02416704,-0.02416704,0.91675841,-0.91675840
-5.90995498,1.60568378,-1.60568378,0.05699456,-0.05699456,0.00627325,-0.00627325,0.76392836,-0.76392835,0.61619860,-0.61619860,0.02443320,-0.02443320,0.95512952,-0.95512951
-5.90395198,1.66287169,-1.66287169,0.05931219,-0.05931219,0.00655564,-0.00655564,0.79571045,-0.79571045,0.63468435,-0.63468435,0.02452996,-0.02452996,0.99115607,-0.99115607
-5.89794897,1.71464336,-1.71464336,0.06149363,-0.06149363,0.00681190,-0.00681190,0.82542949,-0.82542949,0.65102678,-0.65102678,0.02445419,-0.02445419,1.02412953,-1.02412953
-5.89194597,1.76003966,-1.76003966,0.06351083,-0.06351083,0.00703767,-0.00703767,0.85251389,-0.85251389,0.66493911,-0.66493911,0.02420664,-0.02420664,1.05344593,-1.05344593
-5.88594297,1.79830319,-1.79830319,0.06534102,-0.06534102,0.00722924,-0.00722924,0.87648040,-0.87648040,0.67621893,-0.67621893,0.02379195,-0.02379195,1.07861617,-1.07861617
-5.87993997,1.82888906,-1.82888906,0.06696673,-0.06696672,0.00738366,-0.00738366,0.89694069,-0.89694069,0.68475035,-0.68475035,0.02321838,-0.02321838,1.09927326,-1.09927326
-5.87393697,1.85146971,-1.85146971,0.06837558,-0.06837558,0.00749881,-0.00749881,0.91360532,-0.91360532,0.69050382,-0.69050382,0.02249757,-0.02249757,1.11517616,-1.11517615
-5.86793397,1.86593386,-1.86593386,0.06956012,-0.06956012,0.00757343,-0.00757343,0.92628506,-0.92628506,0.69353378,-0.69353378,0.02164406,-0.02164406,1.12621008,-1.12621008
-5.86193097,1.87237949,-1.87237949,0.07051737,-0.07051737,0.00760715,-0.00760715,0.93488937,-0.93488937,0.69397404,-0.69397404,0.02067484,-0.02067484,1.13238345,-1.13238345
-5.85592796,1.87110137,-1.87110137,0.07124837,-0.07124837,0.00760046,-0.00760046,0.93942238,-0.93942238,0.69203139,-0.69203139,0.01960870,-0.01960871,1.13382145,-1.13382145
-5.84992496,1.86257361,-1.86257361,0.07175763,-0.07175763,0.00755467,-0.00755467,0.93997632,-0.93997632,0.68797743,-0.68797743,0.01846572,-0.01846572,1.13075670,-1.13075670
-5.84392196,1.84742809,-1.84742809,0.07205257,-0.07205257,0.00747184,-0.00747184,0.93672306,-0.93672306,0.68213922,-0.68213922,0.01726654,-0.01726654,1.12351732,-1.12351732
