energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Se_s_up,Se_p_up
-6.00000000,4.50000808,0.07409613,1.08493654,1.60774900,1.20259241,0.04483596,0.55759273
-5.99399700,4.54391017,0.07573789,1.09503682,1.61991371,1.21875159,0.04510814,0.56245380
-5.98799400,4.56112820,0.07700711,1.09857005,1.62203872,1.22814433,0.04510345,0.56408987
-5.98199100,4.55189500,0.07789979,1.09560640,1.61424010,1.23080795,0.04482770,0.56252184
-5.97598799,4.51700766,0.07841966,1.08635317,1.59684581,1.22692138,0.04429221,0.55784127
-5.96998499,4.45778771,0.07857780,1.07114481,1.57038069,1.21679508,0.04351333,0.55020571
-5.96398199,4.37602351,0.07839192,1.05042859,1.53554474,1.20085640,0.04251186,0.53983180
-5.95797899,4.27389805,0.07788555,1.02474662,1.49318578,1.17963122,0.04131221,0.52698672
-5.95197599,4.15390588,0.07708698,0.99471525,1.44426799,1.15372300,0.03994161,0.51197827
-5.94597299,4.01876383,0.07602816,0.96100291,1.38983785,1.12379021,0.03842916,0.49514418
-5.93996998,3.87131959,0.07474354,0.92430748,1.33098919,1.09052355,0.03680490,0.47684121
-5.93396698,3.71446293,0.07326903,0.88533419,1.26882901,1.05462389,0.03509898,0.45743446
-5.92796398,3.55104321,0.07164093,0.84477530,1.20444557,1.01678216,0.03334079,0.43728745
-5.92196098,3.38379679,0.06989514,0.80329200,1.13887995,0.97766193,0.03155828,0.41675329
-5.91595798,3.21528685,0.06806644,0.76149963,1.07310230,0.93788538,0.02977740,0.39616726
-5.90995498,3.04785727,0.06618805,0.71995629,1.00799320,0.89802310,0.02802159,0.37584096
-5.90395198,2.88360142,0.06429133,0.67915523,0.94433083,0.85858779,0.02631153,0.35605820
-5.89794897,2.72434551,0.06240573,0.63952096,0.88278357,0.82003175,0.02466499,0.33707245
-5.89194597,2.57164565,0.06055886,0.60140878,0.82390805,0.78274788,0.02309675,0.31910587
-5.88594297,2.42679662,0.05877670,0.56510738,0.76815193,0.74707351,0.02161875,0.30234952
-5.87993997,2.29085029,0.05708385,0.53084389,0.71586060,0.71329644,0.02024022,0.28696474
-5.87393697,2.16464076,0.05550392,0.49879077,0.66728700,0.68166245,0.01896795,0.27308516
-5.86793397,2.04881369,0.05405975,0.46907387,0.62260343,0.65238333,0.01780659,0.26081911
-5.86193097,1.94385695,0.05277365,0.44178089,0.58191448,0.62564477,0.01675893,0.25025214
-5.85592796,1.85013014,0.05166752,0.41696974,0.54527004,0.60161345,0.01582622,0.24144949
-5.84992496,1.76789100,0.05076279,0.39467612,0.51267775,0.58044260,0.01500846,0.23445800
-5.84392196,1.69731701,0.05008026,0.37492009,0.48411400,0.56227579,0.01430465,0.22930769
-5.83791896,1.63852128,0.04963974,0.35771113,0.45953325,0.54724868,0.01371297,0.22601266
-5.83191596,1.59156225,0.04945954,0.34305172,0.43887524,0.53548858,0.01323097,0.22457145
-5.82591296,1.55644736,0.04955589,0.33093920,0.42206994,0.52711213,0.01285566,0.22496683
-5.81990995,1.53313116,0.04994217,0.32136633,0.40904050,0.52222111,0.01258362,0.22716526
-5.81390695,1.52150901,0.05062820,0.31432032,0.39970417,0.52089698,0.01241097,0.23111599
-5.80790395,1.52140740,0.05161945,0.30978094,0.39397164,0.52319447,0.01233344,0.23675024
-5.80190095,1.53257248,0.05291631,0.30771786,0.39174502,0.52913481,0.01234635,0.24398032
-5.79589795,1.55465801,0.05451352,0.30808744,0.39291507,0.53869894,0.01244456,0.25269921
-5.78989495,1.58721424,0.05639962,0.31082954,0.39735780,0.55182146,0.01262252,0.26278048
-5.78389195,1.62967872,0.05855668,0.31586434,0.40493109,0.56838541,0.01287419,0.27407881
-5.77788894,1.68137016,0.06096018,0.32308966,0.41547140,0.58821853,0.01319312,0.28643116
-5.77188594,1.74148577,0.06357909,0.33237880,0.42879107,0.61109103,0.01357242,0.29965856
-5.76588294,1.80910274,0.06637624,0.34357917,0.44467622,0.63671519,0.01400479,0.31356860
-5.75987994,1.88318372,0.06930882,0.35651167,0.46288552,0.66474676,0.01448257,0.32795844
-5.75387694,1.96258639,0.07232917,0.37097099,0.48314982,0.69478817,0.01499781,0.34261829
-5.74787394,2.04607660,0.07538567,0.38672671,0.50517279,0.72639353,0.01554228,0.35733530
-5.74187094,2.13234486,0.07842384,0.40352528,0.52863243,0.75907518,0.01610756,0.37189758
-5.73586793,2.22002532,0.08138751,0.42109273,0.55318355,0.79231161,0.01668505,0.38609828
-5.72986493,2.30771699,0.08422009,0.43913803,0.57846107,0.82555659,0.01726606,0.39973965
-5.72386193,2.39400632,0.08686587,0.45735716,0.60408412,0.85824917,0.01784183,0.41263673
-5.71785893,2.47749069,0.08927129,0.47543756,0.62966099,0.88982437,0.01840357,0.42462088
-5.71185593,2.55680234,0.09138621,0.49306315,0.65479457,0.91972427,0.01894251,0.43554281
-5.70585293,2.63063212,0.09316501,0.50991960,0.67908855,0.94740925,0.01944994,0.44527508
-5.69984992,2.69775277,0.09456770,0.52569984,0.70215399,0.97236909,0.01991728,0.45371421
-5.69384692,2.75704114,0.09556079,0.54010975,0.72361632,0.99413372,0.02033615,0.46078216
-5.68784392,2.80749913,0.09611802,0.55287382,0.74312248,1.01228332,0.02069843,0.46642729
-5.68184092,2.84827279,0.09622092,0.56374075,0.76034823,1.02645760,0.02099643,0.47062482
-5.67583792,2.87866915,0.09585920,0.57248875,0.77500512,1.03636388,0.02122293,0.47337669
-5.66983492,2.89817042,0.09503090,0.57893042,0.78684722,1.04178385,0.02137142,0.47471095
-5.66383192,2.90644486,0.09374232,0.58291716,0.79567705,1.04257864,0.02143620,0.47468060
-5.65782891,2.90335408,0.09200780,0.58434269,0.80135070,1.03869221,0.02141257,0.47336193
-5.65182591,2.88895602,0.08984930,0.58314582,0.80378167,1.03015262,0.02129699,0.47085227
-5.64582291,2.86350352,0.08729573,0.57931212,0.80294331,1.01707129,0.02108725,0.46726736
-5.63981991,2.82743788,0.08438224,0.57287439,0.79886966,0.99964001,0.02078259,0.46273806
-5.63381691,2.78137749,0.08114923,0.56391197,0.79165452,0.97812585,0.02038380,0.45740672
-5.62781391,2.72610144,0.07764134,0.55254873,0.78144861,0.95286395,0.01989330,0.45142306
-5.62181091,2.66252845,0.07390634,0.53894982,0.76845502,0.92424843,0.01931514,0.44493974
-5.61580790,2.59169149,0.06999396,0.52331721,0.75292285,0.89272159,0.01865495,0.43810768
-5.60980490,2.51470898,0.06595465,0.50588417,0.73513942,0.85876190,0.01791989,0.43107131
-5.60380190,2.43275330,0.06183850,0.48690884,0.71542117,0.82287094,0.01711845,0.42396390
-5.59779890,2.34701792,0.05769406,0.46666721,0.69410374,0.78556003,0.01626027,0.41690304
-5.59179590,2.25868424,0.05356736,0.44544558,0.67153154,0.74733673,0.01535590,0.40998674
-5.58579290,2.16888953,0.04950100,0.42353301,0.64804742,0.70869199,0.01441653,0.40328998
-5.57978989,2.07869724,0.04553340,0.40121383,0.62398265,0.67008820,0.01345371,0.39686227
-5.57378689,1.98907097,0.04169819,0.37876071,0.59964788,0.63194870,0.01247901,0.39072605
-5.56778389,1.90085304,0.03802387,0.35642832,0.57532541,0.59464909,0.01150378,0.38487630
-5.56178089,1.81474868,0.03453347,0.33444803,0.55126305,0.55851058,0.01053882,0.37928131
-5.55577789,1.73131638,0.03124459,0.31302368,0.52766987,0.52379565,0.00959416,0.37388463
-5.54977489,1.65096461,0.02816950,0.29232855,0.50471406,0.49070605,0.00867887,0.36860823
